d3mIndex,FICE,College_name,State,Type,Average_salary-full_professors,Average_salary-associate_professors,Average_salary-assistant_professors,Average_salary-all_ranks,Average_compensation-full_professors,Average_compensation-associate_professors,Average_compensation-assistant_professors,Average_compensation-all_ranks,Number_of_full_professors,Number_of_associate_professors,Number_of_assistant_professors,Number_of_instructors,Number_of_faculty-all_ranks
42,1081,Arizona_State_University,AZ,I,603.0,449.0,399.0,489,723.0,549.0,489.0,593,576,445,251,7,1383
43,1082,Northern_Arizona_University,AZ,I,511.0,422.0,359.0,412,619.0,518.0,446.0,507,173,192,175,33,608
44,1083,University_of_Arizona,AZ,I,648.0,462.0,411.0,537,771.0,561.0,498.0,645,647,377,272,2,1349
45,1117,Azusa_Pacific_University,CA,IIA,430.0,375.0,318.0,368,573.0,494.0,428.0,488,43,62,32,12,156
46,1122,Biola_University,CA,IIA,455.0,369.0,303.0,370,582.0,462.0,371.0,464,32,57,31,6,126
47,1131,California_Inst_of_Tech,CA,I,970.0,733.0,576.0,866,1204.0,909.0,717.0,1075,173,40,44,0,257
48,1133,California_Lutheran_Univ,CA,IIB,477.0,392.0,335.0,398,600.0,501.0,433.0,507,32,21,33,6,92
49,1137,CalStUniv-Fullerton,CA,IIA,605.0,493.0,387.0,544,760.0,637.0,506.0,690,393,120,105,5,623
50,1138,CalStUniv-Hayward,CA,IIA,606.0,491.0,384.0,552,762.0,629.0,503.0,699,258,69,49,7,383
51,1139,CalStUniv-Long_Beach,CA,IIA,600.0,474.0,401.0,542,751.0,610.0,521.0,685,491,171,112,6,780
52,1141,CalStUniv-Dominguez_Hills,CA,IIA,605.0,472.0,392.0,548,759.0,606.0,593.0,705,178,52,37,1,268
53,1143,CalPolyStU-Sn_Luis_Obispo,CA,IIA,607.0,496.0,394.0,571,763.0,635.0,514.0,721,507,102,60,1,670
54,1144,CalPolyStUniv-Pomona,CA,IIA,610.0,492.0,408.0,559,766.0,630.0,531.0,707,411,116,79,4,610
55,1146,CalStUniv-Chico,CA,IIA,604.0,482.0,395.0,558,758.0,631.0,518.0,707,413,86,73,2,574
56,1147,CalStUniv-Fresno,CA,IIA,603.0,476.0,382.0,553,757.0,612.0,500.0,699,459,109,67,14,649
57,1149,Humboldt_State_University,CA,IIA,593.0,468.0,387.0,543,746.0,603.0,507.0,688,213,38,50,0,301
58,1151,San_Diego_State_University,CA,IIA,602.0,479.0,403.0,547,756.0,615.0,524.0,693,576,223,100,10,909
59,1155,San_Jose_State_University,CA,IIA,598.0,486.0,404.0,528,750.0,623.0,526.0,669,431,222,158,8,819
60,1156,Sonoma_State_University,CA,IIA,602.0,459.0,380.0,553,755.0,592.0,497.0,699,170,34,29,0,233
61,1164,Chapman_University,CA,IIA,578.0,470.0,420.0,491,763.0,627.0,573.0,656,38,37,36,0,111
62,1170,Claremont_McKenna_College,CA,IIB,716.0,516.0,411.0,601,892.0,661.0,510.0,751,36,16,12,2,67
63,1171,Harvey_Mudd_College,CA,IIB,771.0,579.0,454.0,638,961.0,739.0,588.0,805,34,14,20,0,68
64,1172,Pitzer_College,CA,IIB,652.0,439.0,381.0,547,824.0,572.0,482.0,695,31,10,13,0,54
65,1173,Pomona_College,CA,IIB,730.0,525.0,417.0,566,909.0,658.0,530.0,708,60,52,40,7,161
66,1174,Scripps_College,CA,IIB,611.0,458.0,372.0,511,776.0,588.0,495.0,658,28,10,15,1,54
67,1179,College_of_Notre_Dame,CA,IIB,524.0,421.0,374.0,448,630.0,503.0,443.0,535,25,16,15,3,59
68,1183,Holy_Names_College,CA,IIB,484.0,394.0,275.0,368,542.0,443.0,311.0,413,10,22,18,1,51
69,1216,University_of_La_Verne,CA,IIA,482.0,392.0,326.0,401,602.0,478.0,396.0,494,41,28,41,0,110
70,1238,Mills_College,CA,IIA,593.0,461.0,407.0,492,737.0,571.0,507.0,612,28,16,23,2,70
71,1249,Occidental_College,CA,IIB,624.0,469.0,388.0,490,806.0,593.0,482.0,621,49,42,33,15,139
72,1253,Fresno_Pacific_College,CA,IIB,,,,361,,,,447,0,0,0,0,54
73,1258,Pacific_Union_College,CA,IIB,362.0,333.0,315.0,336,441.0,398.0,376.0,403,40,17,41,4,102
74,1262,Point_Loma_Nazarene_College,CA,IIB,507.0,393.0,358.0,429,637.0,523.0,468.0,549,43,21,23,7,94
75,1264,Pepperdine_University,CA,IIA,715.0,561.0,511.0,637,930.0,737.0,645.0,829,130,72,22,7,231
76,1302,Saint_Marys_Coll_of_Calif,CA,IIA,614.0,494.0,404.0,500,754.0,616.0,497.0,618,38,55,42,0,135
77,1305,Stanford_University,CA,I,952.0,658.0,519.0,824,1144.0,814.0,653.0,1000,533,139,145,0,834
78,1312,Univof_Calif-Berkeley,CA,I,764.0,513.0,433.0,650,939.0,631.0,533.0,799,834,229,209,0,1346
79,1313,Univof_Calif-Davis,CA,I,683.0,478.0,404.0,561,840.0,588.0,496.0,689,535,190,234,0,1072
80,1314,Univof_Calif-Irvine,CA,I,708.0,488.0,423.0,574,870.0,599.0,520.0,705,319,161,138,0,673
81,1315,Univof_Calif-Los_Angeles,CA,I,741.0,497.0,421.0,609,910.0,611.0,517.0,748,817,267,298,0,1499
82,1316,Univof_Calif-Riverside,CA,I,670.0,461.0,390.0,514,824.0,567.0,479.0,632,183,80,140,0,441
83,1317,Univof_Calif-San_Diego,CA,I,723.0,487.0,401.0,595,888.0,598.0,493.0,732,405,147,130,0,734
84,1319,Univof_Calif-San_Francisco,CA,I,624.0,449.0,380.0,520,767.0,552.0,467.0,639,154,83,74,0,314
85,1320,Univof_Calif-Santa_Barbara,CA,I,712.0,473.0,401.0,578,875.0,581.0,493.0,711,371,125,145,0,694
86,1321,Univof_Calif-Santa_Cruz,CA,I,677.0,464.0,391.0,537,832.0,570.0,481.0,660,186,93,92,0,413
87,1322,University_of_Redlands,CA,IIA,566.0,468.0,406.0,488,716.0,592.0,495.0,610,49,19,39,0,109
88,1325,University_of_San_Francisco,CA,IIA,617.0,486.0,405.0,514,811.0,644.0,538.0,680,129,59,80,19,287
89,1326,Santa_Clara_University,CA,IIA,763.0,555.0,487.0,578,938.0,704.0,624.0,729,85,117,90,0,324
90,1328,Univ_of_Southern_California,CA,I,802.0,574.0,484.0,641,1016.0,751.0,636.0,825,485,354,286,27,1165
91,1329,University_of_the_Pacific,CA,IIA,542.0,420.0,372.0,459,666.0,528.0,468.0,570,172,92,100,10,377
92,1341,Westmont_College,CA,IIB,489.0,408.0,339.0,415,616.0,524.0,429.0,526,30,19,22,3,74
93,1342,Whittier_College,CA,IIA,666.0,499.0,347.0,531,808.0,601.0,416.0,642,48,27,24,9,108
94,1343,Woodbury_University,CA,IIA,,373.0,365.0,381,,472.0,454.0,478,5,11,6,0,22
95,3948,San_Francisco_State_Univ,CA,IIA,599.0,483.0,397.0,541,751.0,619.0,518.0,684,451,133,117,8,709
96,7993,CalStUniv-Bakersfield,CA,IIA,597.0,482.0,377.0,499,752.0,619.0,495.0,637,95,48,50,13,206
97,10395,University_of_San_Diego,CA,IIA,719.0,533.0,452.0,575,904.0,678.0,569.0,725,105,72,76,12,265
98,11649,Loyola_Marymount_University,CA,IIA,722.0,558.0,414.0,589,911.0,724.0,543.0,754,130,90,83,3,310
99,1345,Adams_State_College,CO,IIA,436.0,356.0,321.0,360,527.0,444.0,400.0,444,29,21,40,8,98
100,1347,Colorado_College,CO,IIB,613.0,488.0,398.0,525,776.0,621.0,509.0,665,63,38,26,1,134
101,1349,Univ_of_Northern_Colorado,CO,I,480.0,390.0,333.0,385,565.0,463.0,399.0,458,151,111,129,35,467
102,1350,Colorado_State_University,CO,I,598.0,447.0,403.0,517,714.0,534.0,481.0,617,483,255,188,0,926
103,1353,Fort_Lewis_College,CO,IIB,439.0,385.0,342.0,392,516.0,452.0,402.0,460,73,35,52,5,165
104,1358,Mesa_State_College,CO,IIB,429.0,353.0,297.0,340,508.0,427.0,363.0,410,49,31,37,7,145
105,1360,Metro_State_Collof_Denver,CO,IIB,480.0,406.0,351.0,418,568.0,485.0,424.0,498,159,90,111,8,370
106,1363,Regis_University,CO,IIB,489.0,434.0,349.0,424,626.0,531.0,428.0,527,16,26,12,2,56
107,1365,University_Southern_Colorado,CO,IIA,474.0,422.0,360.0,397,559.0,498.0,425.0,468,47,45,63,15,170
108,1370,Univ_of_Colorado-_Boulder,CO,I,652.0,494.0,421.0,528,797.0,615.0,519.0,649,457,301,227,93,1081
109,1371,University_of_Denver,CO,I,623.0,479.0,430.0,509,756.0,588.0,525.0,620,142,106,101,6,378
110,1372,Western_State_Coll_of_Colo,CO,IIB,452.0,381.0,324.0,402,546.0,460.0,406.0,490,52,25,26,0,103
111,4509,Univ_of_Colo_at_ColoSprgs,CO,IIA,522.0,422.0,385.0,451,642.0,524.0,480.0,558,62,56,40,3,161
112,6740,Univ_of_Colorado_at_Denver,CO,IIA,596.0,453.0,408.0,467,726.0,561.0,508.0,576,106,108,119,35,368
113,9401,Colorado_Christian_Univ,CO,IIB,,284.0,251.0,255,,356.0,318.0,323,3,8,13,8,32
114,1374,Albertus_Magnus_College,CT,IIB,391.0,343.0,,340,444.0,400.0,,393,9,7,5,3,24
115,1378,Central_Connecticut_StUniv,CT,IIA,666.0,534.0,397.0,518,856.0,700.0,536.0,680,118,119,137,16,390
116,1379,Connecticut_College,CT,IIB,619.0,461.0,366.0,499,810.0,613.0,477.0,654,63,35,30,11,140
117,1380,Western_Conn_State_Univ,CT,IIA,658.0,516.0,477.0,575,883.0,711.0,652.0,778,90,36,50,2,178
118,1385,Fairfield_University,CT,IIA,685.0,545.0,452.0,545,894.0,733.0,603.0,721,62,43,81,6,192
119,1397,University_of_New_Haven,CT,IIA,524.0,450.0,401.0,471,656.0,576.0,513.0,596,72,44,30,1,152
120,1402,Quinnipiac_College,CT,IIA,697.0,540.0,412.0,553,877.0,686.0,531.0,701,82,51,64,10,207
121,1403,Sacred_Heart_University,CT,IIB,546.0,444.0,374.0,435,686.0,566.0,478.0,553,19,55,30,7,111
122,1406,Southern_Conn_State_Univ,CT,IIA,644.0,514.0,385.0,522,819.0,673.0,516.0,678,160,125,120,12,417
123,1409,Saint_Joseph_College,CT,IIA,548.0,451.0,360.0,430,654.0,544.0,432.0,517,8,34,22,1,65
124,1414,Trinity_College,CT,IIB,706.0,501.0,394.0,550,901.0,650.0,494.0,704,57,49,32,0,146
125,1416,University_of_Bridgeport,CT,IIA,505.0,437.0,360.0,434,644.0,551.0,463.0,553,32,29,26,1,90
126,1422,University_of_Hartford,CT,IIA,529.0,445.0,380.0,439,660.0,566.0,492.0,558,76,131,111,3,329
127,1424,Wesleyan_University,CT,IIA,734.0,504.0,423.0,597,936.0,641.0,539.0,761,128,57,66,0,254
128,1425,Eastern_Connecticut_StUniv,CT,IIA,650.0,515.0,400.0,535,856.0,689.0,547.0,714,47,47,33,0,127
129,1426,Yale_University,CT,I,928.0,522.0,444.0,708,1127.0,643.0,548.0,863,404,118,191,6,767
130,1434,American_University,DC,I,746.0,520.0,417.0,555,897.0,641.0,505.0,673,165,119,125,37,446
131,1437,Catholic_Univ_of_America,DC,I,611.0,449.0,385.0,482,718.0,533.0,459.0,570,123,141,104,6,374
132,1443,Gallaudet_University,DC,IIA,623.0,480.0,399.0,482,814.0,638.0,534.0,637,86,67,70,35,261
133,1444,George_Washington_University,DC,I,729.0,542.0,447.0,610,874.0,653.0,536.0,733,316,175,134,12,637
134,1445,Georgetown_University,DC,I,857.0,552.0,427.0,618,1080.0,710.0,546.0,785,192,157,154,25,528
135,1448,Howard_University,DC,I,656.0,483.0,403.0,481,780.0,591.0,494.0,587,241,282,189,111,891
136,1452,Mount_Vernon_College,DC,IIB,,360.0,288.0,330,,453.0,364.0,413,3,10,17,0,30
137,1460,Trinity_College,DC,IIB,457.0,362.0,293.0,350,536.0,435.0,349.0,415,12,12,21,2,47
138,29100,Univof_District_Columbia,DC,IIA,559.0,476.0,390.0,491,686.0,586.0,482.0,604,184,113,95,8,400
139,1428,Delaware_State_University,DE,IIA,545.0,435.0,359.0,379,716.0,583.0,491.0,515,29,47,61,34,183
140,1429,Goldey_Beacom_College,DE,IIB,492.0,405.0,,417,613.0,511.0,,528,8,14,3,1,26
141,1431,University_of_Delaware,DE,I,723.0,531.0,422.0,556,922.0,693.0,554.0,721,341,319,217,65,953
142,1433,Wesley_College,DE,IIB,448.0,373.0,334.0,376,565.0,449.0,396.0,456,14,12,22,1,49
143,1466,Barry_University,FL,IIA,488.0,420.0,350.0,394,598.0,508.0,424.0,477,39,77,84,15,215
144,1468,St_Thomas_University,FL,IIA,438.0,482.0,351.0,403,520.0,570.0,421.0,480,23,22,37,4,90
145,1479,Embry-Riddle_Aero_University,FL,IIA,457.0,369.0,310.0,365,556.0,452.0,383.0,446,70,130,84,7,299
146,1480,Florida_A__and__M_University,FL,IIA,524.0,426.0,359.0,424,661.0,543.0,460.0,540,103,123,111,27,364
147,1481,Florida_Atlantic_University,FL,IIA,580.0,426.0,394.0,461,750.0,559.0,517.0,601,183,147,159,30,528
148,1487,Eckerd_College,FL,IIB,534.0,424.0,357.0,436,676.0,547.0,472.0,563,32,18,37,0,87
149,1488,Florida_Southern_College,FL,IIB,440.0,369.0,331.0,369,552.0,473.0,409.0,463,30,18,44,4,96
150,1489,Florida_State_University,FL,I,564.0,399.0,378.0,473,729.0,525.0,494.0,616,510,316,192,16,1038
151,1515,Rollins_College,FL,IIA,542.0,420.0,321.0,457,678.0,519.0,378.0,564,78,43,26,7,154
152,1531,Stetson_University,FL,IIA,622.0,437.0,370.0,477,794.0,561.0,467.0,605,61,52,65,2,185
153,1535,University_of_Florida,FL,I,613.0,430.0,399.0,501,790.0,567.0,527.0,653,981,721,510,49,2261
154,1536,University_of_Miami,FL,I,693.0,510.0,408.0,513,895.0,654.0,514.0,659,291,200,147,20,769
155,1537,University_of_South_Florida,FL,I,571.0,418.0,369.0,455,735.0,547.0,483.0,591,387,319,239,45,1038
156,1538,University_of_Tampa,FL,IIB,495.0,425.0,371.0,416,593.0,513.0,438.0,497,36,37,46,4,127
157,3954,University_Central_Florida,FL,IIA,560.0,420.0,369.0,435,698.0,527.0,465.0,545,176,207,162,42,593
158,3955,University_of_West_Florida,FL,IIA,489.0,391.0,350.0,390,636.0,505.0,458.0,507,59,65,75,22,221
159,8849,Palm_Beach_Atlantic_College,FL,IIB,413.0,369.0,333.0,348,491.0,451.0,390.0,412,11,14,28,13,66
160,9635,Florida_Internatl_Univ,FL,IIA,558.0,423.0,395.0,433,719.0,553.0,509.0,562,182,261,220,76,767
161,9841,University_of_North_Florida,FL,IIB,498.0,405.0,343.0,408,663.0,544.0,462.0,547,73,81,57,19,230
162,1542,Agnes_Scott_College,GA,IIB,527.0,421.0,356.0,426,651.0,528.0,441.0,528,19,24,19,4,66
163,1544,Albany_State_College,GA,IIB,444.0,395.0,335.0,371,578.0,519.0,437.0,484,38,24,68,8,138
164,1546,Armstrong_State_College,GA,IIB,462.0,367.0,315.0,347,588.0,457.0,391.0,434,38,32,119,12,201
165,1552,Augusta_College,GA,IIA,503.0,409.0,336.0,383,645.0,520.0,431.0,489,40,43,79,21,183
166,1554,Berry_College,GA,IIB,515.0,403.0,343.0,399,650.0,519.0,439.0,509,25,20,38,3,92
167,1561,Columbus_College,GA,IIA,456.0,375.0,333.0,396,588.0,491.0,437.0,515,75,50,51,2,178
168,1564,Emory_University,GA,I,796.0,547.0,451.0,608,972.0,686.0,567.0,753,203,177,161,8,549
169,1566,Fort_Valley_State_College,GA,IIB,471.0,382.0,339.0,379,596.0,490.0,439.0,487,37,39,49,17,142
170,1569,Georgia_Institute_of_Tech,GA,I,684.0,517.0,462.0,558,862.0,665.0,594.0,711,235,206,167,17,626
171,1570,Southern_Coll_of_Technology,GA,IIB,457.0,386.0,360.0,398,587.0,496.0,460.0,511,44,58,40,4,146
172,1572,Georgia_Southern_University,GA,IIA,495.0,408.0,328.0,363,623.0,509.0,407.0,453,105,135,254,109,603
173,1574,Georgia_State_University,GA,I,666.0,474.0,390.0,502,817.0,594.0,493.0,624,258,254,241,40,793
174,1577,Kennesaw_State_College,GA,IIA,523.0,428.0,353.0,399,661.0,542.0,445.0,506,69,116,111,54,350
175,1580,Mercer_University-Entire,GA,IIA,555.0,423.0,351.0,433,686.0,538.0,435.0,540,76,78,81,11,246
176,1586,Oglethorpe_University,GA,IIB,516.0,454.0,329.0,450,630.0,550.0,390.0,546,21,9,10,0,44
177,1591,Shorter_College,GA,IIB,370.0,308.0,294.0,317,439.0,368.0,355.0,379,16,17,17,5,55
178,1598,University_of_Georgia,GA,I,619.0,444.0,378.0,489,768.0,553.0,464.0,607,650,552,391,64,1658
179,1599,Valdosta_State_University,GA,IIA,477.0,386.0,344.0,390,603.0,496.0,445.0,500,88,90,114,19,311
180,1601,West_Georgia_College,GA,IIA,466.0,391.0,353.0,392,595.0,502.0,454.0,502,98,50,97,27,272
181,1602,Georgia_College,GA,IIA,447.0,388.0,340.0,373,571.0,496.0,440.0,479,47,41,80,11,179
182,3484,Covenant_College,GA,IIB,429.0,371.0,312.0,388,519.0,492.0,390.0,484,19,12,6,1,38
183,1610,Univ_of_Hawaii_at_Manoa,HI,I,713.0,532.0,458.0,570,887.0,677.0,587.0,719,442,285,272,100,1099
184,21078,Univ_of_Hawaii-West_Oahu,HI,IIB,513.0,,396.0,449,654.0,,512.0,576,8,4,8,0,20
185,29020,Univ_of_Hawaii_at_Hilo,HI,IIB,576.0,461.0,414.0,467,731.0,591.0,534.0,598,43,47,37,14,141
186,1846,Briar_Cliff_College,IA,IIB,367.0,324.0,286.0,313,473.0,412.0,359.0,398,16,13,28,3,60
187,1847,Buena_Vista_College,IA,IIB,484.0,416.0,339.0,382,606.0,522.0,440.0,486,20,12,30,10,72
188,1850,Central_University_of_Iowa,IA,IIB,464.0,413.0,334.0,395,572.0,507.0,405.0,483,23,36,22,8,89
189,1852,Clarke_College,IA,IIB,436.0,361.0,312.0,338,512.0,445.0,379.0,407,11,10,25,8,54
190,1854,Coe_College,IA,IIB,516.0,421.0,340.0,436,671.0,541.0,459.0,570,30,21,22,0,73
191,1856,Cornell_College,IA,IIB,578.0,426.0,368.0,468,693.0,534.0,463.0,574,31,22,17,5,75
192,1859,Dordt_College,IA,IIB,411.0,356.0,308.0,355,548.0,470.0,406.0,472,30,14,16,12,72
193,1860,Drake_University,IA,IIA,601.0,458.0,409.0,481,762.0,578.0,496.0,600,101,61,107,16,285
194,1866,Graceland_College,IA,IIB,411.0,331.0,301.0,345,490.0,401.0,366.0,418,26,11,29,1,70
195,1867,Grand_View_College,IA,IIB,385.0,320.0,295.0,329,481.0,405.0,377.0,416,22,31,20,2,75
196,1868,Grinnell_College,IA,IIB,642.0,517.0,405.0,513,809.0,641.0,496.0,638,46,36,52,3,139
197,1869,Iowa_State_University,IA,I,684.0,506.0,404.0,534,842.0,635.0,514.0,666,467,353,284,84,1188
198,1873,Loras_College,IA,IIB,419.0,363.0,314.0,363,531.0,438.0,378.0,445,37,35,31,6,109
199,1874,Luther_College,IA,IIB,478.0,399.0,347.0,404,630.0,548.0,445.0,531,63,26,50,16,155
200,1879,Morningside_College,IA,IIB,389.0,331.0,303.0,341,495.0,414.0,365.0,425,20,29,16,1,66
201,1880,Mount_Mercy_College,IA,IIB,379.0,356.0,334.0,337,465.0,427.0,396.0,405,7,20,28,8,63
202,1881,Mount_St_Clare_College,IA,IIA,,,,302,,,,373,0,0,0,0,18
203,1883,Northwestern_College,IA,IIB,430.0,372.0,311.0,344,531.0,477.0,394.0,434,9,16,27,6,58
204,1887,Simpson_College,IA,IIB,491.0,377.0,339.0,394,645.0,473.0,434.0,504,25,11,17,14,67
205,1889,St_Ambrose_University,IA,IIB,431.0,374.0,325.0,362,541.0,471.0,401.0,450,29,15,44,8,98
206,1890,University_of_Northern_Iowa,IA,IIA,586.0,469.0,390.0,447,730.0,591.0,491.0,561,155,152,226,89,622
207,1891,University_of_Dubuque,IA,IIB,351.0,315.0,309.0,323,443.0,392.0,358.0,396,19,23,14,2,58
208,1892,University_of_Iowa,IA,I,706.0,509.0,432.0,579,872.0,643.0,549.0,723,486,308,260,10,1064
209,1893,Upper_Iowa_University,IA,IIB,,,287.0,303,,,348.0,366,4,5,6,12,27
210,1896,Wartburg_College,IA,IIB,447.0,370.0,308.0,358,564.0,469.0,385.0,451,25,21,29,4,89
211,1899,Teikyo_Westmar_University,IA,IIB,,314.0,289.0,292,,388.0,355.0,359,5,13,22,14,54
212,1900,William_Penn_College,IA,IIB,351.0,312.0,269.0,294,420.0,386.0,335.0,363,8,11,19,7,45
213,1616,Boise_State_University,ID,IIA,448.0,391.0,354.0,391,566.0,498.0,453.0,498,157,111,100,7,427
214,1617,Albertson_Coll_of_Idaho,ID,IIB,424.0,338.0,266.0,336,540.0,430.0,338.0,428,16,20,19,1,56
215,1620,Idaho_State_University,ID,IIA,466.0,382.0,337.0,368,588.0,487.0,433.0,471,128,99,113,120,460
216,1621,Lewis-Clark_State_College,ID,IIB,391.0,329.0,292.0,338,499.0,425.0,381.0,436,39,35,35,1,110
217,1624,Northwest_Nazarene_College,ID,IIB,,,,341,,,,448,0,0,0,0,71
218,1626,University_of_Idaho,ID,I,514.0,408.0,373.0,438,640.0,514.0,472.0,550,217,165,155,9,546
219,1633,Augustana_College,IL,IIB,527.0,425.0,362.0,418,648.0,523.0,449.0,517,41,28,50,18,137
220,1634,Aurora_University,IL,IIB,434.0,379.0,339.0,372,528.0,461.0,402.0,447,18,16,19,16,69
221,1635,Barat_College,IL,IIB,507.0,405.0,333.0,402,599.0,473.0,394.0,474,9,9,14,0,32
222,1639,Blackburn_University,IL,IIB,,,,312,,,,370,0,0,0,0,23
223,1641,Bradley_University,IL,IIA,570.0,464.0,378.0,442,679.0,562.0,449.0,529,75,88,100,30,295
224,1664,College_of_Saint_Francis,IL,IIB,446.0,422.0,345.0,392,551.0,524.0,435.0,489,12,15,23,0,50
225,1665,Columbia_College,IL,IIB,,,,349,,,,446,0,0,0,0,171
226,1666,Concordia_University,IL,IIB,399.0,351.0,295.0,351,487.0,435.0,374.0,435,30,23,24,1,78
227,1671,DePaul_University,IL,IIA,702.0,543.0,427.0,524,857.0,681.0,527.0,648,120,173,152,55,500
