d3mIndex,Political_system,Age,Time_of_survey,Schooling,Region,Count
40,Very_poorly,30-44,1991,Basic_incomplete,West_Germany,0
41,Very_poorly,30-44,1991,Basic,West_Germany,24
42,Very_poorly,30-44,1991,Medium,West_Germany,17
43,Very_poorly,30-44,1991,Upper_medium,West_Germany,3
44,Very_poorly,30-44,1991,Intensive,West_Germany,11
45,Very_poorly,30-44,1991,Basic_incomplete,East_Germany,0
46,Very_poorly,30-44,1991,Basic,East_Germany,3
47,Very_poorly,30-44,1991,Medium,East_Germany,7
48,Very_poorly,30-44,1991,Upper_medium,East_Germany,0
49,Very_poorly,30-44,1991,Intensive,East_Germany,1
50,Poorly,30-44,1991,Basic_incomplete,West_Germany,1
51,Poorly,30-44,1991,Basic,West_Germany,135
52,Poorly,30-44,1991,Medium,West_Germany,89
53,Poorly,30-44,1991,Upper_medium,West_Germany,26
54,Poorly,30-44,1991,Intensive,West_Germany,68
55,Poorly,30-44,1991,Basic_incomplete,East_Germany,3
56,Poorly,30-44,1991,Basic,East_Germany,39
57,Poorly,30-44,1991,Medium,East_Germany,198
58,Poorly,30-44,1991,Upper_medium,East_Germany,7
59,Poorly,30-44,1991,Intensive,East_Germany,52
60,Well,30-44,1991,Basic_incomplete,West_Germany,1
61,Well,30-44,1991,Basic,West_Germany,34
62,Well,30-44,1991,Medium,West_Germany,14
63,Well,30-44,1991,Upper_medium,West_Germany,1
64,Well,30-44,1991,Intensive,West_Germany,10
65,Well,30-44,1991,Basic_incomplete,East_Germany,4
66,Well,30-44,1991,Basic,East_Germany,27
67,Well,30-44,1991,Medium,East_Germany,86
68,Well,30-44,1991,Upper_medium,East_Germany,7
69,Well,30-44,1991,Intensive,East_Germany,17
70,Very_well,30-44,1991,Basic_incomplete,West_Germany,0
71,Very_well,30-44,1991,Basic,West_Germany,2
72,Very_well,30-44,1991,Medium,West_Germany,1
73,Very_well,30-44,1991,Upper_medium,West_Germany,0
74,Very_well,30-44,1991,Intensive,West_Germany,1
75,Very_well,30-44,1991,Basic_incomplete,East_Germany,1
76,Very_well,30-44,1991,Basic,East_Germany,7
77,Very_well,30-44,1991,Medium,East_Germany,9
78,Very_well,30-44,1991,Upper_medium,East_Germany,0
79,Very_well,30-44,1991,Intensive,East_Germany,1
80,Very_poorly,45-59,1991,Basic_incomplete,West_Germany,0
81,Very_poorly,45-59,1991,Basic,West_Germany,26
82,Very_poorly,45-59,1991,Medium,West_Germany,4
83,Very_poorly,45-59,1991,Upper_medium,West_Germany,2
84,Very_poorly,45-59,1991,Intensive,West_Germany,5
85,Very_poorly,45-59,1991,Basic_incomplete,East_Germany,0
86,Very_poorly,45-59,1991,Basic,East_Germany,4
87,Very_poorly,45-59,1991,Medium,East_Germany,0
88,Very_poorly,45-59,1991,Upper_medium,East_Germany,0
89,Very_poorly,45-59,1991,Intensive,East_Germany,2
90,Poorly,45-59,1991,Basic_incomplete,West_Germany,2
91,Poorly,45-59,1991,Basic,West_Germany,120
92,Poorly,45-59,1991,Medium,West_Germany,62
93,Poorly,45-59,1991,Upper_medium,West_Germany,17
94,Poorly,45-59,1991,Intensive,West_Germany,29
95,Poorly,45-59,1991,Basic_incomplete,East_Germany,14
96,Poorly,45-59,1991,Basic,East_Germany,134
97,Poorly,45-59,1991,Medium,East_Germany,50
98,Poorly,45-59,1991,Upper_medium,East_Germany,5
99,Poorly,45-59,1991,Intensive,East_Germany,32
100,Well,45-59,1991,Basic_incomplete,West_Germany,1
101,Well,45-59,1991,Basic,West_Germany,27
102,Well,45-59,1991,Medium,West_Germany,10
103,Well,45-59,1991,Upper_medium,West_Germany,2
104,Well,45-59,1991,Intensive,West_Germany,3
105,Well,45-59,1991,Basic_incomplete,East_Germany,13
106,Well,45-59,1991,Basic,East_Germany,61
107,Well,45-59,1991,Medium,East_Germany,18
108,Well,45-59,1991,Upper_medium,East_Germany,3
109,Well,45-59,1991,Intensive,East_Germany,18
110,Very_well,45-59,1991,Basic_incomplete,West_Germany,0
111,Very_well,45-59,1991,Basic,West_Germany,6
112,Very_well,45-59,1991,Medium,West_Germany,2
113,Very_well,45-59,1991,Upper_medium,West_Germany,0
114,Very_well,45-59,1991,Intensive,West_Germany,0
115,Very_well,45-59,1991,Basic_incomplete,East_Germany,1
116,Very_well,45-59,1991,Basic,East_Germany,7
117,Very_well,45-59,1991,Medium,East_Germany,3
118,Very_well,45-59,1991,Upper_medium,East_Germany,0
119,Very_well,45-59,1991,Intensive,East_Germany,2
120,Very_poorly,60-74,1991,Basic_incomplete,West_Germany,2
121,Very_poorly,60-74,1991,Basic,West_Germany,41
122,Very_poorly,60-74,1991,Medium,West_Germany,12
123,Very_poorly,60-74,1991,Upper_medium,West_Germany,1
124,Very_poorly,60-74,1991,Intensive,West_Germany,7
125,Very_poorly,60-74,1991,Basic_incomplete,East_Germany,0
126,Very_poorly,60-74,1991,Basic,East_Germany,4
127,Very_poorly,60-74,1991,Medium,East_Germany,1
128,Very_poorly,60-74,1991,Upper_medium,East_Germany,0
129,Very_poorly,60-74,1991,Intensive,East_Germany,0
130,Poorly,60-74,1991,Basic_incomplete,West_Germany,6
131,Poorly,60-74,1991,Basic,West_Germany,107
132,Poorly,60-74,1991,Medium,West_Germany,32
133,Poorly,60-74,1991,Upper_medium,West_Germany,4
134,Poorly,60-74,1991,Intensive,West_Germany,26
135,Poorly,60-74,1991,Basic_incomplete,East_Germany,7
136,Poorly,60-74,1991,Basic,East_Germany,81
137,Poorly,60-74,1991,Medium,East_Germany,15
138,Poorly,60-74,1991,Upper_medium,East_Germany,1
139,Poorly,60-74,1991,Intensive,East_Germany,12
140,Well,60-74,1991,Basic_incomplete,West_Germany,1
141,Well,60-74,1991,Basic,West_Germany,18
142,Well,60-74,1991,Medium,West_Germany,3
143,Well,60-74,1991,Upper_medium,West_Germany,0
144,Well,60-74,1991,Intensive,West_Germany,2
145,Well,60-74,1991,Basic_incomplete,East_Germany,6
146,Well,60-74,1991,Basic,East_Germany,56
147,Well,60-74,1991,Medium,East_Germany,8
148,Well,60-74,1991,Upper_medium,East_Germany,1
149,Well,60-74,1991,Intensive,East_Germany,7
150,Very_well,60-74,1991,Basic_incomplete,West_Germany,1
151,Very_well,60-74,1991,Basic,West_Germany,3
152,Very_well,60-74,1991,Medium,West_Germany,0
153,Very_well,60-74,1991,Upper_medium,West_Germany,0
154,Very_well,60-74,1991,Intensive,West_Germany,0
155,Very_well,60-74,1991,Basic_incomplete,East_Germany,1
156,Very_well,60-74,1991,Basic,East_Germany,5
157,Very_well,60-74,1991,Medium,East_Germany,0
158,Very_well,60-74,1991,Upper_medium,East_Germany,0
159,Very_well,60-74,1991,Intensive,East_Germany,0
160,Very_poorly,75+,1991,Basic_incomplete,West_Germany,1
161,Very_poorly,75+,1991,Basic,West_Germany,8
162,Very_poorly,75+,1991,Medium,West_Germany,3
163,Very_poorly,75+,1991,Upper_medium,West_Germany,1
164,Very_poorly,75+,1991,Intensive,West_Germany,2
165,Very_poorly,75+,1991,Basic_incomplete,East_Germany,0
166,Very_poorly,75+,1991,Basic,East_Germany,3
167,Very_poorly,75+,1991,Medium,East_Germany,0
168,Very_poorly,75+,1991,Upper_medium,East_Germany,0
169,Very_poorly,75+,1991,Intensive,East_Germany,0
170,Poorly,75+,1991,Basic_incomplete,West_Germany,1
171,Poorly,75+,1991,Basic,West_Germany,28
172,Poorly,75+,1991,Medium,West_Germany,8
173,Poorly,75+,1991,Upper_medium,West_Germany,3
174,Poorly,75+,1991,Intensive,West_Germany,6
175,Poorly,75+,1991,Basic_incomplete,East_Germany,5
176,Poorly,75+,1991,Basic,East_Germany,16
177,Poorly,75+,1991,Medium,East_Germany,1
178,Poorly,75+,1991,Upper_medium,East_Germany,1
179,Poorly,75+,1991,Intensive,East_Germany,3
180,Well,75+,1991,Basic_incomplete,West_Germany,0
181,Well,75+,1991,Basic,West_Germany,9
182,Well,75+,1991,Medium,West_Germany,2
183,Well,75+,1991,Upper_medium,West_Germany,0
184,Well,75+,1991,Intensive,West_Germany,0
185,Well,75+,1991,Basic_incomplete,East_Germany,0
186,Well,75+,1991,Basic,East_Germany,10
187,Well,75+,1991,Medium,East_Germany,1
188,Well,75+,1991,Upper_medium,East_Germany,0
189,Well,75+,1991,Intensive,East_Germany,1
190,Very_well,75+,1991,Basic_incomplete,West_Germany,1
191,Very_well,75+,1991,Basic,West_Germany,0
192,Very_well,75+,1991,Medium,West_Germany,0
193,Very_well,75+,1991,Upper_medium,West_Germany,0
194,Very_well,75+,1991,Intensive,West_Germany,0
195,Very_well,75+,1991,Basic_incomplete,East_Germany,0
196,Very_well,75+,1991,Basic,East_Germany,1
197,Very_well,75+,1991,Medium,East_Germany,0
198,Very_well,75+,1991,Upper_medium,East_Germany,0
199,Very_well,75+,1991,Intensive,East_Germany,0
200,Very_poorly,19-29,1992,Basic_incomplete,West_Germany,0
201,Very_poorly,19-29,1992,Basic,West_Germany,6
202,Very_poorly,19-29,1992,Medium,West_Germany,4
203,Very_poorly,19-29,1992,Upper_medium,West_Germany,0
204,Very_poorly,19-29,1992,Intensive,West_Germany,7
205,Very_poorly,19-29,1992,Basic_incomplete,East_Germany,0
206,Very_poorly,19-29,1992,Basic,East_Germany,0
207,Very_poorly,19-29,1992,Medium,East_Germany,0
208,Very_poorly,19-29,1992,Upper_medium,East_Germany,0
209,Very_poorly,19-29,1992,Intensive,East_Germany,0
210,Poorly,19-29,1992,Basic_incomplete,West_Germany,2
211,Poorly,19-29,1992,Basic,West_Germany,68
212,Poorly,19-29,1992,Medium,West_Germany,101
213,Poorly,19-29,1992,Upper_medium,West_Germany,17
214,Poorly,19-29,1992,Intensive,West_Germany,100
215,Poorly,19-29,1992,Basic_incomplete,East_Germany,1
216,Poorly,19-29,1992,Basic,East_Germany,8
217,Poorly,19-29,1992,Medium,East_Germany,58
218,Poorly,19-29,1992,Upper_medium,East_Germany,1
219,Poorly,19-29,1992,Intensive,East_Germany,13
220,Well,19-29,1992,Basic_incomplete,West_Germany,3
221,Well,19-29,1992,Basic,West_Germany,40
222,Well,19-29,1992,Medium,West_Germany,48
223,Well,19-29,1992,Upper_medium,West_Germany,3
224,Well,19-29,1992,Intensive,West_Germany,29
225,Well,19-29,1992,Basic_incomplete,East_Germany,1
226,Well,19-29,1992,Basic,East_Germany,8
227,Well,19-29,1992,Medium,East_Germany,68
228,Well,19-29,1992,Upper_medium,East_Germany,2
229,Well,19-29,1992,Intensive,East_Germany,16
230,Very_well,19-29,1992,Basic_incomplete,West_Germany,0
231,Very_well,19-29,1992,Basic,West_Germany,6
232,Very_well,19-29,1992,Medium,West_Germany,8
233,Very_well,19-29,1992,Upper_medium,West_Germany,2
234,Very_well,19-29,1992,Intensive,West_Germany,1
235,Very_well,19-29,1992,Basic_incomplete,East_Germany,0
236,Very_well,19-29,1992,Basic,East_Germany,1
237,Very_well,19-29,1992,Medium,East_Germany,13
238,Very_well,19-29,1992,Upper_medium,East_Germany,0
239,Very_well,19-29,1992,Intensive,East_Germany,1
240,Very_poorly,30-44,1992,Basic_incomplete,West_Germany,0
241,Very_poorly,30-44,1992,Basic,West_Germany,10
242,Very_poorly,30-44,1992,Medium,West_Germany,7
243,Very_poorly,30-44,1992,Upper_medium,West_Germany,4
244,Very_poorly,30-44,1992,Intensive,West_Germany,8
245,Very_poorly,30-44,1992,Basic_incomplete,East_Germany,0
246,Very_poorly,30-44,1992,Basic,East_Germany,0
247,Very_poorly,30-44,1992,Medium,East_Germany,0
248,Very_poorly,30-44,1992,Upper_medium,East_Germany,0
249,Very_poorly,30-44,1992,Intensive,East_Germany,1
250,Poorly,30-44,1992,Basic_incomplete,West_Germany,4
251,Poorly,30-44,1992,Basic,West_Germany,186
252,Poorly,30-44,1992,Medium,West_Germany,100
253,Poorly,30-44,1992,Upper_medium,West_Germany,47
254,Poorly,30-44,1992,Intensive,West_Germany,99
255,Poorly,30-44,1992,Basic_incomplete,East_Germany,0
256,Poorly,30-44,1992,Basic,East_Germany,28
257,Poorly,30-44,1992,Medium,East_Germany,104
258,Poorly,30-44,1992,Upper_medium,East_Germany,5
259,Poorly,30-44,1992,Intensive,East_Germany,26
260,Well,30-44,1992,Basic_incomplete,West_Germany,6
261,Well,30-44,1992,Basic,West_Germany,102
262,Well,30-44,1992,Medium,West_Germany,67
263,Well,30-44,1992,Upper_medium,West_Germany,10
264,Well,30-44,1992,Intensive,West_Germany,25
265,Well,30-44,1992,Basic_incomplete,East_Germany,1
266,Well,30-44,1992,Basic,East_Germany,22
267,Well,30-44,1992,Medium,East_Germany,86
268,Well,30-44,1992,Upper_medium,East_Germany,3
269,Well,30-44,1992,Intensive,East_Germany,38
270,Very_well,30-44,1992,Basic_incomplete,West_Germany,1
271,Very_well,30-44,1992,Basic,West_Germany,14
272,Very_well,30-44,1992,Medium,West_Germany,5
273,Very_well,30-44,1992,Upper_medium,West_Germany,0
274,Very_well,30-44,1992,Intensive,West_Germany,3
275,Very_well,30-44,1992,Basic_incomplete,East_Germany,1
276,Very_well,30-44,1992,Basic,East_Germany,2
277,Very_well,30-44,1992,Medium,East_Germany,13
278,Very_well,30-44,1992,Upper_medium,East_Germany,3
279,Very_well,30-44,1992,Intensive,East_Germany,3
280,Very_poorly,45-59,1992,Basic_incomplete,West_Germany,1
281,Very_poorly,45-59,1992,Basic,West_Germany,19
282,Very_poorly,45-59,1992,Medium,West_Germany,11
283,Very_poorly,45-59,1992,Upper_medium,West_Germany,2
284,Very_poorly,45-59,1992,Intensive,West_Germany,9
285,Very_poorly,45-59,1992,Basic_incomplete,East_Germany,1
286,Very_poorly,45-59,1992,Basic,East_Germany,2
287,Very_poorly,45-59,1992,Medium,East_Germany,0
288,Very_poorly,45-59,1992,Upper_medium,East_Germany,1
289,Very_poorly,45-59,1992,Intensive,East_Germany,0
290,Poorly,45-59,1992,Basic_incomplete,West_Germany,2
291,Poorly,45-59,1992,Basic,West_Germany,182
292,Poorly,45-59,1992,Medium,West_Germany,76
293,Poorly,45-59,1992,Upper_medium,West_Germany,17
294,Poorly,45-59,1992,Intensive,West_Germany,42
295,Poorly,45-59,1992,Basic_incomplete,East_Germany,2
296,Poorly,45-59,1992,Basic,East_Germany,89
297,Poorly,45-59,1992,Medium,East_Germany,25
298,Poorly,45-59,1992,Upper_medium,East_Germany,14
299,Poorly,45-59,1992,Intensive,East_Germany,30
300,Well,45-59,1992,Basic_incomplete,West_Germany,6
301,Well,45-59,1992,Basic,West_Germany,102
302,Well,45-59,1992,Medium,West_Germany,24
303,Well,45-59,1992,Upper_medium,West_Germany,6
304,Well,45-59,1992,Intensive,West_Germany,13
305,Well,45-59,1992,Basic_incomplete,East_Germany,3
306,Well,45-59,1992,Basic,East_Germany,74
307,Well,45-59,1992,Medium,East_Germany,27
308,Well,45-59,1992,Upper_medium,East_Germany,14
309,Well,45-59,1992,Intensive,East_Germany,7
310,Very_well,45-59,1992,Basic_incomplete,West_Germany,0
311,Very_well,45-59,1992,Basic,West_Germany,11
312,Very_well,45-59,1992,Medium,West_Germany,3
313,Very_well,45-59,1992,Upper_medium,West_Germany,1
314,Very_well,45-59,1992,Intensive,West_Germany,1
315,Very_well,45-59,1992,Basic_incomplete,East_Germany,3
316,Very_well,45-59,1992,Basic,East_Germany,13
317,Very_well,45-59,1992,Medium,East_Germany,3
318,Very_well,45-59,1992,Upper_medium,East_Germany,2
319,Very_well,45-59,1992,Intensive,East_Germany,1
320,Very_poorly,60-74,1992,Basic_incomplete,West_Germany,1
321,Very_poorly,60-74,1992,Basic,West_Germany,11
322,Very_poorly,60-74,1992,Medium,West_Germany,7
323,Very_poorly,60-74,1992,Upper_medium,West_Germany,0
324,Very_poorly,60-74,1992,Intensive,West_Germany,4
325,Very_poorly,60-74,1992,Basic_incomplete,East_Germany,0
326,Very_poorly,60-74,1992,Basic,East_Germany,0
327,Very_poorly,60-74,1992,Medium,East_Germany,0
328,Very_poorly,60-74,1992,Upper_medium,East_Germany,1
329,Very_poorly,60-74,1992,Intensive,East_Germany,0
330,Poorly,60-74,1992,Basic_incomplete,West_Germany,4
331,Poorly,60-74,1992,Basic,West_Germany,177
332,Poorly,60-74,1992,Medium,West_Germany,57
333,Poorly,60-74,1992,Upper_medium,West_Germany,9
334,Poorly,60-74,1992,Intensive,West_Germany,26
335,Poorly,60-74,1992,Basic_incomplete,East_Germany,1
336,Poorly,60-74,1992,Basic,East_Germany,62
337,Poorly,60-74,1992,Medium,East_Germany,16
338,Poorly,60-74,1992,Upper_medium,East_Germany,3
339,Poorly,60-74,1992,Intensive,East_Germany,7
340,Well,60-74,1992,Basic_incomplete,West_Germany,5
341,Well,60-74,1992,Basic,West_Germany,82
342,Well,60-74,1992,Medium,West_Germany,10
343,Well,60-74,1992,Upper_medium,West_Germany,1
344,Well,60-74,1992,Intensive,West_Germany,6
345,Well,60-74,1992,Basic_incomplete,East_Germany,2
346,Well,60-74,1992,Basic,East_Germany,46
347,Well,60-74,1992,Medium,East_Germany,9
348,Well,60-74,1992,Upper_medium,East_Germany,5
349,Well,60-74,1992,Intensive,East_Germany,6
350,Very_well,60-74,1992,Basic_incomplete,West_Germany,0
351,Very_well,60-74,1992,Basic,West_Germany,21
352,Very_well,60-74,1992,Medium,West_Germany,5
353,Very_well,60-74,1992,Upper_medium,West_Germany,0
354,Very_well,60-74,1992,Intensive,West_Germany,3
355,Very_well,60-74,1992,Basic_incomplete,East_Germany,1
356,Very_well,60-74,1992,Basic,East_Germany,5
357,Very_well,60-74,1992,Medium,East_Germany,1
358,Very_well,60-74,1992,Upper_medium,East_Germany,0
359,Very_well,60-74,1992,Intensive,East_Germany,2
360,Very_poorly,75+,1992,Basic_incomplete,West_Germany,0
361,Very_poorly,75+,1992,Basic,West_Germany,12
362,Very_poorly,75+,1992,Medium,West_Germany,2
363,Very_poorly,75+,1992,Upper_medium,West_Germany,0
364,Very_poorly,75+,1992,Intensive,West_Germany,1
365,Very_poorly,75+,1992,Basic_incomplete,East_Germany,0
366,Very_poorly,75+,1992,Basic,East_Germany,3
367,Very_poorly,75+,1992,Medium,East_Germany,0
368,Very_poorly,75+,1992,Upper_medium,East_Germany,0
369,Very_poorly,75+,1992,Intensive,East_Germany,0
370,Poorly,75+,1992,Basic_incomplete,West_Germany,3
371,Poorly,75+,1992,Basic,West_Germany,51
372,Poorly,75+,1992,Medium,West_Germany,16
373,Poorly,75+,1992,Upper_medium,West_Germany,1
374,Poorly,75+,1992,Intensive,West_Germany,6
375,Poorly,75+,1992,Basic_incomplete,East_Germany,0
376,Poorly,75+,1992,Basic,East_Germany,18
377,Poorly,75+,1992,Medium,East_Germany,4
378,Poorly,75+,1992,Upper_medium,East_Germany,1
379,Poorly,75+,1992,Intensive,East_Germany,0
380,Well,75+,1992,Basic_incomplete,West_Germany,1
381,Well,75+,1992,Basic,West_Germany,22
382,Well,75+,1992,Medium,West_Germany,6
383,Well,75+,1992,Upper_medium,West_Germany,1
384,Well,75+,1992,Intensive,West_Germany,4
385,Well,75+,1992,Basic_incomplete,East_Germany,0
386,Well,75+,1992,Basic,East_Germany,14
387,Well,75+,1992,Medium,East_Germany,1
388,Well,75+,1992,Upper_medium,East_Germany,1
389,Well,75+,1992,Intensive,East_Germany,0
390,Very_well,75+,1992,Basic_incomplete,West_Germany,0
391,Very_well,75+,1992,Basic,West_Germany,7
392,Very_well,75+,1992,Medium,West_Germany,1
393,Very_well,75+,1992,Upper_medium,West_Germany,0
394,Very_well,75+,1992,Intensive,West_Germany,0
395,Very_well,75+,1992,Basic_incomplete,East_Germany,0
396,Very_well,75+,1992,Basic,East_Germany,0
397,Very_well,75+,1992,Medium,East_Germany,0
398,Very_well,75+,1992,Upper_medium,East_Germany,0
399,Very_well,75+,1992,Intensive,East_Germany,0
