d3mIndex,Show,Type,Revival,NYT_rating,DN_rating,Week_1_attendance,Award,Count
60,Forever_Tango,Musical_revue,No,2.66667,4.0,76.97,No_nomination,6
61,Forever_Tango,Musical_revue,No,2.66667,4.0,76.97,Losing_nomination,0
62,Forever_Tango,Musical_revue,No,2.66667,4.0,76.97,Win,0
63,Fosse!,Musical_revue,No,3.0,4.0,97.24,No_nomination,1
64,Fosse!,Musical_revue,No,3.0,4.0,97.24,Losing_nomination,4
65,Fosse!,Musical_revue,No,3.0,4.0,97.24,Win,1
66,Getting_and_Spending,Play,No,1.66667,1.66667,30.83,No_nomination,6
67,Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Losing_nomination,0
68,Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Win,0
69,God_Said_Ha!,Play,No,4.66667,2.33333,50.1,No_nomination,6
70,God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Losing_nomination,0
71,God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Win,0
72,Golden_Child,Play,No,2.0,1.66667,40.04,No_nomination,4
73,Golden_Child,Play,No,2.0,1.66667,40.04,Losing_nomination,2
74,Golden_Child,Play,No,2.0,1.66667,40.04,Win,0
75,High_Society,Musical,No,1.66667,2.0,64.87,No_nomination,4
76,High_Society,Musical,No,1.66667,2.0,64.87,Losing_nomination,2
77,High_Society,Musical,No,1.66667,2.0,64.87,Win,0
78,Honour,Play,No,3.33333,3.33333,46.75,No_nomination,4
79,Honour,Play,No,3.33333,3.33333,46.75,Losing_nomination,2
80,Honour,Play,No,3.33333,3.33333,46.75,Win,0
81,Hughie,Play,Yes,4.0,2.0,101.58,No_nomination,6
82,Hughie,Play,Yes,4.0,2.0,101.58,Losing_nomination,0
83,Hughie,Play,Yes,4.0,2.0,101.58,Win,0
84,Into_the_Whirlwind,Play,No,,,,No_nomination,6
85,Into_the_Whirlwind,Play,No,,,,Losing_nomination,0
86,Into_the_Whirlwind,Play,No,,,,Win,0
87,It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,No_nomination,3
88,It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Losing_nomination,3
89,It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Win,0
90,Ivanov,Play,Yes,4.0,1.66667,92.1,No_nomination,5
91,Ivanov,Play,Yes,4.0,1.66667,92.1,Losing_nomination,1
92,Ivanov,Play,Yes,4.0,1.66667,92.1,Win,0
93,Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,No_nomination,6
94,Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Losing_nomination,0
95,Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Win,0
96,Jekyll_and_Hyde,Musical,No,1.66667,4.0,67.76,No_nomination,5
97,Jekyll_and_Hyde,Musical,No,1.66667,4.0,67.76,Losing_nomination,1
98,Jekyll_and_Hyde,Musical,No,1.66667,4.0,67.76,Win,0
99,Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4.0,50.76,No_nomination,4
100,Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4.0,50.76,Losing_nomination,2
101,Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4.0,50.76,Win,0
102,King_David,Musical,No,2.0,2.33333,68.75,No_nomination,6
103,King_David,Musical,No,2.0,2.33333,68.75,Losing_nomination,0
104,King_David,Musical,No,2.0,2.33333,68.75,Win,0
105,Little_Me,Musical,Yes,3.0,2.66667,90.61,No_nomination,4
106,Little_Me,Musical,Yes,3.0,2.66667,90.61,Losing_nomination,1
107,Little_Me,Musical,Yes,3.0,2.66667,90.61,Win,1
108,London_Assurance,Play,Yes,4.66667,5.0,95.54,No_nomination,3
109,London_Assurance,Play,Yes,4.66667,5.0,95.54,Losing_nomination,3
110,London_Assurance,Play,Yes,4.66667,5.0,95.54,Win,0
111,Marlene,Musical,No,1.66667,2.0,56.26,No_nomination,5
112,Marlene,Musical,No,1.66667,2.0,56.26,Losing_nomination,1
113,Marlene,Musical,No,1.66667,2.0,56.26,Win,0
114,More_to_Love,Play,No,1.33333,2.0,,No_nomination,6
115,More_to_Love,Play,No,1.33333,2.0,,Losing_nomination,0
116,More_to_Love,Play,No,1.33333,2.0,,Win,0
117,Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,No_nomination,6
118,Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,Losing_nomination,0
119,Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,Win,0
120,Not_About_Nightingales,Play,No,4.33333,4.0,81.77,No_nomination,2
121,Not_About_Nightingales,Play,No,4.33333,4.0,81.77,Losing_nomination,4
122,Not_About_Nightingales,Play,No,4.33333,4.0,81.77,Win,0
123,On_the_Town,Musical,Yes,1.66667,1.66667,77.31,No_nomination,5
124,On_the_Town,Musical,Yes,1.66667,1.66667,77.31,Losing_nomination,1
125,On_the_Town,Musical,Yes,1.66667,1.66667,77.31,Win,0
126,Once_Upon_a_Mattress,Musical,Yes,2.0,3.33333,91.71,No_nomination,5
127,Once_Upon_a_Mattress,Musical,Yes,2.0,3.33333,91.71,Losing_nomination,1
128,Once_Upon_a_Mattress,Musical,Yes,2.0,3.33333,91.71,Win,0
129,Parade,Musical,No,2.0,4.66667,62.87,No_nomination,2
130,Parade,Musical,No,2.0,4.66667,62.87,Losing_nomination,4
131,Parade,Musical,No,2.0,4.66667,62.87,Win,0
132,Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,No_nomination,5
133,Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,Losing_nomination,1
134,Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,Win,0
135,Play_On!,Musical,No,2.33333,2.66667,79.9,No_nomination,4
136,Play_On!,Musical,No,2.33333,2.66667,79.9,Losing_nomination,2
137,Play_On!,Musical,No,2.33333,2.66667,79.9,Win,0
138,Present_Laughter,Play,Yes,3.0,2.0,83.33,No_nomination,5
139,Present_Laughter,Play,Yes,3.0,2.0,83.33,Losing_nomination,1
140,Present_Laughter,Play,Yes,3.0,2.0,83.33,Win,0
141,Proposals,Play,No,2.0,3.0,56.94,No_nomination,6
142,Proposals,Play,No,2.0,3.0,56.94,Losing_nomination,0
143,Proposals,Play,No,2.0,3.0,56.94,Win,0
144,Ragtime,Musical,No,3.0,5.0,90.97,No_nomination,0
145,Ragtime,Musical,No,3.0,5.0,90.97,Losing_nomination,5
146,Ragtime,Musical,No,3.0,5.0,90.97,Win,1
147,Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,No_nomination,5
148,Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,Losing_nomination,1
149,Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,Win,0
150,Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,No_nomination,6
151,Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,Losing_nomination,0
152,Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,Win,0
153,Sex_and_Longing,Play,No,2.66667,1.0,87.56,No_nomination,6
154,Sex_and_Longing,Play,No,2.66667,1.0,87.56,Losing_nomination,0
155,Sex_and_Longing,Play,No,2.66667,1.0,87.56,Win,0
156,Side_Man,Play,No,4.66667,5.0,92.41,No_nomination,4
157,Side_Man,Play,No,4.66667,5.0,92.41,Losing_nomination,0
158,Side_Man,Play,No,4.66667,5.0,92.41,Win,2
159,Side_Show,Musical,No,4.33333,2.33333,61.93,No_nomination,4
160,Side_Show,Musical,No,4.33333,2.33333,61.93,Losing_nomination,2
161,Side_Show,Musical,No,4.33333,2.33333,61.93,Win,0
162,Skylight,Play,No,4.66667,4.66667,96.89,No_nomination,2
163,Skylight,Play,No,4.66667,4.66667,96.89,Losing_nomination,4
164,Skylight,Play,No,4.66667,4.66667,96.89,Win,0
165,Stanley,Play,No,3.66667,2.33333,96.65,No_nomination,3
166,Stanley,Play,No,3.66667,2.33333,96.65,Losing_nomination,3
167,Stanley,Play,No,3.66667,2.33333,96.65,Win,0
168,Steel_Pier,Musical,No,1.66667,2.0,82.31,No_nomination,0
169,Steel_Pier,Musical,No,1.66667,2.0,82.31,Losing_nomination,6
170,Steel_Pier,Musical,No,1.66667,2.0,82.31,Win,0
171,Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,No_nomination,6
172,Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,Losing_nomination,0
173,Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,Win,0
174,Summer_and_Smoke,Play,Yes,1.0,,96.69,No_nomination,6
175,Summer_and_Smoke,Play,Yes,1.0,,96.69,Losing_nomination,0
176,Summer_and_Smoke,Play,Yes,1.0,,96.69,Win,0
177,Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,No_nomination,4
178,Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,Losing_nomination,1
179,Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,Win,1
180,Taking_Sides,Play,No,2.0,4.0,80.88,No_nomination,6
181,Taking_Sides,Play,No,2.0,4.0,80.88,Losing_nomination,0
182,Taking_Sides,Play,No,2.0,4.0,80.88,Win,0
183,The_Beauty_Queen_of_Leenane,Play,No,5.0,5.0,87.23,No_nomination,0
184,The_Beauty_Queen_of_Leenane,Play,No,5.0,5.0,87.23,Losing_nomination,2
185,The_Beauty_Queen_of_Leenane,Play,No,5.0,5.0,87.23,Win,4
186,The_Blue_Room,Play,No,3.0,5.0,97.29,No_nomination,6
187,The_Blue_Room,Play,No,3.0,5.0,97.29,Losing_nomination,0
188,The_Blue_Room,Play,No,3.0,5.0,97.29,Win,0
189,The_Capeman,Musical,No,1.66667,2.33333,70.36,No_nomination,6
190,The_Capeman,Musical,No,1.66667,2.33333,70.36,Losing_nomination,0
191,The_Capeman,Musical,No,1.66667,2.33333,70.36,Win,0
192,The_Chairs,Play,Yes,5.0,4.66667,65.22,No_nomination,2
193,The_Chairs,Play,Yes,5.0,4.66667,65.22,Losing_nomination,4
194,The_Chairs,Play,Yes,5.0,4.66667,65.22,Win,0
195,The_Cherry_Orchard,Play,Yes,5.0,5.0,60.0,No_nomination,6
196,The_Cherry_Orchard,Play,Yes,5.0,5.0,60.0,Losing_nomination,0
197,The_Cherry_Orchard,Play,Yes,5.0,5.0,60.0,Win,0
198,The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,No_nomination,5
199,The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,Losing_nomination,1
200,The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,Win,0
201,The_Deep_Blue_Sea,Play,Yes,2.0,2.0,88.2,No_nomination,6
202,The_Deep_Blue_Sea,Play,Yes,2.0,2.0,88.2,Losing_nomination,0
203,The_Deep_Blue_Sea,Play,Yes,2.0,2.0,88.2,Win,0
204,The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,No_nomination,4
205,The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,Losing_nomination,2
206,The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,Win,0
207,The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1.0,1.66667,60.59,No_nomination,6
208,The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1.0,1.66667,60.59,Losing_nomination,0
209,The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1.0,1.66667,60.59,Win,0
210,The_Gin_Game,Play,Yes,4.66667,5.0,71.9,No_nomination,3
211,The_Gin_Game,Play,Yes,4.66667,5.0,71.9,Losing_nomination,3
212,The_Gin_Game,Play,Yes,4.66667,5.0,71.9,Win,0
213,The_Herbal_Bed,Play,No,2.0,1.66667,29.35,No_nomination,6
214,The_Herbal_Bed,Play,No,2.0,1.66667,29.35,Losing_nomination,0
215,The_Herbal_Bed,Play,No,2.0,1.66667,29.35,Win,0
216,The_Iceman_Cometh,Play,Yes,4.0,5.0,99.94,No_nomination,3
217,The_Iceman_Cometh,Play,Yes,4.0,5.0,99.94,Losing_nomination,3
218,The_Iceman_Cometh,Play,Yes,4.0,5.0,99.94,Win,0
219,The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,No_nomination,6
220,The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,Losing_nomination,0
221,The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,Win,0
222,The_Last_Night_of_Ballyhoo,Play,No,3.0,4.33333,81.39,No_nomination,2
223,The_Last_Night_of_Ballyhoo,Play,No,3.0,4.33333,81.39,Losing_nomination,3
224,The_Last_Night_of_Ballyhoo,Play,No,3.0,4.33333,81.39,Win,1
225,The_Life,Musical,No,2.33333,2.0,44.08,No_nomination,0
226,The_Life,Musical,No,2.33333,2.0,44.08,Losing_nomination,4
227,The_Life,Musical,No,2.33333,2.0,44.08,Win,2
228,The_Lion_in_Winter,Play,Yes,2.0,1.66667,92.21,No_nomination,5
229,The_Lion_in_Winter,Play,Yes,2.0,1.66667,92.21,Losing_nomination,1
230,The_Lion_in_Winter,Play,Yes,2.0,1.66667,92.21,Win,0
231,The_Lion_King,Musical,No,3.33333,5.0,96.63,No_nomination,2
232,The_Lion_King,Musical,No,3.33333,5.0,96.63,Losing_nomination,2
233,The_Lion_King,Musical,No,3.33333,5.0,96.63,Win,2
234,The_Little_Foxes,Play,Yes,1.66667,2.0,74.4,No_nomination,5
235,The_Little_Foxes,Play,Yes,1.66667,2.0,74.4,Losing_nomination,1
236,The_Little_Foxes,Play,Yes,1.66667,2.0,74.4,Win,0
237,The_Lonesome_West,Play,No,2.66667,5.0,42.33,No_nomination,2
238,The_Lonesome_West,Play,No,2.66667,5.0,42.33,Losing_nomination,4
239,The_Lonesome_West,Play,No,2.66667,5.0,42.33,Win,0
240,The_Old_Neighborhood,Play,No,5.0,3.0,83.91,No_nomination,6
241,The_Old_Neighborhood,Play,No,5.0,3.0,83.91,Losing_nomination,0
242,The_Old_Neighborhood,Play,No,5.0,3.0,83.91,Win,0
243,The_Rehearsal,Play,Yes,2.0,1.33333,73.85,No_nomination,6
244,The_Rehearsal,Play,Yes,2.0,1.33333,73.85,Losing_nomination,0
245,The_Rehearsal,Play,Yes,2.0,1.33333,73.85,Win,0
246,The_Scarlet_Pimpernel,Musical,No,2.0,2.66667,92.78,No_nomination,4
247,The_Scarlet_Pimpernel,Musical,No,2.0,2.66667,92.78,Losing_nomination,2
248,The_Scarlet_Pimpernel,Musical,No,2.0,2.66667,92.78,Win,0
249,The_Sound_of_Music,Musical,Yes,2.66667,2.0,87.43,No_nomination,5
250,The_Sound_of_Music,Musical,Yes,2.66667,2.0,87.43,Losing_nomination,1
251,The_Sound_of_Music,Musical,Yes,2.66667,2.0,87.43,Win,0
252,The_Sunshine_Boys,Play,Yes,4.33333,5.0,65.21,No_nomination,6
253,The_Sunshine_Boys,Play,Yes,4.33333,5.0,65.21,Losing_nomination,0
254,The_Sunshine_Boys,Play,Yes,4.33333,5.0,65.21,Win,0
255,The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,No_nomination,6
256,The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,Losing_nomination,0
257,The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,Win,0
258,The_Three_Sisters_(2),Play,Yes,3.0,1.66667,100.0,No_nomination,6
259,The_Three_Sisters_(2),Play,Yes,3.0,1.66667,100.0,Losing_nomination,0
260,The_Three_Sisters_(2),Play,Yes,3.0,1.66667,100.0,Win,0
261,The_Weir,Play,No,5.0,4.66667,91.91,No_nomination,6
262,The_Weir,Play,No,5.0,4.66667,91.91,Losing_nomination,0
263,The_Weir,Play,No,5.0,4.66667,91.91,Win,0
264,The_Young_Man_From_Atlanta,Play,No,3.33333,5.0,56.99,No_nomination,3
265,The_Young_Man_From_Atlanta,Play,No,3.33333,5.0,56.99,Losing_nomination,3
266,The_Young_Man_From_Atlanta,Play,No,3.33333,5.0,56.99,Win,0
267,Titanic,Musical,No,2.0,3.0,71.26,No_nomination,5
268,Titanic,Musical,No,2.0,3.0,71.26,Losing_nomination,0
269,Titanic,Musical,No,2.0,3.0,71.26,Win,1
270,Triumph_of_Love,Musical,No,2.0,4.33333,77.28,No_nomination,5
271,Triumph_of_Love,Musical,No,2.0,4.33333,77.28,Losing_nomination,1
272,Triumph_of_Love,Musical,No,2.0,4.33333,77.28,Win,0
273,Twelfth_Night,Play,Yes,3.0,5.0,97.47,No_nomination,5
274,Twelfth_Night,Play,Yes,3.0,5.0,97.47,Losing_nomination,1
275,Twelfth_Night,Play,Yes,3.0,5.0,97.47,Win,0
276,Wait_Until_Dark,Play,Yes,1.66667,1.0,92.44,No_nomination,6
277,Wait_Until_Dark,Play,Yes,1.66667,1.0,92.44,Losing_nomination,0
278,Wait_Until_Dark,Play,Yes,1.66667,1.0,92.44,Win,0
279,Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2.0,2.0,54.05,No_nomination,2
280,Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2.0,2.0,54.05,Losing_nomination,2
281,Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2.0,2.0,54.05,Win,2
282,1776,Musical,Yes,4.33333,5.0,99.15,No_nomination,3
283,1776,Musical,Yes,4.33333,5.0,99.15,Losing_nomination,3
284,1776,Musical,Yes,4.33333,5.0,99.15,Win,0
