d3mIndex,in1,in2,in3,in4,out1
81,6.0,5.0,6.0,6.0,6.0
82,7.0,6.0,6.0,7.0,7.0
83,6.0,7.0,7.0,6.0,6.0
84,6.0,7.0,7.0,6.0,7.0
85,8.0,8.0,6.0,7.0,8.0
86,4.0,5.0,3.0,4.0,3.0
87,6.0,7.0,5.0,4.0,5.0
88,8.0,8.0,5.0,6.0,7.0
89,8.0,7.0,8.0,7.0,7.0
90,5.0,5.0,6.0,6.0,6.0
91,6.0,6.0,6.0,6.0,6.0
92,6.0,4.0,5.0,6.0,6.0
93,7.0,6.0,6.0,6.0,7.0
94,6.0,6.0,5.0,5.0,5.0
95,8.0,7.0,7.0,6.0,7.0
96,3.0,3.0,4.0,5.0,4.0
97,7.0,5.0,5.0,6.0,6.0
98,6.0,6.0,3.0,5.0,4.0
99,5.0,8.0,6.0,6.0,6.0
100,5.0,3.0,6.0,7.0,6.0
101,7.0,6.0,7.0,6.0,7.0
102,6.0,5.0,5.0,5.0,5.0
103,3.0,2.0,2.0,6.0,1.0
104,7.0,6.0,5.0,6.0,5.0
105,8.0,6.0,7.0,7.0,8.0
106,4.0,3.0,4.0,4.0,4.0
107,7.0,7.0,7.0,7.0,9.0
108,7.0,7.0,7.0,7.0,7.0
109,9.0,8.0,6.0,5.0,7.0
110,6.0,4.0,6.0,6.0,5.0
111,7.0,7.0,7.0,7.0,8.0
112,4.0,5.0,4.0,5.0,4.0
113,6.0,6.0,6.0,6.0,6.0
114,6.0,6.0,5.0,5.0,5.0
115,6.0,5.0,7.0,6.0,6.0
116,7.0,6.0,6.0,6.0,6.0
117,7.0,7.0,6.0,5.0,6.0
118,5.0,5.0,6.0,6.0,6.0
119,7.0,6.0,6.0,5.0,6.0
120,7.0,7.0,7.0,6.0,7.0
121,5.0,4.0,5.0,6.0,4.0
122,5.0,4.0,3.0,2.0,1.0
123,5.0,5.0,5.0,6.0,5.0
124,6.0,5.0,5.0,6.0,5.0
125,4.0,3.0,3.0,4.0,3.0
126,4.0,3.0,5.0,6.0,4.0
127,6.0,5.0,6.0,6.0,6.0
128,4.0,2.0,3.0,4.0,3.0
129,6.0,5.0,6.0,5.0,6.0
130,6.0,5.0,6.0,6.0,6.0
131,6.0,7.0,7.0,7.0,7.0
132,2.0,3.0,5.0,4.0,3.0
133,4.0,6.0,4.0,5.0,4.0
134,6.0,6.0,7.0,6.0,6.0
135,3.0,3.0,4.0,4.0,3.0
136,4.0,6.0,5.0,4.0,4.0
137,5.0,3.0,5.0,7.0,5.0
138,6.0,4.0,5.0,6.0,5.0
139,3.0,3.0,4.0,5.0,4.0
140,2.0,2.0,4.0,6.0,4.0
141,8.0,8.0,7.0,6.0,7.0
142,8.0,8.0,7.0,6.0,8.0
143,6.0,6.0,6.0,6.0,6.0
144,7.0,7.0,6.0,6.0,6.0
145,6.0,6.0,6.0,6.0,6.0
146,7.0,5.0,5.0,5.0,5.0
147,5.0,5.0,4.0,4.0,4.0
148,5.0,5.0,6.0,7.0,6.0
149,6.0,6.0,5.0,5.0,5.0
150,5.0,6.0,4.0,5.0,4.0
151,3.0,3.0,3.0,5.0,3.0
152,3.0,3.0,4.0,5.0,4.0
153,4.0,3.0,4.0,5.0,4.0
154,6.0,5.0,5.0,5.0,4.0
155,6.0,5.0,5.0,6.0,6.0
156,4.0,4.0,5.0,6.0,5.0
157,6.0,5.0,6.0,6.0,6.0
158,6.0,6.0,6.0,6.0,7.0
159,5.0,4.0,5.0,5.0,4.0
160,5.0,6.0,6.0,6.0,6.0
161,6.0,6.0,6.0,7.0,8.0
162,5.0,5.0,4.0,4.0,4.0
163,6.0,6.0,7.0,6.0,6.0
164,6.0,7.0,6.0,6.0,6.0
165,5.0,3.0,5.0,6.0,5.0
166,4.0,4.0,6.0,6.0,5.0
167,8.0,8.0,6.0,6.0,8.0
168,7.0,9.0,6.0,5.0,6.0
169,4.0,5.0,5.0,5.0,4.0
170,5.0,4.0,6.0,6.0,6.0
171,4.0,3.0,5.0,5.0,4.0
172,6.0,4.0,6.0,6.0,6.0
173,6.0,5.0,6.0,6.0,6.0
174,6.0,5.0,4.0,5.0,4.0
175,5.0,3.0,6.0,6.0,5.0
176,6.0,5.0,6.0,7.0,6.0
177,4.0,5.0,5.0,4.0,4.0
178,6.0,5.0,6.0,6.0,6.0
179,8.0,8.0,7.0,7.0,8.0
180,5.0,6.0,5.0,5.0,5.0
181,8.0,7.0,8.0,7.0,8.0
182,6.0,6.0,6.0,6.0,6.0
183,7.0,5.0,6.0,7.0,7.0
184,5.0,4.0,5.0,5.0,4.0
185,6.0,5.0,5.0,6.0,5.0
186,5.0,5.0,5.0,5.0,5.0
187,3.0,1.0,4.0,4.0,3.0
188,6.0,7.0,7.0,6.0,7.0
189,3.0,4.0,4.0,5.0,4.0
190,4.0,4.0,5.0,6.0,5.0
191,5.0,3.0,5.0,6.0,4.0
192,8.0,8.0,6.0,4.0,4.0
193,6.0,5.0,5.0,5.0,5.0
194,5.0,4.0,6.0,5.0,5.0
195,8.0,5.0,7.0,7.0,7.0
196,8.0,7.0,7.0,7.0,8.0
197,4.0,2.0,3.0,4.0,2.0
198,5.0,5.0,5.0,5.0,5.0
199,2.0,2.0,2.0,4.0,2.0
200,5.0,3.0,6.0,6.0,5.0
201,3.0,3.0,3.0,5.0,3.0
202,4.0,4.0,3.0,3.0,3.0
203,8.0,6.0,7.0,6.0,8.0
204,7.0,6.0,7.0,6.0,7.0
205,7.0,5.0,5.0,6.0,6.0
206,6.0,4.0,6.0,6.0,6.0
207,6.0,4.0,3.0,5.0,4.0
208,8.0,5.0,7.0,6.0,8.0
209,9.0,6.0,7.0,8.0,9.0
210,6.0,7.0,7.0,6.0,6.0
211,3.0,3.0,3.0,5.0,3.0
212,5.0,5.0,6.0,5.0,5.0
213,6.0,7.0,6.0,6.0,6.0
214,7.0,6.0,6.0,5.0,6.0
215,8.0,7.0,8.0,7.0,9.0
216,5.0,6.0,7.0,6.0,6.0
217,6.0,5.0,5.0,5.0,5.0
218,3.0,4.0,6.0,5.0,4.0
219,5.0,3.0,4.0,5.0,4.0
220,4.0,5.0,6.0,6.0,5.0
221,4.0,3.0,4.0,5.0,4.0
222,2.0,3.0,3.0,6.0,4.0
223,8.0,8.0,7.0,8.0,9.0
224,6.0,6.0,5.0,5.0,5.0
225,4.0,3.0,5.0,5.0,4.0
226,6.0,6.0,7.0,6.0,6.0
227,7.0,8.0,6.0,6.0,8.0
228,5.0,4.0,4.0,5.0,4.0
229,4.0,3.0,5.0,5.0,3.0
230,4.0,3.0,4.0,5.0,4.0
231,8.0,7.0,6.0,7.0,7.0
232,5.0,4.0,5.0,6.0,5.0
233,5.0,5.0,5.0,5.0,5.0
234,6.0,6.0,6.0,7.0,6.0
235,4.0,3.0,4.0,6.0,4.0
236,6.0,5.0,5.0,6.0,5.0
237,4.0,4.0,5.0,6.0,5.0
238,5.0,5.0,6.0,6.0,6.0
239,7.0,7.0,7.0,5.0,6.0
240,5.0,4.0,4.0,5.0,5.0
241,4.0,3.0,3.0,4.0,3.0
242,3.0,3.0,5.0,5.0,4.0
243,6.0,7.0,6.0,5.0,6.0
244,5.0,4.0,5.0,5.0,5.0
245,8.0,5.0,6.0,5.0,6.0
246,2.0,3.0,3.0,3.0,2.0
247,6.0,5.0,4.0,4.0,3.0
248,5.0,5.0,4.0,5.0,5.0
249,4.0,3.0,5.0,6.0,4.0
250,4.0,4.0,5.0,6.0,5.0
251,7.0,7.0,6.0,6.0,6.0
252,2.0,2.0,3.0,4.0,2.0
253,5.0,4.0,5.0,6.0,4.0
254,7.0,8.0,6.0,7.0,7.0
255,5.0,4.0,5.0,5.0,4.0
256,3.0,3.0,4.0,4.0,4.0
257,4.0,4.0,5.0,6.0,5.0
258,8.0,7.0,6.0,6.0,6.0
259,8.0,4.0,5.0,5.0,4.0
260,5.0,6.0,6.0,7.0,7.0
261,7.0,5.0,6.0,6.0,6.0
262,5.0,4.0,5.0,5.0,5.0
263,5.0,4.0,4.0,5.0,4.0
264,7.0,6.0,6.0,6.0,6.0
265,5.0,4.0,5.0,6.0,5.0
266,5.0,5.0,5.0,6.0,5.0
267,8.0,7.0,6.0,6.0,6.0
268,6.0,5.0,6.0,7.0,7.0
269,6.0,7.0,7.0,7.0,7.0
270,2.0,2.0,3.0,4.0,2.0
271,4.0,2.0,4.0,5.0,3.0
272,5.0,5.0,5.0,6.0,5.0
273,7.0,6.0,7.0,4.0,5.0
274,4.0,3.0,5.0,6.0,4.0
275,3.0,5.0,5.0,5.0,4.0
276,6.0,3.0,4.0,5.0,3.0
277,5.0,5.0,4.0,4.0,3.0
278,4.0,4.0,5.0,4.0,3.0
279,6.0,6.0,7.0,7.0,7.0
280,6.0,6.0,6.0,5.0,5.0
281,8.0,8.0,7.0,6.0,7.0
282,6.0,5.0,5.0,6.0,5.0
283,7.0,6.0,6.0,7.0,7.0
284,7.0,6.0,7.0,6.0,7.0
285,8.0,6.0,7.0,7.0,8.0
286,7.0,6.0,6.0,7.0,8.0
287,6.0,6.0,6.0,5.0,5.0
288,3.0,4.0,5.0,4.0,4.0
289,5.0,6.0,5.0,5.0,5.0
290,5.0,6.0,6.0,6.0,6.0
291,4.0,2.0,5.0,6.0,4.0
292,6.0,6.0,7.0,7.0,6.0
293,6.0,5.0,7.0,7.0,6.0
294,6.0,7.0,6.0,7.0,7.0
295,4.0,4.0,4.0,5.0,4.0
296,5.0,4.0,5.0,5.0,4.0
297,4.0,4.0,4.0,5.0,4.0
298,6.0,5.0,5.0,5.0,5.0
299,7.0,4.0,4.0,5.0,3.0
300,6.0,6.0,7.0,7.0,7.0
301,8.0,5.0,6.0,6.0,7.0
302,2.0,1.0,4.0,4.0,2.0
303,5.0,6.0,5.0,5.0,5.0
304,5.0,6.0,6.0,6.0,6.0
305,6.0,5.0,6.0,5.0,5.0
306,4.0,4.0,5.0,7.0,5.0
307,7.0,6.0,6.0,6.0,6.0
308,4.0,6.0,4.0,4.0,4.0
309,6.0,7.0,6.0,6.0,6.0
310,6.0,5.0,5.0,6.0,6.0
311,4.0,5.0,6.0,7.0,5.0
312,6.0,5.0,4.0,4.0,4.0
313,4.0,4.0,4.0,4.0,4.0
314,5.0,5.0,6.0,6.0,6.0
315,5.0,6.0,6.0,6.0,6.0
316,5.0,6.0,5.0,6.0,6.0
317,4.0,5.0,3.0,5.0,3.0
318,8.0,7.0,8.0,7.0,8.0
319,4.0,6.0,5.0,4.0,4.0
320,5.0,4.0,4.0,5.0,4.0
321,5.0,6.0,5.0,6.0,5.0
322,4.0,3.0,4.0,5.0,3.0
323,7.0,7.0,7.0,6.0,6.0
324,8.0,6.0,6.0,5.0,5.0
325,7.0,5.0,5.0,6.0,6.0
326,5.0,4.0,5.0,6.0,5.0
327,5.0,5.0,4.0,5.0,4.0
328,5.0,6.0,6.0,6.0,6.0
329,6.0,6.0,7.0,7.0,7.0
330,6.0,7.0,6.0,6.0,6.0
331,7.0,6.0,6.0,6.0,6.0
332,6.0,5.0,5.0,6.0,5.0
333,6.0,6.0,5.0,5.0,5.0
334,5.0,4.0,5.0,6.0,5.0
335,4.0,5.0,4.0,5.0,3.0
336,5.0,5.0,5.0,5.0,5.0
337,8.0,6.0,6.0,5.0,6.0
338,4.0,4.0,6.0,6.0,5.0
339,5.0,5.0,6.0,7.0,6.0
340,6.0,7.0,7.0,6.0,6.0
341,5.0,5.0,6.0,5.0,5.0
342,7.0,7.0,7.0,7.0,7.0
343,4.0,6.0,5.0,5.0,5.0
344,8.0,6.0,6.0,6.0,6.0
345,9.0,7.0,7.0,7.0,8.0
346,7.0,6.0,6.0,7.0,7.0
347,4.0,5.0,5.0,4.0,4.0
348,6.0,6.0,7.0,7.0,7.0
349,5.0,4.0,5.0,5.0,5.0
350,6.0,6.0,5.0,5.0,5.0
351,5.0,5.0,6.0,6.0,6.0
352,7.0,7.0,7.0,6.0,5.0
353,6.0,3.0,4.0,5.0,3.0
354,5.0,5.0,6.0,5.0,5.0
355,5.0,6.0,6.0,7.0,6.0
356,6.0,5.0,5.0,6.0,6.0
357,6.0,8.0,5.0,5.0,7.0
358,4.0,3.0,5.0,5.0,4.0
359,8.0,6.0,6.0,5.0,6.0
360,3.0,4.0,6.0,6.0,5.0
361,5.0,4.0,5.0,6.0,5.0
362,7.0,5.0,5.0,7.0,6.0
363,9.0,8.0,6.0,7.0,7.0
364,6.0,6.0,6.0,6.0,6.0
365,5.0,6.0,7.0,6.0,6.0
366,6.0,5.0,4.0,4.0,4.0
367,7.0,5.0,6.0,6.0,6.0
368,5.0,6.0,5.0,7.0,6.0
369,4.0,3.0,6.0,6.0,5.0
370,4.0,4.0,5.0,6.0,4.0
371,5.0,5.0,5.0,6.0,5.0
372,3.0,3.0,4.0,5.0,4.0
373,5.0,7.0,6.0,6.0,6.0
374,6.0,6.0,6.0,6.0,6.0
375,7.0,6.0,6.0,7.0,7.0
376,3.0,4.0,4.0,5.0,4.0
377,5.0,4.0,4.0,5.0,4.0
378,6.0,6.0,6.0,6.0,6.0
379,4.0,4.0,4.0,6.0,4.0
380,4.0,2.0,5.0,5.0,3.0
381,8.0,7.0,6.0,7.0,7.0
382,8.0,7.0,6.0,6.0,6.0
383,6.0,6.0,6.0,7.0,7.0
384,6.0,5.0,6.0,6.0,6.0
385,5.0,6.0,6.0,6.0,6.0
386,5.0,5.0,6.0,6.0,6.0
387,6.0,7.0,7.0,7.0,7.0
388,5.0,2.0,6.0,6.0,5.0
389,7.0,6.0,6.0,6.0,6.0
390,4.0,4.0,6.0,7.0,6.0
391,6.0,6.0,5.0,6.0,5.0
392,5.0,4.0,4.0,5.0,4.0
393,8.0,7.0,6.0,6.0,7.0
394,4.0,3.0,4.0,4.0,3.0
395,5.0,6.0,6.0,6.0,6.0
396,5.0,3.0,5.0,6.0,4.0
397,4.0,3.0,3.0,5.0,3.0
398,6.0,7.0,5.0,4.0,4.0
399,6.0,6.0,5.0,6.0,6.0
400,6.0,4.0,6.0,6.0,5.0
401,4.0,3.0,4.0,5.0,4.0
402,5.0,6.0,5.0,5.0,5.0
403,5.0,4.0,4.0,4.0,4.0
404,0.0,0.0,2.0,5.0,4.0
405,6.0,6.0,5.0,6.0,6.0
406,6.0,7.0,6.0,6.0,6.0
407,8.0,8.0,6.0,7.0,7.0
408,6.0,5.0,5.0,5.0,5.0
409,8.0,8.0,7.0,8.0,8.0
410,3.0,4.0,4.0,5.0,4.0
411,5.0,4.0,4.0,6.0,4.0
412,5.0,6.0,7.0,6.0,6.0
413,6.0,6.0,6.0,6.0,6.0
414,6.0,4.0,5.0,6.0,5.0
415,3.0,2.0,5.0,6.0,4.0
416,5.0,5.0,6.0,5.0,5.0
417,5.0,4.0,4.0,5.0,4.0
418,8.0,8.0,5.0,6.0,6.0
419,6.0,7.0,6.0,6.0,6.0
420,6.0,5.0,7.0,7.0,7.0
421,6.0,6.0,6.0,7.0,7.0
422,5.0,5.0,5.0,5.0,5.0
423,6.0,6.0,6.0,4.0,4.0
424,2.0,2.0,4.0,5.0,3.0
425,4.0,3.0,3.0,3.0,3.0
426,6.0,6.0,6.0,5.0,5.0
427,3.0,3.0,5.0,5.0,4.0
428,3.0,4.0,4.0,3.0,2.0
429,5.0,4.0,6.0,7.0,6.0
430,6.0,8.0,5.0,5.0,5.0
431,5.0,5.0,4.0,4.0,4.0
432,5.0,6.0,4.0,5.0,5.0
433,7.0,6.0,5.0,6.0,6.0
434,4.0,4.0,5.0,5.0,3.0
435,8.0,6.0,6.0,7.0,7.0
436,5.0,5.0,6.0,6.0,5.0
437,6.0,5.0,6.0,5.0,6.0
438,8.0,6.0,6.0,6.0,7.0
439,5.0,5.0,5.0,6.0,5.0
440,4.0,4.0,4.0,5.0,4.0
441,5.0,6.0,6.0,5.0,5.0
442,5.0,4.0,5.0,6.0,4.0
443,6.0,6.0,6.0,7.0,7.0
444,6.0,4.0,6.0,5.0,6.0
445,6.0,5.0,5.0,6.0,5.0
446,4.0,2.0,4.0,6.0,4.0
447,4.0,4.0,5.0,5.0,3.0
448,5.0,6.0,6.0,5.0,5.0
449,6.0,7.0,6.0,5.0,5.0
450,5.0,5.0,5.0,3.0,4.0
451,4.0,4.0,3.0,3.0,3.0
452,6.0,5.0,5.0,6.0,5.0
453,9.0,7.0,6.0,6.0,6.0
454,5.0,5.0,5.0,6.0,5.0
455,6.0,8.0,7.0,6.0,6.0
456,6.0,5.0,6.0,6.0,6.0
457,6.0,5.0,5.0,7.0,7.0
458,4.0,4.0,6.0,5.0,5.0
459,3.0,4.0,5.0,6.0,5.0
460,6.0,6.0,6.0,6.0,7.0
461,3.0,3.0,4.0,5.0,3.0
462,8.0,8.0,6.0,6.0,7.0
463,6.0,5.0,5.0,5.0,5.0
464,7.0,7.0,6.0,4.0,4.0
465,8.0,7.0,7.0,6.0,7.0
466,8.0,6.0,6.0,6.0,6.0
467,6.0,6.0,4.0,4.0,4.0
468,8.0,8.0,7.0,6.0,8.0
469,5.0,5.0,6.0,6.0,5.0
470,6.0,7.0,6.0,6.0,6.0
471,6.0,4.0,5.0,5.0,4.0
472,4.0,4.0,4.0,5.0,4.0
473,5.0,4.0,5.0,5.0,4.0
474,4.0,3.0,3.0,5.0,4.0
475,4.0,3.0,4.0,5.0,3.0
476,2.0,1.0,3.0,4.0,2.0
477,5.0,5.0,6.0,6.0,6.0
478,7.0,6.0,5.0,5.0,5.0
479,7.0,6.0,7.0,7.0,7.0
480,4.0,4.0,6.0,6.0,5.0
481,7.0,5.0,7.0,7.0,7.0
482,8.0,7.0,7.0,6.0,7.0
483,4.0,3.0,3.0,5.0,3.0
484,6.0,5.0,5.0,6.0,6.0
485,4.0,4.0,6.0,8.0,6.0
486,8.0,6.0,6.0,7.0,7.0
487,7.0,6.0,5.0,5.0,5.0
