d3mIndex,att_1,att_2,class
206,-0.626374,0.707602,-1.0
207,-0.043956,0.707602,1.0
208,-0.67033,0.789474,-1.0
209,-0.087912,0.064327,-1.0
210,0.56044,-0.730994,1.0
211,-0.747253,0.111111,-1.0
212,-0.604396,0.94152,-1.0
213,0.241758,-0.567251,1.0
214,-0.384615,-0.660819,-1.0
215,-0.164835,-0.730994,-1.0
216,-0.340659,-0.730994,-1.0
217,0.912088,-0.356725,1.0
218,-0.384615,0.48538,-1.0
219,0.340659,0.929825,-1.0
220,0.67033,0.847953,-1.0
221,-0.175824,0.672515,1.0
222,0.758242,-0.169591,1.0
223,-0.351648,-0.508772,-1.0
224,0.076923,0.274854,-1.0
225,0.648352,-0.929825,1.0
226,0.67033,-1.0,1.0
227,0.065934,0.695906,1.0
228,0.483516,-0.789474,1.0
229,-0.835165,-0.54386,-1.0
230,0.032967,-0.94152,-1.0
231,0.076923,-0.660819,-1.0
232,0.043956,-0.28655,1.0
233,-0.406593,-0.730994,-1.0
234,-0.318681,-0.54386,-1.0
235,-0.824176,-0.520468,-1.0
236,0.846154,-0.988304,1.0
237,-0.307692,-0.695906,-1.0
238,-0.285714,0.567251,-1.0
239,0.32967,-0.719298,1.0
240,0.054945,0.415205,-1.0
241,0.0,0.54386,1.0
242,-0.10989,-0.298246,1.0
243,0.582418,0.976608,-1.0
244,-0.175824,0.812865,1.0
245,0.769231,0.017544,1.0
246,-0.527473,-0.730994,-1.0
247,0.450549,-0.871345,1.0
248,0.087912,0.660819,1.0
249,-0.89011,0.695906,-1.0
250,0.043956,-0.918129,-1.0
251,0.32967,0.567251,1.0
252,0.593407,0.461988,1.0
253,-0.021978,-0.122807,-1.0
254,0.021978,-0.204678,-1.0
255,0.483516,-0.087719,-1.0
256,0.901099,-0.824561,1.0
257,0.21978,-0.461988,1.0
258,-0.747253,0.064327,-1.0
259,0.89011,-0.415205,1.0
260,0.065934,-0.426901,1.0
261,0.56044,0.415205,1.0
262,-1.0,0.321637,-1.0
263,-0.263736,-0.157895,-1.0
264,0.549451,0.883041,-1.0
265,0.648352,0.812865,-1.0
266,-0.32967,-0.146199,-1.0
267,-0.472527,-0.754386,-1.0
268,0.582418,0.426901,1.0
269,-0.703297,0.076023,-1.0
270,-0.010989,0.602339,1.0
271,0.076923,0.005848,-1.0
272,0.362637,0.812865,-1.0
273,-0.604396,0.602339,-1.0
274,-0.351648,-0.122807,-1.0
275,0.527473,-0.111111,-1.0
276,0.494505,0.859649,-1.0
277,-0.186813,-0.052632,-1.0
278,-0.043956,-0.391813,1.0
279,-0.648352,0.602339,-1.0
280,0.879121,-0.017544,1.0
281,-0.395604,-0.730994,-1.0
282,0.208791,0.099415,-1.0
283,0.461538,0.859649,-1.0
284,-0.615385,-0.625731,-1.0
285,0.692308,0.906433,-1.0
286,-0.626374,-0.169591,-1.0
287,-0.758242,-0.508772,-1.0
288,0.186813,-0.520468,1.0
289,0.373626,0.894737,-1.0
290,-0.472527,0.076023,-1.0
291,0.318681,0.052632,-1.0
292,0.725275,0.345029,1.0
293,0.142857,-0.555556,1.0
294,-0.681319,0.906433,-1.0
295,0.747253,0.263158,1.0
296,0.56044,-0.684211,1.0
297,0.340659,-0.216374,-1.0
298,0.450549,0.48538,1.0
299,-0.604396,0.719298,-1.0
300,0.626374,0.871345,-1.0
301,-0.571429,0.134503,-1.0
302,0.153846,-0.192982,-1.0
303,-0.879121,0.695906,-1.0
304,-0.648352,-0.169591,-1.0
305,0.340659,0.625731,1.0
306,0.10989,-0.368421,1.0
307,0.824176,-0.298246,1.0
308,0.175824,-0.368421,1.0
309,0.230769,0.251462,-1.0
310,-0.241758,-0.625731,-1.0
311,-0.065934,0.614035,1.0
312,-0.912088,0.508772,-1.0
313,0.318681,0.497076,1.0
314,0.318681,0.532164,1.0
315,0.32967,0.871345,-1.0
316,-0.835165,0.450292,-1.0
317,0.307692,-0.614035,1.0
318,-0.472527,-0.590643,-1.0
319,-0.648352,0.953216,-1.0
320,-0.802198,-0.660819,-1.0
321,0.516484,0.508772,1.0
322,-0.362637,0.040936,-1.0
323,-0.956044,0.649123,-1.0
324,0.747253,-0.988304,1.0
325,-0.472527,-0.005848,-1.0
326,-0.197802,-0.017544,-1.0
327,0.087912,-0.672515,-1.0
328,0.857143,0.777778,-1.0
329,-0.835165,-0.497076,-1.0
330,0.505495,-0.859649,1.0
331,-0.582418,0.660819,-1.0
332,-0.67033,0.637427,-1.0
333,-0.351648,-0.099415,-1.0
334,0.032967,0.450292,-1.0
335,-0.791209,-0.497076,-1.0
336,0.912088,-0.426901,1.0
337,0.846154,-0.824561,1.0
338,-0.582418,0.216374,-1.0
339,0.285714,0.216374,-1.0
340,0.538462,0.391813,1.0
341,0.241758,0.578947,1.0
342,0.153846,-0.087719,-1.0
343,-0.010989,-0.064327,-1.0
344,0.285714,0.111111,-1.0
345,0.835165,-0.532164,1.0
346,-0.802198,-0.134503,-1.0
347,0.021978,-0.391813,1.0
348,-0.021978,-0.111111,-1.0
349,0.032967,0.251462,-1.0
350,-0.835165,-0.403509,-1.0
351,-0.571429,0.192982,-1.0
352,-0.637363,-0.169591,-1.0
353,0.307692,0.625731,1.0
354,-0.307692,-0.076023,-1.0
355,-0.318681,-0.157895,-1.0
356,-0.252747,-0.309942,1.0
357,0.483516,0.906433,-1.0
358,-0.428571,0.122807,-1.0
359,0.857143,-0.508772,1.0
360,-0.065934,-0.555556,-1.0
361,-0.549451,0.22807,-1.0
362,-0.384615,-0.730994,-1.0
363,0.835165,-0.80117,1.0
364,-0.362637,-0.789474,-1.0
365,-0.461538,0.660819,-1.0
366,-0.274725,-0.333333,1.0
367,-0.274725,-0.251462,1.0
368,0.758242,0.824561,-1.0
369,0.813187,0.894737,-1.0
370,0.175824,-0.964912,-1.0
371,-0.538462,0.251462,-1.0
372,-0.032967,0.532164,1.0
373,-0.516484,-0.064327,-1.0
374,0.054945,-0.74269,-1.0
375,0.076923,-0.298246,1.0
376,0.725275,0.415205,1.0
377,0.021978,0.052632,-1.0
378,0.835165,0.321637,1.0
379,0.78022,-0.660819,1.0
380,-0.098901,-0.625731,-1.0
381,0.604396,0.929825,-1.0
382,0.362637,0.532164,1.0
383,0.230769,0.169591,-1.0
384,-0.428571,0.602339,-1.0
385,0.307692,-0.520468,1.0
386,-0.043956,-0.918129,-1.0
387,-0.230769,-0.637427,-1.0
388,-0.307692,-0.567251,-1.0
389,0.868132,0.169591,1.0
390,0.824176,-0.122807,1.0
391,-0.626374,-0.087719,-1.0
392,-0.791209,-0.54386,-1.0
393,-0.340659,0.087719,-1.0
394,-0.098901,0.040936,-1.0
395,0.021978,-0.380117,1.0
396,0.758242,-0.146199,1.0
397,0.945055,0.707602,-1.0
398,0.186813,0.380117,-1.0
399,0.494505,0.637427,1.0
400,0.0,0.403509,-1.0
401,0.087912,-1.0,-1.0
402,0.054945,0.239766,-1.0
403,-0.373626,-0.625731,-1.0
404,0.494505,-0.74269,1.0
405,-0.901099,1.0,-1.0
406,-0.604396,0.80117,-1.0
407,-0.252747,0.309942,-1.0
408,0.681319,0.321637,1.0
409,-0.274725,-0.789474,-1.0
410,0.428571,0.649123,1.0
411,0.208791,0.28655,-1.0
412,0.153846,0.672515,1.0
413,0.472527,-0.087719,-1.0
414,-0.56044,-0.040936,-1.0
415,-0.153846,-0.730994,-1.0
416,-0.450549,-0.040936,-1.0
417,0.285714,0.309942,-1.0
418,-0.032967,-0.321637,1.0
419,0.21978,-0.777778,-1.0
420,-0.395604,-0.74269,-1.0
421,0.934066,0.567251,-1.0
422,-0.120879,-0.356725,1.0
423,0.692308,0.333333,1.0
424,0.153846,-0.321637,1.0
425,0.120879,0.274854,-1.0
426,0.857143,-0.754386,1.0
427,0.769231,-0.555556,1.0
428,-0.67033,-0.298246,-1.0
429,-0.659341,-0.064327,-1.0
430,0.703297,-0.789474,1.0
431,0.857143,-0.812865,1.0
432,-0.373626,-0.064327,-1.0
433,-0.285714,0.426901,-1.0
434,0.087912,-0.497076,1.0
435,0.32967,0.146199,-1.0
436,-0.428571,0.426901,-1.0
437,0.032967,-0.649123,-1.0
438,-0.626374,-0.497076,-1.0
439,0.791209,-0.204678,1.0
440,-0.769231,-0.497076,-1.0
441,-0.593407,-0.730994,-1.0
442,-0.582418,-0.824561,-1.0
443,-0.065934,-0.719298,-1.0
444,-0.604396,0.134503,-1.0
445,0.373626,0.052632,-1.0
446,-0.659341,-0.508772,-1.0
447,-0.692308,-0.80117,-1.0
448,0.395604,-0.578947,1.0
449,-0.978022,0.181287,-1.0
450,0.318681,-0.660819,1.0
451,-0.395604,-0.345029,1.0
452,0.857143,-0.169591,1.0
453,-0.362637,-0.017544,-1.0
454,0.835165,-0.94152,1.0
455,-0.32967,0.508772,-1.0
456,0.857143,-0.684211,1.0
457,-0.010989,-0.719298,-1.0
458,0.164835,-0.988304,-1.0
459,-0.56044,0.005848,-1.0
460,0.747253,0.169591,1.0
461,-0.098901,-0.777778,-1.0
462,-0.659341,0.146199,-1.0
463,0.703297,-0.80117,1.0
464,-0.593407,0.590643,-1.0
465,-0.56044,0.649123,-1.0
466,-0.032967,0.321637,-1.0
467,-0.791209,0.052632,-1.0
468,-0.087912,-0.894737,-1.0
469,0.857143,0.836257,-1.0
470,-0.549451,0.859649,-1.0
471,-0.648352,-0.426901,-1.0
472,0.571429,-0.836257,1.0
473,0.813187,-0.976608,1.0
474,-0.230769,-0.146199,-1.0
475,-0.593407,0.263158,-1.0
476,-0.78022,0.076023,-1.0
477,0.846154,0.333333,1.0
478,-0.032967,0.415205,-1.0
479,-0.824176,0.532164,-1.0
480,0.021978,-0.438596,1.0
481,0.978022,0.730994,-1.0
482,0.10989,-0.74269,-1.0
483,-0.318681,0.391813,-1.0
484,-0.835165,-0.216374,-1.0
485,-0.461538,-0.707602,-1.0
486,-0.065934,-0.064327,-1.0
487,-0.725275,0.064327,-1.0
488,0.395604,-0.48538,1.0
489,-0.538462,-0.052632,-1.0
490,-0.483516,-0.812865,-1.0
491,0.901099,0.684211,-1.0
492,0.791209,0.099415,1.0
493,0.274725,0.28655,-1.0
494,0.89011,0.871345,-1.0
495,0.857143,-0.22807,1.0
496,-0.714286,0.005848,-1.0
497,0.274725,0.22807,-1.0
498,-0.703297,0.847953,-1.0
499,-0.098901,0.052632,-1.0
500,-0.758242,0.099415,-1.0
501,-0.153846,0.719298,1.0
502,-0.10989,0.625731,1.0
503,-0.615385,0.22807,-1.0
504,-0.67033,0.754386,-1.0
505,0.252747,-0.48538,1.0
506,-0.791209,-0.461988,-1.0
507,-0.120879,-0.099415,-1.0
508,-0.637363,0.871345,-1.0
509,0.494505,0.976608,-1.0
510,-0.538462,0.730994,-1.0
511,-0.428571,-0.309942,1.0
512,-0.912088,0.871345,-1.0
513,-0.065934,-0.450292,1.0
514,0.153846,-0.040936,-1.0
515,0.065934,-0.146199,-1.0
516,0.043956,0.614035,1.0
517,-0.230769,0.497076,-1.0
518,0.351648,0.789474,-1.0
519,0.824176,0.777778,-1.0
520,0.802198,0.239766,1.0
521,0.065934,-0.052632,-1.0
522,-0.549451,0.087719,-1.0
523,-0.912088,0.157895,-1.0
524,-0.120879,0.695906,1.0
525,0.450549,-0.567251,1.0
526,1.0,0.578947,-1.0
527,0.120879,0.555556,1.0
528,0.098901,0.380117,-1.0
529,-0.637363,-0.064327,-1.0
530,0.461538,-0.146199,-1.0
531,0.351648,0.157895,-1.0
532,-0.43956,0.461988,-1.0
533,0.725275,0.380117,1.0
534,0.791209,-0.847953,1.0
535,-0.296703,0.368421,-1.0
536,-0.065934,0.380117,-1.0
537,0.032967,-0.438596,1.0
538,-0.164835,0.847953,1.0
539,-0.351648,0.146199,-1.0
540,0.89011,0.251462,1.0
541,-0.615385,0.74269,-1.0
542,-0.923077,0.695906,-1.0
543,-0.67033,-0.707602,-1.0
544,-0.142857,-0.380117,1.0
545,-0.285714,0.403509,-1.0
546,-0.637363,0.766082,-1.0
547,0.912088,-0.567251,1.0
548,-0.527473,0.204678,-1.0
549,-0.703297,0.040936,-1.0
550,-0.197802,0.403509,-1.0
551,0.538462,-0.637427,1.0
552,0.494505,-0.719298,1.0
553,0.153846,0.146199,-1.0
554,-0.626374,-0.48538,-1.0
555,0.857143,-0.298246,1.0
556,0.505495,-0.181287,-1.0
557,-0.703297,0.766082,-1.0
558,0.285714,-0.672515,1.0
559,-0.32967,-0.74269,-1.0
560,-0.230769,-0.274854,1.0
561,-0.417582,0.146199,-1.0
562,0.021978,0.403509,-1.0
563,0.802198,-0.426901,1.0
564,0.241758,0.508772,1.0
565,-0.593407,0.578947,-1.0
566,0.175824,-1.0,-1.0
567,0.813187,-0.836257,1.0
568,0.67033,0.473684,1.0
569,0.461538,0.146199,-1.0
570,0.846154,0.251462,1.0
571,0.846154,-0.076023,1.0
572,-0.362637,0.625731,-1.0
573,0.21978,0.894737,-1.0
574,0.516484,-0.637427,1.0
575,0.791209,0.450292,1.0
576,-0.67033,-0.614035,-1.0
577,-0.263736,0.567251,-1.0
578,0.197802,-0.461988,1.0
579,0.417582,0.789474,-1.0
580,0.571429,0.953216,-1.0
581,-0.032967,-0.169591,-1.0
582,-0.384615,-0.017544,-1.0
583,0.406593,-0.508772,1.0
584,0.274725,0.520468,1.0
585,0.285714,0.80117,-1.0
586,-0.626374,-0.672515,-1.0
587,-0.098901,0.847953,1.0
588,0.494505,-0.906433,1.0
589,-0.604396,0.02924,-1.0
590,-0.197802,0.02924,-1.0
591,0.549451,0.461988,1.0
592,-0.516484,0.263158,-1.0
593,0.494505,0.602339,1.0
594,-0.637363,0.005848,-1.0
595,0.912088,-0.099415,1.0
596,-0.868132,0.614035,-1.0
597,-0.417582,0.111111,-1.0
598,-0.461538,-0.590643,-1.0
599,0.10989,-0.146199,-1.0
600,-0.252747,-0.450292,1.0
601,-0.582418,0.649123,-1.0
602,-0.010989,0.766082,1.0
603,0.142857,-0.730994,-1.0
604,-0.406593,0.590643,-1.0
605,0.10989,-0.789474,-1.0
606,-0.637363,0.672515,-1.0
607,0.846154,-0.953216,1.0
608,-0.56044,0.74269,-1.0
609,0.0,-0.695906,-1.0
610,-0.648352,0.824561,-1.0
611,0.923077,0.707602,-1.0
612,-0.307692,0.076023,-1.0
613,0.351648,-0.146199,-1.0
614,-0.538462,-0.695906,-1.0
615,0.142857,-0.345029,1.0
616,-0.252747,-0.333333,1.0
617,0.241758,-0.415205,1.0
618,0.351648,-0.461988,1.0
619,0.076923,-0.274854,1.0
620,-0.538462,0.614035,-1.0
621,-0.010989,0.578947,1.0
622,0.571429,-0.74269,1.0
623,-0.472527,-0.052632,-1.0
624,-0.89011,0.263158,-1.0
625,-0.483516,0.239766,-1.0
626,0.901099,-0.064327,1.0
627,0.230769,-0.590643,1.0
628,0.923077,-0.695906,1.0
629,-0.142857,0.789474,1.0
630,-0.296703,-0.02924,-1.0
631,0.791209,-0.988304,1.0
632,0.43956,0.567251,1.0
633,0.725275,0.204678,1.0
634,-0.802198,0.602339,-1.0
635,-0.131868,-0.040936,-1.0
636,-0.142857,0.625731,1.0
637,-0.945055,0.54386,-1.0
638,0.296703,0.239766,-1.0
639,-0.318681,0.508772,-1.0
640,0.868132,0.309942,1.0
641,0.428571,-0.614035,1.0
642,-0.252747,-0.614035,-1.0
643,0.626374,0.578947,1.0
644,-0.131868,0.040936,-1.0
645,-0.78022,-0.730994,-1.0
646,-0.417582,0.590643,-1.0
647,0.351648,0.80117,-1.0
648,0.615385,0.871345,-1.0
649,-0.956044,0.239766,-1.0
650,0.483516,-0.894737,1.0
651,0.857143,-0.134503,1.0
652,0.274725,-0.461988,1.0
653,0.153846,0.309942,-1.0
654,-0.472527,-0.263158,1.0
655,-0.89011,0.497076,-1.0
656,0.076923,0.707602,1.0
657,0.362637,0.017544,-1.0
658,-0.912088,0.309942,-1.0
659,0.879121,-0.263158,1.0
660,-0.010989,0.02924,-1.0
661,-0.054945,-0.064327,-1.0
662,0.769231,-1.0,1.0
663,-0.197802,-0.298246,1.0
664,-0.263736,-0.274854,1.0
665,0.89011,-0.040936,1.0
666,-0.417582,-0.602339,-1.0
667,-0.428571,-0.672515,-1.0
668,-0.186813,-0.719298,-1.0
669,0.538462,0.906433,-1.0
670,0.901099,0.602339,-1.0
671,-0.307692,-0.356725,1.0
672,0.054945,-0.660819,-1.0
673,0.714286,0.263158,1.0
674,0.868132,0.672515,-1.0
675,0.637363,0.391813,1.0
676,0.351648,0.508772,1.0
677,-0.021978,0.356725,-1.0
678,-0.395604,0.216374,-1.0
679,-0.087912,0.426901,-1.0
680,-0.10989,-0.368421,1.0
681,0.32967,0.28655,-1.0
682,0.758242,-0.672515,1.0
683,-0.406593,-0.356725,1.0
684,0.021978,0.040936,-1.0
685,-0.164835,-0.28655,1.0
686,0.835165,-0.590643,1.0
687,-0.131868,-0.812865,-1.0
688,0.516484,-0.894737,1.0
689,0.89011,0.146199,1.0
690,0.153846,0.169591,-1.0
691,-0.197802,-0.005848,-1.0
692,0.208791,0.157895,-1.0
693,0.241758,0.894737,-1.0
694,-0.032967,0.707602,1.0
695,-0.296703,-0.777778,-1.0
696,-0.098901,-0.660819,-1.0
697,0.461538,-0.871345,1.0
698,-0.604396,-0.567251,-1.0
699,0.417582,-0.707602,1.0
700,0.142857,0.684211,1.0
701,-0.010989,0.064327,-1.0
702,-0.824176,-0.391813,-1.0
703,-0.241758,0.017544,-1.0
704,-0.021978,-0.146199,-1.0
705,0.637363,-0.929825,1.0
706,0.021978,-0.426901,1.0
707,0.78022,-0.74269,1.0
708,0.197802,0.263158,-1.0
709,0.791209,-0.929825,1.0
710,-0.307692,-0.111111,-1.0
711,0.076923,-0.403509,1.0
712,-0.681319,-0.625731,-1.0
713,0.67033,-0.847953,1.0
714,-0.604396,0.251462,-1.0
715,-0.978022,0.438596,-1.0
716,-0.043956,-0.157895,-1.0
717,-0.494505,0.649123,-1.0
718,0.241758,0.555556,1.0
719,0.043956,-0.099415,-1.0
720,-0.835165,-0.099415,-1.0
721,-0.054945,-0.192982,-1.0
722,0.571429,0.894737,-1.0
723,-0.131868,-0.847953,-1.0
724,-0.791209,-0.274854,-1.0
725,0.010989,0.637427,1.0
726,-0.791209,-0.695906,-1.0
727,-0.527473,0.040936,-1.0
728,0.0,0.74269,1.0
729,0.032967,-0.28655,1.0
730,-0.076923,0.333333,-1.0
731,0.098901,0.508772,1.0
732,0.89011,0.812865,-1.0
733,0.604396,0.953216,-1.0
734,-0.230769,-0.426901,1.0
735,0.846154,-0.321637,1.0
736,0.626374,-0.953216,1.0
737,-0.538462,0.146199,-1.0
738,0.89011,-0.076023,1.0
739,-0.098901,0.298246,-1.0
740,0.098901,0.192982,-1.0
741,-0.604396,0.812865,-1.0
742,0.67033,0.906433,-1.0
743,-0.857143,0.567251,-1.0
744,0.725275,0.906433,-1.0
745,-0.626374,0.192982,-1.0
746,0.846154,-0.22807,1.0
747,-0.021978,-0.076023,-1.0
748,-0.010989,-0.356725,1.0
749,-0.043956,0.637427,1.0
750,0.340659,0.812865,-1.0
751,-0.318681,0.450292,-1.0
752,0.450549,0.906433,-1.0
753,-0.43956,-0.754386,-1.0
754,-0.923077,0.309942,-1.0
755,-0.384615,0.076023,-1.0
756,-0.10989,-0.052632,-1.0
757,-0.043956,-0.368421,1.0
758,-0.417582,-0.356725,1.0
759,0.912088,-0.192982,1.0
760,-0.395604,-0.380117,1.0
761,0.120879,0.216374,-1.0
762,-0.912088,0.497076,-1.0
763,0.175824,-0.356725,1.0
764,-0.373626,-0.578947,-1.0
765,-0.406593,-0.555556,-1.0
766,0.56044,0.976608,-1.0
767,-0.736264,-0.684211,-1.0
768,0.285714,0.906433,-1.0
769,0.120879,0.239766,-1.0
770,-0.131868,-0.730994,-1.0
771,0.494505,0.122807,-1.0
772,-0.131868,0.005848,-1.0
773,0.725275,-0.847953,1.0
774,-0.252747,-0.017544,-1.0
775,0.857143,-0.28655,1.0
776,-0.604396,0.918129,-1.0
777,0.318681,-0.54386,1.0
778,0.813187,-0.637427,1.0
779,-0.098901,0.859649,1.0
780,-0.274725,-0.321637,1.0
781,-0.912088,0.649123,-1.0
782,-0.164835,-0.824561,-1.0
783,-0.879121,0.976608,-1.0
784,0.417582,-0.169591,-1.0
785,-0.483516,0.052632,-1.0
786,0.791209,-0.380117,1.0
787,0.769231,0.461988,1.0
788,0.230769,0.871345,-1.0
789,0.076923,0.251462,-1.0
790,0.021978,-0.274854,1.0
791,-0.351648,0.403509,-1.0
