d3mIndex,Page_total_likes_target,Type,Category,Post_Month,Post_Weekday,Post_Hour,Paid,Lifetime_Post_Total_Reach,Lifetime_Post_Total_Impressions,Lifetime_Engaged_Users,Lifetime_Post_Consumers,Lifetime_Post_Consumptions,Lifetime_Post_Impressions_by_people_who_have_liked_your_Page,Lifetime_Post_reach_by_people_who_like_your_Page,Lifetime_People_who_have_liked_your_Page_and_engaged_with_your_post,comment,like,share,Total_Interactions_target
16,138414.0,Photo,3.0,12.0,3.0,3.0,0.0,1722.0,2981.0,163.0,123.0,148.0,1868.0,1050.0,123.0,2.0,40.0,12.0,54.0
17,138414.0,Photo,1.0,12.0,2.0,12.0,1.0,53264.0,111785.0,1706.0,1103.0,1655.0,92512.0,39776.0,1307.0,15.0,678.0,20.0,713.0
18,138414.0,Status,3.0,12.0,2.0,3.0,0.0,3930.0,7509.0,130.0,86.0,112.0,5009.0,2410.0,101.0,4.0,54.0,17.0,75.0
19,138414.0,Photo,3.0,12.0,1.0,11.0,0.0,1591.0,2825.0,121.0,88.0,111.0,2116.0,1161.0,100.0,0.0,34.0,8.0,42.0
20,138414.0,Photo,2.0,12.0,1.0,3.0,0.0,2848.0,5066.0,200.0,142.0,184.0,3561.0,1963.0,157.0,3.0,66.0,12.0,81.0
21,138414.0,Photo,1.0,12.0,7.0,10.0,0.0,1384.0,2467.0,15.0,15.0,20.0,2196.0,1172.0,15.0,0.0,0.0,0.0,0.0
22,138414.0,Link,1.0,12.0,7.0,10.0,0.0,3454.0,6853.0,118.0,104.0,130.0,6282.0,3100.0,106.0,0.0,16.0,2.0,18.0
23,138414.0,Photo,3.0,12.0,7.0,3.0,0.0,2723.0,4888.0,176.0,118.0,143.0,2964.0,1621.0,143.0,0.0,72.0,24.0,96.0
24,138414.0,Status,2.0,12.0,6.0,10.0,0.0,8488.0,15294.0,1341.0,1270.0,1489.0,9684.0,5244.0,995.0,3.0,99.0,19.0,121.0
25,138458.0,Status,2.0,12.0,6.0,3.0,0.0,8284.0,15104.0,1521.0,1462.0,1711.0,10266.0,5372.0,1200.0,0.0,88.0,18.0,106.0
26,138458.0,Status,2.0,12.0,5.0,11.0,0.0,19552.0,34143.0,2806.0,2531.0,3420.0,17748.0,9824.0,1779.0,10.0,412.0,72.0,494.0
27,138458.0,Photo,3.0,12.0,5.0,3.0,0.0,2478.0,4306.0,212.0,124.0,149.0,2612.0,1443.0,166.0,0.0,100.0,17.0,117.0
28,138895.0,Photo,2.0,12.0,5.0,3.0,0.0,9560.0,18264.0,973.0,559.0,885.0,9217.0,4748.0,621.0,36.0,523.0,63.0,622.0
29,138895.0,Video,1.0,12.0,4.0,11.0,1.0,36208.0,61262.0,1141.0,1068.0,1728.0,30131.0,14112.0,559.0,18.0,143.0,13.0,174.0
30,138895.0,Photo,2.0,12.0,4.0,2.0,0.0,4940.0,9390.0,385.0,306.0,501.0,5860.0,2930.0,273.0,33.0,107.0,22.0,162.0
31,138895.0,Photo,2.0,12.0,3.0,10.0,0.0,1683.0,2929.0,192.0,171.0,221.0,1585.0,858.0,131.0,1.0,27.0,11.0,39.0
32,138895.0,Photo,3.0,12.0,3.0,3.0,0.0,5280.0,9578.0,368.0,237.0,345.0,4480.0,2422.0,268.0,2.0,155.0,47.0,204.0
33,138895.0,Photo,3.0,12.0,2.0,9.0,0.0,3002.0,5318.0,268.0,185.0,247.0,3039.0,1676.0,194.0,4.0,98.0,23.0,125.0
34,138895.0,Photo,1.0,12.0,2.0,3.0,0.0,3766.0,7149.0,298.0,260.0,431.0,5782.0,2938.0,244.0,2.0,56.0,17.0,75.0
35,138895.0,Photo,2.0,12.0,1.0,11.0,0.0,4512.0,7808.0,423.0,284.0,431.0,5183.0,2954.0,316.0,6.0,172.0,21.0,199.0
36,138895.0,Photo,3.0,12.0,1.0,3.0,0.0,2690.0,4628.0,252.0,168.0,226.0,3052.0,1727.0,199.0,0.0,96.0,17.0,113.0
37,138895.0,Photo,1.0,12.0,7.0,10.0,1.0,19800.0,28663.0,479.0,424.0,805.0,5187.0,2752.0,248.0,16.0,76.0,8.0,100.0
38,138895.0,Status,2.0,12.0,7.0,9.0,0.0,17576.0,33058.0,5352.0,5202.0,6547.0,23135.0,11792.0,4104.0,11.0,227.0,31.0,269.0
39,138895.0,Photo,1.0,12.0,7.0,3.0,0.0,3290.0,6085.0,306.0,284.0,402.0,4986.0,2584.0,247.0,1.0,44.0,14.0,59.0
40,138895.0,Status,2.0,12.0,6.0,11.0,0.0,13280.0,24198.0,2055.0,1912.0,2720.0,17627.0,9344.0,1716.0,7.0,216.0,39.0,262.0
41,138895.0,Link,1.0,12.0,6.0,3.0,1.0,18480.0,28438.0,517.0,366.0,460.0,12078.0,6752.0,319.0,6.0,187.0,18.0,211.0
42,138353.0,Photo,1.0,12.0,5.0,10.0,0.0,7268.0,13989.0,2087.0,2079.0,12074.0,13544.0,7096.0,1975.0,7.0,26.0,3.0,36.0
43,138353.0,Link,1.0,12.0,5.0,3.0,1.0,2645.0,4270.0,134.0,109.0,170.0,2330.0,1377.0,101.0,7.0,29.0,10.0,46.0
44,138353.0,Photo,1.0,12.0,4.0,11.0,0.0,4284.0,8387.0,355.0,316.0,513.0,7283.0,3634.0,291.0,0.0,47.0,11.0,58.0
45,138353.0,Link,1.0,12.0,4.0,3.0,1.0,7968.0,13023.0,206.0,158.0,223.0,6734.0,3492.0,138.0,4.0,57.0,10.0,71.0
46,138353.0,Status,1.0,12.0,3.0,11.0,0.0,16576.0,30612.0,3572.0,3464.0,4802.0,24363.0,12888.0,3014.0,4.0,174.0,36.0,214.0
47,138353.0,Link,1.0,12.0,3.0,2.0,0.0,1925.0,3481.0,97.0,83.0,126.0,2307.0,1180.0,77.0,6.0,18.0,8.0,32.0
48,138353.0,Photo,1.0,12.0,2.0,11.0,0.0,3786.0,7329.0,338.0,283.0,450.0,6336.0,3216.0,280.0,0.0,77.0,15.0,92.0
49,138353.0,Link,1.0,12.0,2.0,2.0,0.0,1536.0,3094.0,84.0,76.0,99.0,2903.0,1407.0,76.0,1.0,12.0,1.0,14.0
50,138353.0,Photo,2.0,11.0,1.0,9.0,0.0,1728.0,3155.0,108.0,65.0,95.0,2313.0,1232.0,77.0,1.0,48.0,9.0,58.0
51,138329.0,Photo,1.0,11.0,1.0,3.0,1.0,25248.0,40125.0,726.0,467.0,863.0,16132.0,8608.0,451.0,24.0,285.0,28.0,337.0
52,138329.0,Photo,1.0,11.0,7.0,9.0,0.0,4894.0,8899.0,355.0,181.0,264.0,4914.0,2712.0,246.0,9.0,202.0,31.0,242.0
53,138329.0,Photo,1.0,11.0,7.0,3.0,0.0,2935.0,5439.0,237.0,182.0,401.0,3901.0,2044.0,201.0,4.0,64.0,19.0,87.0
54,138329.0,Photo,1.0,11.0,6.0,10.0,0.0,2425.0,4462.0,260.0,213.0,433.0,3017.0,1510.0,175.0,4.0,66.0,13.0,83.0
55,138329.0,Video,1.0,11.0,6.0,2.0,1.0,16416.0,31950.0,459.0,411.0,539.0,21436.0,9568.0,363.0,2.0,65.0,14.0,81.0
56,138329.0,Photo,1.0,11.0,5.0,11.0,0.0,5812.0,10465.0,343.0,204.0,301.0,4976.0,2764.0,240.0,2.0,164.0,54.0,220.0
57,138329.0,Photo,1.0,11.0,5.0,3.0,0.0,2545.0,4846.0,165.0,131.0,167.0,3675.0,1901.0,134.0,0.0,40.0,13.0,53.0
58,138329.0,Photo,1.0,11.0,4.0,10.0,0.0,2257.0,4372.0,230.0,173.0,327.0,3188.0,1557.0,168.0,3.0,76.0,11.0,90.0
59,138329.0,Photo,1.0,11.0,4.0,3.0,1.0,27072.0,84885.0,421.0,304.0,487.0,35637.0,9712.0,263.0,4.0,139.0,17.0,160.0
60,138185.0,Photo,1.0,11.0,3.0,11.0,1.0,10940.0,27951.0,417.0,335.0,591.0,15066.0,5100.0,319.0,8.0,101.0,14.0,123.0
61,138185.0,Photo,1.0,11.0,3.0,2.0,1.0,50912.0,164528.0,630.0,513.0,952.0,54653.0,12704.0,346.0,8.0,144.0,10.0,162.0
62,138185.0,Photo,1.0,11.0,2.0,10.0,1.0,28752.0,47358.0,802.0,654.0,1268.0,14091.0,7456.0,408.0,10.0,179.0,13.0,202.0
63,138185.0,Photo,1.0,11.0,2.0,3.0,1.0,27216.0,81908.0,541.0,335.0,540.0,26869.0,7760.0,315.0,4.0,219.0,22.0,245.0
64,138185.0,Photo,1.0,11.0,1.0,10.0,0.0,2352.0,5234.0,232.0,182.0,258.0,4101.0,1761.0,181.0,2.0,60.0,7.0,69.0
65,138185.0,Photo,1.0,11.0,1.0,3.0,0.0,3416.0,6167.0,356.0,298.0,641.0,4530.0,2388.0,280.0,19.0,77.0,23.0,119.0
66,138185.0,Photo,1.0,11.0,7.0,11.0,0.0,2149.0,4120.0,197.0,156.0,219.0,3302.0,1640.0,161.0,0.0,48.0,7.0,55.0
67,138185.0,Photo,1.0,11.0,7.0,3.0,1.0,53456.0,93790.0,1576.0,995.0,1469.0,32646.0,14912.0,884.0,20.0,697.0,70.0,787.0
68,138185.0,Photo,1.0,11.0,6.0,11.0,0.0,2168.0,3891.0,211.0,168.0,202.0,2873.0,1539.0,171.0,0.0,53.0,17.0,70.0
69,137893.0,Photo,1.0,11.0,6.0,3.0,0.0,3102.0,5939.0,360.0,288.0,512.0,3537.0,1780.0,275.0,7.0,84.0,28.0,119.0
70,137893.0,Photo,1.0,11.0,5.0,10.0,1.0,39344.0,103050.0,588.0,460.0,695.0,39304.0,11392.0,336.0,7.0,146.0,9.0,162.0
71,137893.0,Video,1.0,11.0,5.0,3.0,1.0,100768.0,220447.0,2101.0,1735.0,2331.0,59658.0,18880.0,885.0,17.0,449.0,84.0,550.0
72,137893.0,Status,3.0,11.0,4.0,11.0,0.0,9056.0,16362.0,1006.0,847.0,1153.0,9562.0,5180.0,740.0,3.0,226.0,44.0,273.0
73,137893.0,Photo,1.0,11.0,4.0,2.0,1.0,11444.0,46054.0,555.0,418.0,717.0,13737.0,4320.0,438.0,14.0,172.0,47.0,233.0
74,137893.0,Video,1.0,11.0,3.0,11.0,0.0,13544.0,30235.0,517.0,458.0,667.0,26622.0,11760.0,447.0,2.0,99.0,13.0,114.0
75,137893.0,Photo,1.0,11.0,3.0,2.0,1.0,37376.0,68610.0,1150.0,808.0,1341.0,22100.0,10880.0,724.0,20.0,411.0,74.0,505.0
76,137893.0,Photo,1.0,11.0,3.0,2.0,0.0,1228.0,2392.0,17.0,17.0,19.0,2392.0,1228.0,17.0,0.0,0.0,0.0,0.0
77,137177.0,Photo,1.0,11.0,1.0,10.0,0.0,22984.0,59040.0,438.0,374.0,542.0,12716.0,4968.0,262.0,4.0,85.0,8.0,97.0
78,137177.0,Photo,2.0,11.0,1.0,3.0,0.0,1445.0,2774.0,217.0,167.0,211.0,1924.0,1005.0,154.0,0.0,56.0,8.0,64.0
79,137177.0,Photo,1.0,11.0,7.0,12.0,0.0,3754.0,8533.0,658.0,640.0,2085.0,6838.0,3224.0,598.0,2.0,29.0,7.0,38.0
80,137177.0,Status,2.0,11.0,7.0,3.0,0.0,8728.0,17827.0,2295.0,2235.0,2828.0,15418.0,7344.0,2099.0,2.0,86.0,13.0,101.0
81,137177.0,Photo,3.0,11.0,6.0,10.0,0.0,5990.0,11123.0,657.0,361.0,512.0,5057.0,2628.0,428.0,18.0,370.0,53.0,441.0
82,137177.0,Photo,1.0,11.0,6.0,3.0,0.0,4582.0,9193.0,454.0,306.0,431.0,3691.0,1722.0,305.0,5.0,190.0,57.0,252.0
83,137177.0,Photo,3.0,11.0,5.0,10.0,1.0,2938.0,5799.0,321.0,243.0,379.0,3668.0,1848.0,236.0,2.0,101.0,19.0,122.0
84,137177.0,Status,3.0,11.0,5.0,2.0,0.0,6692.0,13092.0,199.0,108.0,141.0,7549.0,3336.0,156.0,2.0,99.0,16.0,117.0
85,137177.0,Photo,1.0,11.0,4.0,9.0,1.0,2566.0,5244.0,384.0,280.0,469.0,3834.0,1806.0,266.0,10.0,140.0,8.0,158.0
86,137177.0,Link,1.0,11.0,4.0,3.0,0.0,21176.0,54779.0,330.0,228.0,329.0,13858.0,5248.0,185.0,2.0,130.0,31.0,163.0
87,137177.0,Photo,3.0,11.0,3.0,10.0,0.0,4012.0,7955.0,550.0,319.0,477.0,4625.0,2218.0,403.0,3.0,270.0,38.0,311.0
88,137177.0,Photo,1.0,11.0,3.0,3.0,0.0,1531.0,2838.0,212.0,189.0,1359.0,1210.0,690.0,143.0,3.0,30.0,6.0,39.0
89,137059.0,Photo,1.0,11.0,2.0,11.0,1.0,2938.0,6056.0,374.0,283.0,483.0,4509.0,2078.0,287.0,2.0,107.0,17.0,126.0
90,137059.0,Photo,1.0,11.0,2.0,3.0,0.0,24720.0,37240.0,845.0,564.0,850.0,14475.0,8120.0,504.0,13.0,331.0,77.0,421.0
91,137059.0,Photo,2.0,11.0,1.0,9.0,0.0,2219.0,4545.0,287.0,220.0,329.0,3189.0,1495.0,221.0,0.0,78.0,13.0,91.0
92,137059.0,Photo,3.0,11.0,1.0,3.0,0.0,4732.0,9303.0,607.0,352.0,518.0,6201.0,3136.0,445.0,9.0,301.0,32.0,342.0
93,137059.0,Photo,3.0,11.0,7.0,9.0,0.0,2225.0,4239.0,310.0,216.0,289.0,2570.0,1389.0,233.0,2.0,111.0,16.0,129.0
94,137059.0,Photo,2.0,11.0,7.0,4.0,0.0,2626.0,4943.0,316.0,213.0,299.0,3047.0,1605.0,244.0,2.0,124.0,22.0,148.0
95,137059.0,Photo,3.0,10.0,6.0,10.0,0.0,3090.0,5744.0,391.0,257.0,360.0,3521.0,1796.0,293.0,5.0,153.0,27.0,185.0
96,137059.0,Photo,1.0,10.0,6.0,3.0,0.0,1101.0,2548.0,324.0,287.0,2418.0,1284.0,704.0,220.0,3.0,51.0,11.0,65.0
97,137059.0,Photo,2.0,10.0,5.0,11.0,0.0,2819.0,5230.0,318.0,218.0,303.0,3128.0,1622.0,240.0,1.0,115.0,26.0,142.0
98,137020.0,Status,2.0,10.0,5.0,3.0,1.0,12468.0,24917.0,2143.0,1966.0,2576.0,15850.0,7636.0,1661.0,7.0,310.0,61.0,378.0
99,137020.0,Photo,1.0,10.0,4.0,10.0,0.0,12776.0,21893.0,785.0,539.0,881.0,13272.0,7800.0,575.0,12.0,328.0,90.0,430.0
100,137020.0,Photo,1.0,10.0,4.0,9.0,1.0,1357.0,2453.0,37.0,37.0,55.0,2154.0,1120.0,32.0,0.0,0.0,0.0,0.0
101,137020.0,Photo,2.0,10.0,4.0,3.0,0.0,68896.0,104952.0,2624.0,1326.0,1952.0,35707.0,19840.0,1354.0,26.0,1505.0,95.0,1626.0
102,137020.0,Photo,3.0,10.0,3.0,10.0,0.0,1711.0,3174.0,288.0,245.0,339.0,2226.0,1118.0,205.0,2.0,63.0,14.0,79.0
103,137020.0,Photo,1.0,10.0,3.0,4.0,0.0,1388.0,2544.0,224.0,219.0,931.0,2161.0,1214.0,172.0,0.0,13.0,4.0,17.0
104,137020.0,Photo,1.0,10.0,2.0,11.0,1.0,2645.0,5472.0,357.0,315.0,482.0,4485.0,2101.0,265.0,4.0,59.0,9.0,72.0
105,137020.0,Photo,1.0,10.0,2.0,4.0,0.0,70144.0,111745.0,3216.0,2628.0,4782.0,43671.0,20608.0,1542.0,42.0,955.0,139.0,1136.0
106,137020.0,Photo,3.0,10.0,1.0,11.0,0.0,3674.0,7221.0,452.0,330.0,487.0,3832.0,1890.0,328.0,9.0,181.0,32.0,222.0
107,136736.0,Status,2.0,10.0,1.0,4.0,0.0,9504.0,19556.0,1132.0,1032.0,1512.0,16018.0,7616.0,981.0,17.0,193.0,28.0,238.0
108,136736.0,Photo,3.0,10.0,7.0,9.0,0.0,2426.0,4469.0,320.0,237.0,325.0,3120.0,1684.0,248.0,7.0,125.0,16.0,148.0
109,136736.0,Status,2.0,10.0,7.0,3.0,0.0,13872.0,27468.0,2664.0,2570.0,3395.0,20198.0,10432.0,2252.0,4.0,217.0,50.0,271.0
110,136736.0,Photo,1.0,10.0,6.0,10.0,0.0,1673.0,3655.0,338.0,324.0,1619.0,2598.0,1469.0,268.0,2.0,28.0,4.0,34.0
111,136736.0,Photo,1.0,10.0,6.0,8.0,0.0,1261.0,2158.0,37.0,37.0,49.0,1911.0,1077.0,33.0,0.0,,,0.0
112,136736.0,Photo,2.0,10.0,6.0,4.0,0.0,2428.0,4510.0,311.0,238.0,323.0,2888.0,1560.0,236.0,4.0,117.0,18.0,139.0
113,136642.0,Photo,2.0,10.0,1.0,3.0,1.0,2227.0,4070.0,369.0,314.0,430.0,3227.0,1702.0,306.0,2.0,79.0,16.0,97.0
114,136642.0,Photo,1.0,10.0,7.0,13.0,0.0,1592.0,2749.0,370.0,356.0,414.0,2551.0,1454.0,327.0,0.0,15.0,2.0,17.0
115,136642.0,Photo,1.0,10.0,7.0,12.0,1.0,813.0,1568.0,323.0,319.0,387.0,1402.0,695.0,280.0,0.0,4.0,2.0,6.0
116,136642.0,Photo,1.0,10.0,7.0,12.0,0.0,32208.0,57472.0,1810.0,1490.0,2286.0,56149.0,31648.0,1724.0,1.0,431.0,26.0,458.0
117,136642.0,Photo,1.0,10.0,7.0,11.0,0.0,729.0,1374.0,303.0,298.0,331.0,1284.0,650.0,262.0,0.0,7.0,0.0,7.0
118,136642.0,Photo,1.0,10.0,7.0,10.0,0.0,834.0,1570.0,399.0,392.0,510.0,1390.0,704.0,351.0,0.0,7.0,2.0,9.0
119,136393.0,Photo,1.0,10.0,7.0,10.0,0.0,786.0,1573.0,263.0,257.0,318.0,1401.0,660.0,222.0,0.0,6.0,2.0,8.0
120,136393.0,Photo,1.0,10.0,7.0,9.0,0.0,584.0,1029.0,273.0,271.0,308.0,943.0,511.0,232.0,0.0,2.0,,2.0
121,136393.0,Status,2.0,10.0,7.0,9.0,0.0,15816.0,30514.0,2733.0,2654.0,3289.0,23584.0,11912.0,2361.0,6.0,186.0,40.0,232.0
122,136393.0,Photo,1.0,10.0,7.0,8.0,0.0,619.0,1096.0,257.0,254.0,292.0,951.0,516.0,217.0,1.0,1.0,2.0,4.0
123,136393.0,Photo,1.0,10.0,7.0,7.0,0.0,617.0,1071.0,229.0,223.0,265.0,935.0,521.0,191.0,1.0,3.0,2.0,6.0
124,136393.0,Photo,1.0,10.0,7.0,6.0,0.0,677.0,1285.0,251.0,246.0,297.0,1210.0,615.0,211.0,0.0,7.0,,7.0
125,136393.0,Photo,1.0,10.0,7.0,5.0,0.0,677.0,1240.0,236.0,228.0,264.0,1098.0,580.0,196.0,0.0,7.0,2.0,9.0
126,136393.0,Photo,3.0,10.0,7.0,3.0,0.0,3366.0,6647.0,474.0,345.0,495.0,3180.0,1674.0,385.0,3.0,198.0,41.0,242.0
127,136393.0,Photo,1.0,10.0,6.0,13.0,0.0,747.0,1443.0,226.0,220.0,287.0,1252.0,632.0,194.0,0.0,9.0,1.0,10.0
128,136393.0,Photo,1.0,10.0,6.0,13.0,0.0,645.0,1117.0,195.0,192.0,224.0,989.0,554.0,166.0,0.0,4.0,1.0,5.0
129,136393.0,Photo,1.0,10.0,6.0,12.0,0.0,754.0,1510.0,206.0,205.0,252.0,1430.0,690.0,175.0,0.0,3.0,0.0,3.0
130,136393.0,Photo,1.0,10.0,6.0,11.0,0.0,910.0,1673.0,207.0,201.0,247.0,1503.0,782.0,176.0,0.0,8.0,2.0,10.0
131,136393.0,Photo,1.0,10.0,6.0,9.0,0.0,3906.0,8239.0,868.0,863.0,2632.0,7736.0,3768.0,774.0,0.0,7.0,3.0,10.0
132,136393.0,Photo,1.0,10.0,6.0,9.0,0.0,659.0,1158.0,199.0,194.0,239.0,1041.0,576.0,169.0,1.0,7.0,2.0,10.0
133,136393.0,Photo,1.0,10.0,6.0,8.0,0.0,652.0,1331.0,214.0,206.0,249.0,1249.0,588.0,182.0,0.0,11.0,1.0,12.0
134,136393.0,Photo,1.0,10.0,6.0,6.0,0.0,861.0,1565.0,214.0,192.0,239.0,1351.0,717.0,180.0,2.0,28.0,4.0,34.0
135,136393.0,Photo,1.0,10.0,6.0,2.0,0.0,3690.0,7659.0,424.0,388.0,644.0,6951.0,3290.0,377.0,0.0,56.0,12.0,68.0
136,136393.0,Link,1.0,10.0,5.0,10.0,0.0,4664.0,9463.0,204.0,182.0,251.0,7196.0,3324.0,173.0,0.0,32.0,16.0,48.0
137,136013.0,Photo,1.0,10.0,5.0,8.0,0.0,1080.0,2427.0,210.0,189.0,249.0,2195.0,934.0,184.0,4.0,32.0,3.0,39.0
138,136013.0,Status,2.0,10.0,5.0,3.0,0.0,8896.0,17202.0,1480.0,1426.0,1932.0,13838.0,7020.0,1292.0,0.0,129.0,25.0,154.0
139,136013.0,Photo,1.0,10.0,4.0,10.0,1.0,4018.0,8617.0,428.0,374.0,616.0,6677.0,2992.0,351.0,4.0,77.0,19.0,100.0
140,136013.0,Link,1.0,10.0,4.0,3.0,0.0,68992.0,229733.0,1032.0,975.0,1345.0,17842.0,8032.0,635.0,15.0,143.0,44.0,202.0
141,136013.0,Status,3.0,10.0,3.0,10.0,0.0,13152.0,25666.0,2543.0,2438.0,3179.0,20547.0,10280.0,2278.0,2.0,227.0,36.0,265.0
142,136013.0,Status,2.0,10.0,3.0,2.0,1.0,31136.0,59964.0,6164.0,5934.0,9237.0,35977.0,18048.0,4376.0,60.0,859.0,90.0,1009.0
143,136013.0,Photo,3.0,10.0,2.0,10.0,1.0,16776.0,39549.0,714.0,440.0,720.0,11860.0,6200.0,590.0,10.0,377.0,60.0,447.0
144,136013.0,Photo,1.0,10.0,2.0,3.0,1.0,50736.0,140432.0,1462.0,1450.0,8308.0,46252.0,15552.0,1275.0,3.0,41.0,9.0,53.0
145,136013.0,Photo,1.0,10.0,1.0,10.0,1.0,5324.0,11040.0,528.0,483.0,861.0,8627.0,4054.0,448.0,6.0,76.0,14.0,96.0
146,136013.0,Photo,3.0,10.0,1.0,3.0,0.0,18120.0,44940.0,421.0,282.0,463.0,4401.0,2616.0,327.0,0.0,189.0,15.0,204.0
147,135713.0,Photo,3.0,10.0,7.0,10.0,0.0,2291.0,3960.0,303.0,243.0,325.0,3020.0,1723.0,253.0,0.0,80.0,14.0,94.0
148,135713.0,Status,2.0,10.0,7.0,4.0,0.0,10744.0,20691.0,1967.0,1877.0,2201.0,17502.0,8964.0,1834.0,3.0,148.0,28.0,179.0
149,135713.0,Link,1.0,10.0,6.0,11.0,1.0,3616.0,6887.0,111.0,90.0,118.0,4263.0,2138.0,93.0,0.0,24.0,11.0,35.0
150,135713.0,Photo,1.0,10.0,6.0,4.0,0.0,39984.0,112830.0,2105.0,1921.0,3932.0,70249.0,21328.0,1609.0,24.0,302.0,41.0,367.0
151,135713.0,Photo,2.0,10.0,5.0,11.0,0.0,4010.0,7444.0,477.0,370.0,534.0,4406.0,2362.0,354.0,2.0,166.0,32.0,200.0
152,135713.0,Photo,2.0,10.0,5.0,4.0,1.0,6564.0,12097.0,806.0,602.0,957.0,7682.0,4024.0,563.0,47.0,358.0,49.0,454.0
153,135713.0,Photo,1.0,10.0,4.0,10.0,0.0,8612.0,20151.0,813.0,727.0,1390.0,16890.0,7208.0,630.0,7.0,161.0,25.0,193.0
154,135713.0,Photo,2.0,10.0,4.0,1.0,0.0,5568.0,10282.0,746.0,545.0,867.0,5696.0,3162.0,537.0,13.0,319.0,55.0,387.0
155,135700.0,Photo,2.0,9.0,3.0,7.0,0.0,1685.0,2999.0,322.0,295.0,424.0,1794.0,953.0,237.0,0.0,54.0,16.0,70.0
156,135700.0,Photo,2.0,9.0,2.0,11.0,0.0,3756.0,7094.0,469.0,408.0,613.0,4935.0,2556.0,365.0,16.0,117.0,30.0,163.0
157,135700.0,Photo,3.0,9.0,2.0,2.0,0.0,2656.0,4862.0,390.0,309.0,445.0,3273.0,1722.0,309.0,1.0,115.0,21.0,137.0
158,135700.0,Photo,2.0,9.0,1.0,10.0,0.0,5086.0,9493.0,622.0,509.0,757.0,6200.0,3298.0,489.0,30.0,187.0,35.0,252.0
159,135617.0,Photo,2.0,9.0,1.0,3.0,1.0,2055.0,3915.0,346.0,288.0,412.0,2970.0,1507.0,277.0,1.0,84.0,13.0,98.0
160,135617.0,Photo,3.0,9.0,7.0,9.0,0.0,9384.0,14948.0,757.0,452.0,652.0,11148.0,7020.0,604.0,6.0,363.0,40.0,409.0
161,135617.0,Photo,2.0,9.0,7.0,3.0,0.0,3992.0,7255.0,598.0,447.0,688.0,4428.0,2420.0,435.0,6.0,244.0,32.0,282.0
