d3mIndex,User_country,Nr._reviews,Nr._hotel_reviews,Helpful_votes,Score_target,Period_of_stay,Traveler_type,Pool,Gym,Tennis_court,Spa,Casino,Free_internet,Hotel_name,Hotel_stars,Nr._rooms,User_continent,Member_years,Review_month,Review_weekday
26,Canada,30.0,12.0,17.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,8.0,February,Friday
27,UK,87.0,18.0,36.0,3.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,3.0,February,Thursday
28,USA,26.0,10.0,28.0,5.0,Mar-May,Solo,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,1.0,March,Wednesday
29,Ireland,8.0,7.0,9.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,8.0,March,Wednesday
30,Canada,11.0,8.0,13.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,7.0,April,Friday
31,Australia,4.0,3.0,2.0,3.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Oceania,0.0,April,Friday
32,Canada,56.0,8.0,7.0,3.0,Mar-May,Solo,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,1.0,May,Tuesday
33,Egypt,13.0,12.0,8.0,3.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Africa,4.0,May,Wednesday
34,Australia,58.0,9.0,15.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Oceania,0.0,June,Saturday
35,Finland,20.0,7.0,4.0,3.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,6.0,June,Saturday
36,USA,70.0,27.0,24.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,6.0,July,Friday
37,Kenya,6.0,3.0,7.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Africa,1.0,July,Thursday
38,USA,290.0,263.0,299.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,10.0,August,Monday
39,USA,24.0,6.0,9.0,2.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,2.0,August,Wednesday
40,Jordan,29.0,8.0,21.0,3.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,2.0,September,Wednesday
41,Canada,20.0,5.0,59.0,3.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,8.0,September,Saturday
42,Netherlands,3.0,3.0,3.0,3.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,4.0,October,Saturday
43,Ireland,47.0,6.0,27.0,4.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,5.0,October,Monday
44,USA,35.0,8.0,19.0,4.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,6.0,November,Sunday
45,UK,6.0,0.0,4.0,4.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,1.0,November,Sunday
46,UK,74.0,47.0,54.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,7.0,December,Wednesday
47,Syria,34.0,8.0,30.0,3.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Asia,4.0,December,Tuesday
48,UK,576.0,43.0,340.0,3.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,3.0,January,Monday
49,USA,20.0,8.0,11.0,4.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,5.0,January,Saturday
50,USA,418.0,32.0,132.0,2.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,3.0,February,Tuesday
51,USA,73.0,13.0,22.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,2.0,February,Tuesday
52,Canada,30.0,10.0,32.0,3.0,Mar-May,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,2.0,March,Wednesday
53,USA,63.0,15.0,17.0,4.0,Mar-May,Business,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,2.0,March,Tuesday
54,Scotland,24.0,10.0,13.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,April,Wednesday
55,South Africa,54.0,18.0,16.0,2.0,Mar-May,Business,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Africa,5.0,April,Tuesday
56,Australia,20.0,7.0,11.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Oceania,2.0,May,Friday
57,UK,41.0,7.0,24.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,3.0,May,Monday
58,Ireland,7.0,5.0,7.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,9.0,June,Tuesday
59,Canada,13.0,9.0,15.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,1.0,June,Monday
60,UK,10.0,5.0,4.0,4.0,Jun-Aug,Families,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,1.0,July,Friday
61,New Zeland,9.0,6.0,19.0,3.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Oceania,7.0,July,Wednesday
62,Swiss,36.0,19.0,36.0,2.0,Jun-Aug,Solo,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,August,Thursday
63,UK,33.0,12.0,19.0,3.0,Jun-Aug,Families,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,August,Saturday
64,United Arab Emirates,156.0,126.0,142.0,3.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Asia,8.0,September,Friday
65,Ireland,19.0,17.0,16.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,September,Wednesday
66,USA,23.0,17.0,11.0,3.0,Sep-Nov,Families,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,1.0,October,Friday
67,USA,13.0,3.0,3.0,2.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,1.0,October,Sunday
68,Hungary,8.0,5.0,8.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,8.0,November,Friday
69,China,1.0,0.0,2.0,1.0,Sep-Nov,Business,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Asia,0.0,November,Wednesday
70,Greece,21.0,18.0,6.0,2.0,Dec-Feb,Business,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,0.0,December,Sunday
71,Mexico,56.0,14.0,36.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,3.0,December,Monday
72,Croatia,29.0,11.0,14.0,3.0,Dec-Feb,Business,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,6.0,January,Sunday
73,Australia,11.0,5.0,8.0,4.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,1.0,January,Thursday
74,Canada,19.0,12.0,167.0,4.0,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,9.0,February,Monday
75,USA,17.0,9.0,16.0,5.0,Dec-Feb,Solo,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,-1806.0,February,Monday
76,USA,43.0,8.0,20.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,1.0,March,Friday
77,Canada,12.0,8.0,3.0,4.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,March,Saturday
78,USA,15.0,14.0,7.0,4.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,9.0,April,Tuesday
79,Australia,16.0,13.0,16.0,3.0,Mar-May,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,6.0,April,Wednesday
80,India,12.0,4.0,25.0,3.0,Mar-May,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Asia,1.0,May,Friday
81,Germany,10.0,0.0,5.0,4.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,3.0,May,Sunday
82,USA,27.0,17.0,16.0,3.0,Jun-Aug,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,6.0,June,Thursday
83,Canada,6.0,5.0,5.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,June,Tuesday
84,Australia,21.0,20.0,14.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,3.0,July,Wednesday
85,Malaysia,43.0,14.0,27.0,4.0,Jun-Aug,Solo,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Asia,5.0,July,Thursday
86,Mexico,97.0,31.0,37.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,South America,8.0,August,Saturday
87,UK,7.0,3.0,4.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,5.0,August,Friday
88,UK,11.0,9.0,6.0,3.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,0.0,September,Friday
89,USA,78.0,11.0,30.0,4.0,Sep-Nov,Business,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,September,Tuesday
90,Australia,12.0,7.0,4.0,5.0,Sep-Nov,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,5.0,October,Monday
91,USA,27.0,11.0,5.0,3.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,October,Monday
92,Thailand,4.0,3.0,1.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Asia,7.0,November,Friday
93,Australia,27.0,9.0,8.0,4.0,Sep-Nov,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,2.0,November,Friday
94,Canada,12.0,3.0,7.0,4.0,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,4.0,December,Saturday
95,Canada,21.0,16.0,48.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,12.0,December,Thursday
96,UK,34.0,17.0,30.0,4.0,Dec-Feb,Families,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,8.0,January,Sunday
97,USA,12.0,6.0,1.0,5.0,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,North America,2.0,January,Sunday
98,Phillippines,79.0,39.0,51.0,3.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,5.0,February,Wednesday
99,Israel,18.0,10.0,16.0,3.0,Dec-Feb,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,2.0,February,Thursday
100,Canada,13.0,3.0,8.0,4.0,Mar-May,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,North America,3.0,March,Wednesday
101,UK,14.0,4.0,9.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,March,Friday
102,Ireland,19.0,9.0,28.0,5.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,3.0,April,Friday
103,India,88.0,15.0,103.0,4.0,Mar-May,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,3.0,April,Monday
104,New Zeland,8.0,4.0,0.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,1.0,May,Tuesday
105,Belgium,39.0,15.0,31.0,3.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,May,Sunday
106,UK,130.0,41.0,61.0,4.0,Jun-Aug,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,3.0,June,Tuesday
107,Australia,79.0,78.0,105.0,4.0,Jun-Aug,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,7.0,June,Wednesday
108,UK,13.0,10.0,16.0,4.0,Jun-Aug,Solo,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,10.0,July,Wednesday
109,UK,18.0,6.0,17.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,July,Monday
110,New Zeland,8.0,7.0,3.0,5.0,Jun-Aug,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,1.0,August,Saturday
111,Australia,15.0,4.0,6.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,0.0,August,Friday
112,Canada,27.0,0.0,9.0,1.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,North America,0.0,September,Tuesday
113,Australia,5.0,3.0,2.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,5.0,September,Wednesday
114,UK,22.0,6.0,6.0,5.0,Sep-Nov,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,October,Tuesday
115,USA,5.0,3.0,11.0,2.0,Sep-Nov,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,North America,1.0,October,Thursday
116,India,31.0,8.0,11.0,4.0,Sep-Nov,Solo,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,1.0,November,Sunday
117,Netherlands,33.0,8.0,8.0,5.0,Sep-Nov,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,7.0,November,Saturday
118,UK,10.0,6.0,11.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,4.0,December,Saturday
119,UK,12.0,3.0,3.0,5.0,Dec-Feb,Families,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,4.0,December,Thursday
120,USA,50.0,14.0,24.0,5.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,7.0,January,Wednesday
121,USA,161.0,33.0,85.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,January,Friday
122,Puerto Rico,153.0,38.0,81.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,10.0,February,Tuesday
123,Canada,14.0,3.0,12.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,February,Thursday
124,USA,31.0,12.0,10.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,4.0,March,Friday
125,USA,15.0,10.0,29.0,3.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,9.0,March,Friday
126,Canada,5.0,5.0,4.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,April,Thursday
127,USA,46.0,4.0,21.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,April,Saturday
128,UK,15.0,6.0,39.0,1.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,4.0,May,Sunday
129,UK,63.0,27.0,35.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,5.0,May,Wednesday
130,USA,17.0,15.0,13.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,June,Sunday
131,USA,25.0,22.0,36.0,1.0,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,9.0,June,Tuesday
132,USA,14.0,8.0,4.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,1.0,July,Monday
133,UK,59.0,56.0,37.0,3.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,6.0,July,Tuesday
134,UK,11.0,10.0,17.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,3.0,August,Friday
135,Canada,54.0,18.0,31.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,5.0,August,Wednesday
136,USA,4.0,3.0,4.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,September,Monday
137,USA,10.0,7.0,7.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,September,Tuesday
138,USA,14.0,6.0,7.0,5.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,11.0,October,Sunday
139,USA,39.0,12.0,16.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,October,Thursday
140,Australia,35.0,24.0,43.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Oceania,4.0,November,Sunday
141,Australia,6.0,6.0,9.0,3.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Oceania,0.0,November,Sunday
142,USA,23.0,7.0,2.0,4.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,December,Friday
143,USA,48.0,21.0,67.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,13.0,December,Sunday
144,Australia,16.0,9.0,14.0,4.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Oceania,3.0,January,Thursday
145,Australia,12.0,6.0,3.0,5.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Oceania,1.0,January,Thursday
146,Switzerland,36.0,9.0,15.0,4.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,2.0,February,Saturday
147,UK,127.0,40.0,80.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,8.0,February,Wednesday
148,USA,12.0,5.0,1.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,1.0,March,Monday
