d3mIndex,largest_spot_size,spot_distribution,Activity,Evolution,Previous_24_hour_flare_activity_code,Historically-complex,Did_region_become_historically_complex,Area,Area_of_the_largest_spot,C-class_flares_production_by_this_region,M-class_flares_production_by_this_region,X-class_flares_production_by_this_region,class
32,5,2,1,3,1,1,2,1,2,0,0,0,0
33,3,2,1,3,1,1,2,1,2,0,0,0,2
34,0,2,1,2,1,1,2,1,1,0,0,0,2
35,0,1,1,3,1,1,2,1,1,0,0,0,1
36,0,1,1,2,1,2,2,1,1,1,0,0,2
37,0,1,2,2,3,1,2,1,2,0,0,0,2
38,0,1,1,2,1,2,2,1,2,0,0,0,2
39,5,2,1,3,1,1,2,1,1,0,0,0,0
40,3,2,1,1,1,1,2,1,1,0,0,0,2
41,0,1,1,2,1,1,2,1,1,0,0,0,2
42,4,2,1,1,1,1,2,1,1,0,0,0,2
43,4,1,1,3,1,1,2,1,1,0,0,0,2
44,0,1,1,3,1,2,2,1,2,2,1,0,2
45,0,1,2,3,1,2,2,1,1,0,0,0,2
46,0,1,1,2,1,2,2,1,1,0,0,0,2
47,5,2,1,2,1,1,2,1,1,0,0,0,0
48,4,2,1,3,1,2,2,1,2,0,0,0,2
49,4,2,1,3,1,1,2,1,1,0,0,0,2
50,5,2,1,3,1,1,2,1,1,0,0,0,0
51,0,2,1,3,1,2,2,1,2,0,0,0,2
52,2,0,2,3,1,2,2,1,2,1,1,0,2
53,0,1,1,3,1,2,2,1,2,0,0,0,2
54,5,2,1,3,1,1,2,1,1,0,0,0,0
55,0,2,1,3,1,2,2,1,2,0,0,0,2
56,4,1,1,3,1,1,2,1,1,0,0,0,2
57,2,0,1,2,1,1,2,1,2,0,0,0,2
58,0,1,1,2,1,1,2,1,2,0,0,0,2
59,5,2,1,3,1,1,2,1,1,0,0,0,0
60,4,2,1,2,1,2,2,1,2,0,0,0,2
61,2,0,2,3,3,2,2,1,2,1,2,1,2
62,2,1,2,3,1,2,2,1,2,0,0,0,3
63,4,1,1,3,1,2,2,1,2,1,0,0,2
64,4,2,1,2,1,2,2,1,2,0,0,0,1
65,4,1,1,3,1,2,2,1,2,0,0,0,2
66,1,3,1,2,1,2,2,1,1,1,0,0,5
67,4,1,1,3,1,2,2,1,2,0,0,0,2
68,5,2,1,3,1,1,2,1,1,0,0,0,0
69,5,2,1,3,1,1,2,1,1,0,0,0,0
70,3,2,1,3,1,1,2,1,1,0,0,0,1
71,4,3,1,2,1,1,1,1,2,0,0,0,5
72,0,2,1,2,1,2,2,1,2,0,0,0,2
73,2,0,2,2,3,2,2,1,2,0,0,0,2
74,2,1,1,3,1,2,2,1,2,0,2,1,2
75,4,1,1,2,1,2,2,1,1,0,1,0,2
76,0,2,1,2,1,2,2,1,2,0,0,0,1
77,4,2,1,1,1,2,2,1,2,0,0,0,2
78,4,3,1,3,1,2,2,1,2,0,0,0,5
79,2,1,1,3,1,2,2,1,2,0,0,0,2
80,3,3,1,2,1,1,2,1,2,0,0,0,5
81,5,2,1,2,1,1,2,1,1,0,0,0,0
82,4,3,1,3,1,1,1,1,2,0,0,0,5
83,4,2,1,1,1,2,2,1,2,0,0,0,1
84,2,0,2,2,3,2,2,1,2,0,0,0,2
85,0,1,1,2,1,2,2,1,2,0,0,0,2
86,4,2,2,2,1,2,2,1,1,0,0,0,1
87,4,2,1,2,1,2,2,1,2,0,0,0,1
88,4,2,1,2,1,2,2,1,2,0,0,0,1
89,4,2,2,3,1,2,2,1,2,0,0,0,1
90,2,1,1,3,1,2,2,1,2,0,1,0,2
91,3,3,1,2,1,1,2,1,2,0,0,0,5
92,4,3,1,3,1,1,1,1,2,0,0,0,5
93,4,2,1,2,1,1,2,1,2,1,0,0,1
94,2,2,1,2,3,2,2,1,2,0,0,0,1
95,4,2,1,1,3,2,2,1,2,0,0,0,1
96,4,2,1,1,1,2,2,1,2,0,0,0,1
97,2,1,1,3,1,2,2,1,2,0,0,0,1
98,0,0,1,3,1,2,2,1,2,0,0,0,3
99,3,3,1,2,1,1,2,1,2,0,0,0,5
100,4,3,1,2,1,1,1,1,2,0,0,0,5
101,3,3,1,2,1,1,2,1,2,0,0,0,5
102,4,3,2,2,1,1,2,1,2,0,0,0,5
103,5,2,1,3,1,1,2,1,2,0,0,0,0
104,4,1,1,2,1,2,2,1,2,0,0,0,1
105,4,3,1,1,1,2,2,1,2,0,0,1,5
106,2,0,1,3,3,2,2,1,2,0,1,0,2
107,0,1,2,2,3,2,2,1,2,0,0,0,2
108,4,3,1,2,1,1,2,1,2,0,0,0,5
109,5,2,1,2,1,1,2,1,1,0,0,0,0
110,4,1,2,3,3,1,2,1,1,0,1,0,1
111,4,2,1,1,1,1,2,1,2,0,1,0,1
112,2,3,2,2,3,2,2,1,2,0,0,0,5
113,2,1,1,3,1,2,2,1,2,0,0,0,2
114,0,3,1,3,1,1,2,1,2,0,0,0,5
115,3,2,1,1,1,1,2,1,2,0,0,0,1
116,3,2,1,3,1,1,2,1,2,0,0,0,1
117,5,2,1,3,1,1,2,1,1,0,0,0,0
118,5,2,1,3,1,1,2,1,1,1,0,0,0
119,2,3,1,3,1,2,2,1,2,0,0,0,5
120,2,1,1,3,1,2,2,1,2,0,0,0,1
121,4,3,1,2,1,1,2,1,2,0,0,0,5
122,5,2,1,3,1,1,2,1,1,0,0,0,0
123,3,1,2,3,3,1,2,1,2,0,0,0,1
124,3,3,1,2,3,1,2,1,2,0,0,0,5
125,5,2,1,3,1,1,2,1,1,0,0,0,0
126,3,2,1,3,1,1,2,1,2,0,0,0,2
127,2,3,1,2,1,2,2,1,2,0,0,0,5
128,2,1,1,2,1,2,2,1,2,0,0,0,2
129,1,3,1,3,1,1,2,1,2,0,0,0,5
130,5,1,1,3,1,1,2,1,1,0,0,0,0
131,5,2,1,3,1,1,2,1,1,0,0,0,0
132,5,1,1,3,1,1,2,1,1,0,0,0,0
133,3,2,2,2,1,1,2,1,2,1,0,0,2
134,0,3,1,3,1,2,2,1,2,0,0,0,5
135,2,2,1,2,1,2,2,1,2,0,0,0,1
136,4,3,1,2,1,1,2,1,2,0,0,0,5
137,5,2,1,2,1,1,2,1,1,0,0,0,0
138,5,2,1,2,1,1,2,1,1,1,0,0,0
139,3,2,1,3,1,1,2,1,1,0,0,0,1
140,5,1,1,3,1,1,2,1,1,0,0,0,0
141,0,2,1,3,1,2,2,1,2,0,0,0,1
142,2,1,1,2,1,2,2,1,2,0,0,0,1
143,4,3,1,2,1,1,2,1,2,0,0,0,5
144,4,1,1,3,1,1,2,1,1,0,0,0,2
145,5,2,1,2,1,1,2,1,1,0,0,0,0
146,5,2,2,2,1,1,2,1,1,0,0,0,0
147,4,3,1,2,1,1,1,1,2,0,0,0,5
148,0,3,1,3,1,1,2,1,2,0,0,0,5
149,2,1,1,3,1,2,2,1,2,2,4,0,1
150,5,2,1,3,1,1,2,1,2,0,0,0,0
151,4,3,1,3,1,1,1,1,2,0,0,0,5
152,4,2,1,3,1,1,2,1,2,0,1,0,1
153,0,1,1,3,1,1,2,1,2,0,0,0,1
154,4,3,1,3,1,1,1,1,2,0,0,0,5
155,4,2,1,3,1,1,2,1,2,1,0,0,2
156,4,2,1,2,3,2,2,1,2,0,0,0,1
157,5,2,1,2,1,1,2,1,1,0,0,0,0
158,4,3,1,2,1,1,1,1,2,0,0,0,5
159,4,2,1,3,1,1,2,1,2,0,0,0,1
160,4,2,1,3,1,1,2,1,2,0,0,0,1
161,0,3,1,3,1,1,1,1,2,2,0,0,5
162,5,2,2,1,1,1,2,1,1,1,0,0,0
163,3,3,1,2,1,1,1,1,2,0,0,0,5
164,4,2,2,2,1,2,2,1,2,0,1,0,1
165,4,3,1,3,1,1,1,1,2,0,0,0,5
166,4,3,2,2,3,1,2,1,2,0,0,0,5
167,4,2,1,2,1,1,2,1,2,0,0,0,1
168,0,1,1,3,1,1,2,1,2,0,0,0,1
169,4,1,1,3,1,1,2,1,2,0,2,0,3
170,5,2,1,2,1,1,2,1,1,0,0,0,0
171,4,2,1,2,1,1,2,1,2,1,0,0,2
172,4,2,1,1,1,2,2,1,2,0,0,0,1
173,4,2,1,2,1,1,2,1,2,0,0,0,1
174,4,3,1,1,1,1,2,1,2,0,0,0,5
175,4,2,1,2,1,1,2,1,2,0,0,0,1
176,4,1,2,2,1,1,2,1,2,0,0,0,1
177,4,2,1,2,1,2,2,1,2,2,4,0,2
178,4,2,1,3,1,1,2,1,2,1,0,0,2
179,5,2,1,3,1,1,2,1,2,0,0,0,0
180,0,2,1,3,1,1,2,1,2,0,0,0,1
181,4,2,1,3,1,1,2,1,2,0,0,0,1
182,3,1,1,3,1,1,2,1,2,0,0,0,1
183,5,2,1,2,3,2,2,1,2,0,0,0,0
184,5,1,2,3,1,1,2,1,2,1,0,0,0
185,1,2,1,2,1,1,2,1,2,0,0,0,2
186,4,3,1,1,1,1,2,1,2,0,0,0,5
187,3,3,1,2,1,1,2,1,2,0,0,0,5
188,0,3,1,2,1,1,2,1,2,0,0,0,5
189,3,1,1,2,1,1,2,1,2,0,0,0,1
190,3,2,2,1,1,1,2,1,2,0,0,0,1
191,2,2,1,3,1,1,2,1,2,1,0,0,2
192,3,2,1,2,1,1,2,1,2,0,0,0,2
193,4,3,1,2,1,1,2,1,2,0,0,0,5
194,5,2,1,2,1,1,2,1,1,0,0,0,0
195,5,1,1,3,1,1,2,1,2,0,0,0,0
196,5,2,1,3,1,1,2,1,1,0,0,0,0
197,4,2,1,3,1,1,2,1,2,1,1,0,1
198,0,1,1,3,1,1,2,1,2,0,0,0,2
199,5,2,1,3,1,1,2,1,2,0,1,0,0
200,5,2,1,2,1,1,2,1,2,0,0,0,0
201,5,1,1,3,1,1,2,1,1,0,0,0,0
202,5,1,1,3,1,1,2,1,1,0,0,0,0
203,0,1,1,3,1,1,2,1,2,0,0,0,2
204,1,1,2,3,1,1,2,1,2,0,0,0,1
205,2,2,1,3,1,2,2,1,2,2,0,0,2
206,5,2,1,3,1,1,2,1,2,1,0,0,0
207,2,1,1,3,1,1,2,1,1,0,0,0,1
208,0,2,1,2,1,1,2,1,2,0,0,0,1
209,0,1,1,2,1,1,2,1,2,0,0,0,2
210,5,2,1,3,1,1,2,1,2,0,0,0,0
211,5,1,1,3,1,1,2,1,2,0,0,0,0
212,5,2,1,3,1,1,2,1,2,1,1,0,0
213,5,1,1,2,1,2,2,1,2,0,0,0,0
214,5,1,1,3,1,1,2,1,1,0,0,0,0
215,0,1,1,3,1,2,2,1,2,0,0,0,1
216,1,1,2,2,3,1,2,1,2,1,1,0,1
217,3,2,1,2,3,1,2,1,2,0,0,0,1
218,0,2,1,2,1,1,2,1,2,0,0,0,3
219,4,2,1,1,1,1,2,1,2,0,0,0,1
220,0,1,1,3,1,2,2,1,2,0,0,0,2
221,5,2,2,3,1,1,2,1,2,0,1,0,0
222,3,2,1,3,1,1,2,1,2,0,0,0,1
223,4,1,1,2,1,2,2,1,2,0,0,0,2
224,0,3,1,3,1,1,1,1,2,0,0,0,5
225,5,2,1,2,1,1,2,1,1,0,0,0,0
226,0,2,1,3,1,2,2,1,2,0,0,0,1
227,1,1,1,3,1,1,2,1,2,0,0,0,2
228,2,2,1,3,1,1,2,1,2,1,0,0,3
229,4,3,1,3,1,1,2,1,2,0,0,0,5
230,2,0,1,3,1,2,2,1,2,0,0,0,2
231,5,2,1,3,1,1,2,1,1,0,0,0,0
232,5,2,2,2,3,1,2,1,1,0,0,0,0
233,0,1,1,3,1,1,2,1,2,0,0,0,2
234,0,1,1,3,1,2,2,1,2,0,0,0,1
235,3,3,1,2,1,1,1,1,2,0,0,0,5
236,3,2,1,1,1,2,2,1,1,0,0,0,1
237,1,1,2,3,3,2,2,1,2,0,0,0,2
238,2,1,2,2,3,2,2,1,2,0,1,0,3
239,2,1,1,3,1,1,2,1,2,0,0,0,3
240,4,2,1,2,1,1,2,1,2,0,0,0,1
241,2,0,1,3,1,2,2,1,2,1,0,0,2
242,5,2,1,3,1,1,2,1,1,0,0,0,0
243,5,2,2,2,3,1,2,1,1,0,0,0,0
244,4,2,1,3,1,2,2,1,2,0,0,0,2
245,3,3,1,3,1,1,2,1,2,0,0,0,5
246,0,3,1,3,1,2,2,1,2,0,0,0,5
247,3,3,1,2,1,1,1,1,2,0,0,0,5
248,4,3,1,3,1,1,2,1,2,0,0,0,5
249,3,1,1,3,1,1,2,1,2,0,0,0,1
250,1,1,1,2,1,2,2,1,2,1,0,0,1
251,2,1,2,3,1,2,2,1,2,0,0,0,3
252,4,3,1,2,1,1,2,1,2,0,0,0,5
253,2,0,1,3,1,2,2,1,2,0,1,1,2
254,4,1,1,3,1,2,2,1,2,0,0,0,2
255,0,3,1,3,1,2,2,1,2,0,1,1,5
256,3,3,1,2,1,1,1,1,1,0,0,0,5
257,4,3,1,2,1,1,2,1,2,0,0,0,5
258,5,2,1,3,1,1,2,1,2,0,0,0,0
259,1,2,1,2,1,2,2,1,2,0,0,0,1
260,2,0,1,3,1,2,2,1,2,0,1,0,3
261,4,2,1,3,1,1,2,1,2,0,0,0,1
262,2,0,2,3,1,2,2,2,2,2,0,0,2
263,4,2,1,2,1,2,2,1,2,0,0,0,1
264,3,2,1,2,1,2,2,1,1,0,0,0,1
265,5,2,1,3,1,1,2,1,1,0,0,0,0
266,3,3,1,3,1,1,2,1,2,0,0,0,5
267,0,1,1,3,1,1,2,1,2,0,0,0,3
268,5,2,1,2,1,1,2,1,1,0,0,0,0
269,4,3,2,3,1,2,2,1,2,0,0,0,5
270,0,1,2,2,3,2,2,1,2,0,0,0,3
271,2,1,1,2,1,2,2,1,2,1,0,0,3
272,4,3,1,3,1,1,2,1,2,0,0,0,5
273,2,0,2,3,3,2,2,2,2,0,2,0,2
274,4,1,1,2,1,2,2,1,1,0,0,0,1
275,5,2,1,3,1,1,2,1,1,0,0,0,0
276,0,1,1,3,1,2,2,1,2,0,0,0,3
277,5,2,1,3,1,1,2,1,1,0,0,0,0
278,2,3,1,2,1,2,2,1,2,0,0,0,5
279,0,1,2,2,3,2,2,1,2,0,1,0,3
280,1,3,1,3,1,1,2,1,2,0,0,0,5
281,2,0,2,2,1,2,2,2,2,1,0,0,2
282,0,2,1,3,1,2,2,1,2,0,0,0,1
283,2,1,1,3,1,1,2,1,2,0,0,0,3
284,4,3,1,2,1,2,2,1,2,0,0,0,5
285,0,1,2,2,1,2,2,1,2,2,0,0,3
286,4,3,1,2,1,1,2,1,2,0,0,0,5
287,2,0,2,2,3,2,2,2,2,1,2,0,2
288,4,3,1,1,1,2,2,1,2,0,0,0,5
289,4,1,1,3,1,1,2,1,2,0,0,0,3
290,4,3,1,2,1,2,2,1,2,0,0,0,5
291,4,2,2,2,3,2,2,1,2,0,1,0,3
292,4,3,1,2,1,1,2,1,2,0,0,0,5
293,2,0,2,2,1,2,2,2,2,1,1,0,2
294,4,3,1,2,1,2,2,1,2,0,0,0,5
295,4,2,1,2,1,2,2,1,2,0,0,0,1
296,5,2,1,3,1,1,2,1,1,0,0,0,0
297,5,2,1,3,1,1,2,1,1,0,0,0,0
298,4,3,1,3,1,1,1,1,2,0,0,0,5
299,4,3,1,2,1,2,2,1,2,0,0,0,5
300,0,2,2,3,1,2,2,1,2,0,0,0,3
301,4,3,1,3,1,1,2,1,2,0,0,0,5
302,2,0,2,2,3,2,2,2,2,1,0,1,2
303,4,3,1,3,1,2,2,1,2,0,0,0,5
304,0,2,1,2,1,2,2,1,2,0,0,0,1
305,0,2,1,3,1,1,2,1,2,0,0,0,2
306,4,2,1,3,1,1,2,1,2,0,0,0,2
307,4,2,1,1,3,2,2,1,2,0,0,0,1
308,4,3,1,2,1,1,2,1,2,0,0,0,5
309,2,0,2,3,3,2,2,2,2,0,0,0,2
310,3,2,1,2,1,2,2,1,2,0,0,0,1
311,3,2,1,3,1,1,2,1,2,0,0,0,2
312,0,2,1,3,1,1,2,1,2,0,0,0,3
313,3,2,1,3,1,1,2,1,1,0,0,0,1
314,2,0,1,3,1,1,2,2,2,0,2,0,3
