d3mIndex,ID,length,even_odd,first_char_vowel,second_char_vowel,vowels,consonants,vowel_consonant_ratio,spaces,dots,words,class
94,95.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
95,96.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
96,97.0,20.0,1,1,0,8.0,11.0,0.73,1.0,0.0,2.0,-
97,98.0,18.0,1,0,0,5.0,10.0,0.5,2.0,1.0,3.0,-
98,99.0,13.0,0,0,0,3.0,6.0,0.5,2.0,2.0,3.0,-
99,100.0,14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,+
100,101.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
101,102.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
102,103.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
103,104.0,21.0,0,0,1,9.0,10.0,0.9,2.0,0.0,3.0,+
104,105.0,18.0,1,0,1,7.0,10.0,0.7,1.0,0.0,2.0,+
105,106.0,12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,+
106,107.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
107,108.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
108,109.0,9.0,0,0,1,2.0,6.0,0.33,1.0,0.0,2.0,+
109,110.0,10.0,1,0,1,5.0,4.0,1.25,1.0,0.0,2.0,+
110,111.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
111,112.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
112,113.0,18.0,1,0,1,5.0,12.0,0.42,1.0,0.0,2.0,+
113,114.0,9.0,0,0,1,3.0,5.0,0.6,1.0,0.0,2.0,+
114,115.0,12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,+
115,116.0,13.0,0,0,1,3.0,7.0,0.43,2.0,1.0,3.0,+
116,117.0,12.0,1,0,1,3.0,6.0,0.5,2.0,1.0,3.0,+
117,118.0,12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,+
118,119.0,15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,+
119,120.0,16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,+
120,121.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
121,122.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
122,123.0,16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,+
123,124.0,17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,+
124,125.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
125,126.0,16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,+
126,127.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
127,128.0,15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,+
128,129.0,13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,-
129,130.0,12.0,1,0,1,4.0,5.0,0.8,2.0,1.0,3.0,+
130,131.0,8.0,1,0,1,2.0,5.0,0.4,1.0,0.0,2.0,+
131,132.0,17.0,0,0,1,5.0,11.0,0.45,1.0,0.0,2.0,+
132,133.0,10.0,1,0,1,4.0,5.0,0.8,1.0,0.0,2.0,+
133,134.0,13.0,0,0,1,6.0,6.0,1.0,1.0,0.0,2.0,+
134,135.0,8.0,1,0,1,2.0,5.0,0.4,1.0,0.0,2.0,+
135,136.0,15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,+
136,137.0,16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,+
137,138.0,15.0,0,0,0,4.0,8.0,0.5,2.0,1.0,3.0,-
138,139.0,25.0,0,0,0,8.0,16.0,0.5,1.0,0.0,2.0,-
139,140.0,17.0,0,0,0,3.0,11.0,0.27,2.0,1.0,3.0,-
140,141.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
141,142.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
142,143.0,10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,+
143,144.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
144,145.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,+
145,146.0,21.0,0,0,1,7.0,12.0,0.58,2.0,0.0,3.0,+
146,147.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,+
147,148.0,16.0,1,0,1,6.0,9.0,0.67,1.0,0.0,2.0,+
148,149.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
149,150.0,14.0,1,0,1,6.0,7.0,0.86,1.0,0.0,2.0,+
150,151.0,15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,+
151,152.0,13.0,0,0,0,3.0,7.0,0.43,2.0,1.0,3.0,-
152,153.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,+
153,154.0,15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,+
154,155.0,17.0,0,0,1,5.0,9.0,0.56,2.0,1.0,3.0,+
155,156.0,15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,+
156,157.0,18.0,1,0,1,6.0,11.0,0.55,1.0,0.0,2.0,+
157,158.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
158,159.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
159,160.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
160,161.0,16.0,1,0,1,4.0,11.0,0.36,1.0,0.0,2.0,+
161,162.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
162,163.0,14.0,1,0,1,3.0,8.0,0.38,2.0,1.0,3.0,+
163,164.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
164,165.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
165,166.0,15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,+
166,167.0,13.0,0,0,1,5.0,6.0,0.83,2.0,0.0,3.0,+
167,168.0,14.0,1,0,1,7.0,6.0,1.17,1.0,0.0,2.0,+
168,169.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
169,170.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
170,171.0,19.0,0,0,1,7.0,9.0,0.78,2.0,1.0,3.0,+
171,172.0,16.0,1,0,1,3.0,10.0,0.3,2.0,1.0,3.0,+
172,173.0,18.0,1,0,1,6.0,9.0,0.67,2.0,1.0,3.0,+
173,174.0,17.0,0,0,1,6.0,8.0,0.75,2.0,1.0,3.0,+
174,175.0,18.0,1,0,1,7.0,8.0,0.88,2.0,1.0,3.0,+
175,176.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
176,177.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
177,178.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
178,179.0,17.0,0,0,1,5.0,9.0,0.56,2.0,1.0,3.0,+
179,180.0,18.0,1,0,1,7.0,8.0,0.88,3.0,0.0,4.0,+
180,181.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
181,182.0,12.0,1,0,1,6.0,5.0,1.2,1.0,0.0,2.0,+
182,183.0,10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,+
183,184.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
184,185.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
185,186.0,15.0,0,0,0,5.0,9.0,0.56,1.0,0.0,2.0,-
186,187.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
187,188.0,9.0,0,0,1,5.0,3.0,1.67,1.0,0.0,2.0,+
188,189.0,18.0,1,0,1,7.0,10.0,0.7,1.0,0.0,2.0,+
189,190.0,10.0,1,0,1,4.0,5.0,0.8,1.0,0.0,2.0,+
190,191.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
191,192.0,16.0,1,0,1,6.0,9.0,0.67,1.0,0.0,2.0,+
192,193.0,19.0,0,0,1,8.0,10.0,0.8,1.0,0.0,2.0,+
193,194.0,16.0,1,0,1,7.0,8.0,0.88,1.0,0.0,2.0,+
194,195.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
195,196.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
196,197.0,10.0,1,1,0,4.0,5.0,0.8,1.0,0.0,2.0,-
197,198.0,14.0,1,1,0,6.0,6.0,1.0,2.0,0.0,3.0,-
198,199.0,15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,+
199,200.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
200,201.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
201,202.0,18.0,1,0,1,6.0,9.0,0.67,2.0,1.0,3.0,+
202,203.0,17.0,0,0,1,3.0,11.0,0.27,2.0,1.0,3.0,+
203,204.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
204,205.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
205,206.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,+
206,207.0,16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,+
207,208.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,+
208,209.0,9.0,0,0,0,2.0,6.0,0.33,1.0,0.0,2.0,-
209,210.0,11.0,0,0,0,3.0,7.0,0.43,1.0,0.0,2.0,-
210,211.0,16.0,1,0,0,6.0,9.0,0.67,1.0,0.0,2.0,-
211,212.0,19.0,0,0,0,6.0,12.0,0.5,1.0,0.0,2.0,-
212,213.0,18.0,1,0,0,4.0,11.0,0.36,2.0,1.0,3.0,-
213,214.0,13.0,0,0,0,4.0,6.0,0.67,2.0,1.0,3.0,-
214,215.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,+
215,216.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
216,217.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
217,218.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
218,219.0,18.0,1,0,1,7.0,8.0,0.88,2.0,1.0,3.0,+
219,220.0,17.0,0,0,1,4.0,10.0,0.4,2.0,1.0,3.0,+
220,221.0,15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,+
221,222.0,15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,+
222,223.0,14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,+
223,224.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
224,225.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
225,226.0,17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,+
226,227.0,13.0,0,0,1,6.0,6.0,1.0,1.0,0.0,2.0,+
227,228.0,10.0,1,0,1,4.0,5.0,0.8,1.0,0.0,2.0,+
228,229.0,16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,+
229,230.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
230,231.0,16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,+
231,232.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
232,233.0,13.0,0,0,1,3.0,9.0,0.33,1.0,0.0,2.0,+
233,234.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
234,235.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
235,236.0,18.0,1,0,1,5.0,11.0,0.45,2.0,0.0,3.0,+
236,237.0,16.0,1,0,0,5.0,8.0,0.62,2.0,1.0,3.0,-
237,238.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
238,239.0,15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,+
239,240.0,13.0,0,0,1,3.0,9.0,0.33,1.0,0.0,2.0,+
240,241.0,14.0,1,0,0,5.0,8.0,0.62,1.0,0.0,2.0,-
241,242.0,16.0,1,0,0,5.0,10.0,0.5,1.0,0.0,2.0,-
242,243.0,12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,-
243,244.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
244,245.0,18.0,1,0,0,5.0,10.0,0.5,2.0,1.0,3.0,-
245,246.0,17.0,0,0,0,6.0,10.0,0.6,1.0,0.0,2.0,-
246,247.0,11.0,0,0,0,3.0,7.0,0.43,1.0,0.0,2.0,-
247,248.0,13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,-
248,249.0,13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,-
249,250.0,12.0,1,0,0,3.0,8.0,0.38,1.0,0.0,2.0,-
250,251.0,17.0,0,0,0,5.0,11.0,0.45,1.0,0.0,2.0,-
251,252.0,14.0,1,0,0,5.0,6.0,0.83,2.0,1.0,3.0,-
252,253.0,13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,-
253,254.0,15.0,0,0,0,4.0,10.0,0.4,1.0,0.0,2.0,-
254,255.0,16.0,1,0,0,4.0,9.0,0.44,2.0,1.0,3.0,-
255,256.0,14.0,1,0,0,4.0,9.0,0.44,1.0,0.0,2.0,-
256,257.0,16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,+
257,258.0,17.0,0,0,1,8.0,8.0,1.0,1.0,0.0,2.0,+
258,259.0,12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,+
259,260.0,12.0,1,0,1,7.0,4.0,1.75,1.0,0.0,2.0,+
260,261.0,12.0,1,0,1,6.0,5.0,1.2,1.0,0.0,2.0,+
261,262.0,18.0,1,0,0,6.0,9.0,0.67,2.0,1.0,3.0,-
262,263.0,13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,-
263,264.0,20.0,1,0,0,6.0,11.0,0.55,2.0,1.0,3.0,-
264,265.0,19.0,0,0,0,4.0,12.0,0.33,2.0,1.0,3.0,-
265,266.0,15.0,0,0,0,5.0,9.0,0.56,1.0,0.0,2.0,-
266,267.0,15.0,0,0,0,5.0,9.0,0.56,1.0,0.0,2.0,-
267,268.0,17.0,0,0,1,4.0,10.0,0.4,2.0,1.0,3.0,+
268,269.0,12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,+
269,270.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
270,271.0,11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,+
271,272.0,15.0,0,0,1,3.0,9.0,0.33,2.0,1.0,3.0,+
272,273.0,20.0,1,0,1,8.0,11.0,0.73,1.0,0.0,2.0,+
273,274.0,12.0,1,1,0,5.0,6.0,0.83,1.0,0.0,2.0,-
274,275.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
275,276.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
276,277.0,7.0,0,0,1,3.0,3.0,1.0,1.0,0.0,2.0,+
277,278.0,13.0,0,0,1,3.0,7.0,0.43,2.0,1.0,3.0,+
278,279.0,11.0,0,0,1,5.0,4.0,1.25,2.0,0.0,3.0,+
279,280.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
280,281.0,17.0,0,0,1,7.0,7.0,1.0,2.0,1.0,3.0,+
281,282.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
282,283.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
283,284.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
284,285.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,+
285,286.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,+
286,287.0,12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,-
287,288.0,11.0,0,0,1,5.0,5.0,1.0,1.0,0.0,2.0,+
288,289.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
289,290.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
290,291.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
291,292.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
292,293.0,15.0,0,0,1,7.0,7.0,1.0,1.0,0.0,2.0,+
293,294.0,13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,-
