d3mIndex,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,binaryClass
47,810.0,1000.0,5000.0,0.0,1.0,1.0,P
48,320.0,512.0,8000.0,4.0,1.0,5.0,P
49,200.0,512.0,8000.0,8.0,1.0,8.0,P
50,700.0,384.0,8000.0,0.0,1.0,1.0,P
51,700.0,256.0,2000.0,0.0,1.0,1.0,P
52,140.0,1000.0,16000.0,16.0,1.0,3.0,N
53,200.0,1000.0,8000.0,0.0,1.0,2.0,P
54,110.0,1000.0,4000.0,16.0,1.0,2.0,P
55,110.0,1000.0,12000.0,16.0,1.0,2.0,P
56,220.0,1000.0,8000.0,16.0,1.0,2.0,P
57,800.0,256.0,8000.0,0.0,1.0,4.0,P
58,800.0,256.0,8000.0,0.0,1.0,4.0,P
59,800.0,256.0,8000.0,0.0,1.0,4.0,P
60,800.0,256.0,8000.0,0.0,1.0,4.0,P
61,800.0,256.0,8000.0,0.0,1.0,4.0,P
62,125.0,512.0,1000.0,0.0,8.0,20.0,P
63,75.0,2000.0,8000.0,64.0,1.0,38.0,N
64,75.0,2000.0,16000.0,64.0,1.0,38.0,N
65,75.0,2000.0,16000.0,128.0,1.0,38.0,N
66,90.0,256.0,1000.0,0.0,3.0,10.0,P
67,105.0,256.0,2000.0,0.0,3.0,10.0,P
68,105.0,1000.0,4000.0,0.0,3.0,24.0,P
69,105.0,2000.0,4000.0,8.0,3.0,19.0,P
70,75.0,2000.0,8000.0,8.0,3.0,24.0,P
71,75.0,3000.0,8000.0,8.0,3.0,48.0,P
72,175.0,256.0,2000.0,0.0,3.0,24.0,P
73,300.0,768.0,3000.0,0.0,6.0,24.0,P
74,300.0,768.0,3000.0,6.0,6.0,24.0,P
75,300.0,768.0,12000.0,6.0,6.0,24.0,P
76,300.0,768.0,4500.0,0.0,1.0,24.0,P
77,300.0,384.0,12000.0,6.0,1.0,24.0,P
78,300.0,192.0,768.0,6.0,6.0,24.0,P
79,180.0,768.0,12000.0,6.0,1.0,31.0,P
80,330.0,1000.0,3000.0,0.0,2.0,4.0,P
81,300.0,1000.0,4000.0,8.0,3.0,64.0,P
82,300.0,1000.0,16000.0,8.0,2.0,112.0,P
83,330.0,1000.0,2000.0,0.0,1.0,2.0,P
84,330.0,1000.0,4000.0,0.0,3.0,6.0,P
85,140.0,2000.0,4000.0,0.0,3.0,6.0,P
86,140.0,2000.0,4000.0,0.0,4.0,8.0,P
87,140.0,2000.0,4000.0,8.0,1.0,20.0,P
88,140.0,2000.0,32000.0,32.0,1.0,20.0,N
89,140.0,2000.0,8000.0,32.0,1.0,54.0,P
90,140.0,2000.0,32000.0,32.0,1.0,54.0,N
91,140.0,2000.0,32000.0,32.0,1.0,54.0,N
92,140.0,2000.0,4000.0,8.0,1.0,20.0,P
93,57.0,4000.0,16000.0,1.0,6.0,12.0,N
94,57.0,4000.0,24000.0,64.0,12.0,16.0,N
95,26.0,16000.0,32000.0,64.0,16.0,24.0,N
96,26.0,16000.0,32000.0,64.0,8.0,24.0,N
97,26.0,8000.0,32000.0,0.0,8.0,24.0,N
98,26.0,8000.0,16000.0,0.0,8.0,16.0,N
99,480.0,96.0,512.0,0.0,1.0,1.0,P
100,203.0,1000.0,2000.0,0.0,1.0,5.0,P
101,115.0,512.0,6000.0,16.0,1.0,6.0,P
102,1100.0,512.0,1500.0,0.0,1.0,1.0,P
103,1100.0,768.0,2000.0,0.0,1.0,1.0,P
104,600.0,768.0,2000.0,0.0,1.0,1.0,P
105,400.0,2000.0,4000.0,0.0,1.0,1.0,P
106,400.0,4000.0,8000.0,0.0,1.0,1.0,P
107,900.0,1000.0,1000.0,0.0,1.0,2.0,P
108,900.0,512.0,1000.0,0.0,1.0,2.0,P
109,900.0,1000.0,4000.0,4.0,1.0,2.0,P
110,900.0,1000.0,4000.0,8.0,1.0,2.0,P
111,900.0,2000.0,4000.0,0.0,3.0,6.0,P
112,225.0,2000.0,4000.0,8.0,3.0,6.0,P
113,225.0,2000.0,4000.0,8.0,3.0,6.0,P
114,180.0,2000.0,8000.0,8.0,1.0,6.0,P
115,185.0,2000.0,16000.0,16.0,1.0,6.0,P
116,180.0,2000.0,16000.0,16.0,1.0,6.0,P
117,225.0,1000.0,4000.0,2.0,3.0,6.0,P
118,25.0,2000.0,12000.0,8.0,1.0,4.0,P
119,25.0,2000.0,12000.0,16.0,3.0,5.0,P
120,17.0,4000.0,16000.0,8.0,6.0,12.0,P
121,17.0,4000.0,16000.0,32.0,6.0,12.0,N
122,1500.0,768.0,1000.0,0.0,0.0,0.0,P
123,1500.0,768.0,2000.0,0.0,0.0,0.0,P
124,800.0,768.0,2000.0,0.0,0.0,0.0,P
125,50.0,2000.0,4000.0,0.0,3.0,6.0,P
126,50.0,2000.0,8000.0,8.0,3.0,6.0,P
127,50.0,2000.0,8000.0,8.0,1.0,6.0,P
128,50.0,2000.0,16000.0,24.0,1.0,6.0,P
129,50.0,2000.0,16000.0,24.0,1.0,6.0,P
130,50.0,8000.0,16000.0,48.0,1.0,10.0,N
131,100.0,1000.0,8000.0,0.0,2.0,6.0,P
132,100.0,1000.0,8000.0,24.0,2.0,6.0,P
133,100.0,1000.0,8000.0,24.0,3.0,6.0,P
134,50.0,2000.0,16000.0,12.0,3.0,16.0,P
135,50.0,2000.0,16000.0,24.0,6.0,16.0,P
136,50.0,2000.0,16000.0,24.0,6.0,16.0,P
137,150.0,512.0,4000.0,0.0,8.0,128.0,P
138,115.0,2000.0,8000.0,16.0,1.0,3.0,P
139,115.0,2000.0,4000.0,2.0,1.0,5.0,P
140,92.0,2000.0,8000.0,32.0,1.0,6.0,P
141,92.0,2000.0,8000.0,32.0,1.0,6.0,P
142,92.0,2000.0,8000.0,4.0,1.0,6.0,P
143,75.0,4000.0,16000.0,16.0,1.0,6.0,P
144,60.0,4000.0,16000.0,32.0,1.0,6.0,P
145,60.0,2000.0,16000.0,64.0,5.0,8.0,P
146,60.0,4000.0,16000.0,64.0,5.0,8.0,P
147,50.0,4000.0,16000.0,64.0,5.0,10.0,N
148,72.0,4000.0,16000.0,64.0,8.0,16.0,N
149,72.0,2000.0,8000.0,16.0,6.0,8.0,P
150,40.0,8000.0,16000.0,32.0,8.0,16.0,N
151,40.0,8000.0,32000.0,64.0,8.0,24.0,N
152,35.0,8000.0,32000.0,64.0,8.0,24.0,N
153,38.0,16000.0,32000.0,128.0,16.0,32.0,N
154,48.0,4000.0,24000.0,32.0,8.0,24.0,N
155,38.0,8000.0,32000.0,64.0,8.0,24.0,N
156,30.0,16000.0,32000.0,256.0,16.0,24.0,N
157,112.0,1000.0,1000.0,0.0,1.0,4.0,P
158,84.0,1000.0,2000.0,0.0,1.0,6.0,P
159,56.0,1000.0,4000.0,0.0,1.0,6.0,P
160,56.0,2000.0,6000.0,0.0,1.0,8.0,P
161,56.0,2000.0,8000.0,0.0,1.0,8.0,P
162,56.0,4000.0,8000.0,0.0,1.0,8.0,P
163,56.0,4000.0,12000.0,0.0,1.0,8.0,P
164,56.0,4000.0,16000.0,0.0,1.0,8.0,P
165,38.0,4000.0,8000.0,32.0,16.0,32.0,P
166,38.0,4000.0,8000.0,32.0,16.0,32.0,N
167,38.0,8000.0,16000.0,64.0,4.0,8.0,P
168,38.0,8000.0,24000.0,160.0,4.0,8.0,N
169,38.0,4000.0,16000.0,128.0,16.0,32.0,N
170,200.0,1000.0,2000.0,0.0,1.0,2.0,P
171,200.0,1000.0,4000.0,0.0,1.0,4.0,P
172,200.0,2000.0,8000.0,64.0,1.0,5.0,P
173,250.0,512.0,4000.0,0.0,1.0,7.0,P
174,250.0,512.0,4000.0,0.0,4.0,7.0,P
175,250.0,1000.0,16000.0,1.0,1.0,8.0,P
176,160.0,512.0,4000.0,2.0,1.0,5.0,P
177,160.0,512.0,2000.0,2.0,3.0,8.0,P
178,160.0,1000.0,4000.0,8.0,1.0,14.0,P
179,160.0,1000.0,8000.0,16.0,1.0,14.0,P
180,160.0,2000.0,8000.0,32.0,1.0,13.0,N
181,240.0,512.0,1000.0,8.0,1.0,3.0,P
182,240.0,512.0,2000.0,8.0,1.0,5.0,P
183,105.0,2000.0,4000.0,8.0,3.0,8.0,P
184,105.0,2000.0,6000.0,16.0,6.0,16.0,P
185,105.0,2000.0,8000.0,16.0,4.0,14.0,P
186,52.0,4000.0,16000.0,32.0,4.0,12.0,N
187,70.0,4000.0,12000.0,8.0,6.0,8.0,P
188,59.0,4000.0,12000.0,32.0,6.0,12.0,N
189,59.0,8000.0,16000.0,64.0,12.0,24.0,N
190,26.0,8000.0,24000.0,32.0,8.0,16.0,N
191,26.0,8000.0,32000.0,64.0,12.0,16.0,N
192,26.0,8000.0,32000.0,128.0,24.0,32.0,N
193,116.0,2000.0,8000.0,32.0,5.0,28.0,P
194,50.0,2000.0,32000.0,24.0,6.0,26.0,N
195,50.0,2000.0,32000.0,48.0,26.0,52.0,N
196,50.0,2000.0,32000.0,112.0,52.0,104.0,N
197,50.0,4000.0,32000.0,112.0,52.0,104.0,N
198,30.0,8000.0,64000.0,96.0,12.0,176.0,N
199,30.0,8000.0,64000.0,128.0,12.0,176.0,N
200,180.0,262.0,4000.0,0.0,1.0,3.0,P
201,180.0,512.0,4000.0,0.0,1.0,3.0,P
202,180.0,262.0,4000.0,0.0,1.0,3.0,P
203,180.0,512.0,4000.0,0.0,1.0,3.0,P
204,124.0,1000.0,8000.0,0.0,1.0,8.0,P
205,98.0,1000.0,8000.0,32.0,2.0,8.0,P
206,125.0,2000.0,8000.0,0.0,2.0,14.0,P
207,480.0,512.0,8000.0,32.0,0.0,0.0,P
208,480.0,1000.0,4000.0,0.0,0.0,0.0,P
