d3mIndex,age,workclass,fnlwgt,education,educationNum,maritalStatus,occupation,relationship,race,sex,capitalGain,capitalLoss,hoursPerWeek,nativeCountry,label
17,30.0,Private,211028.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45.0,United-States,-1
18,44.0,Private,118550.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,33.0,United-States,-1
19,25.0,Private,304032.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,36.0,United-States,-1
20,28.0,Private,190525.0,Masters,14.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
21,30.0,Self-emp-not-inc,176185.0,Some-college,10.0,Married-spouse-absent,Craft-repair,Own-child,White,Male,0.0,0.0,60.0,United-States,1
22,33.0,Private,402848.0,HS-grad,9.0,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,0.0,0.0,32.0,United-States,-1
23,48.0,Private,195554.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298.0,0.0,40.0,United-States,1
24,44.0,Private,68748.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,-1
25,32.0,Private,98656.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
26,33.0,Private,427812.0,9th,5.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,Puerto-Rico,-1
27,24.0,Private,204172.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,48.0,United-States,-1
28,59.0,Private,178282.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7688.0,0.0,40.0,United-States,1
29,59.0,Federal-gov,212448.0,HS-grad,9.0,Widowed,Sales,Unmarried,White,Female,0.0,0.0,40.0,Germany,-1
30,27.0,Private,48894.0,Assoc-acdm,12.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,42.0,United-States,-1
31,49.0,Private,102945.0,7th-8th,4.0,Widowed,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
32,48.0,Local-gov,67716.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,50.0,United-States,1
33,35.0,Private,66297.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,Philippines,1
34,62.0,Private,119684.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,2829.0,0.0,28.0,United-States,-1
35,23.0,Private,194630.0,HS-grad,9.0,Separated,Machine-op-inspct,Own-child,White,Male,0.0,0.0,53.0,United-States,-1
36,47.0,Local-gov,166863.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
37,52.0,Self-emp-inc,224763.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,Cuba,-1
38,39.0,Federal-gov,206190.0,HS-grad,9.0,Never-married,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States,-1
39,58.0,Private,210673.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,1
40,34.0,Private,198613.0,Masters,14.0,Never-married,Exec-managerial,Own-child,White,Male,4650.0,0.0,40.0,United-States,-1
41,62.0,Self-emp-not-inc,369734.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,-1
42,35.0,Private,108293.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,2205.0,40.0,United-States,-1
43,17.0,Private,127366.0,10th,6.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,-1
44,32.0,Private,34066.0,10th,6.0,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,-1
45,44.0,Private,402718.0,1st-4th,2.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,Mexico,-1
46,58.0,Private,242670.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,-1
47,40.0,Private,209547.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1977.0,60.0,United-States,1
48,36.0,Private,34744.0,Assoc-acdm,12.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,37.0,United-States,-1
49,47.0,Private,849067.0,12th,8.0,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,-1
50,47.0,Private,331650.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,1
51,38.0,Private,187999.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,1
52,28.0,Local-gov,175796.0,Assoc-acdm,12.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
53,25.0,Private,405281.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
54,58.0,Private,170290.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,35.0,United-States,-1
55,40.0,Self-emp-inc,182437.0,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,15024.0,0.0,50.0,United-States,1
56,25.0,Self-emp-inc,158751.0,Assoc-voc,11.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,55.0,United-States,-1
57,38.0,Private,176335.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
58,36.0,Private,152307.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,-1
59,57.0,Self-emp-not-inc,291167.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,-1
60,35.0,Private,122353.0,11th,7.0,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,40.0,United-States,-1
61,38.0,Private,60313.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
62,32.0,Private,337908.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,Black,Female,0.0,0.0,30.0,United-States,-1
63,32.0,Local-gov,230912.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,4865.0,0.0,40.0,United-States,-1
64,43.0,Private,174575.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,1564.0,45.0,United-States,1
65,43.0,Private,220776.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35.0,United-States,1
66,39.0,Self-emp-not-inc,29874.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,54.0,United-States,-1
67,36.0,Private,68798.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,30.0,United-States,-1
68,43.0,Private,288829.0,Assoc-voc,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,1902.0,42.0,United-States,1
69,36.0,Private,163396.0,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,1
70,60.0,Private,220729.0,7th-8th,4.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,-1
71,55.0,Private,326297.0,HS-grad,9.0,Separated,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25.0,United-States,-1
72,50.0,Private,767403.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103.0,0.0,40.0,United-States,1
73,51.0,Private,74784.0,Bachelors,13.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,60.0,United-States,-1
74,43.0,Self-emp-not-inc,260696.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,20.0,United-States,-1
75,43.0,Local-gov,180407.0,Bachelors,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,42.0,Germany,-1
76,33.0,Private,202339.0,11th,7.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,34.0,United-States,-1
77,54.0,Self-emp-not-inc,192654.0,Bachelors,13.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,65.0,United-States,-1
78,42.0,Self-emp-not-inc,98061.0,Assoc-voc,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,-1
79,38.0,Private,374524.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
80,55.0,Private,200453.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,-1
81,38.0,Private,66326.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,99.0,United-States,-1
82,22.0,Private,200973.0,Assoc-acdm,12.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,12.0,United-States,-1
83,51.0,Self-emp-not-inc,136322.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,1579.0,40.0,United-States,-1
84,34.0,Private,209900.0,10th,6.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
85,26.0,Private,103700.0,Some-college,10.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40.0,United-States,-1
86,35.0,Federal-gov,245372.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
87,73.0,Private,349347.0,7th-8th,4.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,25.0,United-States,-1
88,49.0,Private,96854.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Male,0.0,0.0,40.0,United-States,-1
89,38.0,Local-gov,339442.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,-1
90,29.0,Private,49087.0,Assoc-voc,11.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,-1
91,33.0,Self-emp-not-inc,398874.0,Bachelors,13.0,Never-married,Tech-support,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
92,53.0,Private,144361.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38.0,United-States,-1
93,34.0,Private,538243.0,Some-college,10.0,Separated,Tech-support,Unmarried,Black,Female,0.0,0.0,40.0,United-States,-1
94,61.0,Private,298400.0,Bachelors,13.0,Divorced,Sales,Not-in-family,Black,Male,4787.0,0.0,48.0,United-States,1
95,47.0,Private,345493.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999.0,0.0,55.0,Taiwan,1
96,27.0,Private,155057.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1
97,32.0,Private,347112.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45.0,United-States,-1
98,31.0,Private,88231.0,Bachelors,13.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
99,20.0,Private,419984.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,25.0,United-States,-1
100,31.0,State-gov,203572.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,30.0,United-States,-1
101,39.0,Local-gov,30269.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,44.0,United-States,1
102,19.0,State-gov,127085.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,10.0,United-States,-1
103,58.0,Private,172238.0,HS-grad,9.0,Widowed,Exec-managerial,Unmarried,White,Female,0.0,0.0,50.0,United-States,-1
104,23.0,Private,199419.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,20.0,United-States,-1
105,58.0,Private,197114.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,-1
106,25.0,Private,410240.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
107,49.0,Private,144514.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1887.0,45.0,United-States,1
108,19.0,Private,552354.0,12th,8.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
109,38.0,Private,136137.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0.0,0.0,50.0,United-States,1
110,29.0,Private,37359.0,Bachelors,13.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298.0,0.0,40.0,United-States,1
111,48.0,Private,135525.0,Assoc-acdm,12.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
112,26.0,Self-emp-not-inc,177858.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,1876.0,38.0,United-States,-1
113,23.0,Private,316793.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,Black,Female,0.0,0.0,35.0,United-States,-1
114,39.0,Private,121590.0,Some-college,10.0,Never-married,Prof-specialty,Not-in-family,Black,Male,4787.0,0.0,40.0,United-States,1
115,41.0,Private,373403.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
116,60.0,Private,241013.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,-1
117,29.0,Private,177955.0,9th,5.0,Never-married,Priv-house-serv,Unmarried,White,Female,0.0,0.0,24.0,El-Salvador,-1
118,35.0,Private,337286.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,-1
119,23.0,Private,278390.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,68.0,United-States,-1
120,25.0,Private,195994.0,1st-4th,2.0,Never-married,Priv-house-serv,Not-in-family,White,Female,0.0,0.0,40.0,Guatemala,-1
121,67.0,Self-emp-not-inc,141797.0,7th-8th,4.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,-1
122,34.0,Private,176711.0,HS-grad,9.0,Divorced,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
123,63.0,Federal-gov,39181.0,Doctorate,16.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,2559.0,60.0,United-States,1
124,43.0,Private,174051.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48.0,United-States,-1
125,27.0,Private,191515.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,45.0,United-States,-1
126,36.0,Private,114055.0,Assoc-voc,11.0,Never-married,Prof-specialty,Unmarried,White,Female,3325.0,0.0,40.0,United-States,-1
127,19.0,Private,182355.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,20.0,United-States,-1
128,41.0,Self-emp-not-inc,150533.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1
129,42.0,Private,328239.0,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
130,33.0,Private,76107.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386.0,0.0,60.0,United-States,1
131,40.0,Private,111483.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1
132,38.0,State-gov,312528.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,37.0,United-States,-1
133,30.0,Private,287986.0,Some-college,10.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
134,23.0,Private,86939.0,HS-grad,9.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
135,52.0,Federal-gov,38973.0,Bachelors,13.0,Separated,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,-1
136,41.0,Local-gov,248406.0,HS-grad,9.0,Separated,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
137,46.0,Private,122026.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,44.0,United-States,1
138,58.0,Private,265579.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
139,29.0,State-gov,183285.0,Some-college,10.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,36.0,United-States,-1
140,24.0,Private,279041.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,-1
141,28.0,Private,87239.0,HS-grad,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,50.0,United-States,-1
142,45.0,Private,96100.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,-1
143,45.0,Federal-gov,358242.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1
144,57.0,Private,41680.0,Some-college,10.0,Divorced,Tech-support,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,-1
145,32.0,Private,53206.0,Bachelors,13.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,1
146,46.0,Federal-gov,102308.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,50.0,United-States,1
147,33.0,Federal-gov,37546.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,1
148,43.0,Private,85995.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
149,18.0,Private,175752.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,30.0,United-States,-1
150,20.0,Private,161962.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,16.0,United-States,-1
151,24.0,Private,111445.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,38.0,United-States,-1
152,34.0,Private,203488.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
153,18.0,Private,156950.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,35.0,United-States,-1
154,27.0,Private,200641.0,10th,6.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,Mexico,-1
155,29.0,Private,53181.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,1
156,20.0,Private,54152.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,30.0,,-1
157,36.0,Local-gov,331902.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States,-1
158,71.0,State-gov,210673.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,28.0,United-States,-1
159,35.0,Private,30381.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,1
160,29.0,Private,142519.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
161,34.0,Private,196164.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,-1
162,19.0,Private,219300.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,25.0,United-States,-1
163,43.0,Private,293176.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1
164,60.0,Private,140544.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
165,23.0,Private,182117.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
166,37.0,State-gov,26898.0,Assoc-acdm,12.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
167,53.0,Local-gov,175897.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,-1
168,18.0,Private,577521.0,11th,7.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,13.0,United-States,-1
169,58.0,Self-emp-inc,190763.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
170,23.0,Private,180475.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
171,53.0,Private,152810.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
172,18.0,Private,397606.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
173,32.0,Private,112176.0,Some-college,10.0,Divorced,Sales,Own-child,White,Male,0.0,0.0,30.0,United-States,-1
174,33.0,Private,318982.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,1
175,43.0,State-gov,206927.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,-1
176,39.0,Self-emp-not-inc,185366.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,1
177,42.0,Private,143342.0,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
178,29.0,Private,100219.0,Assoc-acdm,12.0,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,45.0,United-States,-1
179,42.0,Federal-gov,52781.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,40.0,United-States,1
180,62.0,Private,26966.0,Some-college,10.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,-1
181,49.0,Private,151267.0,Assoc-voc,11.0,Divorced,Prof-specialty,Unmarried,Black,Female,0.0,0.0,40.0,United-States,-1
182,45.0,Private,209912.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,India,1
183,49.0,Private,160187.0,9th,5.0,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0.0,0.0,16.0,Jamaica,-1
184,39.0,Private,108419.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,-1
185,22.0,Private,243842.0,9th,5.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,-1
186,40.0,Private,108945.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,32.0,United-States,-1
187,51.0,Private,29887.0,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,44.0,United-States,-1
188,54.0,Local-gov,129972.0,Assoc-voc,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,38.0,United-States,1
189,19.0,Private,124906.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,1719.0,25.0,United-States,-1
190,32.0,Private,159187.0,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,-1
191,37.0,Private,201259.0,11th,7.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,65.0,United-States,-1
192,30.0,Private,149368.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Male,1151.0,0.0,30.0,United-States,-1
193,55.0,Private,84774.0,HS-grad,9.0,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0.0,0.0,30.0,United-States,-1
194,59.0,Private,192845.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,1
195,56.0,Private,442116.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,54.0,United-States,1
196,44.0,Private,186916.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,1887.0,60.0,United-States,1
197,40.0,Private,51290.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,1
198,24.0,State-gov,191269.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,65.0,United-States,-1
199,40.0,Private,337456.0,HS-grad,9.0,Divorced,Protective-serv,Unmarried,White,Female,0.0,0.0,40.0,United-States,-1
