d3mIndex,Married,Age,Years_of_education,Male,Religious,Sex_partners,Income,Drug_use,Same_sex_relations,binaryClass
67,1,39.0,12.0,0,1,1.0,2000.0,0,0,P
68,1,42.0,16.0,1,1,1.0,32500.0,0,0,P
69,1,37.0,9.0,0,1,2.0,5500.0,0,1,N
70,1,38.0,14.0,1,1,1.0,23750.0,0,0,P
71,0,58.0,20.0,0,1,2.0,32500.0,0,0,P
72,1,50.0,14.0,1,1,1.0,37500.0,0,0,P
73,0,56.0,11.0,0,1,0.0,11250.0,0,0,P
74,1,40.0,18.0,1,1,1.0,45000.0,0,0,P
75,0,37.0,13.0,0,1,1.0,6500.0,0,0,P
76,0,32.0,18.0,0,1,6.0,11250.0,0,0,N
77,1,29.0,12.0,0,1,2.0,18750.0,0,0,N
78,1,32.0,12.0,1,1,4.0,45000.0,0,0,P
79,0,42.0,12.0,0,1,0.0,27500.0,0,0,N
80,0,30.0,12.0,1,1,5.0,16250.0,1,0,P
81,0,38.0,12.0,0,1,1.0,13750.0,0,0,P
82,0,32.0,12.0,0,1,1.0,37500.0,0,0,P
83,0,57.0,15.0,1,1,2.0,9000.0,0,0,P
84,1,31.0,14.0,0,1,3.0,16250.0,0,0,N
85,1,28.0,12.0,1,1,1.0,9000.0,0,0,P
86,1,35.0,14.0,1,1,1.0,11250.0,0,0,P
87,1,35.0,9.0,1,1,15.0,9000.0,0,0,P
88,0,38.0,13.0,0,1,3.0,16250.0,0,0,P
89,0,45.0,13.0,1,1,14.0,9000.0,1,0,P
90,0,25.0,16.0,1,1,3.0,27500.0,0,0,P
91,1,40.0,12.0,1,1,1.0,9000.0,0,0,P
92,1,55.0,10.0,1,1,1.0,,0,0,P
93,1,76.0,8.0,0,1,0.0,4500.0,0,0,P
94,1,54.0,13.0,0,1,1.0,18750.0,0,0,P
95,1,46.0,8.0,1,1,1.0,18750.0,0,0,P
96,0,40.0,12.0,1,1,10.0,32500.0,0,0,N
97,1,30.0,14.0,0,1,1.0,11250.0,0,0,P
98,0,33.0,17.0,0,1,0.0,27500.0,0,0,P
99,0,36.0,14.0,0,1,1.0,27500.0,0,0,P
100,0,44.0,11.0,1,1,4.0,500.0,0,0,P
101,1,38.0,14.0,1,1,1.0,37500.0,0,0,P
102,1,62.0,14.0,1,1,1.0,55000.0,0,0,P
103,0,39.0,16.0,1,1,2.0,37500.0,0,0,P
104,0,54.0,10.0,1,1,1.0,16250.0,0,0,P
105,1,51.0,16.0,1,1,1.0,32500.0,0,0,P
106,1,59.0,14.0,0,1,1.0,18750.0,0,0,P
107,0,44.0,18.0,0,1,0.0,45000.0,0,0,P
108,1,40.0,16.0,1,1,1.0,55000.0,0,0,N
109,1,61.0,17.0,1,1,1.0,45000.0,0,0,N
110,1,38.0,13.0,0,1,1.0,9000.0,0,0,P
111,1,64.0,12.0,1,0,1.0,55000.0,0,0,N
112,1,38.0,12.0,1,1,1.0,27500.0,1,0,N
113,1,55.0,18.0,1,1,1.0,67500.0,0,0,N
114,0,35.0,14.0,1,1,1.0,32500.0,0,0,P
115,0,45.0,12.0,1,1,4.0,21250.0,0,0,P
116,1,44.0,11.0,0,1,1.0,9000.0,0,0,P
117,0,34.0,14.0,0,1,2.0,18750.0,0,0,N
118,0,43.0,18.0,1,1,3.0,18750.0,0,0,P
119,1,35.0,16.0,0,0,1.0,,0,0,N
120,1,35.0,12.0,0,1,1.0,11250.0,0,0,P
121,0,37.0,15.0,1,0,20.0,32500.0,0,1,N
122,1,43.0,15.0,0,1,1.0,16250.0,0,0,P
123,1,44.0,12.0,1,1,1.0,45000.0,0,0,P
124,1,62.0,8.0,1,1,1.0,32500.0,0,0,P
125,1,29.0,12.0,0,1,1.0,5500.0,0,0,P
126,1,53.0,12.0,1,1,0.0,32500.0,0,0,P
127,1,39.0,13.0,1,1,1.0,55000.0,0,0,P
128,0,26.0,14.0,1,1,1.0,13750.0,0,0,P
129,0,39.0,12.0,1,1,1.0,23750.0,0,0,P
130,0,33.0,14.0,0,1,3.0,2000.0,0,0,P
131,1,38.0,16.0,1,1,1.0,18750.0,0,0,P
132,1,25.0,16.0,1,1,7.0,13750.0,0,0,P
133,1,32.0,10.0,1,1,1.0,16250.0,0,0,P
134,1,31.0,17.0,0,1,1.0,500.0,0,0,P
135,0,29.0,12.0,0,1,2.0,500.0,0,0,P
136,0,51.0,8.0,1,1,1.0,9000.0,0,0,P
137,0,61.0,12.0,0,1,0.0,23750.0,0,0,P
138,1,24.0,13.0,0,1,1.0,16250.0,0,0,P
139,1,48.0,12.0,0,1,1.0,500.0,0,0,P
140,1,36.0,14.0,1,1,1.0,32500.0,0,0,P
141,0,41.0,12.0,0,1,1.0,37500.0,0,0,P
142,0,34.0,12.0,0,1,3.0,11250.0,0,0,N
143,1,41.0,12.0,0,1,2.0,4500.0,0,0,P
144,1,36.0,14.0,1,1,5.0,13750.0,0,0,P
145,0,43.0,14.0,1,1,5.0,16250.0,0,0,P
146,1,34.0,12.0,0,1,1.0,16250.0,0,0,P
147,0,27.0,17.0,0,1,7.0,27500.0,1,0,P
148,0,32.0,12.0,0,1,2.0,4500.0,0,0,P
149,1,32.0,12.0,0,1,1.0,3500.0,0,0,P
150,1,57.0,12.0,0,1,1.0,9000.0,0,0,P
151,0,27.0,19.0,1,1,6.0,11250.0,0,0,P
152,1,36.0,12.0,0,1,1.0,16250.0,0,0,P
153,1,27.0,12.0,1,1,7.0,11250.0,0,0,N
154,1,41.0,19.0,1,0,1.0,27500.0,0,0,P
155,1,29.0,14.0,0,1,1.0,27500.0,0,0,P
156,0,45.0,12.0,1,1,1.0,16250.0,0,0,P
157,1,35.0,12.0,1,1,1.0,55000.0,0,0,P
158,1,47.0,12.0,0,1,1.0,500.0,0,0,N
