d3mIndex,pm10_concentration,cars_per_hour,temperature_at_2m,wind_speed,temperature_diff_2m_25m,wind_direction,hour_of_day,day
80,3.66356,7.88231,3.3,5.8,-0.1,46.9,19,557
81,5.26786,7.43603,-1.0,1.8,1.4,89.0,20,44
82,3.46574,4.95583,-4.0,1.7,1.0,65.0,2,165
83,2.07944,5.1299,7.8,1.6,1.7,184.3,4,604
84,3.3673,7.20638,-5.3,1.8,-0.2,80.0,13,451
85,3.29584,7.46107,2.2,3.1,0.1,62.3,13,470
86,2.19722,7.53209,14.8,4.2,-4.5,227.7,11,588
87,3.43399,8.13359,-4.8,1.5,0.0,196.0,17,100
88,3.2581,6.91771,12.8,1.0,0.3,103.5,24,602
89,2.83321,7.12206,-3.2,4.6,-0.1,62.2,12,427
90,3.63759,8.2845,0.7,0.8,-0.8,86.0,8,541
91,2.70805,7.56528,3.5,6.9,0.2,204.4,15,482
92,2.99573,7.65112,-6.8,2.2,-0.4,78.8,16,517
93,4.00733,7.67183,8.3,0.7,-1.3,206.2,14,532
94,3.43399,6.31173,-19.0,2.3,0.8,60.9,8,461
95,0.69315,7.0775,7.0,4.0,-0.2,54.3,10,578
96,3.52636,7.34148,-14.6,1.6,-0.4,228.9,14,457
97,2.63906,7.96346,3.6,3.2,1.2,268.0,18,42
98,1.94591,7.35116,3.5,1.9,0.2,215.0,20,107
99,3.71357,7.54115,5.2,0.9,-1.0,280.0,11,155
100,2.83321,6.64249,-8.3,2.6,0.2,60.0,23,85
101,3.43399,7.56579,0.6,3.8,-0.4,64.6,12,507
102,3.29584,8.1806,-0.5,0.7,-0.2,248.0,15,124
103,3.17805,7.60738,1.0,2.4,-0.1,192.0,13,38
104,4.81218,7.54327,-8.0,0.6,0.5,88.0,13,94
105,4.63473,8.20985,-3.0,1.5,2.7,89.6,8,470
106,3.04452,5.76205,5.0,3.2,0.0,58.0,6,195
107,3.8712,6.91274,-5.1,0.8,1.4,241.0,23,137
108,3.68888,8.19781,0.2,2.4,0.5,80.0,8,72
109,4.33073,7.6024,12.9,5.6,-0.8,46.0,13,188
110,4.61512,7.54327,2.6,2.6,-1.9,243.0,11,45
111,4.43082,7.70661,7.8,8.0,-1.2,33.7,13,556
112,3.4012,5.54518,-0.7,2.0,-0.3,254.0,1,542
113,2.48491,7.68432,7.7,1.5,-0.1,89.0,16,209
114,3.29584,7.90064,1.5,1.3,0.9,334.7,18,422
115,2.94444,7.76684,15.8,3.2,-0.2,125.5,17,595
116,3.3673,7.97797,4.3,5.7,-1.0,232.0,9,156
117,2.89037,7.89767,8.1,6.4,-0.5,199.4,7,577
118,4.90527,8.24065,11.6,6.0,-1.3,213.0,16,193
119,2.63906,7.07581,2.8,3.2,0.3,223.0,10,69
120,3.29584,7.7424,-4.4,4.9,-0.1,23.0,10,82
121,3.71357,6.97915,-5.1,3.3,1.4,81.0,23,98
122,4.39445,8.27741,2.0,2.5,-0.3,207.2,16,536
123,3.82864,8.01268,10.0,4.8,-0.5,83.2,9,600
124,2.56495,5.78996,1.1,4.0,-0.1,79.0,3,70
125,3.3322,7.45934,6.1,2.5,0.0,92.0,22,210
126,3.13549,6.22851,0.1,1.9,1.1,208.8,6,538
127,0.69315,6.45362,-2.6,4.9,0.2,38.3,23,405
128,4.00733,7.7178,7.9,0.4,0.5,276.0,19,184
129,3.2581,7.92696,4.8,9.4,0.6,204.0,14,474
130,3.2581,6.56244,2.6,2.8,-0.7,224.1,8,545
131,4.84419,8.17273,-9.6,1.1,1.3,191.0,16,94
132,2.63906,5.1299,-1.5,2.5,-0.1,245.1,4,510
133,1.38629,4.54329,3.8,5.8,0.7,201.9,3,473
134,3.2581,5.71043,1.8,2.7,0.9,181.9,1,527
135,2.30259,8.19257,-0.7,4.1,0.6,252.0,8,121
136,3.09104,5.00395,3.6,2.7,1.2,344.7,4,533
137,2.94444,7.39817,3.9,6.2,0.7,206.0,20,155
138,3.4012,6.63988,4.7,3.6,0.0,59.0,24,196
139,2.99573,6.29342,-2.5,4.9,-0.2,84.0,7,167
140,3.82864,7.4378,-9.9,4.5,-0.1,55.0,11,89
141,2.30259,7.7977,1.7,2.0,0.3,38.0,15,63
142,4.29046,7.33629,-12.8,3.5,0.0,79.0,19,97
143,4.41884,7.51589,4.3,2.1,0.6,32.3,20,555
144,3.3673,7.70841,2.1,3.1,0.0,79.0,10,64
145,2.30259,4.64439,-2.2,4.9,-0.1,77.0,2,114
146,3.98898,7.77402,3.3,1.8,-0.3,220.0,10,155
147,4.12713,5.05625,5.6,3.5,-0.1,78.0,4,184
148,3.68888,5.86363,-0.6,0.6,1.7,142.0,1,79
149,2.30259,5.52943,3.4,4.7,0.8,220.1,5,474
150,3.29584,7.91754,0.2,2.8,0.4,335.0,15,53
151,3.13549,6.74052,-6.4,2.8,-0.1,77.0,22,84
152,2.07944,6.53669,8.0,1.9,-0.2,54.6,8,578
153,5.25227,7.82844,3.6,0.8,1.5,87.7,19,529
154,3.78419,7.74846,-13.4,4.0,0.2,74.1,13,448
155,3.97029,5.71043,-2.1,1.3,1.8,87.8,1,485
156,2.99573,5.64897,-8.7,4.3,-0.2,74.5,1,450
157,2.56495,6.42972,1.6,1.3,1.0,58.0,8,76
158,3.21888,6.51323,-3.9,2.8,0.4,71.3,8,398
159,1.38629,7.93057,1.4,2.5,0.2,210.5,19,525
160,3.13549,7.59337,3.3,4.2,1.2,235.0,20,138
161,4.06044,7.19818,3.0,1.8,1.1,191.0,22,192
162,4.27667,8.23377,7.2,3.8,-0.2,31.0,15,173
163,3.49651,8.13212,-1.7,1.5,-0.1,68.0,8,515
164,3.21888,7.87284,0.8,5.0,0.1,76.2,19,514
165,4.07754,7.53102,0.1,3.5,1.2,66.3,20,397
166,4.20469,7.49276,4.5,6.6,-0.1,210.0,12,156
167,4.18965,5.65599,0.3,1.5,1.7,303.4,1,529
168,2.48491,7.07327,-0.9,1.6,-0.5,256.5,9,510
169,1.09861,6.33683,2.2,2.8,0.1,142.0,1,63
170,2.48491,7.21229,-0.6,2.1,0.1,60.0,21,134
171,2.48491,7.86978,3.2,2.6,1.3,286.0,20,42
172,0.69315,7.84031,4.1,2.7,0.2,175.0,19,56
173,4.34381,7.98344,-4.8,0.8,1.1,230.1,17,445
174,2.63906,7.03086,7.1,1.6,0.5,66.4,22,593
175,3.29584,7.90175,-4.4,3.8,0.1,15.0,9,82
176,4.17439,7.72223,7.1,3.9,-0.9,90.0,10,197
177,3.71357,8.19451,0.0,0.8,-0.3,254.2,16,500
178,4.02535,7.84698,11.6,4.2,-2.7,247.0,14,200
179,4.85203,7.58731,3.1,2.2,-3.4,227.0,11,148
180,4.64439,6.47235,1.5,1.2,1.3,101.0,24,191
181,3.63759,7.74932,15.0,7.3,-2.2,229.9,14,584
182,3.4012,8.12711,3.6,4.9,1.2,238.0,18,138
183,1.79176,5.68358,5.7,1.9,0.3,49.0,6,189
184,4.11087,7.58274,3.4,6.9,-0.1,194.9,11,548
185,3.3673,8.01434,10.1,2.4,-0.3,44.0,17,189
186,4.44265,7.65539,-2.4,2.6,0.7,78.3,18,398
187,2.77259,7.83716,0.2,4.5,0.0,80.0,7,157
188,3.71357,6.9921,-15.0,3.3,0.6,66.0,23,462
189,5.17048,8.08209,5.2,7.2,-1.3,202.7,14,537
190,3.09104,7.85554,4.1,3.4,0.1,79.0,7,170
191,2.70805,7.68064,6.3,9.4,0.2,248.0,16,160
192,4.11087,7.5438,8.7,4.0,-1.2,216.3,14,538
193,4.79579,8.30598,2.4,4.2,-0.7,65.1,8,556
194,2.3979,5.95324,-5.3,1.0,2.2,60.0,9,77
195,2.99573,6.2634,2.5,4.3,-0.1,79.0,24,69
196,3.13549,8.25036,9.3,5.4,-0.8,213.0,16,212
197,3.43399,7.61776,-5.6,3.1,-0.5,77.4,11,519
198,3.4012,7.44425,5.6,7.0,1.0,248.1,12,471
199,3.09104,7.87169,-1.7,0.5,0.0,218.0,18,51
200,4.45435,7.64492,-5.6,4.9,-0.1,56.7,7,409
201,4.18965,7.46851,-3.5,0.7,0.2,165.1,20,520
202,3.73767,8.18256,-11.2,3.7,0.2,78.0,16,96
203,4.20469,5.10595,-11.9,0.6,0.8,286.5,4,489
204,2.56495,5.79301,2.1,2.6,3.1,241.0,1,32
205,2.56495,7.14125,1.0,4.5,1.3,232.0,21,145
206,4.85981,7.69303,8.8,3.6,-2.5,85.4,12,547
207,5.25227,7.23056,-4.6,6.5,0.1,80.0,21,122
208,2.63906,6.0845,-5.8,2.0,-0.3,107.5,1,518
209,3.13549,5.72031,1.0,1.8,0.6,92.0,3,76
210,1.94591,6.81892,0.1,1.7,-0.1,214.0,11,112
211,3.4012,5.67332,-1.9,0.9,3.7,109.2,5,397
212,4.72739,8.26178,1.0,3.4,1.3,248.0,8,43
213,3.3673,5.92959,2.1,3.8,0.5,64.2,1,531
214,3.2581,7.53262,6.1,2.5,-0.1,182.5,21,572
215,3.73767,8.11761,0.2,0.8,0.9,11.0,16,113
216,1.79176,7.98446,1.9,5.8,0.2,9.0,9,80
217,4.06044,7.7463,11.8,6.0,-0.7,212.7,14,582
218,3.91202,8.19229,-4.4,1.5,0.5,87.9,8,423
219,0.69315,6.43294,1.9,2.4,0.1,133.0,24,62
220,1.60944,5.2832,8.6,1.8,1.5,242.0,3,34
221,4.46591,8.22336,9.1,9.4,-0.5,39.4,16,556
222,3.17805,7.68983,13.0,0.3,0.4,114.0,22,602
223,2.89037,6.70564,1.8,0.8,0.1,269.0,6,141
224,4.17439,7.58426,4.0,3.1,-1.7,103.7,12,554
225,3.73767,8.04943,-7.8,0.6,-0.1,177.0,17,95
226,4.00733,7.72886,8.7,5.5,-0.4,132.3,14,573
227,3.04452,7.51806,-4.9,4.1,-0.2,73.8,13,436
228,2.63906,7.58172,-8.8,8.1,-0.1,53.0,18,90
229,4.11087,8.28425,2.9,3.3,0.8,22.1,17,397
230,4.47734,8.01731,0.4,3.9,0.7,67.4,18,507
231,3.17805,7.67786,-0.7,4.3,-0.4,59.0,13,151
232,3.3322,7.8598,4.2,2.7,1.1,230.7,18,526
233,0.69315,4.79579,2.7,2.8,0.2,187.0,4,131
234,4.58497,7.66528,7.4,0.9,-0.2,55.0,13,184
235,0.69315,4.36945,0.6,4.6,0.1,350.0,3,171
236,3.4012,7.5251,6.0,3.5,-0.2,78.1,21,571
237,2.07944,7.73849,1.6,1.6,0.3,211.3,21,525
238,4.55388,7.62071,3.4,5.9,-0.6,45.0,13,164
239,3.21888,5.39363,3.3,1.7,-0.1,187.0,4,202
240,2.77259,5.87774,-5.4,5.1,-0.2,72.2,2,441
241,3.29584,5.8522,4.2,1.7,1.0,175.0,5,587
242,3.3322,8.02027,2.0,6.0,-0.1,152.0,18,61
243,4.02535,7.23706,-14.2,1.4,-0.1,238.1,18,457
244,4.38203,7.83281,9.4,2.9,-0.3,248.4,15,540
245,2.99573,4.60517,1.5,1.1,0.2,233.7,3,480
246,3.55535,8.11073,0.6,6.8,0.3,10.0,8,54
247,3.2581,7.57917,2.5,3.0,-0.2,83.0,13,64
248,4.47734,8.31361,-0.3,3.0,-0.8,71.8,8,554
249,4.06044,4.86753,1.4,0.7,1.5,79.4,4,563
250,3.21888,7.50879,-0.7,4.0,-0.5,65.1,11,507
251,4.46591,6.51323,-8.1,0.7,1.2,111.0,24,143
252,3.13549,6.6107,-13.1,3.5,0.0,83.0,9,97
253,2.30259,4.70048,6.3,6.0,0.9,219.2,2,586
254,3.61092,6.94986,-3.8,0.7,-0.2,258.0,23,74
255,3.13549,5.72685,-3.6,0.8,4.0,302.4,5,470
256,3.89182,8.16337,-1.1,1.5,-0.2,157.4,16,521
257,3.21888,7.7012,15.8,3.9,-0.4,119.5,15,595
258,3.17805,4.45435,-5.1,3.4,0.4,58.4,3,507
259,3.73767,8.28248,8.5,3.1,-0.7,238.0,8,205
260,2.3979,8.05833,-2.1,4.1,-0.2,82.0,8,114
261,3.68888,7.90027,1.5,0.5,-0.6,99.2,13,509
262,4.26268,7.34148,3.0,0.8,0.6,86.0,21,32
263,4.94164,7.90027,-12.6,2.2,0.2,77.8,19,488
264,3.29584,7.65917,3.0,3.1,-0.1,221.0,14,169
265,2.07944,5.60947,-5.2,2.9,0.1,60.0,2,90
266,2.19722,7.15227,3.5,0.9,0.2,265.0,22,169
267,2.07944,5.42495,2.8,1.3,0.0,75.8,2,404
268,4.54329,7.8071,6.5,4.3,-1.1,44.0,11,173
269,2.07944,7.94839,2.5,3.6,-0.1,54.7,16,574
270,4.36945,8.34069,6.3,4.2,-0.1,76.0,16,166
271,3.97029,7.54062,-1.4,1.7,-0.2,86.0,12,51
272,3.98898,5.89164,1.7,1.1,2.4,173.1,1,533
273,2.99573,7.52402,2.4,7.9,-0.1,43.5,21,557
274,3.52636,6.43294,-0.1,1.6,-0.2,75.0,22,55
275,2.99573,7.50219,3.1,1.7,0.3,269.0,12,69
276,5.39363,8.04045,12.9,8.3,-1.1,357.5,14,551
277,3.63759,7.31986,-13.4,3.8,0.1,75.0,11,448
278,2.30259,5.43372,0.7,3.9,0.1,182.9,2,491
279,4.92725,7.94058,2.4,1.0,0.4,110.7,7,533
280,2.94444,8.17808,-1.3,5.6,-0.2,46.0,17,149
281,2.70805,7.65728,-6.3,4.0,-0.1,51.6,19,408
282,2.07944,7.56164,3.5,1.8,0.0,71.2,21,576
283,3.4012,7.98752,0.0,4.0,-0.3,78.5,9,430
284,5.05625,7.63143,11.8,2.4,-1.5,232.5,14,535
285,4.93447,7.63192,5.8,1.9,-3.1,260.8,12,541
286,2.56495,7.6324,3.1,4.7,-0.1,48.0,12,576
287,3.04452,7.9248,1.4,2.1,0.0,221.0,17,525
288,1.38629,4.30407,0.8,3.1,1.6,77.0,3,50
289,2.77259,7.67555,6.8,9.9,-0.2,249.0,15,160
290,3.91202,7.1025,1.3,8.0,0.0,61.6,23,557
291,4.35671,7.95437,6.8,1.5,-0.6,124.9,7,585
292,3.4012,7.87474,-6.8,1.0,0.0,207.0,15,84
293,4.02535,7.85166,10.5,4.4,-0.9,69.0,15,198
294,3.73767,8.26049,3.8,5.2,0.0,222.0,8,163
295,2.94444,7.7411,-12.8,3.6,0.1,68.4,14,460
296,4.09434,5.24702,1.3,0.8,1.1,72.3,5,563
297,3.04452,5.24175,-4.2,1.4,3.6,230.0,2,155
298,3.17805,7.55224,-0.6,2.5,-0.1,75.0,13,111
299,2.56495,7.96242,-6.1,5.2,0.4,27.0,18,82
300,2.63906,6.85751,5.1,5.5,0.1,230.0,10,126
301,3.09104,8.1191,0.8,3.0,-0.1,78.0,17,65
302,3.4012,8.00068,-4.4,3.7,-0.1,78.0,14,68
303,2.19722,4.11087,-6.5,2.1,-0.1,68.2,5,451
304,3.7612,4.81218,-3.7,0.9,-0.1,281.3,4,513
305,2.77259,6.42811,0.7,2.9,1.4,229.6,24,473
306,3.4012,4.95583,-5.7,3.3,0.6,72.0,2,401
307,3.61092,6.16121,8.4,3.3,0.7,80.5,24,564
308,3.3673,6.55251,-0.2,2.8,0.7,71.0,23,72
309,0.69315,5.1299,-1.9,4.5,0.4,17.0,2,40
310,2.94444,5.18739,-7.3,1.9,0.5,85.0,3,118
311,4.17439,7.91608,0.1,2.1,2.0,77.0,18,49
312,2.83321,7.33954,-5.9,2.9,0.2,64.6,22,406
313,3.04452,7.0076,4.7,5.6,0.0,69.0,23,211
314,3.2581,7.87664,4.2,4.4,0.6,189.8,15,472
315,3.21888,7.23778,2.1,5.4,0.1,159.0,21,61
316,4.23411,7.64348,-0.5,2.1,-2.0,247.8,14,513
317,4.81218,7.08339,-3.7,1.1,0.1,192.0,22,101
318,4.39445,7.95718,6.5,6.2,-0.1,210.8,18,547
319,2.63906,6.42162,2.1,4.1,0.7,260.0,24,43
320,3.2581,7.29029,-3.1,1.0,-0.2,211.0,21,102
321,1.94591,5.42495,-12.8,0.8,1.2,55.0,6,91
322,2.94444,7.29029,3.8,4.3,0.5,210.0,22,105
323,2.56495,7.52348,3.4,6.0,0.2,191.0,14,482
324,3.21888,5.63479,-4.2,2.1,1.1,91.0,2,68
325,2.77259,7.97694,-1.7,5.2,0.0,76.0,8,124
326,4.61512,7.78197,5.4,3.6,-1.1,44.0,10,173
327,1.60944,5.743,3.4,4.9,0.7,243.0,2,140
328,2.07944,5.743,-0.2,5.6,0.2,16.6,2,553
329,3.8712,5.62762,2.1,1.5,2.0,227.8,5,533
330,3.17805,7.85477,-12.5,3.2,0.2,82.1,15,456
331,3.58352,7.56941,-4.1,4.3,-0.1,44.7,14,409
332,4.68213,7.08087,-9.8,0.5,0.2,131.0,21,83
333,2.56495,7.43603,-4.9,4.7,-0.1,79.6,21,441
334,2.30259,6.11368,-5.2,3.5,0.0,59.0,1,90
335,3.55535,7.97488,-1.6,3.5,0.5,34.5,18,480
336,3.46574,6.69084,6.4,1.2,0.0,188.0,6,207
337,2.48491,7.79523,2.0,2.8,1.6,242.0,18,127
338,4.21951,5.21494,-8.5,1.5,2.8,279.0,10,93
339,2.30259,7.65112,3.6,7.6,0.5,199.3,17,482
340,2.70805,6.12905,0.4,0.8,0.1,297.0,7,524
341,2.99573,8.08979,1.2,3.6,0.1,63.9,15,411
342,2.48491,5.76519,-3.5,3.2,0.0,240.2,2,504
343,3.13549,8.06401,3.6,2.3,-0.3,9.4,9,549
344,4.15888,7.39265,-14.9,1.9,0.8,65.0,20,91
345,1.79176,6.43294,1.0,2.5,-0.2,75.0,10,70
346,3.29584,7.62462,-1.7,1.6,-0.1,172.0,19,51
347,2.83321,5.22036,3.4,1.1,1.4,89.0,6,565
348,3.52636,6.35611,6.9,7.0,0.8,220.0,24,34
349,3.2581,4.47734,-4.8,2.5,0.4,84.0,3,101
350,3.98898,6.50279,4.2,3.9,0.6,78.0,24,197
351,1.60944,6.88959,1.5,4.0,0.1,240.4,22,523
352,3.49651,7.32909,-2.9,1.9,1.7,337.8,19,468
353,3.17805,7.3601,-8.2,4.7,-0.2,76.5,11,408
354,4.67283,7.77107,7.0,3.1,-0.3,73.0,10,185
355,3.43399,6.16121,8.1,1.9,-0.1,211.9,1,578
356,2.07944,7.97281,3.7,4.2,0.2,172.0,9,128
357,3.29584,7.90323,0.7,2.1,1.3,207.1,18,473
358,2.30259,8.16223,0.4,8.6,0.1,34.0,17,39
359,2.07944,4.83628,-10.4,1.9,1.1,75.0,7,86
360,0.69315,4.91998,6.5,4.5,0.4,206.0,2,57
361,3.13549,7.47591,9.0,4.6,-0.9,208.7,10,587
362,3.82864,7.52941,10.1,1.1,-3.1,255.0,11,188
363,3.8712,7.88796,-0.3,1.7,0.4,26.9,15,416
364,2.99573,4.47734,-4.4,2.6,0.8,85.0,4,38
365,3.2581,7.73281,1.7,1.5,1.1,345.0,19,158
366,3.3322,6.93245,-3.2,0.8,-0.1,260.0,22,68
367,3.49651,7.65634,-5.9,3.1,-0.1,77.0,16,85
368,1.94591,7.0193,3.7,3.6,0.1,195.0,22,107
369,4.57471,8.0762,9.9,2.2,0.0,92.0,16,177
370,3.91202,7.90175,7.4,4.3,-0.3,178.0,18,190
371,3.80666,6.89669,5.1,2.5,0.7,80.0,23,197
372,3.93183,4.30407,3.2,1.5,0.4,75.0,3,194
373,2.48491,5.15906,0.0,4.3,0.1,102.7,3,477
374,3.13549,7.82764,-5.6,6.1,-0.2,79.5,17,441
375,2.94444,7.02554,0.7,2.4,-0.2,232.5,23,542
376,3.4012,7.90175,15.1,2.9,0.2,113.9,19,567
377,1.94591,5.73334,-2.2,4.3,-0.1,72.0,5,124
378,3.17805,5.34711,-3.8,2.7,-0.2,80.5,3,511
379,3.21888,7.58477,4.2,6.5,0.4,214.3,11,474
380,2.63906,6.84055,-13.1,4.8,-0.2,52.8,11,462
381,3.3322,7.55381,-0.2,3.9,-0.2,79.6,12,430
382,2.70805,4.78749,1.5,3.2,0.1,153.0,4,61
383,3.78419,6.86485,0.8,1.5,-0.1,231.5,23,540
384,3.78419,7.81197,-6.6,2.2,1.3,87.0,7,122
385,1.60944,7.89469,2.1,4.0,-0.1,47.8,14,574
386,3.3673,7.76132,1.7,2.9,-0.1,81.0,14,60
387,3.04452,6.07764,-4.1,5.4,-0.1,66.5,1,427
388,4.45435,7.80954,18.2,3.7,-2.7,250.7,15,568
389,1.94591,5.4848,2.2,2.0,1.9,253.8,5,473
390,2.63906,5.27811,-7.8,4.6,-0.1,71.5,19,450
391,3.3322,7.76684,-5.4,3.0,-0.2,77.0,14,85
392,3.43399,5.5835,-4.5,4.1,0.3,59.4,1,507
393,3.89182,7.86634,8.0,6.1,0.1,197.0,19,212
394,2.19722,8.19644,2.7,3.8,0.2,139.0,8,128
395,4.59512,7.59186,-5.6,3.9,-0.2,41.0,13,116
396,3.49651,5.54126,4.6,0.9,0.5,108.0,5,190
397,2.83321,7.55799,12.0,4.4,0.2,274.2,20,584
398,2.19722,6.51471,4.4,2.0,0.7,205.0,6,33
399,2.89037,6.21461,4.5,3.5,0.0,55.0,9,196
400,3.4012,6.63988,0.2,0.5,1.4,84.8,24,483
401,2.99573,6.02345,-18.6,2.3,0.1,79.4,7,457
402,3.73767,7.62413,0.1,2.6,1.5,230.0,19,175
403,2.94444,5.84064,7.4,4.3,0.3,189.6,1,590
404,3.58352,8.32579,7.6,4.2,0.0,224.1,8,583
405,3.29584,7.32053,8.6,2.6,-0.1,189.2,22,577
406,4.8752,7.91571,-2.5,3.6,0.0,64.0,15,143
407,4.33073,7.7424,10.6,1.8,-1.6,245.0,14,177
408,3.29584,6.91771,-1.6,1.1,0.0,282.0,23,51
409,3.78419,7.78239,5.0,3.1,-0.4,230.0,16,545
410,3.61092,5.18739,5.2,4.4,0.8,206.0,4,126
411,2.83321,6.14204,5.3,2.3,1.2,153.1,1,587
412,3.7612,5.48064,-13.1,1.1,1.3,62.9,5,464
413,3.58352,5.2933,3.3,2.2,0.5,77.1,2,562
414,3.17805,5.4848,-0.8,3.5,0.0,176.8,5,522
415,3.52636,5.03044,-4.0,1.5,-0.1,108.2,2,521
416,4.21951,7.6406,1.7,2.3,-0.3,85.0,15,167
417,3.93183,8.29255,6.1,4.2,0.3,23.0,17,173
418,2.30259,5.70378,5.8,2.8,0.0,43.0,7,189
419,3.2581,5.4848,5.7,3.3,0.5,228.0,5,204
420,2.70805,7.02997,14.9,2.8,-5.0,255.5,10,594
421,3.55535,5.31321,-5.7,2.2,0.6,82.0,5,165
