d3mIndex,col_1,col_2,col_3,col_4,col_5,col_6
141,MIN__CHI,1,1.0,1.0,13.0,89.0
142,BUF__SEA,-1,2.0,0.0,13.0,89.0
143,MIN__ATL,1,0.0,1.0,14.0,89.0
144,CLE__IND,-1,0.0,0.0,14.0,89.0
145,PHA__DAL,-1,0.0,1.0,14.0,89.0
146,CHI__DET,-1,0.0,1.0,14.0,89.0
147,BUF__NO,-1,0.0,1.0,14.0,89.0
148,DEN__NYG,-1,0.0,1.0,14.0,89.0
149,LAA__PHX,-1,0.0,1.0,14.0,89.0
150,NYJ__PIT,-1,0.0,1.0,14.0,89.0
151,WAS__SD,-1,0.0,1.0,14.0,89.0
152,CIN__SEA,-1,0.0,1.0,14.0,89.0
153,HOU__TB,-1,0.0,1.0,14.0,89.0
154,MIA__NE,1,1.0,1.0,14.0,89.0
155,LAN__SF,-1,2.0,1.0,14.0,89.0
156,NYG__DAL,1,4.0,1.0,15.0,89.0
157,DEN__PHX,1,4.0,0.0,15.0,89.0
158,CHI__GB,-1,0.0,1.0,15.0,89.0
159,CIN__HOU,1,0.0,1.0,15.0,89.0
160,IND__MIA,1,0.0,1.0,15.0,89.0
161,MIN__CLE,-1,0.0,0.0,15.0,89.0
162,PIT__NE,1,0.0,1.0,15.0,89.0
163,LAN__NYJ,1,0.0,1.0,15.0,89.0
164,DET__TB,1,0.0,1.0,15.0,89.0
165,WAS__ATL,-1,0.0,0.0,15.0,89.0
166,SEA__LAA,1,1.0,1.0,15.0,89.0
167,PHA__NO,-1,2.0,0.0,15.0,89.0
168,BUF__NYJ,1,4.0,0.0,16.0,89.0
169,SEA__WAS,-1,4.0,1.0,16.0,89.0
170,HOU__CLE,-1,4.0,1.0,16.0,89.0
171,DEN__SD,-1,0.0,0.0,16.0,89.0
172,DET__ATL,1,0.0,0.0,16.0,89.0
173,MIA__KC,-1,0.0,1.0,16.0,89.0
174,NYG__LAA,1,0.0,1.0,16.0,89.0
175,LAN__NE,-1,0.0,0.0,16.0,89.0
176,PHA__PHX,1,0.0,1.0,16.0,89.0
177,PIT__TB,1,0.0,0.0,16.0,89.0
178,MIN__CIN,1,2.0,1.0,16.0,89.0
179,MIA__NE,1,0.0,0.0,1.0,90.0
180,DET__TB,-1,0.0,1.0,1.0,90.0
181,CHI__SEA,1,0.0,1.0,1.0,90.0
182,LAN__GB,-1,0.0,0.0,1.0,90.0
183,WAS__PHX,1,0.0,1.0,1.0,90.0
184,MIN__KC,-1,0.0,0.0,1.0,90.0
185,BUF__IND,1,0.0,1.0,1.0,90.0
186,DEN__LAA,-1,0.0,0.0,1.0,90.0
187,ATL__HOU,1,0.0,1.0,1.0,90.0
188,CIN__NYJ,-1,0.0,1.0,1.0,90.0
189,CLE__PIT,1,0.0,1.0,1.0,90.0
190,NYG__PHA,1,1.0,1.0,1.0,90.0
191,IND__NE,-1,0.0,1.0,2.0,90.0
192,BUF__MIA,-1,0.0,0.0,2.0,90.0
193,CIN__SD,1,0.0,0.0,2.0,90.0
194,CLE__NYJ,-1,0.0,0.0,2.0,90.0
195,DET__ATL,1,0.0,1.0,2.0,90.0
196,LAN__TB,1,0.0,0.0,2.0,90.0
197,MIN__NO,1,0.0,1.0,2.0,90.0
198,NYG__DAL,1,0.0,0.0,2.0,90.0
199,PHA__PHX,-1,0.0,1.0,2.0,90.0
200,PIT__HOU,1,0.0,1.0,2.0,90.0
201,LAA__SEA,1,1.0,0.0,2.0,90.0
202,DEN__KC,-1,2.0,1.0,2.0,90.0
203,CIN__NE,1,0.0,1.0,3.0,90.0
204,CHI__MIN,1,0.0,1.0,3.0,90.0
205,CLE__SD,-1,0.0,1.0,3.0,90.0
206,DEN__SEA,-1,0.0,1.0,3.0,90.0
207,HOU__IND,1,0.0,1.0,3.0,90.0
208,LAA__PIT,1,0.0,1.0,3.0,90.0
209,LAN__PHA,-1,0.0,1.0,3.0,90.0
210,NYG__MIA,1,0.0,1.0,3.0,90.0
211,WAS__DAL,-1,1.0,1.0,3.0,90.0
212,BUF__NYJ,1,2.0,0.0,3.0,90.0
213,NYJ__NE,1,0.0,0.0,4.0,90.0
214,BUF__DEN,-1,0.0,1.0,4.0,90.0
215,DET__GB,-1,0.0,1.0,4.0,90.0
216,LAA__CHI,1,0.0,1.0,4.0,90.0
217,MIA__PIT,1,0.0,0.0,4.0,90.0
218,MIN__TB,-1,0.0,1.0,4.0,90.0
219,NYG__DAL,1,0.0,1.0,4.0,90.0
220,PHA__IND,-1,0.0,1.0,4.0,90.0
221,WAS__PHX,1,1.0,0.0,4.0,90.0
222,CIN__SEA,-1,2.0,0.0,4.0,90.0
223,SEA__NE,1,0.0,0.0,5.0,90.0
224,ATL__NO,-1,0.0,1.0,5.0,90.0
225,CHI__GB,1,0.0,1.0,5.0,90.0
226,LAN__CIN,-1,0.0,1.0,5.0,90.0
227,MIA__NYJ,-1,0.0,1.0,5.0,90.0
228,MIN__DET,-1,0.0,1.0,5.0,90.0
229,BUF__LAA,1,1.0,1.0,5.0,90.0
230,DEN__CLE,-1,2.0,1.0,5.0,90.0
231,DEN__PIT,-1,0.0,1.0,6.0,90.0
232,HOU__CIN,1,0.0,1.0,6.0,90.0
233,LAA__SEA,1,0.0,1.0,6.0,90.0
234,NYJ__SD,-1,0.0,1.0,6.0,90.0
235,PHX__DAL,1,0.0,1.0,6.0,90.0
236,WAS__NYG,-1,0.0,1.0,6.0,90.0
237,CHI__LAN,1,1.0,1.0,6.0,90.0
238,PHA__MIN,1,2.0,1.0,6.0,90.0
239,MIA__NE,-1,3.0,1.0,7.0,90.0
240,BUF__NYJ,-1,0.0,1.0,7.0,90.0
241,DEN__IND,1,0.0,0.0,7.0,90.0
242,LAA__SD,1,0.0,0.0,7.0,90.0
243,LAN__ATL,1,0.0,1.0,7.0,90.0
244,NYG__PHX,-1,0.0,1.0,7.0,90.0
245,SEA__KC,1,0.0,1.0,7.0,90.0
246,WAS__PHA,1,0.0,1.0,7.0,90.0
247,HOU__NO,1,0.0,1.0,7.0,90.0
248,CLE__CIN,-1,2.0,1.0,7.0,90.0
249,BUF__NE,1,0.0,0.0,8.0,90.0
250,MIA__IND,1,0.0,0.0,8.0,90.0
251,HOU__NYJ,-1,0.0,1.0,8.0,90.0
252,PHA__DAL,-1,0.0,0.0,8.0,90.0
253,CHI__PHX,1,0.0,0.0,8.0,90.0
254,NYG__WAS,1,0.0,1.0,8.0,90.0
255,CIN__ATL,-1,1.0,0.0,8.0,90.0
256,LAN__PIT,-1,2.0,0.0,8.0,90.0
257,PHA__NE,1,0.0,1.0,9.0,90.0
258,BUF__CLE,1,0.0,0.0,9.0,90.0
259,CHI__TB,1,0.0,0.0,9.0,90.0
260,CIN__NO,-1,0.0,1.0,9.0,90.0
261,LAN__HOU,1,0.0,1.0,9.0,90.0
262,MIA__PHX,1,0.0,1.0,9.0,90.0
263,NYJ__DAL,1,0.0,1.0,9.0,90.0
264,PIT__ATL,1,0.0,1.0,9.0,90.0
265,SEA__SD,-1,0.0,1.0,9.0,90.0
266,WAS__DET,1,0.0,0.0,9.0,90.0
267,DEN__MIN,-1,1.0,0.0,9.0,90.0
268,NYG__IND,1,2.0,0.0,9.0,90.0
269,MIA__NYJ,1,0.0,0.0,10.0,90.0
270,DET__MIN,-1,0.0,1.0,10.0,90.0
271,CHI__ATL,-1,0.0,1.0,10.0,90.0
272,BUF__PHX,1,0.0,1.0,10.0,90.0
273,NYG__LAN,1,0.0,0.0,10.0,90.0
274,LAA__GB,-1,0.0,1.0,10.0,90.0
275,PHA__WAS,1,2.0,1.0,10.0,90.0
276,BUF__NE,-1,0.0,1.0,11.0,90.0
277,CHI__DEN,1,0.0,0.0,11.0,90.0
278,HOU__CLE,1,0.0,0.0,11.0,90.0
279,LAN__DAL,-1,0.0,1.0,11.0,90.0
280,NYG__DET,1,0.0,1.0,11.0,90.0
281,NYJ__IND,-1,0.0,0.0,11.0,90.0
282,PHA__ATL,0,0.0,0.0,11.0,90.0
283,SEA__MIN,-1,0.0,1.0,11.0,90.0
284,WAS__NO,1,0.0,1.0,11.0,90.0
285,CIN__PIT,1,1.0,1.0,11.0,90.0
286,MIA__LAA,-1,2.0,1.0,11.0,90.0
287,DEN__DET,-1,3.0,0.0,12.0,90.0
288,WAS__DAL,-1,3.0,0.0,12.0,90.0
289,PHX__NE,1,0.0,1.0,12.0,90.0
290,CHI__MIN,-1,0.0,0.0,12.0,90.0
291,CIN__IND,-1,0.0,1.0,12.0,90.0
292,LAA__KC,-1,0.0,1.0,12.0,90.0
293,MIA__CLE,1,0.0,0.0,12.0,90.0
294,NYG__PHA,-1,0.0,0.0,12.0,90.0
295,PIT__NYJ,1,0.0,0.0,12.0,90.0
296,HOU__BUF,0,2.0,1.0,12.0,90.0
297,ATL__TB,-1,0.0,0.0,13.0,90.0
298,BUF__PHA,1,0.0,1.0,13.0,90.0
299,CHI__DET,-1,0.0,1.0,13.0,90.0
300,LAA__DEN,1,0.0,0.0,13.0,90.0
301,LAN__CLE,1,0.0,0.0,13.0,90.0
302,MIN__GB,1,1.0,1.0,13.0,90.0
303,PIT__CIN,-1,0.0,1.0,13.0,90.0
304,PHX__IND,1,0.0,1.0,13.0,90.0
305,SEA__HOU,1,0.0,1.0,13.0,90.0
306,WAS__MIA,1,0.0,1.0,13.0,90.0
307,PIT__NE,1,0.0,1.0,14.0,90.0
308,ATL__PHX,-1,0.0,1.0,14.0,90.0
309,BUF__IND,1,0.0,0.0,14.0,90.0
310,HOU__CLE,1,0.0,1.0,14.0,90.0
311,LAN__NO,-1,0.0,1.0,14.0,90.0
312,MIA__PHA,1,1.0,1.0,14.0,90.0
313,NYG__MIN,1,0.0,1.0,14.0,90.0
314,WAS__CHI,-1,0.0,1.0,14.0,90.0
315,LAA__DET,1,2.0,0.0,14.0,90.0
316,NYG__BUF,-1,4.0,1.0,15.0,90.0
317,WAS__NE,1,4.0,0.0,15.0,90.0
318,ATL__CLE,-1,0.0,0.0,15.0,90.0
319,CHI__DET,-1,1.0,0.0,15.0,90.0
320,DAL__PHX,1,0.0,1.0,15.0,90.0
321,DEN__SD,1,0.0,1.0,15.0,90.0
322,LAA__CIN,1,0.0,1.0,15.0,90.0
323,MIA__SEA,1,0.0,1.0,15.0,90.0
324,MIN__TB,-1,0.0,0.0,15.0,90.0
325,NYJ__IND,-1,0.0,1.0,15.0,90.0
326,PHA__GB,1,0.0,1.0,15.0,90.0
327,DET__GB,1,4.0,0.0,16.0,90.0
328,LAA__MIN,1,4.0,0.0,16.0,90.0
329,WAS__IND,-1,4.0,0.0,16.0,90.0
330,NYJ__NE,1,0.0,1.0,16.0,90.0
331,BUF__MIA,1,0.0,1.0,16.0,90.0
332,CHI__TB,1,0.0,1.0,16.0,90.0
333,HOU__CIN,-1,0.0,0.0,16.0,90.0
334,LAN__ATL,-1,0.0,0.0,16.0,90.0
335,PHA__DAL,1,0.0,1.0,16.0,90.0
336,PIT__CLE,1,0.0,1.0,16.0,90.0
337,NYG__PHX,-1,0.0,0.0,16.0,90.0
338,SEA__DEN,0,3.0,1.0,16.0,90.0
339,PHA__PHX,-1,4.0,0.0,17.0,90.0
340,MIA__IND,-1,0.0,1.0,17.0,90.0
341,WAS__BUF,1,0.0,1.0,17.0,90.0
342,CIN__CLE,-1,0.0,1.0,17.0,90.0
343,ATL__DAL,1,0.0,1.0,17.0,90.0
344,NYG__NE,-1,0.0,0.0,17.0,90.0
345,SEA__DET,1,0.0,1.0,17.0,90.0
346,DEN__GB,1,0.0,1.0,17.0,90.0
347,LAA__SD,-1,0.0,1.0,17.0,90.0
348,PIT__HOU,-1,1.0,0.0,17.0,90.0
349,IND__NE,-1,0.0,1.0,1.0,91.0
350,NYJ__TB,1,0.0,1.0,1.0,91.0
351,DAL__CLE,1,0.0,0.0,1.0,91.0
352,PHA__GB,1,0.0,0.0,1.0,91.0
353,CHI__MIN,1,0.0,1.0,1.0,91.0
354,PIT__SD,1,0.0,1.0,1.0,91.0
355,DEN__CIN,1,0.0,1.0,1.0,91.0
356,LAN__PHX,-1,0.0,1.0,1.0,91.0
357,HOU__LAA,1,0.0,1.0,1.0,91.0
358,BUF__MIA,-1,0.0,1.0,1.0,91.0
359,WAS__DET,1,1.0,1.0,1.0,91.0
360,NYG__SF,0,2.0,1.0,1.0,91.0
361,PHA__PHX,-1,0.0,1.0,2.0,91.0
362,ATL__MIN,-1,0.0,1.0,2.0,91.0
363,MIA__IND,1,0.0,1.0,2.0,91.0
364,BUF__PIT,1,0.0,1.0,2.0,91.0
365,DET__GB,1,0.0,1.0,2.0,91.0
366,NYG__LAN,-1,0.0,1.0,2.0,91.0
367,CHI__TB,-1,0.0,0.0,2.0,91.0
368,LAA__DEN,-1,0.0,1.0,2.0,91.0
369,SEA__NYJ,1,0.0,1.0,2.0,91.0
370,CIN__HOU,-1,1.0,1.0,2.0,91.0
371,WAS__DAL,0,2.0,0.0,2.0,91.0
372,PIT__NE,0,0.0,1.0,3.0,91.0
373,CIN__CLE,-1,0.0,0.0,3.0,91.0
374,WAS__PHX,1,0.0,1.0,3.0,91.0
375,MIA__DET,-1,0.0,0.0,3.0,91.0
376,DAL__PHA,-1,0.0,1.0,3.0,91.0
377,NYG__CHI,-1,0.0,0.0,3.0,91.0
378,LAA__IND,1,0.0,1.0,3.0,91.0
379,DEN__SEA,0,0.0,1.0,3.0,91.0
380,BUF__NYJ,-1,0.0,0.0,3.0,91.0
381,HOU__KC,1,2.0,1.0,3.0,91.0
382,HOU__NE,-1,0.0,0.0,4.0,91.0
383,BUF__TB,-1,0.0,0.0,4.0,91.0
384,DEN__SD,-1,0.0,1.0,4.0,91.0
385,DET__IND,1,0.0,0.0,4.0,91.0
386,LAA__ATL,-1,0.0,0.0,4.0,91.0
387,MIA__GB,-1,0.0,1.0,4.0,91.0
388,NYG__CLE,-1,0.0,1.0,4.0,91.0
389,PHA__PIT,1,0.0,1.0,4.0,91.0
390,WAS__CIN,1,0.0,0.0,4.0,91.0
391,PHX__DAL,-1,1.0,1.0,4.0,91.0
392,CHI__NYJ,-1,2.0,1.0,4.0,91.0
393,PHX__NE,1,0.0,1.0,5.0,91.0
394,BUF__CHI,1,0.0,1.0,5.0,91.0
395,DET__TB,1,0.0,1.0,5.0,91.0
396,LAN__GB,-1,0.0,1.0,5.0,91.0
397,MIA__NYJ,-1,0.0,0.0,5.0,91.0
398,NYG__DAL,-1,0.0,0.0,5.0,91.0
399,SEA__IND,1,0.0,1.0,5.0,91.0
400,MIN__DEN,-1,1.0,1.0,5.0,91.0
401,WAS__PHA,1,2.0,1.0,5.0,91.0
402,MIA__NE,1,0.0,0.0,6.0,91.0
403,HOU__DEN,1,0.0,1.0,6.0,91.0
404,DAL__GB,1,0.0,0.0,6.0,91.0
405,DET__MIN,1,0.0,1.0,6.0,91.0
406,NYJ__CLE,1,0.0,0.0,6.0,91.0
407,PHA__TB,-1,0.0,0.0,6.0,91.0
408,CIN__SEA,-1,0.0,1.0,6.0,91.0
409,WAS__CHI,1,0.0,0.0,6.0,91.0
410,NYG__PHX,1,0.0,1.0,6.0,91.0
411,LAA__SD,-1,0.0,1.0,6.0,91.0
412,PIT__IND,1,1.0,0.0,6.0,91.0
413,BUF__KC,-1,2.0,0.0,6.0,91.0
414,BUF__IND,1,0.0,1.0,7.0,91.0
415,DAL__CIN,1,0.0,1.0,7.0,91.0
416,HOU__NYJ,0,0.0,0.0,7.0,91.0
417,LAN__SD,1,0.0,1.0,7.0,91.0
418,MIN__PHX,1,0.0,1.0,7.0,91.0
419,WAS__CLE,1,0.0,1.0,7.0,91.0
420,SEA__LAA,-1,1.0,1.0,7.0,91.0
421,NYG__PIT,-1,2.0,0.0,7.0,91.0
422,CHI__GB,1,3.0,0.0,8.0,91.0
423,MIN__NE,-1,0.0,0.0,8.0,91.0
424,NYJ__IND,-1,0.0,0.0,8.0,91.0
425,HOU__MIA,0,0.0,0.0,8.0,91.0
426,PIT__SEA,-1,0.0,1.0,8.0,91.0
427,ATL__PHX,-1,0.0,0.0,8.0,91.0
428,LAA__LAN,-1,0.0,1.0,8.0,91.0
429,BUF__CIN,1,2.0,1.0,8.0,91.0
430,DEN__NE,-1,0.0,0.0,9.0,91.0
431,HOU__CIN,1,0.0,1.0,9.0,91.0
432,ATL__LAN,1,0.0,1.0,9.0,91.0
433,CLE__PIT,1,0.0,1.0,9.0,91.0
434,DET__DAL,1,0.0,1.0,9.0,91.0
435,MIN__PHX,1,0.0,0.0,9.0,91.0
436,SEA__SD,1,0.0,1.0,9.0,91.0
437,NYG__WAS,-1,1.0,1.0,9.0,91.0
438,BUF__NE,-1,0.0,1.0,10.0,91.0
439,CLE__CIN,-1,0.0,0.0,10.0,91.0
440,CHI__DET,1,0.0,1.0,10.0,91.0
441,NYJ__GB,-1,0.0,1.0,10.0,91.0
442,WAS__HOU,-1,0.0,1.0,10.0,91.0
443,DAL__PHX,1,0.0,1.0,10.0,91.0
444,MIN__TB,1,0.0,1.0,10.0,91.0
445,MIA__IND,-1,0.0,0.0,10.0,91.0
446,DEN__PIT,1,1.0,1.0,10.0,91.0
447,NYG__PHA,-1,2.0,0.0,10.0,91.0
448,MIA__NE,1,1.0,1.0,11.0,91.0
449,BUF__GB,1,0.0,0.0,11.0,91.0
450,CIN__PIT,-1,0.0,1.0,11.0,91.0
451,CLE__PHA,-1,0.0,1.0,11.0,91.0
452,DEN__LAA,-1,0.0,1.0,11.0,91.0
453,DET__TB,-1,0.0,0.0,11.0,91.0
454,HOU__DAL,-1,0.0,1.0,11.0,91.0
455,NYG__PHX,0,0.0,0.0,11.0,91.0
456,NYJ__IND,-1,0.0,1.0,11.0,91.0
457,SEA__SD,-1,0.0,0.0,11.0,91.0
458,WAS__ATL,1,0.0,1.0,11.0,91.0
459,MIN__CHI,-1,2.0,1.0,11.0,91.0
460,NYJ__NE,1,0.0,0.0,12.0,91.0
461,ATL__TB,1,0.0,1.0,12.0,91.0
462,CHI__IND,1,0.0,0.0,12.0,91.0
463,DET__LAN,1,0.0,1.0,12.0,91.0
464,HOU__CLE,-1,1.0,1.0,12.0,91.0
465,LAA__SEA,1,0.0,1.0,12.0,91.0
466,MIN__GB,1,0.0,0.0,12.0,91.0
467,NYG__DAL,1,0.0,1.0,12.0,91.0
468,PHA__CIN,-1,0.0,1.0,12.0,91.0
469,WAS__PIT,1,0.0,0.0,12.0,91.0
470,BUF__MIA,1,2.0,0.0,12.0,91.0
471,BUF__NE,-1,0.0,0.0,13.0,91.0
472,WAS__DAL,-1,0.0,1.0,13.0,91.0
473,MIN__DET,-1,0.0,1.0,13.0,91.0
474,HOU__PIT,-1,0.0,0.0,13.0,91.0
475,LAA__CIN,1,0.0,0.0,13.0,91.0
476,CHI__MIA,-1,0.0,1.0,13.0,91.0
477,NYG__TB,-1,0.0,0.0,13.0,91.0
478,PHA__PHX,1,0.0,0.0,13.0,91.0
479,SEA__DEN,0,0.0,1.0,13.0,91.0
480,NYJ__SD,1,0.0,1.0,13.0,91.0
481,DET__CHI,1,3.0,1.0,14.0,91.0
482,DAL__PIT,1,3.0,1.0,14.0,91.0
483,DEN__NE,1,0.0,1.0,14.0,91.0
484,CLE__IND,1,0.0,0.0,14.0,91.0
485,BUF__NYJ,1,0.0,1.0,14.0,91.0
486,MIA__TB,1,0.0,1.0,14.0,91.0
487,WAS__LAN,1,0.0,0.0,14.0,91.0
488,SEA__KC,-1,0.0,1.0,14.0,91.0
489,NYG__CIN,-1,0.0,0.0,14.0,91.0
490,ATL__GB,-1,0.0,1.0,14.0,91.0
491,LAA__SD,-1,1.0,0.0,14.0,91.0
492,HOU__PHA,-1,2.0,1.0,14.0,91.0
493,CLE__DEN,-1,0.0,1.0,15.0,91.0
494,CHI__GB,1,0.0,1.0,15.0,91.0
495,DAL__NO,1,0.0,1.0,15.0,91.0
