d3mIndex,col_1,col_2,col_3,col_4,col_6,col_7,col_8,col_9,col_10,binaryClass
151,152.0,10.0,23.0,5.0,0.0,152.0,10.0,239.0,25.0,P
152,153.0,7.0,4.0,1.0,0.0,153.0,12.0,244.0,39.0,P
153,154.0,13.0,127.0,22.0,1.0,154.0,9.0,104.0,22.0,N
154,155.0,10.0,134.0,14.0,1.0,155.0,11.0,191.0,25.0,N
155,156.0,6.0,94.0,14.0,0.0,156.0,8.0,98.0,19.0,P
156,157.0,7.0,113.0,12.0,0.0,157.0,10.0,132.0,22.0,P
157,158.0,7.0,132.0,11.0,1.0,158.0,6.0,92.0,15.0,N
158,159.0,6.0,120.0,5.0,1.0,159.0,8.0,72.0,20.0,N
159,160.0,10.0,114.0,14.0,0.0,160.0,8.0,98.0,23.0,P
160,161.0,8.0,94.0,9.0,0.0,161.0,7.0,132.0,15.0,P
161,162.0,12.0,96.0,16.0,1.0,162.0,9.0,198.0,33.0,N
162,163.0,10.0,68.0,11.0,1.0,163.0,6.0,68.0,10.0,N
163,164.0,8.0,40.0,8.0,0.0,164.0,12.0,167.0,28.0,P
164,165.0,6.0,126.0,11.0,0.0,165.0,9.0,127.0,20.0,P
165,166.0,5.0,95.0,11.0,1.0,166.0,14.0,135.0,23.0,N
166,167.0,14.0,124.0,28.0,1.0,167.0,12.0,186.0,30.0,N
167,168.0,4.0,60.0,9.0,0.0,168.0,7.0,218.0,22.0,P
168,169.0,13.0,107.0,22.0,0.0,169.0,12.0,189.0,23.0,P
169,170.0,3.0,24.0,5.0,1.0,170.0,10.0,205.0,28.0,N
170,171.0,12.0,90.0,17.0,1.0,171.0,12.0,192.0,17.0,N
171,172.0,9.0,169.0,22.0,0.0,172.0,11.0,199.0,30.0,P
172,173.0,18.0,129.0,33.0,0.0,173.0,12.0,171.0,20.0,P
173,174.0,10.0,62.0,20.0,1.0,174.0,12.0,192.0,33.0,N
174,175.0,15.0,107.0,22.0,1.0,175.0,12.0,150.0,21.0,N
175,176.0,10.0,62.0,19.0,0.0,176.0,8.0,175.0,25.0,P
176,177.0,12.0,84.0,11.0,0.0,177.0,10.0,156.0,22.0,P
177,178.0,10.0,61.0,17.0,1.0,178.0,11.0,137.0,17.0,N
178,179.0,10.0,86.0,17.0,1.0,179.0,14.0,157.0,19.0,N
179,180.0,12.0,179.0,22.0,0.0,180.0,9.0,93.0,16.0,P
180,181.0,10.0,61.0,16.0,0.0,181.0,13.0,197.0,19.0,P
181,182.0,6.0,72.0,16.0,1.0,182.0,6.0,48.0,14.0,N
182,183.0,11.0,113.0,25.0,1.0,183.0,11.0,236.0,19.0,N
183,184.0,6.0,91.0,14.0,0.0,184.0,12.0,160.0,17.0,P
184,185.0,11.0,227.0,36.0,0.0,185.0,18.0,196.0,51.0,P
185,186.0,7.0,44.0,11.0,1.0,186.0,9.0,69.0,11.0,N
186,187.0,6.0,80.0,15.0,1.0,187.0,8.0,222.0,20.0,N
187,188.0,6.0,65.0,14.0,0.0,188.0,12.0,308.0,25.0,P
188,189.0,6.0,49.0,11.0,0.0,189.0,15.0,244.0,39.0,P
189,190.0,3.0,110.0,16.0,1.0,190.0,11.0,98.0,15.0,N
190,191.0,2.0,46.0,7.0,1.0,191.0,9.0,153.0,16.0,N
191,192.0,12.0,78.0,11.0,0.0,192.0,12.0,456.0,33.0,P
192,193.0,6.0,54.0,17.0,0.0,193.0,12.0,291.0,25.0,P
193,194.0,13.0,149.0,23.0,1.0,194.0,12.0,126.0,17.0,N
194,195.0,10.0,108.0,22.0,1.0,195.0,9.0,84.0,11.0,N
195,196.0,12.0,252.0,44.0,0.0,196.0,14.0,172.0,22.0,P
196,197.0,9.0,167.0,28.0,0.0,197.0,14.0,170.0,25.0,P
197,198.0,6.0,81.0,11.0,1.0,198.0,15.0,218.0,25.0,N
198,199.0,4.0,53.0,7.0,1.0,199.0,18.0,255.0,39.0,N
199,200.0,12.0,102.0,17.0,0.0,200.0,11.0,144.0,25.0,P
200,201.0,6.0,6.0,5.0,0.0,201.0,12.0,247.0,27.0,P
201,202.0,10.0,109.0,22.0,1.0,202.0,15.0,271.0,35.0,N
202,203.0,7.0,69.0,8.0,1.0,203.0,8.0,118.0,23.0,N
203,204.0,9.0,213.0,23.0,0.0,204.0,9.0,275.0,28.0,P
204,205.0,12.0,168.0,36.0,0.0,205.0,12.0,286.0,30.0,P
205,206.0,9.0,93.0,17.0,1.0,206.0,4.0,104.0,14.0,N
206,207.0,10.0,110.0,17.0,1.0,207.0,8.0,168.0,20.0,N
207,208.0,13.0,81.0,21.0,0.0,208.0,11.0,275.0,32.0,P
208,209.0,11.0,121.0,22.0,0.0,209.0,16.0,354.0,51.0,P
209,210.0,16.0,68.0,22.0,1.0,210.0,6.0,96.0,17.0,N
210,211.0,12.0,131.0,28.0,1.0,211.0,8.0,176.0,22.0,N
211,212.0,10.0,96.0,15.0,0.0,212.0,6.0,74.0,14.0,P
212,213.0,12.0,339.0,47.0,0.0,213.0,8.0,187.0,21.0,P
213,214.0,5.0,59.0,8.0,1.0,214.0,6.0,51.0,11.0,N
214,215.0,12.0,114.0,14.0,1.0,215.0,7.0,197.0,20.0,N
215,216.0,10.0,127.0,22.0,0.0,216.0,7.0,85.0,19.0,P
216,217.0,15.0,155.0,20.0,0.0,217.0,10.0,243.0,36.0,P
217,218.0,15.0,195.0,37.0,1.0,218.0,8.0,119.0,27.0,N
218,219.0,17.0,185.0,25.0,1.0,219.0,12.0,288.0,54.0,N
219,220.0,6.0,23.0,5.0,0.0,220.0,10.0,495.0,20.0,P
220,221.0,7.0,60.0,11.0,0.0,221.0,7.0,151.0,28.0,P
221,222.0,11.0,126.0,20.0,1.0,222.0,12.0,870.0,11.0,N
222,223.0,8.0,102.0,14.0,1.0,223.0,2.0,14.0,2.0,N
223,224.0,11.0,165.0,16.0,0.0,,,,,N
224,225.0,11.0,189.0,23.0,0.0,,,,,N
225,226.0,11.0,182.0,20.0,1.0,,,,,N
226,227.0,15.0,270.0,21.0,1.0,,,,,N
227,228.0,10.0,252.0,28.0,0.0,,,,,N
