d3mIndex,Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7,Attribute_8,Attribute_9,class
54,1,0,0,1,0,1,0,1,0,0
55,0,0,0,1,1,1,1,0,1,1
56,0,0,0,1,1,0,0,1,0,0
57,0,1,1,1,0,1,0,1,0,0
58,1,0,0,0,0,0,0,1,0,0
59,1,1,0,1,0,1,1,1,0,0
60,1,0,1,1,0,1,1,1,0,0
61,0,1,0,1,1,1,0,0,1,1
62,1,1,0,0,0,0,1,0,0,0
63,1,1,0,1,1,0,1,1,1,1
64,0,0,1,1,0,1,0,1,0,0
65,0,1,0,0,1,1,1,0,0,0
66,1,0,0,1,0,1,0,0,1,0
67,1,0,1,1,0,1,1,0,1,0
68,0,0,1,0,0,1,0,0,1,0
69,1,0,1,1,1,1,0,1,0,1
70,0,1,0,1,1,0,0,0,0,0
71,0,1,1,0,1,1,0,1,1,0
72,0,1,0,0,1,0,1,1,1,1
73,0,0,1,0,1,1,1,1,1,1
74,1,0,1,0,1,0,1,0,0,0
75,1,0,1,0,0,1,0,1,1,0
76,0,1,0,0,1,1,1,0,1,0
77,1,0,0,0,1,1,0,1,0,0
78,1,1,1,1,1,0,0,0,1,1
79,0,0,0,0,1,0,0,0,1,0
80,0,1,0,1,1,0,1,1,1,1
81,0,1,0,1,1,1,0,1,0,1
82,0,0,1,0,0,1,1,1,0,0
83,1,0,0,0,0,1,0,0,1,0
84,1,0,1,0,1,1,0,0,1,0
85,0,0,0,1,0,1,0,0,0,0
86,0,0,0,1,0,0,1,0,0,0
87,0,1,0,0,1,1,0,0,1,0
88,1,1,0,1,1,1,0,1,1,1
89,1,0,0,1,1,1,1,1,0,1
90,0,0,0,0,1,0,1,0,0,0
91,0,0,0,1,0,0,0,1,1,0
92,0,1,1,1,0,1,1,1,1,1
93,0,1,0,0,1,1,0,1,0,0
94,0,0,1,0,0,1,0,1,0,0
95,0,0,0,0,1,1,1,1,0,0
96,1,1,0,0,0,1,1,0,0,0
97,1,0,0,1,1,0,1,0,0,0
98,0,0,1,1,1,0,1,1,0,0
99,0,1,0,1,0,0,0,0,0,0
100,1,0,0,0,1,0,0,1,0,0
101,1,1,0,1,0,1,0,1,0,0
102,0,0,1,0,0,0,0,0,1,0
103,1,1,1,0,0,0,0,0,0,1
104,0,0,0,0,1,1,1,1,1,1
105,0,1,1,1,1,0,0,0,0,0
106,0,0,1,1,0,1,0,1,1,0
107,0,1,1,1,0,0,0,0,0,0
108,0,1,0,1,1,0,1,0,1,0
109,0,0,0,0,0,0,1,1,1,1
110,1,0,0,0,0,0,1,0,1,0
111,0,0,0,0,0,0,1,0,1,0
112,1,0,0,0,0,1,1,0,0,0
113,0,0,0,1,1,0,0,0,1,0
114,1,0,0,1,0,0,1,0,1,0
115,1,1,0,0,0,1,1,0,1,0
116,0,0,1,1,0,0,0,0,0,0
117,1,0,0,0,1,0,1,0,0,0
118,0,1,1,0,0,1,1,0,1,0
119,0,0,0,1,0,0,0,0,0,0
120,1,1,0,1,0,1,1,0,0,0
121,0,0,1,1,1,1,1,0,1,1
122,0,0,0,0,0,1,0,0,0,0
123,1,1,0,0,1,1,0,0,0,0
124,1,0,0,0,0,1,0,1,1,0
125,1,0,1,0,1,1,1,1,1,1
126,1,0,1,0,0,0,0,1,1,0
127,0,0,1,1,1,0,1,0,1,0
128,1,1,0,0,1,1,1,1,0,0
129,0,1,0,0,1,1,0,0,0,0
130,0,1,0,0,0,1,0,0,0,0
131,1,0,0,1,0,0,0,0,0,0
132,1,1,1,0,1,0,0,1,0,1
133,1,0,1,1,1,0,1,1,0,0
134,1,0,1,0,1,0,0,0,0,0
135,1,1,0,1,1,1,0,0,0,1
136,1,1,0,1,0,0,0,0,0,0
137,1,0,0,1,1,0,1,1,0,0
138,1,1,0,0,0,0,1,0,1,0
139,1,1,1,1,1,1,1,1,0,1
140,1,0,0,0,0,0,0,0,0,0
141,0,1,0,1,1,1,0,0,0,1
142,1,1,1,0,1,1,0,0,0,1
143,1,0,0,0,1,0,1,0,1,0
144,1,0,0,1,0,0,0,0,1,0
145,0,0,1,1,1,0,0,1,0,0
146,0,1,1,0,1,0,1,0,0,0
147,0,1,0,0,1,0,1,0,0,0
148,0,0,1,1,0,1,0,0,0,0
149,1,1,0,1,0,0,0,0,1,0
150,0,1,0,1,0,0,1,1,1,1
151,0,1,1,1,0,1,0,0,0,0
152,1,1,0,0,1,0,1,1,1,1
153,1,0,1,1,0,0,0,1,1,0
154,1,1,1,0,0,0,0,0,1,1
155,1,1,1,1,0,1,1,1,0,1
156,0,0,1,0,1,0,0,0,0,0
157,1,0,1,1,1,0,0,1,0,0
158,0,0,0,1,0,1,0,1,0,0
159,1,0,1,0,1,1,1,0,0,0
160,1,1,1,0,1,0,1,0,0,1
161,1,0,1,1,1,1,1,0,0,1
162,0,1,1,0,0,0,0,1,1,0
163,1,0,1,1,0,0,1,1,1,1
164,1,0,1,1,1,1,1,1,1,1
165,0,0,0,1,1,1,0,1,0,1
166,0,1,0,1,0,1,0,1,0,0
167,0,1,0,1,1,0,0,0,1,0
168,1,1,1,0,0,0,0,1,0,1
169,0,1,1,0,1,0,0,0,1,0
170,0,0,0,1,1,0,1,0,1,0
171,0,1,0,0,0,1,1,0,1,0
172,0,1,1,1,1,0,0,0,1,0
173,0,0,0,1,0,1,1,1,0,0
174,0,0,0,1,0,1,1,0,0,0
175,0,0,1,1,0,1,1,1,0,0
176,0,0,1,1,1,1,0,0,1,1
177,0,1,0,0,1,0,1,0,1,0
178,0,0,0,1,0,1,1,0,1,0
179,1,0,0,1,1,1,1,0,1,1
180,0,1,1,1,0,1,1,0,0,0
181,0,0,0,0,1,1,0,0,1,0
182,1,1,0,1,0,1,1,1,1,1
183,0,0,1,0,1,0,0,1,1,0
184,1,0,1,1,0,1,0,0,0,0
185,0,0,1,1,1,0,1,0,0,0
186,0,1,1,0,1,1,1,1,1,1
187,0,1,1,0,0,1,1,1,1,1
188,0,0,0,0,0,0,0,1,1,0
189,1,1,0,1,1,0,1,0,1,0
190,0,0,1,0,0,0,1,0,1,0
191,1,1,0,1,0,0,1,1,1,1
192,0,0,0,1,1,0,1,1,0,0
193,1,1,0,0,1,1,0,1,0,0
194,0,1,0,1,1,0,1,0,0,0
195,1,1,1,1,0,0,0,0,0,1
196,0,1,1,0,1,0,0,0,0,0
197,0,0,1,1,1,1,1,1,1,1
198,0,0,1,1,0,0,1,1,1,1
199,1,1,1,1,0,0,1,0,0,1
200,0,1,0,0,0,1,1,1,0,0
201,1,1,0,1,0,1,0,0,1,0
202,1,0,1,0,0,1,1,0,1,0
203,1,0,0,0,0,0,1,1,1,1
204,1,0,1,0,0,1,0,0,0,0
205,0,1,1,0,1,1,0,1,0,0
206,1,0,1,1,1,0,1,0,0,0
207,0,1,0,0,0,0,1,0,0,0
208,1,1,1,0,0,1,1,1,0,1
209,0,0,1,1,0,0,0,1,1,0
210,1,1,1,1,0,1,0,1,0,1
211,0,1,1,1,1,1,1,0,1,1
212,0,0,1,1,1,1,1,0,0,1
213,0,1,1,0,1,0,1,0,1,0
214,0,1,0,0,0,1,0,1,1,0
215,1,1,0,0,0,0,0,0,1,0
216,1,1,1,1,0,1,0,0,1,1
217,1,0,1,0,0,1,1,0,0,0
218,1,0,0,1,1,1,1,0,0,1
219,1,1,1,1,0,0,1,0,1,1
220,0,0,1,1,0,0,1,1,0,0
221,1,0,1,1,1,0,0,1,1,0
222,0,0,1,0,1,0,1,0,1,0
223,1,0,0,1,0,0,1,1,1,1
224,1,0,0,0,1,1,1,0,0,0
225,0,0,1,0,0,0,0,0,0,0
226,0,1,0,1,0,1,1,0,1,0
227,1,0,0,1,1,1,0,0,0,1
228,0,1,1,0,0,1,1,0,0,0
229,0,0,1,0,1,1,1,0,0,0
230,1,1,1,1,0,0,0,1,1,1
231,0,0,1,1,0,0,1,0,1,0
232,0,1,0,0,0,0,1,1,0,0
233,0,1,0,1,0,0,1,0,0,0
234,0,1,1,0,1,1,1,1,0,0
235,0,1,1,1,1,1,0,0,1,1
236,1,1,1,0,1,1,1,1,1,1
237,1,1,1,1,1,1,1,0,0,1
238,0,1,0,1,0,0,1,0,1,0
239,1,1,1,0,1,0,0,1,1,1
240,0,0,1,1,1,0,0,0,1,0
241,0,0,1,0,1,0,1,0,0,0
242,0,1,0,1,1,1,1,0,0,1
243,0,1,1,1,0,1,0,1,1,0
244,0,1,0,1,1,1,0,1,1,1
245,1,0,1,0,1,1,0,0,0,0
246,1,0,0,1,0,1,0,0,0,0
247,1,0,1,1,1,1,0,0,0,1
248,1,0,0,1,1,0,0,0,0,0
249,0,1,0,0,0,0,0,0,0,0
250,1,1,0,0,0,0,1,1,1,1
251,1,1,1,0,1,0,0,0,1,1
252,0,1,1,0,0,1,0,0,0,0
253,1,0,1,0,1,1,0,1,0,0
254,1,0,1,0,1,0,0,1,1,0
255,1,1,1,0,0,0,0,1,1,1
256,0,1,1,1,0,1,1,0,1,0
257,1,0,1,0,0,0,1,0,0,0
258,1,0,1,1,1,1,1,0,1,1
259,0,0,1,0,0,1,1,0,1,0
260,0,0,1,1,1,1,1,1,0,1
261,0,0,0,1,1,0,1,0,0,0
262,1,1,1,1,0,1,0,1,1,1
263,1,1,0,1,0,1,1,0,1,0
264,1,1,0,0,1,0,1,0,1,0
265,0,0,1,1,0,0,1,0,0,0
266,0,0,0,0,0,0,1,0,0,0
267,0,1,1,0,0,0,1,1,1,1
268,0,0,1,1,1,1,0,0,0,1
269,0,0,0,1,1,1,1,1,0,1
270,1,0,1,0,0,1,0,1,0,0
271,1,0,1,0,0,0,1,1,1,1
272,1,1,0,0,0,0,0,1,1,0
273,1,1,1,0,1,0,1,0,1,1
274,0,0,1,1,0,0,0,0,1,0
275,0,1,0,1,1,0,1,1,0,0
276,1,0,0,1,1,0,1,0,1,0
277,0,1,0,1,0,1,1,0,0,0
278,1,0,0,1,1,0,0,0,1,0
279,1,0,0,1,0,1,1,0,0,0
280,1,0,0,0,1,0,0,1,1,0
281,1,0,0,0,1,1,1,1,0,0
282,1,0,0,0,1,1,0,1,1,0
283,0,0,0,0,0,0,0,0,1,0
284,1,1,1,0,0,0,1,0,1,1
285,0,1,0,0,1,1,1,1,1,1
286,0,0,1,0,1,1,0,0,0,0
287,0,0,0,0,1,1,0,0,0,0
288,1,1,1,1,0,0,1,1,1,1
289,0,0,1,1,1,1,0,1,1,1
290,0,1,0,0,1,0,0,0,1,0
291,0,0,0,0,0,0,0,1,0,0
292,1,1,0,1,0,0,1,0,0,0
293,1,1,0,1,1,1,1,0,0,1
294,1,1,1,0,0,1,0,1,1,1
295,1,1,1,0,0,0,1,1,0,1
296,1,0,1,1,0,0,1,0,1,0
297,0,1,0,0,0,0,0,0,1,0
298,0,0,1,0,1,0,1,1,0,0
299,1,1,1,1,0,1,1,1,1,1
300,0,0,1,0,0,1,1,0,0,0
301,1,0,0,1,0,0,0,1,1,0
302,1,0,0,0,1,1,1,0,1,0
303,0,0,0,1,1,1,0,0,1,1
304,0,0,1,0,0,0,0,1,1,0
305,1,1,0,0,0,1,1,1,0,0
306,1,1,1,0,1,0,1,1,1,1
307,1,1,1,1,1,1,1,1,1,1
308,0,1,0,1,0,1,0,1,1,0
309,0,1,1,1,1,1,1,1,0,1
310,1,1,0,1,0,1,0,0,0,0
311,1,1,1,1,1,0,1,0,0,1
312,1,0,1,0,0,0,0,1,0,0
313,1,1,0,0,0,1,0,1,0,0
314,1,0,0,1,1,0,1,1,1,1
315,0,0,0,0,1,0,0,0,0,0
316,1,0,1,1,1,0,1,1,1,1
317,0,1,0,1,1,0,0,1,1,0
318,0,1,0,0,1,0,0,1,0,0
319,1,0,0,1,0,0,1,1,0,0
320,0,1,1,0,1,1,0,0,1,0
321,0,0,0,1,1,1,0,0,0,1
322,1,0,0,1,1,0,0,1,1,0
323,0,1,1,1,0,0,1,0,1,0
324,1,0,1,1,0,1,1,0,0,0
325,1,1,1,1,1,0,0,1,1,1
326,1,1,1,1,0,0,0,0,1,1
327,0,0,1,0,0,0,1,1,0,0
328,1,1,1,1,0,0,1,1,0,1
329,0,1,1,0,0,1,0,0,1,0
330,1,1,0,1,1,0,0,0,1,0
331,1,0,0,0,1,0,0,0,0,0
332,0,1,1,1,1,0,1,1,0,0
333,0,0,0,0,0,1,1,1,1,1
334,1,1,1,1,1,0,0,0,0,1
335,0,1,1,1,1,1,0,1,1,1
336,0,1,1,1,1,1,1,1,1,1
337,0,1,0,1,0,0,0,1,1,0
338,0,1,0,1,0,1,0,0,1,0
339,1,1,0,0,0,0,0,0,0,0
340,0,0,0,1,1,0,0,1,1,0
341,0,0,0,0,0,1,1,0,0,0
342,0,0,1,0,1,1,1,1,0,0
343,1,0,0,0,1,0,0,0,1,0
344,1,0,1,1,0,1,0,0,1,0
345,1,1,1,0,1,1,1,1,0,1
346,1,1,1,0,1,1,0,1,0,1
347,0,1,1,0,1,0,0,1,0,0
348,1,0,0,0,0,1,1,1,0,0
349,1,0,0,1,1,1,0,1,0,1
350,0,0,1,0,1,1,0,1,1,0
351,0,1,1,0,0,1,0,1,0,0
352,0,0,1,0,1,1,1,0,1,0
353,1,0,1,1,1,0,0,0,0,0
354,0,0,0,0,1,1,1,0,1,0
355,0,1,0,1,0,0,0,1,0,0
356,1,1,1,0,0,1,0,0,1,1
357,1,1,0,0,1,1,0,1,1,0
358,0,1,1,1,1,0,1,0,0,0
359,0,0,0,1,0,0,1,0,1,0
360,1,1,0,0,1,1,1,1,1,1
361,1,1,0,0,0,1,0,0,1,0
362,0,0,1,1,0,1,1,1,1,1
363,1,1,0,1,1,0,1,1,0,0
364,0,0,1,0,1,1,0,0,1,0
365,0,1,1,0,0,0,1,1,0,0
366,0,1,0,0,0,0,0,1,1,0
367,1,1,1,1,1,1,0,0,0,1
368,1,1,1,0,1,1,0,1,1,1
369,0,0,0,0,1,1,0,1,1,0
370,0,0,1,1,1,1,0,1,0,1
371,1,0,1,0,0,1,1,1,0,0
372,0,1,1,0,1,0,1,1,0,0
373,0,0,1,0,0,0,0,1,0,0
374,0,1,0,1,1,1,1,1,0,1
375,0,0,0,1,0,0,1,1,0,0
376,1,0,0,0,1,0,1,1,0,0
377,0,1,1,0,0,0,0,0,1,0
378,0,0,0,1,1,0,1,1,1,1
379,1,0,0,0,1,0,1,1,1,1
380,1,0,0,0,0,1,1,0,1,0
381,0,0,1,1,0,1,1,0,1,0
382,1,1,0,0,1,1,1,0,1,0
383,0,1,0,0,0,1,1,0,0,0
384,1,1,1,0,0,0,1,1,1,1
385,0,1,1,1,0,0,0,0,1,0
386,1,0,0,1,0,1,1,0,1,0
387,1,0,1,1,0,0,0,0,0,0
388,1,1,1,0,1,1,0,0,1,1
389,1,0,0,1,1,0,0,1,0,0
390,1,1,0,0,1,0,0,1,0,0
391,0,0,0,0,1,0,1,1,1,1
392,0,1,0,0,0,1,1,1,1,1
393,1,1,1,1,1,0,1,1,0,1
394,1,0,1,1,1,1,0,1,1,1
395,1,0,0,1,0,0,0,1,0,0
396,1,0,0,1,1,1,0,1,1,1
397,0,1,0,1,1,1,1,1,1,1
398,1,0,0,0,0,1,1,1,1,1
399,1,0,1,1,1,1,0,0,1,1
400,1,0,0,0,1,1,0,0,0,0
401,1,0,1,0,1,1,0,1,1,0
402,1,1,0,0,0,1,0,0,0,0
403,0,1,0,0,1,0,0,1,1,0
404,1,1,0,0,0,1,1,1,1,1
405,1,0,1,0,1,0,1,1,0,0
406,1,1,1,1,0,1,1,0,1,1
407,0,1,1,0,0,0,0,0,0,0
408,1,0,0,0,0,0,1,1,0,0
409,0,0,0,0,1,0,0,1,0,0
410,1,1,0,1,1,0,0,1,1,0
411,1,0,1,1,0,0,0,1,0,0
412,0,1,1,0,0,0,1,0,1,0
413,1,1,0,0,1,1,1,0,0,0
414,0,0,0,1,0,0,0,0,1,0
415,0,0,0,1,1,1,1,1,1,1
416,1,1,1,0,0,1,0,1,0,1
417,0,1,1,1,1,1,0,0,0,1
418,0,0,0,1,1,0,0,0,0,0
419,0,1,1,1,1,1,0,1,0,1
420,0,1,1,1,1,0,0,1,0,0
421,1,0,0,0,0,1,0,0,0,0
422,0,1,1,1,1,0,0,1,1,0
423,1,0,0,1,0,1,1,1,1,1
424,0,0,1,0,0,1,1,1,1,1
425,1,1,1,0,1,0,0,0,0,1
426,0,0,0,1,1,1,0,1,1,1
427,1,0,1,1,0,0,0,0,1,0
428,0,0,1,0,0,1,0,1,1,0
429,0,1,1,1,1,1,1,0,0,1
430,1,0,1,0,1,0,0,0,1,0
431,0,1,1,1,0,0,1,1,1,1
432,0,1,1,1,0,1,0,0,1,0
433,0,0,1,1,0,1,1,0,0,0
434,0,1,1,1,0,1,1,1,0,0
435,1,1,0,0,1,0,0,0,1,0
436,1,1,0,0,1,0,1,1,0,0
437,0,1,1,0,1,1,0,0,0,0
438,1,1,0,1,0,0,1,0,1,0
439,0,0,0,0,0,1,1,0,1,0
440,1,1,1,0,0,1,1,0,0,1
441,1,0,1,0,0,0,1,1,0,0
442,1,1,1,0,1,1,1,0,0,1
443,1,0,0,0,0,0,0,1,1,0
444,0,0,1,0,1,0,1,1,1,1
445,1,0,0,1,0,1,1,1,0,0
446,1,0,1,0,0,1,0,0,1,0
447,0,0,0,1,0,0,0,1,0,0
448,1,1,0,1,1,0,0,0,0,0
449,1,1,1,1,1,1,1,0,1,1
450,1,1,1,1,1,0,1,0,1,1
451,1,0,0,1,1,1,0,0,1,1
452,0,1,1,0,1,1,1,0,0,0
453,0,1,0,0,0,1,0,0,1,0
454,0,1,1,1,0,0,1,1,0,0
455,0,1,0,0,1,1,1,1,0,0
456,0,1,0,0,0,0,1,0,1,0
457,1,0,1,1,1,0,1,0,1,0
458,1,1,0,0,1,1,0,0,1,0
459,0,1,0,1,0,0,0,0,1,0
460,0,1,1,0,1,0,0,1,1,0
461,1,0,0,0,1,0,1,0,0,0
462,1,0,1,1,0,1,1,1,1,1
463,0,0,1,0,1,0,0,1,0,0
464,1,1,1,0,0,0,1,1,1,1
465,1,1,1,1,0,0,0,0,1,1
466,1,1,1,0,1,0,1,0,0,1
467,0,0,1,1,1,1,1,1,0,1
468,0,0,1,0,0,1,1,1,1,1
469,0,0,0,1,1,1,0,1,0,1
470,1,1,0,1,0,0,0,1,0,0
471,1,0,1,1,0,1,0,0,1,0
472,0,1,1,0,0,0,0,0,0,0
473,0,0,1,1,0,1,1,1,1,1
474,0,1,0,1,0,1,0,0,0,0
475,0,1,0,0,0,0,1,0,0,0
476,0,1,1,1,1,0,0,1,1,0
477,1,0,0,1,1,1,1,1,0,1
478,1,0,1,0,0,1,0,0,0,0
479,1,1,1,1,0,0,1,0,1,1
480,1,1,0,0,1,1,1,0,0,0
481,1,0,1,0,1,1,0,1,1,0
482,1,1,0,0,0,0,1,0,1,0
483,1,0,1,0,0,1,0,0,1,0
484,1,1,0,0,0,1,0,1,1,0
485,1,1,1,0,1,0,0,0,1,1
486,1,1,0,0,1,0,0,1,1,0
487,0,1,0,1,1,0,1,0,1,0
488,0,0,0,0,1,1,1,0,0,0
489,1,0,0,0,1,0,0,0,1,0
490,1,1,0,1,1,0,0,1,1,0
491,0,1,0,1,0,0,0,0,0,0
492,1,0,1,0,0,1,1,1,1,1
493,0,0,0,1,1,0,0,1,1,0
494,0,0,0,1,0,0,0,0,1,0
495,1,0,0,1,1,0,0,1,0,0
496,0,0,1,0,1,1,0,1,0,0
497,1,0,1,1,1,1,1,1,0,1
498,1,1,1,0,0,0,1,1,0,1
499,0,1,0,1,0,1,0,1,0,0
500,0,1,0,1,1,1,1,0,0,1
501,1,1,0,1,0,0,0,0,1,0
502,1,0,0,0,0,1,0,0,1,0
503,0,1,0,0,0,1,0,0,1,0
504,1,0,0,0,0,1,1,1,0,0
505,1,1,0,0,0,1,0,0,0,0
506,0,1,1,1,1,0,0,0,0,0
507,0,0,1,0,0,0,1,0,0,0
508,1,0,1,0,1,1,0,0,0,0
509,0,0,0,0,1,1,0,1,1,0
510,1,0,0,0,0,0,0,0,1,0
511,1,1,0,1,1,0,1,0,1,0
512,1,1,1,0,1,0,0,0,0,1
513,1,1,1,1,0,0,1,1,0,1
514,1,1,0,1,1,1,1,0,0,1
515,0,0,1,0,0,0,1,1,1,1
516,0,1,1,1,1,0,1,1,1,1
517,1,1,1,0,1,1,0,0,1,1
518,0,1,1,1,1,0,1,0,0,0
519,1,0,1,1,1,0,0,1,0,0
520,0,0,1,1,0,0,1,1,1,1
521,1,1,1,1,1,1,1,1,0,1
522,0,1,1,1,1,1,0,1,1,1
523,0,1,0,0,1,0,1,1,0,0
524,0,1,1,0,1,0,0,1,0,0
525,1,1,0,0,1,1,0,1,1,0
526,0,0,1,1,1,0,0,1,0,0
527,1,0,1,1,1,0,0,0,1,0
528,0,0,0,0,1,0,1,0,0,0
529,1,0,1,0,1,1,1,0,0,0
530,0,0,0,1,0,0,1,0,1,0
531,0,0,1,0,1,1,0,0,0,0
532,1,0,1,0,0,1,1,1,0,0
533,1,0,0,1,0,0,0,0,1,0
534,1,0,1,1,1,0,0,0,0,0
535,0,0,1,1,0,1,1,0,1,0
536,0,1,1,0,1,0,0,1,1,0
537,1,1,1,1,0,0,0,1,0,1
538,1,1,1,0,1,0,0,1,0,1
539,0,1,1,0,0,1,1,1,1,1
540,0,1,0,0,1,0,0,0,0,0
541,1,1,0,1,1,1,0,0,0,1
542,1,0,1,1,0,1,1,0,1,0
543,1,0,1,0,0,0,1,0,1,0
544,0,0,1,1,0,1,1,0,0,0
545,0,0,1,1,1,0,0,0,0,0
546,0,0,1,0,1,0,0,0,0,0
547,0,0,0,0,0,1,1,1,1,1
548,0,0,1,0,0,1,0,0,1,0
549,0,1,1,0,1,1,0,0,1,0
550,0,1,1,1,0,1,1,1,0,0
551,1,0,0,0,0,0,1,1,1,1
552,1,0,0,1,1,1,0,1,1,1
553,0,1,0,1,0,0,1,1,0,0
554,0,0,0,0,0,1,1,0,0,0
555,1,1,0,1,0,1,0,0,0,0
556,1,1,1,0,0,1,0,0,0,1
557,0,0,1,0,1,1,0,0,1,0
558,1,1,1,1,1,1,0,0,0,1
559,0,0,0,0,0,0,0,0,0,0
560,1,0,0,1,1,0,0,0,1,0
561,1,1,1,1,0,1,1,0,1,1
562,0,1,0,0,1,1,0,1,1,0
563,0,1,1,1,0,0,1,0,0,0
564,0,1,0,1,1,1,0,1,0,1
565,0,0,0,1,1,0,0,1,0,0
566,1,1,0,0,1,1,0,1,0,0
567,0,1,0,1,0,1,1,0,0,0
568,1,1,0,1,1,0,0,1,0,0
569,0,1,1,1,0,1,1,0,0,0
570,0,1,0,1,0,0,0,0,1,0
571,1,1,0,0,0,1,1,0,1,0
572,0,1,1,1,1,1,1,0,0,1
573,1,0,1,0,1,0,0,0,1,0
574,1,0,0,1,0,0,1,0,1,0
575,1,0,0,0,1,1,1,0,0,0
576,1,1,0,1,0,0,1,0,1,0
577,1,1,0,1,1,1,1,0,1,1
578,0,1,0,1,1,1,1,0,1,1
579,0,1,0,0,0,0,1,1,0,0
580,1,1,0,1,0,1,1,0,0,0
581,0,1,0,1,0,1,1,1,1,1
582,0,0,1,0,1,0,0,1,1,0
583,1,0,0,0,1,0,0,0,0,0
584,1,1,0,0,1,1,1,1,1,1
585,0,1,1,1,0,1,0,0,0,0
586,0,1,0,1,0,1,1,1,0,0
587,0,0,0,0,0,1,0,0,1,0
588,0,0,1,1,1,0,0,0,1,0
589,0,0,0,1,1,0,0,0,1,0
590,0,0,0,0,1,1,0,1,0,0
591,1,1,1,1,1,0,1,0,0,1
592,1,1,1,1,1,1,0,1,0,1
593,1,0,0,1,0,1,0,1,0,0
594,0,0,1,0,1,0,0,0,1,0
595,0,1,1,1,1,0,0,1,0,0
596,1,1,1,1,0,0,0,0,0,1
597,0,1,0,0,1,0,0,1,1,0
598,1,1,0,0,0,1,1,1,0,0
599,1,1,1,0,0,1,1,0,1,1
600,0,1,0,1,1,1,1,1,1,1
601,1,1,0,0,0,1,0,0,1,0
602,0,0,0,0,1,1,1,1,0,0
603,1,1,0,0,0,0,1,1,0,0
604,0,1,0,1,0,1,0,1,1,0
605,0,0,1,0,1,0,1,0,1,0
606,1,0,0,1,0,1,1,1,0,0
607,0,1,1,0,1,1,1,0,0,0
608,0,1,0,0,0,1,1,0,0,0
609,0,0,0,1,1,1,0,0,1,1
610,1,0,0,0,1,1,0,0,0,0
611,0,1,1,0,1,0,1,0,0,0
612,1,1,1,0,0,0,0,0,0,1
613,0,0,0,1,1,1,1,0,0,1
614,1,0,0,1,1,0,1,1,1,1
615,0,1,0,1,0,0,0,1,0,0
616,0,0,0,0,1,1,1,0,1,0
617,0,0,0,0,1,1,0,0,0,0
618,1,1,1,1,1,0,0,0,1,1
619,0,1,0,0,1,0,1,0,1,0
620,1,1,1,0,0,0,0,1,0,1
621,1,1,0,0,0,1,1,1,1,1
622,1,1,1,0,1,0,0,1,1,1
623,1,1,0,0,0,1,1,0,0,0
624,0,1,0,1,1,0,0,1,0,0
625,1,1,1,1,0,1,0,1,1,1
626,0,1,1,1,1,1,0,0,1,1
627,0,1,0,0,1,0,1,1,1,1
628,0,0,0,1,0,1,0,1,1,0
