d3mIndex,Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9,class
174,0,1,1,1,1,0,0,1,0,1,1
175,1,1,0,0,1,0,1,1,1,1,1
176,0,1,0,1,0,0,0,0,0,0,0
177,1,0,0,0,0,0,1,0,0,1,0
178,1,0,0,0,0,0,1,1,1,0,1
179,1,1,0,0,1,0,0,0,1,0,0
180,1,1,1,0,0,0,1,0,0,0,0
181,1,0,1,1,0,1,0,0,0,1,1
182,1,0,0,1,0,1,0,0,0,0,0
183,0,0,0,1,1,0,1,1,1,1,1
184,0,0,0,0,0,1,0,0,0,1,0
185,0,1,1,0,0,1,1,0,0,1,1
186,0,1,1,1,0,1,0,0,1,0,1
187,0,0,0,1,0,1,1,1,1,1,1
188,0,1,1,0,0,0,0,0,1,1,0
189,1,1,0,0,1,1,1,0,0,0,1
190,0,0,1,0,1,0,1,1,1,1,1
191,0,0,1,1,0,1,0,1,0,1,1
192,0,0,0,1,1,1,0,0,0,0,1
193,1,1,1,1,0,0,1,1,0,0,1
194,1,1,1,0,1,0,1,1,1,0,1
195,1,0,0,0,1,1,1,0,0,0,1
196,1,1,0,1,1,0,0,1,0,1,1
197,0,0,1,0,0,0,0,1,1,1,1
198,1,1,1,0,0,1,1,1,0,0,1
199,0,0,1,1,1,0,0,1,1,0,1
200,1,1,0,0,0,1,1,0,0,0,0
201,1,0,0,1,0,1,1,0,0,0,1
202,0,0,1,1,0,0,1,0,1,1,1
203,1,0,0,0,0,1,1,1,1,0,1
204,1,0,0,1,1,1,1,0,1,0,1
205,0,1,1,1,1,0,1,1,0,0,1
206,0,0,1,1,0,0,1,0,0,0,1
207,1,1,1,1,1,0,0,0,0,1,1
208,0,1,1,0,0,1,0,1,1,1,1
209,0,0,0,1,0,1,0,0,1,1,1
210,1,1,1,1,1,0,1,1,1,1,1
211,1,1,0,1,0,0,1,1,1,0,1
212,0,0,0,0,0,1,0,1,0,0,0
213,1,0,1,1,1,0,0,0,1,0,1
214,1,1,1,0,1,0,1,1,1,1,1
215,1,0,1,0,1,1,1,0,0,0,1
216,1,0,1,0,0,1,0,1,0,0,1
217,1,0,0,1,1,1,1,0,1,1,1
218,1,0,1,0,0,0,1,0,1,1,1
219,1,0,0,0,1,0,0,0,1,0,0
220,0,0,0,1,1,0,0,0,0,0,0
221,1,0,0,0,0,1,0,0,0,0,0
222,0,0,1,0,0,0,0,1,0,0,0
223,0,0,1,0,1,1,0,1,1,0,1
224,0,0,1,1,0,1,1,0,0,0,1
225,1,0,0,1,0,1,1,0,1,0,1
226,0,1,0,1,1,0,1,0,1,0,1
227,0,1,1,1,1,1,1,0,0,0,1
228,0,1,1,0,1,0,1,0,0,1,1
229,0,0,1,1,0,0,0,1,1,0,1
230,0,1,1,1,1,1,0,1,1,1,1
231,0,0,1,0,1,0,0,1,1,1,1
232,0,0,1,1,1,0,1,0,0,0,1
233,0,1,1,1,0,1,1,0,1,0,1
234,1,0,0,0,0,1,0,0,0,1,0
235,1,1,0,1,0,0,1,1,0,1,1
236,0,0,1,1,1,0,0,1,0,0,1
237,0,1,0,0,0,0,1,0,0,0,0
238,1,1,0,0,1,1,1,1,1,1,1
239,0,0,1,0,1,1,1,0,1,0,1
240,0,0,0,0,1,0,0,1,1,0,1
241,1,1,0,1,1,1,1,0,0,0,1
242,1,0,1,0,1,1,0,1,0,0,1
243,0,1,0,1,1,1,1,0,1,1,1
244,0,0,0,1,0,0,1,0,0,1,0
245,0,1,1,1,1,1,0,0,0,0,1
246,0,1,0,0,0,1,0,1,0,1,0
247,0,0,1,1,0,1,1,1,0,0,1
248,1,0,0,0,1,0,1,1,0,0,1
249,0,0,0,0,0,0,1,1,1,1,1
250,1,1,1,0,0,0,0,1,1,1,1
251,1,1,0,0,0,1,0,0,0,0,0
252,0,1,1,0,0,0,0,1,0,0,0
253,0,1,0,1,0,1,0,0,0,0,0
254,0,1,1,1,0,1,0,0,0,0,1
255,0,0,1,1,1,0,1,0,1,1,1
256,1,1,1,0,0,1,1,0,0,1,1
257,1,1,0,0,1,1,1,1,0,1,1
258,0,0,1,0,1,0,0,0,0,0,0
259,1,0,1,1,1,1,1,0,0,1,1
260,1,0,0,0,0,1,0,0,1,0,0
261,1,0,0,0,0,0,0,0,0,1,0
262,1,1,0,1,0,0,0,0,1,1,0
263,0,0,1,0,1,1,0,0,0,1,1
264,1,0,0,0,0,1,1,0,1,0,1
265,0,1,0,1,0,0,0,1,0,0,0
266,0,0,1,1,1,1,0,0,0,1,1
267,0,1,1,1,1,1,0,1,0,1,1
268,1,1,1,0,1,0,1,0,1,0,1
269,1,0,0,1,0,0,0,1,1,0,1
270,0,1,1,0,1,1,1,1,1,1,1
271,1,0,0,0,1,1,1,0,0,1,1
272,1,0,1,1,1,1,1,0,1,1,1
273,0,1,1,0,0,0,1,0,1,0,1
274,1,0,0,0,1,0,1,1,1,0,1
275,1,0,0,1,1,1,0,1,0,1,1
276,0,1,1,1,0,1,1,1,1,0,1
277,0,0,1,0,1,0,1,0,1,0,1
278,0,0,1,1,1,1,1,0,0,1,1
279,1,1,1,0,1,1,0,0,1,0,1
280,1,1,1,0,1,1,1,0,1,0,1
281,0,0,1,0,1,0,0,0,1,0,1
282,0,0,0,0,1,1,0,0,0,1,0
283,1,0,0,0,1,1,0,1,0,0,1
284,0,0,1,0,1,1,0,1,0,0,1
285,0,1,0,1,1,0,1,0,1,1,1
286,1,1,1,1,1,1,0,0,0,1,1
287,0,1,0,1,0,1,1,0,1,0,1
288,0,1,0,1,0,0,1,0,1,0,1
289,1,1,1,1,1,0,0,0,1,0,1
290,0,1,0,1,0,0,1,1,1,1,1
291,1,1,1,1,1,1,0,0,0,0,1
292,1,1,0,0,1,0,0,1,0,0,0
293,0,1,0,1,1,1,0,1,1,0,1
294,0,1,1,0,1,1,0,1,0,0,1
295,1,1,0,0,1,1,1,0,1,1,1
296,0,0,0,0,1,0,1,1,1,0,1
297,1,1,0,0,0,0,0,1,0,1,0
298,0,0,1,0,1,1,1,1,1,0,1
299,1,0,0,1,1,1,1,1,0,0,1
300,1,0,0,1,1,1,0,0,1,0,1
301,0,1,0,1,0,0,1,0,1,0,1
302,1,1,1,1,0,1,0,0,0,1,1
303,1,1,0,1,0,1,0,1,0,0,1
304,1,0,1,0,1,1,1,1,1,1,1
305,1,0,1,0,1,0,1,0,0,1,1
306,1,1,0,1,1,0,1,0,0,1,1
307,1,1,1,0,1,1,0,1,0,1,1
308,1,1,1,0,1,0,0,0,1,0,1
309,0,1,1,0,1,0,0,1,0,0,1
310,0,1,1,1,1,0,0,1,1,1,1
311,1,1,1,1,1,0,1,0,0,0,1
312,1,0,0,1,1,0,0,1,1,0,1
313,0,1,0,1,1,0,1,0,1,1,1
314,1,0,0,0,1,1,1,0,0,0,1
315,0,0,1,1,1,1,1,1,0,1,1
316,0,1,0,1,1,1,0,1,1,0,1
317,1,1,0,0,1,0,1,0,1,1,1
318,0,0,0,1,1,1,1,1,1,0,1
319,1,0,0,1,1,1,0,1,0,0,1
320,0,0,0,0,0,1,0,1,0,0,0
321,0,1,1,1,0,0,0,1,0,0,1
322,1,1,0,0,0,1,1,1,1,0,1
323,1,0,1,0,0,0,0,0,0,1,0
324,1,0,1,0,0,1,0,0,0,0,0
325,0,0,1,1,1,1,1,0,1,1,1
326,0,1,0,0,0,1,0,0,1,0,0
327,1,1,0,0,1,1,1,1,1,1,1
328,1,1,1,1,0,0,1,0,0,1,1
329,1,1,1,0,0,1,0,0,1,0,1
330,0,1,1,0,1,1,1,1,1,1,1
331,1,1,0,0,1,0,0,0,1,0,0
332,0,0,1,0,0,0,0,1,1,1,1
333,1,1,0,0,1,0,1,1,1,1,1
334,0,0,0,1,0,0,1,0,0,1,0
335,0,0,1,0,0,0,0,0,1,0,0
336,0,0,0,0,1,0,0,0,1,1,0
337,0,0,1,1,1,1,0,1,1,0,1
338,0,0,0,1,1,0,1,1,0,0,1
339,1,1,1,1,1,0,1,0,1,0,1
340,0,0,1,0,1,0,0,1,1,0,1
341,0,0,0,0,0,1,1,1,1,1,1
342,1,0,0,0,0,0,1,1,1,0,1
343,0,1,0,1,1,1,1,0,0,1,1
344,0,0,1,1,1,1,0,1,0,1,1
345,1,0,0,1,1,0,1,0,1,1,1
346,0,1,1,1,1,0,1,0,0,1,1
347,1,1,0,0,1,1,0,1,1,0,1
348,0,0,1,0,0,0,0,1,0,0,0
349,0,0,1,1,1,0,1,1,1,1,1
350,0,1,1,0,0,0,0,0,0,0,0
351,1,1,1,0,1,1,1,1,0,0,1
352,1,0,0,0,1,0,0,0,1,0,0
353,0,1,0,1,1,1,1,0,1,1,1
354,0,0,0,1,0,1,1,1,0,1,1
355,1,1,0,1,1,1,1,1,1,0,1
356,1,1,1,0,0,0,1,0,0,1,0
357,1,1,0,1,0,1,0,0,0,0,0
358,1,0,1,1,0,0,0,0,0,0,0
359,0,1,1,1,1,0,1,1,0,0,1
360,0,0,1,1,0,0,1,0,0,0,1
361,1,0,0,1,1,0,0,0,0,1,0
362,0,1,1,0,0,1,0,1,0,0,1
363,0,0,0,0,1,0,1,1,0,0,1
364,0,0,1,0,0,0,0,1,0,1,0
365,1,1,1,1,0,1,1,1,1,1,1
366,0,0,1,1,0,0,1,1,1,0,1
367,1,0,1,1,1,1,0,0,0,0,1
368,1,1,0,1,1,0,1,1,0,0,1
369,1,0,1,0,1,1,1,0,1,0,1
370,1,0,1,0,0,1,1,0,0,1,1
371,1,0,0,1,1,0,0,1,0,0,1
372,1,1,1,0,1,1,0,0,0,1,1
373,0,1,1,1,0,1,0,1,0,0,1
374,0,0,0,1,0,1,0,0,0,0,0
375,1,0,1,0,0,1,0,1,1,1,1
376,0,1,0,1,1,0,1,1,1,1,1
377,1,1,1,0,1,0,1,1,1,0,1
378,0,1,1,1,0,0,0,1,1,1,1
379,0,0,1,1,1,0,1,0,0,0,1
380,0,0,1,1,1,0,0,1,1,1,1
381,0,1,0,1,1,1,0,0,1,1,1
382,0,0,1,1,0,0,1,0,1,0,1
383,0,0,0,0,0,1,0,0,0,1,0
384,1,1,0,1,1,1,1,0,1,0,1
385,0,0,0,1,1,1,0,1,0,0,1
386,1,0,1,1,0,0,1,0,0,0,1
387,0,0,0,1,1,0,0,0,0,1,0
388,0,0,1,1,0,0,1,1,1,1,1
389,1,1,1,1,0,1,0,0,0,0,1
390,0,1,1,0,1,0,1,1,0,1,1
391,0,1,1,1,1,0,0,1,1,0,1
392,1,1,1,1,0,1,1,0,0,0,1
393,0,0,1,0,1,0,1,1,1,0,1
394,0,1,1,1,0,1,1,1,1,1,1
395,1,1,1,1,0,1,1,1,0,1,1
396,1,1,1,0,0,1,1,1,1,0,1
397,0,1,0,0,1,0,0,0,0,1,0
398,0,1,1,1,0,0,1,0,1,1,1
399,1,0,1,1,1,0,0,0,1,0,1
400,1,0,0,0,0,1,0,1,0,0,0
401,1,0,1,0,1,1,1,1,0,1,1
402,0,1,0,0,0,1,0,1,0,0,0
403,1,1,0,0,1,0,0,0,1,1,0
404,1,0,0,1,1,1,1,1,1,1,1
405,0,0,1,0,1,1,1,0,1,0,1
406,1,0,1,1,1,1,1,0,0,1,1
407,0,0,0,0,0,1,0,0,1,0,0
408,0,1,1,1,1,0,0,0,0,0,1
409,0,1,0,0,1,0,1,1,1,1,1
410,0,0,0,0,1,1,1,0,0,1,1
411,0,0,1,1,0,0,0,1,0,1,1
412,0,1,0,1,1,0,0,0,0,0,0
413,0,1,0,0,1,0,1,0,0,0,0
414,0,1,0,0,1,1,0,1,1,0,1
415,1,0,0,1,0,1,1,1,0,0,1
416,1,1,1,1,1,1,0,1,0,1,1
417,1,0,1,0,0,1,0,1,0,0,1
418,1,1,1,0,0,1,0,0,1,1,1
419,1,1,1,0,1,0,0,1,0,0,1
420,0,1,0,1,0,1,1,0,0,1,1
421,1,1,1,1,0,0,0,0,0,1,0
422,1,1,0,1,0,1,1,1,0,0,1
423,0,0,0,0,1,1,0,1,0,1,1
424,1,1,0,0,0,0,0,0,1,0,0
425,1,0,1,0,1,1,1,1,0,0,1
426,0,1,0,1,1,0,0,0,1,1,1
427,1,0,0,1,1,0,0,0,1,0,1
428,1,0,0,0,0,0,0,1,0,0,0
429,0,0,1,1,1,1,1,1,1,0,1
430,0,1,1,0,0,1,0,1,0,1,1
431,0,1,0,0,1,1,1,1,0,1,1
432,0,1,1,1,0,0,1,0,1,0,1
433,1,1,0,1,0,1,0,0,0,1,0
434,0,1,1,0,0,0,1,1,0,0,1
435,0,0,0,0,1,1,1,1,0,1,1
436,1,0,0,0,0,0,0,0,1,1,0
437,1,1,1,0,1,1,1,1,1,1,1
438,0,0,0,1,0,1,0,1,0,1,1
439,1,1,0,1,1,1,1,1,1,1,1
440,1,1,1,1,0,1,0,1,0,1,1
441,1,1,1,0,1,1,0,0,1,1,1
442,0,1,1,0,1,0,0,0,1,1,1
443,0,0,1,1,0,0,1,1,0,0,1
444,0,1,0,1,1,0,1,0,0,1,1
445,1,1,1,0,1,1,0,1,1,1,1
446,1,1,0,0,1,1,1,0,1,0,1
447,0,1,0,1,1,1,1,1,0,1,1
448,0,0,1,1,0,0,0,1,0,0,1
449,0,1,1,0,0,1,0,0,0,0,0
450,0,1,0,0,1,0,0,0,1,1,0
451,0,0,0,0,0,0,0,1,0,1,0
452,1,0,1,0,0,0,0,1,1,0,1
453,1,1,1,0,0,0,0,0,0,0,0
454,1,0,0,0,1,0,0,0,0,0,0
455,1,0,1,0,1,1,1,0,0,0,1
456,0,0,1,0,0,0,0,1,1,0,1
457,0,1,0,0,1,0,0,1,1,1,1
458,1,0,1,1,0,1,1,1,1,1,1
459,0,0,0,0,0,1,1,1,0,0,1
460,1,0,1,1,1,1,1,1,1,0,1
461,0,1,1,0,1,0,1,0,1,1,1
462,1,1,1,1,0,1,1,0,0,1,1
463,0,0,0,1,0,1,0,0,1,1,1
464,1,1,0,0,0,0,0,0,0,0,0
465,1,1,1,0,1,1,1,0,0,0,1
466,0,1,0,0,0,1,0,1,0,1,0
467,1,0,0,1,0,1,1,1,1,1,1
468,1,1,0,1,0,0,1,0,1,0,1
469,1,0,0,0,1,1,1,1,1,1,1
470,0,1,0,1,1,0,0,1,0,1,1
471,1,0,0,1,1,1,1,0,0,1,1
472,0,0,0,1,1,1,0,1,0,1,1
473,0,0,0,1,1,0,1,0,1,0,1
474,1,0,0,1,1,1,0,1,0,1,1
475,1,0,1,1,1,1,0,1,1,1,1
476,1,0,0,0,1,1,0,1,0,0,1
477,0,1,1,0,1,1,1,1,0,0,1
478,0,0,1,1,0,1,1,1,1,1,1
479,1,0,0,1,1,0,1,1,1,0,1
480,0,1,0,1,1,0,1,0,0,0,1
481,1,0,0,0,0,0,1,0,1,0,0
482,1,1,1,1,1,0,0,0,0,0,1
483,0,1,0,0,1,1,1,0,0,0,1
484,1,0,1,0,0,0,1,0,1,1,1
485,0,0,1,0,0,1,1,1,1,1,1
486,0,0,1,1,1,0,1,1,1,0,1
487,1,1,0,1,1,0,1,1,1,1,1
488,0,1,1,0,1,1,1,0,0,1,1
489,1,0,0,0,1,1,1,1,0,1,1
490,1,1,1,0,1,1,0,1,0,0,1
491,1,0,0,1,0,0,0,1,1,1,1
492,1,0,1,0,1,1,0,0,0,1,1
493,1,1,1,1,0,0,1,0,1,0,1
494,0,1,1,0,0,1,0,1,1,1,1
495,0,0,1,1,1,0,1,1,0,0,1
496,0,1,0,0,1,0,0,1,1,0,1
497,0,1,0,0,0,0,0,1,0,0,0
498,1,0,0,0,1,0,0,0,0,1,0
499,0,1,0,1,1,1,1,1,1,1,1
500,1,0,0,1,0,0,1,1,0,0,1
501,1,1,0,1,1,0,1,1,0,1,1
502,1,0,0,1,1,1,0,0,0,1,1
503,1,0,0,0,1,0,1,1,0,0,1
504,1,0,0,0,0,0,1,0,0,1,0
505,1,0,1,0,0,1,1,1,1,0,1
506,0,1,0,1,1,0,1,1,0,1,1
507,0,1,0,0,0,0,0,1,0,1,0
508,0,1,1,1,0,0,1,1,1,1,1
509,0,0,1,0,1,0,1,0,0,1,1
510,1,0,1,1,0,1,1,0,0,0,1
511,0,0,0,0,0,0,1,1,1,0,1
512,1,1,0,0,0,1,1,1,1,1,1
513,0,1,0,0,1,1,1,0,1,0,1
514,0,0,0,0,1,1,1,1,0,0,1
515,1,0,1,1,0,0,0,1,0,0,1
516,1,1,0,1,0,1,1,1,1,1,1
517,0,1,1,0,0,0,0,0,1,0,0
518,1,1,0,0,0,1,1,1,0,0,1
519,0,1,0,1,1,1,1,1,0,0,1
520,1,1,1,1,0,0,0,1,0,1,1
521,1,1,0,0,1,0,1,0,0,0,0
522,1,0,0,1,1,0,1,1,0,0,1
523,1,1,0,1,0,0,0,1,0,0,0
524,0,0,1,0,1,0,1,0,0,0,1
525,0,0,1,0,0,0,1,1,0,1,1
526,0,0,0,1,1,0,0,1,1,0,1
527,0,0,0,1,1,0,1,0,1,1,1
528,0,0,0,0,0,1,0,1,1,0,1
529,1,0,1,1,1,0,0,1,0,0,1
530,1,0,0,0,0,1,1,0,0,1,0
531,0,1,0,0,0,1,1,1,0,1,1
532,1,1,1,1,1,1,1,0,1,0,1
533,0,1,1,0,1,0,1,0,0,1,1
534,1,1,1,0,1,0,0,1,0,1,1
535,1,1,1,0,1,1,1,0,1,1,1
536,0,0,1,0,1,0,1,0,1,0,1
537,1,0,1,0,0,1,0,1,0,1,1
538,0,1,0,0,0,1,1,1,1,1,1
539,1,1,0,0,0,0,1,1,1,0,1
540,0,0,0,1,0,1,1,1,1,0,1
541,0,1,1,1,0,0,1,1,1,0,1
542,0,0,0,0,1,0,0,0,0,1,0
543,0,1,1,0,0,0,0,1,0,0,0
544,0,0,0,0,0,1,1,1,0,1,1
545,1,1,0,0,1,0,1,1,0,0,1
546,1,1,0,1,1,1,0,1,1,0,1
547,0,0,1,0,0,0,1,0,0,0,0
548,0,0,0,1,1,0,1,1,1,0,1
549,1,0,0,0,1,1,0,1,0,1,1
550,1,0,1,0,0,0,1,0,1,0,1
551,0,0,1,1,1,1,1,0,0,1,1
552,1,0,0,0,1,0,1,1,0,1,1
553,1,1,0,1,1,1,0,1,1,1,1
554,1,1,1,0,1,0,1,0,0,0,1
555,1,0,0,1,0,1,1,1,1,0,1
556,1,0,0,1,1,1,0,0,1,1,1
557,0,1,0,1,1,1,1,0,0,0,1
558,1,1,1,1,0,0,1,1,0,1,1
559,0,1,0,1,1,0,1,1,1,0,1
560,1,1,1,0,1,1,1,0,0,1,1
561,1,1,1,0,0,1,1,1,0,1,1
562,0,0,1,1,0,1,1,1,1,0,1
563,1,1,0,1,1,1,0,0,1,0,1
564,1,1,1,0,1,0,1,0,1,1,1
565,1,1,0,1,0,1,0,1,1,0,1
566,0,1,0,1,0,0,1,0,1,1,1
567,1,0,1,0,0,0,1,1,1,0,1
568,0,1,1,0,1,0,0,0,0,1,0
569,1,0,0,1,0,1,1,0,0,0,1
570,0,0,1,0,1,1,1,0,1,1,1
571,0,1,1,1,1,1,1,0,1,1,1
572,1,0,0,0,0,1,0,1,0,1,0
573,0,1,1,0,0,0,0,0,1,1,0
574,1,0,1,1,0,1,1,1,1,0,1
575,1,1,1,1,1,1,0,0,1,1,1
576,1,0,1,0,0,1,0,0,1,0,1
