d3mIndex,name,mpg,cylinders,displacement,horsepower,weight,acceleration,model.year,origin
54,pontiac_firebird,19.0,6,250.0,100.0,3282,15.0,71,1
55,ford_mustang,18.0,6,250.0,88.0,3139,14.5,71,1
56,mercury_capri_2000,23.0,4,122.0,86.0,2220,14.0,71,1
57,opel_1900,28.0,4,116.0,90.0,2123,14.0,71,2
58,peugeot_304,30.0,4,79.0,70.0,2074,19.5,71,2
59,fiat_124b,30.0,4,88.0,76.0,2065,14.5,71,2
60,toyota_corolla_1200,31.0,4,71.0,65.0,1773,19.0,71,3
61,datsun_1200,35.0,4,72.0,69.0,1613,18.0,71,3
62,volkswagen_model_111,27.0,4,97.0,60.0,1834,19.0,71,2
63,plymouth_cricket,26.0,4,91.0,70.0,1955,20.5,71,1
64,toyota_corona_hardtop,24.0,4,113.0,95.0,2278,15.5,72,3
65,dodge_colt_hardtop,25.0,4,97.5,80.0,2126,17.0,72,1
66,volkswagen_type_3,23.0,4,97.0,54.0,2254,23.5,72,2
67,chevrolet_vega,20.0,4,140.0,90.0,2408,19.5,72,1
68,ford_pinto_runabout,21.0,4,122.0,86.0,2226,16.5,72,1
69,chevrolet_impala,13.0,8,350.0,165.0,4274,12.0,72,1
70,pontiac_catalina,14.0,8,400.0,175.0,4385,12.0,72,1
71,plymouth_fury_iii,15.0,8,318.0,150.0,4135,13.5,72,1
72,ford_galaxie_500,14.0,8,351.0,153.0,4129,13.0,72,1
73,amc_ambassador_sst,17.0,8,304.0,150.0,3672,11.5,72,1
74,mercury_marquis,11.0,8,429.0,208.0,4633,11.0,72,1
75,buick_lesabre_custom,13.0,8,350.0,155.0,4502,13.5,72,1
76,oldsmobile_delta_88_royale,12.0,8,350.0,160.0,4456,13.5,72,1
77,chrysler_newport_royal,13.0,8,400.0,190.0,4422,12.5,72,1
78,mazda_rx2_coupe,19.0,3,70.0,97.0,2330,13.5,72,3
79,amc_matador_(sw),15.0,8,304.0,150.0,3892,12.5,72,1
80,chevrolet_chevelle_concours_(sw),13.0,8,307.0,130.0,4098,14.0,72,1
81,ford_gran_torino_(sw),13.0,8,302.0,140.0,4294,16.0,72,1
82,plymouth_satellite_custom_(sw),14.0,8,318.0,150.0,4077,14.0,72,1
83,volvo_145e_(sw),18.0,4,121.0,112.0,2933,14.5,72,2
84,volkswagen_411_(sw),22.0,4,121.0,76.0,2511,18.0,72,2
85,peugeot_504_(sw),21.0,4,120.0,87.0,2979,19.5,72,2
86,renault_12_(sw),26.0,4,96.0,69.0,2189,18.0,72,2
87,ford_pinto_(sw),22.0,4,122.0,86.0,2395,16.0,72,1
88,datsun_510_(sw),28.0,4,97.0,92.0,2288,17.0,72,3
89,toyouta_corona_mark_ii_(sw),23.0,4,120.0,97.0,2506,14.5,72,3
90,dodge_colt_(sw),28.0,4,98.0,80.0,2164,15.0,72,1
91,toyota_corolla_1600_(sw),27.0,4,97.0,88.0,2100,16.5,72,3
92,buick_century_350,13.0,8,350.0,175.0,4100,13.0,73,1
93,amc_matador,14.0,8,304.0,150.0,3672,11.5,73,1
94,chevrolet_malibu,13.0,8,350.0,145.0,3988,13.0,73,1
95,ford_gran_torino,14.0,8,302.0,137.0,4042,14.5,73,1
96,dodge_coronet_custom,15.0,8,318.0,150.0,3777,12.5,73,1
97,mercury_marquis_brougham,12.0,8,429.0,198.0,4952,11.5,73,1
98,chevrolet_caprice_classic,13.0,8,400.0,150.0,4464,12.0,73,1
99,ford_ltd,13.0,8,351.0,158.0,4363,13.0,73,1
100,plymouth_fury_gran_sedan,14.0,8,318.0,150.0,4237,14.5,73,1
101,chrysler_new_yorker_brougham,13.0,8,440.0,215.0,4735,11.0,73,1
102,buick_electra_225_custom,12.0,8,455.0,225.0,4951,11.0,73,1
103,amc_ambassador_brougham,13.0,8,360.0,175.0,3821,11.0,73,1
104,plymouth_valiant,18.0,6,225.0,105.0,3121,16.5,73,1
105,chevrolet_nova_custom,16.0,6,250.0,100.0,3278,18.0,73,1
106,amc_hornet,18.0,6,232.0,100.0,2945,16.0,73,1
107,ford_maverick,18.0,6,250.0,88.0,3021,16.5,73,1
108,plymouth_duster,23.0,6,198.0,95.0,2904,16.0,73,1
109,volkswagen_super_beetle,26.0,4,97.0,46.0,1950,21.0,73,2
110,chevrolet_impala,11.0,8,400.0,150.0,4997,14.0,73,1
111,ford_country,12.0,8,400.0,167.0,4906,12.5,73,1
112,plymouth_custom_suburb,13.0,8,360.0,170.0,4654,13.0,73,1
113,oldsmobile_vista_cruiser,12.0,8,350.0,180.0,4499,12.5,73,1
114,amc_gremlin,18.0,6,232.0,100.0,2789,15.0,73,1
115,toyota_carina,20.0,4,97.0,88.0,2279,19.0,73,3
116,chevrolet_vega,21.0,4,140.0,72.0,2401,19.5,73,1
117,datsun_610,22.0,4,108.0,94.0,2379,16.5,73,3
118,maxda_rx3,18.0,3,70.0,90.0,2124,13.5,73,3
119,ford_pinto,19.0,4,122.0,85.0,2310,18.5,73,1
120,mercury_capri_v6,21.0,6,155.0,107.0,2472,14.0,73,1
121,fiat_124_sport_coupe,26.0,4,98.0,90.0,2265,15.5,73,2
122,chevrolet_monte_carlo_s,15.0,8,350.0,145.0,4082,13.0,73,1
123,pontiac_grand_prix,16.0,8,400.0,230.0,4278,9.5,73,1
124,fiat_128,29.0,4,68.0,49.0,1867,19.5,73,2
125,opel_manta,24.0,4,116.0,75.0,2158,15.5,73,2
126,audi_100ls,20.0,4,114.0,91.0,2582,14.0,73,2
127,volvo_144ea,19.0,4,121.0,112.0,2868,15.5,73,2
128,dodge_dart_custom,15.0,8,318.0,150.0,3399,11.0,73,1
129,saab_99le,24.0,4,121.0,110.0,2660,14.0,73,2
130,toyota_mark_ii,20.0,6,156.0,122.0,2807,13.5,73,3
131,oldsmobile_omega,11.0,8,350.0,180.0,3664,11.0,73,1
132,plymouth_duster,20.0,6,198.0,95.0,3102,16.5,74,1
133,ford_maverick,21.0,6,200.0,,2875,17.0,74,1
134,amc_hornet,19.0,6,232.0,100.0,2901,16.0,74,1
135,chevrolet_nova,15.0,6,250.0,100.0,3336,17.0,74,1
136,datsun_b210,31.0,4,79.0,67.0,1950,19.0,74,3
137,ford_pinto,26.0,4,122.0,80.0,2451,16.5,74,1
138,toyota_corolla_1200,32.0,4,71.0,65.0,1836,21.0,74,3
139,chevrolet_vega,25.0,4,140.0,75.0,2542,17.0,74,1
140,chevrolet_chevelle_malibu_classic,16.0,6,250.0,100.0,3781,17.0,74,1
141,amc_matador,16.0,6,258.0,110.0,3632,18.0,74,1
142,plymouth_satellite_sebring,18.0,6,225.0,105.0,3613,16.5,74,1
143,ford_gran_torino,16.0,8,302.0,140.0,4141,14.0,74,1
144,buick_century_luxus_(sw),13.0,8,350.0,150.0,4699,14.5,74,1
145,dodge_coronet_custom_(sw),14.0,8,318.0,150.0,4457,13.5,74,1
146,ford_gran_torino_(sw),14.0,8,302.0,140.0,4638,16.0,74,1
147,amc_matador_(sw),14.0,8,304.0,150.0,4257,15.5,74,1
148,audi_fox,29.0,4,98.0,83.0,2219,16.5,74,2
149,volkswagen_dasher,26.0,4,79.0,67.0,1963,15.5,74,2
150,opel_manta,26.0,4,97.0,78.0,2300,14.5,74,2
151,toyota_corona,31.0,4,76.0,52.0,1649,16.5,74,3
152,datsun_710,32.0,4,83.0,61.0,2003,19.0,74,3
153,dodge_colt,28.0,4,90.0,75.0,2125,14.5,74,1
154,fiat_128,24.0,4,90.0,75.0,2108,15.5,74,2
155,fiat_124_tc,26.0,4,116.0,75.0,2246,14.0,74,2
156,honda_civic,24.0,4,120.0,97.0,2489,15.0,74,3
157,subaru,26.0,4,108.0,93.0,2391,15.5,74,3
158,fiat_x1.9,31.0,4,79.0,67.0,2000,16.0,74,2
159,plymouth_valiant_custom,19.0,6,225.0,95.0,3264,16.0,75,1
160,chevrolet_nova,18.0,6,250.0,105.0,3459,16.0,75,1
161,mercury_monarch,15.0,6,250.0,72.0,3432,21.0,75,1
162,ford_maverick,15.0,6,250.0,72.0,3158,19.5,75,1
163,pontiac_catalina,16.0,8,400.0,170.0,4668,11.5,75,1
164,chevrolet_bel_air,15.0,8,350.0,145.0,4440,14.0,75,1
165,plymouth_grand_fury,16.0,8,318.0,150.0,4498,14.5,75,1
166,ford_ltd,14.0,8,351.0,148.0,4657,13.5,75,1
167,buick_century,17.0,6,231.0,110.0,3907,21.0,75,1
168,chevroelt_chevelle_malibu,16.0,6,250.0,105.0,3897,18.5,75,1
169,amc_matador,15.0,6,258.0,110.0,3730,19.0,75,1
170,plymouth_fury,18.0,6,225.0,95.0,3785,19.0,75,1
171,buick_skyhawk,21.0,6,231.0,110.0,3039,15.0,75,1
172,chevrolet_monza_2+2,20.0,8,262.0,110.0,3221,13.5,75,1
173,ford_mustang_ii,13.0,8,302.0,129.0,3169,12.0,75,1
174,toyota_corolla,29.0,4,97.0,75.0,2171,16.0,75,3
175,ford_pinto,23.0,4,140.0,83.0,2639,17.0,75,1
176,amc_gremlin,20.0,6,232.0,100.0,2914,16.0,75,1
177,pontiac_astro,23.0,4,140.0,78.0,2592,18.5,75,1
178,toyota_corona,24.0,4,134.0,96.0,2702,13.5,75,3
179,volkswagen_dasher,25.0,4,90.0,71.0,2223,16.5,75,2
180,datsun_710,24.0,4,119.0,97.0,2545,17.0,75,3
181,ford_pinto,18.0,6,171.0,97.0,2984,14.5,75,1
182,volkswagen_rabbit,29.0,4,90.0,70.0,1937,14.0,75,2
183,amc_pacer,19.0,6,232.0,90.0,3211,17.0,75,1
184,audi_100ls,23.0,4,115.0,95.0,2694,15.0,75,2
185,peugeot_504,23.0,4,120.0,88.0,2957,17.0,75,2
186,volvo_244dl,22.0,4,121.0,98.0,2945,14.5,75,2
187,saab_99le,25.0,4,121.0,115.0,2671,13.5,75,2
188,honda_civic_cvcc,33.0,4,91.0,53.0,1795,17.5,75,3
189,fiat_131,28.0,4,107.0,86.0,2464,15.5,76,2
190,opel_1900,25.0,4,116.0,81.0,2220,16.9,76,2
191,capri_ii,25.0,4,140.0,92.0,2572,14.9,76,1
192,dodge_colt,26.0,4,98.0,79.0,2255,17.7,76,1
193,renault_12tl,27.0,4,101.0,83.0,2202,15.3,76,2
194,chevrolet_chevelle_malibu_classic,17.5,8,305.0,140.0,4215,13.0,76,1
195,dodge_coronet_brougham,16.0,8,318.0,150.0,4190,13.0,76,1
196,amc_matador,15.5,8,304.0,120.0,3962,13.9,76,1
197,ford_gran_torino,14.5,8,351.0,152.0,4215,12.8,76,1
198,plymouth_valiant,22.0,6,225.0,100.0,3233,15.4,76,1
199,chevrolet_nova,22.0,6,250.0,105.0,3353,14.5,76,1
200,ford_maverick,24.0,6,200.0,81.0,3012,17.6,76,1
201,amc_hornet,22.5,6,232.0,90.0,3085,17.6,76,1
202,chevrolet_chevette,29.0,4,85.0,52.0,2035,22.2,76,1
203,chevrolet_woody,24.5,4,98.0,60.0,2164,22.1,76,1
204,vw_rabbit,29.0,4,90.0,70.0,1937,14.2,76,2
205,honda_civic,33.0,4,91.0,53.0,1795,17.4,76,3
206,dodge_aspen_se,20.0,6,225.0,100.0,3651,17.7,76,1
207,ford_granada_ghia,18.0,6,250.0,78.0,3574,21.0,76,1
208,pontiac_ventura_sj,18.5,6,250.0,110.0,3645,16.2,76,1
209,amc_pacer_d/l,17.5,6,258.0,95.0,3193,17.8,76,1
210,volkswagen_rabbit,29.5,4,97.0,71.0,1825,12.2,76,2
211,datsun_b-210,32.0,4,85.0,70.0,1990,17.0,76,3
212,toyota_corolla,28.0,4,97.0,75.0,2155,16.4,76,3
213,ford_pinto,26.5,4,140.0,72.0,2565,13.6,76,1
214,volvo_245,20.0,4,130.0,102.0,3150,15.7,76,2
215,plymouth_volare_premier_v8,13.0,8,318.0,150.0,3940,13.2,76,1
216,peugeot_504,19.0,4,120.0,88.0,3270,21.9,76,2
217,toyota_mark_ii,19.0,6,156.0,108.0,2930,15.5,76,3
218,mercedes-benz_280s,16.5,6,168.0,120.0,3820,16.7,76,2
219,cadillac_seville,16.5,8,350.0,180.0,4380,12.1,76,1
220,chevy_c10,13.0,8,350.0,145.0,4055,12.0,76,1
221,ford_f108,13.0,8,302.0,130.0,3870,15.0,76,1
222,dodge_d100,13.0,8,318.0,150.0,3755,14.0,76,1
223,honda_accord_cvcc,31.5,4,98.0,68.0,2045,18.5,77,3
224,buick_opel_isuzu_deluxe,30.0,4,111.0,80.0,2155,14.8,77,1
225,renault_5_gtl,36.0,4,79.0,58.0,1825,18.6,77,2
226,plymouth_arrow_gs,25.5,4,122.0,96.0,2300,15.5,77,1
227,datsun_f-10_hatchback,33.5,4,85.0,70.0,1945,16.8,77,3
228,chevrolet_caprice_classic,17.5,8,305.0,145.0,3880,12.5,77,1
229,oldsmobile_cutlass_supreme,17.0,8,260.0,110.0,4060,19.0,77,1
230,dodge_monaco_brougham,15.5,8,318.0,145.0,4140,13.7,77,1
231,mercury_cougar_brougham,15.0,8,302.0,130.0,4295,14.9,77,1
232,chevrolet_concours,17.5,6,250.0,110.0,3520,16.4,77,1
233,buick_skylark,20.5,6,231.0,105.0,3425,16.9,77,1
234,plymouth_volare_custom,19.0,6,225.0,100.0,3630,17.7,77,1
235,ford_granada,18.5,6,250.0,98.0,3525,19.0,77,1
236,pontiac_grand_prix_lj,16.0,8,400.0,180.0,4220,11.1,77,1
237,chevrolet_monte_carlo_landau,15.5,8,350.0,170.0,4165,11.4,77,1
238,chrysler_cordoba,15.5,8,400.0,190.0,4325,12.2,77,1
239,ford_thunderbird,16.0,8,351.0,149.0,4335,14.5,77,1
240,volkswagen_rabbit_custom,29.0,4,97.0,78.0,1940,14.5,77,2
241,pontiac_sunbird_coupe,24.5,4,151.0,88.0,2740,16.0,77,1
242,toyota_corolla_liftback,26.0,4,97.0,75.0,2265,18.2,77,3
243,ford_mustang_ii_2+2,25.5,4,140.0,89.0,2755,15.8,77,1
244,chevrolet_chevette,30.5,4,98.0,63.0,2051,17.0,77,1
245,dodge_colt_m/m,33.5,4,98.0,83.0,2075,15.9,77,1
246,subaru_dl,30.0,4,97.0,67.0,1985,16.4,77,3
247,volkswagen_dasher,30.5,4,97.0,78.0,2190,14.1,77,2
248,datsun_810,22.0,6,146.0,97.0,2815,14.5,77,3
249,bmw_320i,21.5,4,121.0,110.0,2600,12.8,77,2
250,mazda_rx-4,21.5,3,80.0,110.0,2720,13.5,77,3
251,volkswagen_rabbit_custom_diesel,43.1,4,90.0,48.0,1985,21.5,78,2
252,ford_fiesta,36.1,4,98.0,66.0,1800,14.4,78,1
253,mazda_glc_deluxe,32.8,4,78.0,52.0,1985,19.4,78,3
254,datsun_b210_gx,39.4,4,85.0,70.0,2070,18.6,78,3
255,honda_civic_cvcc,36.1,4,91.0,60.0,1800,16.4,78,3
256,oldsmobile_cutlass_salon_brougham,19.9,8,260.0,110.0,3365,15.5,78,1
257,dodge_diplomat,19.4,8,318.0,140.0,3735,13.2,78,1
258,mercury_monarch_ghia,20.2,8,302.0,139.0,3570,12.8,78,1
259,pontiac_phoenix_lj,19.2,6,231.0,105.0,3535,19.2,78,1
260,chevrolet_malibu,20.5,6,200.0,95.0,3155,18.2,78,1
261,ford_fairmont_(auto),20.2,6,200.0,85.0,2965,15.8,78,1
262,ford_fairmont_(man),25.1,4,140.0,88.0,2720,15.4,78,1
263,plymouth_volare,20.5,6,225.0,100.0,3430,17.2,78,1
264,amc_concord,19.4,6,232.0,90.0,3210,17.2,78,1
265,buick_century_special,20.6,6,231.0,105.0,3380,15.8,78,1
266,mercury_zephyr,20.8,6,200.0,85.0,3070,16.7,78,1
267,dodge_aspen,18.6,6,225.0,110.0,3620,18.7,78,1
268,amc_concord_d/l,18.1,6,258.0,120.0,3410,15.1,78,1
269,chevrolet_monte_carlo_landau,19.2,8,305.0,145.0,3425,13.2,78,1
270,buick_regal_sport_coupe_(turbo),17.7,6,231.0,165.0,3445,13.4,78,1
271,ford_futura,18.1,8,302.0,139.0,3205,11.2,78,1
272,dodge_magnum_xe,17.5,8,318.0,140.0,4080,13.7,78,1
273,chevrolet_chevette,30.0,4,98.0,68.0,2155,16.5,78,1
274,toyota_corona,27.5,4,134.0,95.0,2560,14.2,78,3
275,datsun_510,27.2,4,119.0,97.0,2300,14.7,78,3
276,dodge_omni,30.9,4,105.0,75.0,2230,14.5,78,1
277,toyota_celica_gt_liftback,21.1,4,134.0,95.0,2515,14.8,78,3
278,plymouth_sapporo,23.2,4,156.0,105.0,2745,16.7,78,1
279,oldsmobile_starfire_sx,23.8,4,151.0,85.0,2855,17.6,78,1
280,datsun_200-sx,23.9,4,119.0,97.0,2405,14.9,78,3
281,audi_5000,20.3,5,131.0,103.0,2830,15.9,78,2
282,volvo_264gl,17.0,6,163.0,125.0,3140,13.6,78,2
283,saab_99gle,21.6,4,121.0,115.0,2795,15.7,78,2
284,peugeot_604sl,16.2,6,163.0,133.0,3410,15.8,78,2
285,volkswagen_scirocco,31.5,4,89.0,71.0,1990,14.9,78,2
286,honda_accord_lx,29.5,4,98.0,68.0,2135,16.6,78,3
287,pontiac_lemans_v6,21.5,6,231.0,115.0,3245,15.4,79,1
288,mercury_zephyr_6,19.8,6,200.0,85.0,2990,18.2,79,1
289,ford_fairmont_4,22.3,4,140.0,88.0,2890,17.3,79,1
290,amc_concord_dl_6,20.2,6,232.0,90.0,3265,18.2,79,1
291,dodge_aspen_6,20.6,6,225.0,110.0,3360,16.6,79,1
292,chevrolet_caprice_classic,17.0,8,305.0,130.0,3840,15.4,79,1
293,ford_ltd_landau,17.6,8,302.0,129.0,3725,13.4,79,1
294,mercury_grand_marquis,16.5,8,351.0,138.0,3955,13.2,79,1
295,dodge_st._regis,18.2,8,318.0,135.0,3830,15.2,79,1
296,buick_estate_wagon_(sw),16.9,8,350.0,155.0,4360,14.9,79,1
297,ford_country_squire_(sw),15.5,8,351.0,142.0,4054,14.3,79,1
298,chevrolet_malibu_classic_(sw),19.2,8,267.0,125.0,3605,15.0,79,1
299,chrysler_lebaron_town_@_country_(sw),18.5,8,360.0,150.0,3940,13.0,79,1
300,vw_rabbit_custom,31.9,4,89.0,71.0,1925,14.0,79,2
301,maxda_glc_deluxe,34.1,4,86.0,65.0,1975,15.2,79,3
302,dodge_colt_hatchback_custom,35.7,4,98.0,80.0,1915,14.4,79,1
303,amc_spirit_dl,27.4,4,121.0,80.0,2670,15.0,79,1
304,mercedes_benz_300d,25.4,5,183.0,77.0,3530,20.1,79,2
305,cadillac_eldorado,23.0,8,350.0,125.0,3900,17.4,79,1
306,peugeot_504,27.2,4,141.0,71.0,3190,24.8,79,2
307,oldsmobile_cutlass_salon_brougham,23.9,8,260.0,90.0,3420,22.2,79,1
308,plymouth_horizon,34.2,4,105.0,70.0,2200,13.2,79,1
309,plymouth_horizon_tc3,34.5,4,105.0,70.0,2150,14.9,79,1
310,datsun_210,31.8,4,85.0,65.0,2020,19.2,79,3
311,fiat_strada_custom,37.3,4,91.0,69.0,2130,14.7,79,2
312,buick_skylark_limited,28.4,4,151.0,90.0,2670,16.0,79,1
313,chevrolet_citation,28.8,6,173.0,115.0,2595,11.3,79,1
314,oldsmobile_omega_brougham,26.8,6,173.0,115.0,2700,12.9,79,1
315,pontiac_phoenix,33.5,4,151.0,90.0,2556,13.2,79,1
316,vw_rabbit,41.5,4,98.0,76.0,2144,14.7,80,2
317,toyota_corolla_tercel,38.1,4,89.0,60.0,1968,18.8,80,3
318,chevrolet_chevette,32.1,4,98.0,70.0,2120,15.5,80,1
319,datsun_310,37.2,4,86.0,65.0,2019,16.4,80,3
320,chevrolet_citation,28.0,4,151.0,90.0,2678,16.5,80,1
321,ford_fairmont,26.4,4,140.0,88.0,2870,18.1,80,1
322,amc_concord,24.3,4,151.0,90.0,3003,20.1,80,1
323,dodge_aspen,19.1,6,225.0,90.0,3381,18.7,80,1
324,audi_4000,34.3,4,97.0,78.0,2188,15.8,80,2
325,toyota_corona_liftback,29.8,4,134.0,90.0,2711,15.5,80,3
326,mazda_626,31.3,4,120.0,75.0,2542,17.5,80,3
327,datsun_510_hatchback,37.0,4,119.0,92.0,2434,15.0,80,3
328,toyota_corolla,32.2,4,108.0,75.0,2265,15.2,80,3
329,mazda_glc,46.6,4,86.0,65.0,2110,17.9,80,3
330,dodge_colt,27.9,4,156.0,105.0,2800,14.4,80,1
331,datsun_210,40.8,4,85.0,65.0,2110,19.2,80,3
332,vw_rabbit_c_(diesel),44.3,4,90.0,48.0,2085,21.7,80,2
333,vw_dasher_(diesel),43.4,4,90.0,48.0,2335,23.7,80,2
334,audi_5000s_(diesel),36.4,5,121.0,67.0,2950,19.9,80,2
335,mercedes-benz_240d,30.0,4,146.0,67.0,3250,21.8,80,2
336,honda_civic_1500_gl,44.6,4,91.0,67.0,1850,13.8,80,3
337,renault_lecar_deluxe,40.9,4,85.0,,1835,17.3,80,2
338,subaru_dl,33.8,4,97.0,67.0,2145,18.0,80,3
339,vokswagen_rabbit,29.8,4,89.0,62.0,1845,15.3,80,2
340,datsun_280-zx,32.7,6,168.0,132.0,2910,11.4,80,3
341,mazda_rx-7_gs,23.7,3,70.0,100.0,2420,12.5,80,3
342,triumph_tr7_coupe,35.0,4,122.0,88.0,2500,15.1,80,2
343,ford_mustang_cobra,23.6,4,140.0,,2905,14.3,80,1
344,honda_accord,32.4,4,107.0,72.0,2290,17.0,80,3
345,plymouth_reliant,27.2,4,135.0,84.0,2490,15.7,81,1
346,buick_skylark,26.6,4,151.0,84.0,2635,16.4,81,1
347,dodge_aries_wagon_(sw),25.8,4,156.0,92.0,2620,14.4,81,1
348,chevrolet_citation,23.5,6,173.0,110.0,2725,12.6,81,1
349,plymouth_reliant,30.0,4,135.0,84.0,2385,12.9,81,1
350,toyota_starlet,39.1,4,79.0,58.0,1755,16.9,81,3
351,plymouth_champ,39.0,4,86.0,64.0,1875,16.4,81,1
352,honda_civic_1300,35.1,4,81.0,60.0,1760,16.1,81,3
353,subaru,32.3,4,97.0,67.0,2065,17.8,81,3
354,datsun_210_mpg,37.0,4,85.0,65.0,1975,19.4,81,3
355,toyota_tercel,37.7,4,89.0,62.0,2050,17.3,81,3
356,mazda_glc_4,34.1,4,91.0,68.0,1985,16.0,81,3
357,plymouth_horizon_4,34.7,4,105.0,63.0,2215,14.9,81,1
358,ford_escort_4w,34.4,4,98.0,65.0,2045,16.2,81,1
359,ford_escort_2h,29.9,4,98.0,65.0,2380,20.7,81,1
360,volkswagen_jetta,33.0,4,105.0,74.0,2190,14.2,81,2
361,renault_18i,34.5,4,100.0,,2320,15.8,81,2
362,honda_prelude,33.7,4,107.0,75.0,2210,14.4,81,3
363,toyota_corolla,32.4,4,108.0,75.0,2350,16.8,81,3
364,datsun_200sx,32.9,4,119.0,100.0,2615,14.8,81,3
365,mazda_626,31.6,4,120.0,74.0,2635,18.3,81,3
366,peugeot_505s_turbo_diesel,28.1,4,141.0,80.0,3230,20.4,81,2
367,saab_900s,,4,121.0,110.0,2800,15.4,81,2
368,volvo_diesel,30.7,6,145.0,76.0,3160,19.6,81,2
369,toyota_cressida,25.4,6,168.0,116.0,2900,12.6,81,3
370,datsun_810_maxima,24.2,6,146.0,120.0,2930,13.8,81,3
371,buick_century,22.4,6,231.0,110.0,3415,15.8,81,1
372,oldsmobile_cutlass_ls,26.6,8,350.0,105.0,3725,19.0,81,1
373,ford_granada_gl,20.2,6,200.0,88.0,3060,17.1,81,1
374,chrysler_lebaron_salon,17.6,6,225.0,85.0,3465,16.6,81,1
375,chevrolet_cavalier,28.0,4,112.0,88.0,2605,19.6,82,1
376,chevrolet_cavalier_wagon,27.0,4,112.0,88.0,2640,18.6,82,1
377,chevrolet_cavalier_2-door,34.0,4,112.0,88.0,2395,18.0,82,1
