d3mIndex,season,river_size,fluid_velocity,concentration_1,concentration_2,concentration_3,concentration_4,concentration_5,concentration_6,concentration_7,concentration_8,algae_1
109,summer,medium,low___,8.2,6.6,131.39999,4.188,92.0,238.2,320.39999,6.8,1.2
110,winter,medium,medium,8.2,9.4,45.273,7.195,345.45499,144.0,287.0,9.882,1.4
111,spring,medium,medium,8.1,7.1,42.636,5.078,56.364,166.72701,262.72699,17.2,1.6
112,summer,medium,medium,8.1,9.0,48.429,6.64,128.571,181.0,222.286,6.429,3.3
113,winter,medium,high__,7.4,10.7,11.818,2.163,170.909,36.909,122.0,5.555,14.6
114,spring,medium,high__,8.3,9.7,10.556,1.921,65.556,61.556,127.222,5.233,1.7
115,summer,medium,high__,8.6,10.7,12.0,2.231,43.75,62.625,89.625,2.15,3.3
116,winter,medium,medium,9.1,11.6,31.091,5.099,246.364,55.0,284.0,88.255,0.0
117,spring,medium,medium,9.0,6.9,28.333,2.954,76.667,102.333,277.33301,110.456,0.0
118,summer,medium,medium,8.3,10.0,30.125,3.726,102.5,75.875,177.625,50.225,1.5
119,winter,medium,high__,8.5,10.1,10.936,1.335,236.0,34.636,72.9,11.1,4.2
120,spring,medium,high__,8.3,7.7,10.078,1.212,103.333,48.667,82.444,2.0,4.1
121,summer,medium,high__,7.3,10.5,11.088,1.374,92.375,48.625,66.75,3.3,1.2
122,spring,medium,medium,7.9,8.3,391.5,6.045,380.0,173.0,317.0,5.5,2.4
123,autumn,medium,medium,8.0,11.9,130.67,6.54,196.0,75.0,84.0,4.5,7.8
124,spring,medium,medium,8.0,9.2,39.0,4.86,120.0,187.0,213.0,2.0,10.3
125,autumn,medium,medium,8.1,11.7,35.66,5.13,46.5,49.0,88.5,2.5,1.5
126,winter,medium,low___,8.43,9.9,37.6,0.826,124.0,32.5,115.0,11.7,9.2
127,summer,medium,low___,8.1,6.2,39.0,0.673,112.857,60.0,98.143,2.0,28.1
128,winter,medium,medium,7.9,11.2,49.9,9.773,505.0,67.5,143.75,5.45,2.1
129,summer,medium,medium,8.1,6.2,51.113,5.099,175.0,132.5,197.14301,6.4,1.4
130,spring,medium,high__,7.8,9.5,8.3,1.67,34.0,16.8,35.2,1.0,19.0
131,autumn,medium,high__,7.9,10.5,10.207,2.304,132.25,10.583,23.485,2.0,42.5
132,winter,medium,low___,8.0,4.5,79.077,8.984,920.0,70.0,200.231,19.4,2.5
133,spring,medium,low___,7.6,6.3,81.333,9.715,196.66701,77.333,147.83299,3.0,4.4
134,winter,medium,high__,8.22,8.1,41.25,1.415,172.5,46.667,123.333,30.4,39.7
135,autumn,medium,high__,8.3,9.9,40.226,1.587,235.0,33.8,75.207,23.8,32.8
136,winter,medium,high__,8.47,9.0,46.167,2.102,84.667,48.0,116.2,7.3,12.2
137,spring,medium,high__,8.4,4.9,47.0,0.536,91.833,109.0,188.66701,32.0,1.9
138,autumn,medium,high__,8.87,11.0,41.163,2.273,54.75,39.0,72.696,22.7,0.0
139,summer,medium,high__,7.7,4.4,53.0,2.31,90.0,22.2,116.2,16.0,0.0
140,spring,medium,medium,7.9,6.0,127.833,2.68,176.66701,27.5,76.333,2.1,3.4
141,autumn,medium,medium,7.8,10.53,100.83,5.41,486.5,24.0,58.374,27.5,2.8
142,spring,large_,low___,8.6,3.6,50.0,0.376,134.0,54.1,125.8,26.8,0.0
143,autumn,large_,low___,8.4,10.6,19.22,1.655,96.833,20.667,54.916,20.6,0.0
144,winter,large_,low___,8.3,11.5,26.0,1.87,62.5,30.75,75.333,34.75,0.0
145,spring,large_,low___,9.0,5.8,,0.9,142.0,102.0,186.0,68.05,1.7
146,spring,large_,low___,9.5,5.7,44.0,0.102,146.66701,151.33299,252.5,93.683,12.3
147,summer,large_,low___,8.8,8.8,43.0,0.13,103.333,180.66701,269.66699,92.667,7.2
148,autumn,large_,low___,8.84,12.9,43.09,0.846,52.2,8.6,46.438,81.54,3.4
149,winter,large_,high__,7.3,9.9,16.0,4.82,101.667,14.667,85.0,2.0,0.0
150,autumn,large_,high__,7.4,10.68,22.35,5.414,244.60001,66.4,171.272,3.8,1.1
151,spring,large_,low___,9.1,4.3,82.857,0.86,137.27299,102.364,232.89999,54.367,0.0
152,autumn,large_,low___,8.53,11.1,63.292,1.726,227.60001,84.3,146.452,21.22,1.4
153,winter,large_,low___,8.56,8.7,43.97,4.053,643.0,221.89999,246.66701,14.7,12.5
154,autumn,large_,low___,8.06,8.3,38.902,3.678,627.27301,205.636,219.909,6.209,0.0
155,winter,large_,medium,8.21,9.3,104.818,3.908,124.364,82.222,167.89999,5.609,1.4
156,spring,large_,medium,8.5,7.3,71.444,2.512,66.667,64.389,137.778,9.384,0.0
157,spring,large_,medium,8.6,10.6,208.364,4.459,197.909,87.333,194.10001,27.618,0.0
158,winter,large_,medium,9.06,6.35,187.183,3.351,54.778,159.16701,221.278,20.8,0.0
159,autumn,large_,high__,8.7,10.7,4.545,0.941,32.727,16.0,21.3,1.1,39.7
160,spring,large_,high__,8.1,10.7,3.5,1.013,12.5,12.75,11.0,0.6,37.3
161,summer,large_,high__,8.4,10.29,5.326,0.996,53.846,7.667,14.354,0.8,52.4
162,spring,large_,medium,8.6,10.1,2.111,0.663,11.111,3.222,7.0,1.3,48.3
163,summer,large_,medium,8.2,9.5,2.2,0.672,10.0,3.8,6.2,0.8,50.4
164,winter,large_,medium,8.5,10.5,2.75,0.758,10.5,4.0,7.654,4.0,56.8
165,summer,large_,medium,8.3,10.0,3.86,0.866,32.0,6.0,16.0,2.86,17.3
166,winter,large_,high__,8.0,10.9,9.055,0.825,40.0,21.083,56.091,,16.8
167,summer,large_,high__,8.1,10.2,7.613,0.699,32.5,26.625,52.875,2.0,18.1
168,winter,large_,low___,8.7,10.8,39.109,6.225,161.81799,104.727,228.364,46.075,1.1
169,winter,large_,low___,8.7,11.7,22.455,3.765,88.182,41.3,85.4,17.491,0.0
170,summer,large_,low___,8.4,8.2,23.25,2.805,43.75,51.125,87.125,14.775,0.0
171,autumn,large_,low___,8.55,11.0,22.32,3.14,82.1,45.9,101.455,18.33,1.7
172,spring,large_,medium,8.5,7.6,12.778,1.873,17.778,50.889,127.0,24.556,0.0
173,autumn,large_,medium,8.7,11.4,15.541,2.323,103.0,34.5,81.558,5.62,7.6
174,winter,large_,medium,8.4,10.5,12.182,1.519,65.455,19.727,50.455,8.155,2.9
175,spring,large_,medium,8.2,8.2,7.333,1.003,37.778,19.111,120.889,5.111,2.2
176,autumn,large_,medium,8.58,11.1,23.825,3.617,72.6,51.111,91.111,22.9,3.8
177,summer,large_,medium,8.5,7.9,12.444,2.586,96.667,19.111,61.444,6.167,18.9
178,autumn,large_,medium,8.4,8.4,17.375,3.833,83.75,53.625,79.75,2.338,12.7
179,spring,large_,medium,8.3,10.6,14.32,3.2,125.333,35.333,75.904,4.667,18.0
180,autumn,large_,medium,8.2,7.0,139.989,2.978,60.11,78.333,140.22,31.738,0.0
181,winter,large_,medium,8.0,7.6,,,,,,,0.0
182,summer,large_,medium,8.5,6.7,82.852,2.8,27.069,64.0,140.517,18.3,2.4
183,summer,small_,medium,7.95,5.7,57.333,2.46,273.33301,295.66699,380.0,,1.2
184,winter,small_,medium,7.98,8.8,59.333,7.392,286.66699,33.333,138.0,7.1,1.2
185,summer,small_,medium,8.0,7.2,80.0,1.957,174.286,47.857,113.714,4.5,7.0
186,spring,small_,high__,8.35,8.4,68.0,3.026,458.0,45.2,111.8,3.2,1.4
187,spring,small_,medium,8.1,13.2,19.0,0.0,130.0,6.0,40.0,2.0,3.9
188,summer,small_,medium,8.37,12.1,12.85,0.84,15.0,5.0,10.507,13.8,28.4
189,spring,small_,high__,7.31,9.9,6.0,1.395,58.75,6.0,16.0,0.8,11.4
190,autumn,small_,high__,7.91,11.2,5.0,1.383,6.0,24.333,30.0,32.0,29.7
191,summer,small_,high__,7.99,10.7,4.0,1.368,117.0,17.25,44.75,0.8,74.3
192,autumn,small_,high__,7.82,11.5,8.18,1.488,39.0,16.0,139.5,0.4,0.0
193,summer,small_,high__,6.6,10.8,4.0,1.18,80.0,2.0,59.0,0.6,62.5
194,autumn,small_,high__,6.79,9.4,11.42,1.966,42.0,3.0,15.0,0.6,21.6
195,summer,small_,high__,6.78,10.2,10.704,1.46,46.0,3.0,13.714,0.7,41.9
196,summer,small_,high__,7.8,10.8,14.568,1.228,61.25,34.5,62.0,1.1,35.4
197,spring,small_,high__,8.3,12.7,27.0,4.04,10.0,363.0,482.0,6.0,0.0
198,autumn,small_,high__,8.2,11.3,6.0,1.56,10.0,2.0,5.0,,83.0
199,summer,small_,high__,8.2,10.4,3.577,0.788,10.583,1.667,2.088,0.8,30.6
200,autumn,small_,medium,8.1,6.4,21.2,3.222,44.0,54.8,155.0,61.52,19.4
201,summer,small_,medium,8.54,12.83,22.545,4.0,170.5,68.0,116.069,41.6,19.2
202,autumn,small_,medium,8.5,7.8,71.0,11.02,500.0,121.0,,7.1,5.7
203,spring,small_,medium,7.7,6.8,65.0,1.833,782.5,77.25,340.0,9.0,0.0
204,autumn,small_,high__,8.4,10.5,50.6,10.494,334.0,209.10001,276.66699,20.72,2.3
205,summer,small_,high__,8.5,11.5,57.292,10.526,312.60001,261.39999,299.39999,23.5,0.0
206,summer,small_,high__,8.1,12.2,66.0,4.08,10.0,26.0,70.0,1.8,31.8
207,autumn,small_,low___,6.13,11.23,8.87,0.62,36.0,3.0,14.741,2.1,11.9
208,winter,small_,medium,,12.1,18.0,3.14,10.0,21.0,41.0,4.8,20.4
209,summer,small_,medium,7.2,10.4,18.0,2.42,80.0,11.0,44.0,2.5,7.2
210,spring,small_,medium,7.9,8.6,27.65,2.063,62.5,7.75,30.0,,57.8
211,autumn,small_,medium,7.8,9.1,36.124,5.974,169.0,13.091,71.057,3.3,4.0
212,summer,small_,high__,7.8,9.4,5.714,0.807,22.143,6.0,18.714,1.5,42.8
213,autumn,small_,high__,7.8,11.35,5.343,1.363,19.75,5.818,8.846,1.9,66.2
214,autumn,small_,high__,5.9,11.9,,1.88,5.0,1.0,2.0,,75.2
215,winter,small_,high__,6.8,9.1,,0.78,10.0,1.0,14.0,,28.1
216,summer,small_,medium,6.6,8.8,,0.95,20.0,1.0,7.0,,74.8
217,winter,small_,high__,6.6,11.8,,2.21,10.0,1.0,4.0,,79.1
218,winter,small_,medium,6.9,9.2,,2.21,10.0,2.0,13.0,,25.1
219,winter,small_,high__,7.66,10.8,4.0,0.997,15.0,1.5,7.333,1.0,17.9
220,autumn,small_,high__,7.6,10.5,3.05,1.002,13.333,1.667,10.833,,41.5
221,winter,medium,medium,8.0,7.0,37.091,2.237,146.364,84.091,172.778,2.3,7.6
222,spring,medium,medium,8.2,7.8,37.625,1.453,105.714,66.714,143.39999,2.6,0.0
223,autumn,medium,medium,8.2,10.7,134.66701,4.504,617.77802,49.444,164.778,19.2,2.8
224,summer,medium,medium,8.0,8.5,131.46899,3.454,792.0,63.1,286.60001,8.2,2.1
225,autumn,medium,high__,8.9,10.5,34.8,6.0,122.556,41.111,144.11099,27.03,3.2
226,summer,medium,high__,8.2,9.2,30.037,5.184,174.8,86.6,130.8,3.45,2.4
227,summer,medium,medium,7.8,8.8,29.078,2.823,263.556,27.0,95.12,11.5,35.2
228,summer,medium,high__,7.5,10.8,10.357,3.35,127.667,22.0,34.321,1.2,7.8
229,spring,medium,high__,7.4,9.0,13.75,5.268,58.75,56.25,64.0,2.5,2.9
230,spring,medium,medium,7.5,8.9,55.8,4.408,389.0,127.4,206.2,5.0,0.0
231,autumn,medium,medium,9.1,8.0,101.2,4.306,273.75,152.875,290.31299,10.7,0.0
232,autumn,medium,high__,8.9,8.0,60.2,4.033,306.47101,136.0,242.94099,18.4,0.0
233,summer,medium,low___,8.5,10.74,56.292,0.694,264.79999,43.4,124.942,30.48,13.7
234,autumn,medium,high__,8.3,8.6,75.0,5.18,560.0,30.5,170.0,16.7,1.2
235,spring,medium,high__,7.8,6.3,136.66701,3.734,154.444,35.556,175.33299,2.7,2.9
236,autumn,medium,medium,7.6,9.2,64.778,6.164,720.0,21.778,242.5,54.2,11.2
237,summer,medium,medium,7.5,9.2,61.557,7.035,558.33301,24.5,257.33301,19.5,3.8
238,autumn,medium,low___,7.5,8.6,57.5,7.368,577.0,67.3,254.444,22.0,14.2
239,spring,medium,low___,7.7,4.8,88.909,1.714,669.091,38.182,205.18201,2.8,9.7
240,spring,medium,low___,7.9,7.2,55.25,2.235,89.375,17.5,141.5,17.0,8.7
241,spring,medium,high__,8.06,2.2,39.0,2.085,773.125,90.75,163.25,26.0,2.7
242,autumn,medium,high__,8.5,7.5,9.3,1.557,260.0,9.6,18.1,3.9,14.5
243,autumn,medium,medium,8.2,10.4,63.3,0.389,217.14301,24.333,114.0,2.7,19.8
244,winter,medium,medium,8.0,4.8,58.767,0.308,93.75,33.375,110.875,2.7,7.6
245,autumn,medium,high__,8.7,10.8,1.118,0.534,26.364,14.818,20.9,1.4,40.7
246,spring,medium,high__,8.4,11.2,0.5,0.32,10.0,21.6,27.6,0.6,37.1
247,winter,medium,low___,8.5,8.3,36.583,5.632,440.83301,149.0,266.36401,19.827,2.5
248,autumn,medium,low___,8.3,8.8,64.768,6.272,357.16699,219.0,302.5,8.267,3.5
249,autumn,medium,medium,8.4,10.8,47.304,7.773,258.909,145.091,223.04401,13.36,1.0
250,autumn,medium,high__,7.9,11.9,11.862,2.209,128.636,48.091,69.079,2.755,0.0
251,autumn,medium,medium,9.13,12.0,30.496,4.971,99.6,64.6,146.265,54.13,1.0
252,autumn,medium,high__,7.4,11.4,12.031,1.621,176.8,36.3,58.599,36.1,4.1
253,summer,medium,medium,8.3,8.9,271.5,6.315,375.0,169.0,313.5,2.8,16.5
254,winter,medium,medium,8.2,10.4,41.0,5.16,410.0,38.0,61.0,6.0,4.9
255,summer,medium,medium,8.2,11.2,36.0,4.4,32.5,108.0,155.5,3.0,12.4
256,spring,medium,low___,8.17,6.3,37.3,0.527,82.0,62.0,133.10001,1.4,5.9
257,autumn,medium,low___,8.33,10.6,36.156,1.137,119.444,92.889,112.855,10.5,74.8
258,spring,medium,medium,8.5,6.7,45.609,4.411,160.0,88.364,180.364,32.833,1.9
259,autumn,medium,medium,8.1,9.1,47.267,9.367,169.091,75.0,127.778,3.667,1.9
260,winter,medium,high__,8.2,11.9,12.25,2.348,121.875,14.0,27.5,4.6,2.1
261,summer,medium,high__,8.1,9.4,11.0,2.251,48.75,17.375,66.875,2.5,28.7
262,summer,medium,low___,7.8,7.9,87.0,12.13,652.5,93.25,209.0,6.0,1.4
263,spring,medium,high__,8.26,5.0,44.818,0.526,97.273,105.455,181.636,20.6,0.0
264,summer,medium,high__,8.11,6.6,49.857,0.993,194.28,77.0,197.571,13.0,4.2
265,summer,medium,high__,7.87,1.8,49.25,0.611,357.125,128.25,185.125,4.5,1.2
266,winter,medium,high__,7.2,10.1,49.5,3.955,55.0,18.0,138.0,49.0,2.4
267,spring,medium,high__,7.8,8.3,51.5,2.098,30.2,24.6,184.39999,31.3,1.9
268,winter,medium,medium,7.9,11.3,82.5,6.283,300.0,12.333,53.333,13.7,12.3
269,summer,medium,medium,8.0,8.8,176.25,0.618,440.0,16.25,79.25,3.5,8.0
270,winter,large_,low___,7.7,9.3,66.0,3.56,310.0,37.0,,17.35,11.9
271,winter,large_,low___,8.7,5.4,48.0,1.139,144.286,36.714,66.833,22.017,1.2
272,summer,large_,low___,7.9,5.3,48.0,0.513,138.33299,61.333,89.167,4.0,0.0
273,autumn,large_,low___,8.7,12.2,32.23,1.887,233.5,17.5,66.167,39.333,11.8
274,winter,large_,low___,8.6,6.5,43.0,0.668,95.0,10.5,74.667,63.5,30.1
275,spring,large_,high__,7.4,7.3,19.0,4.39,120.0,74.857,166.286,5.3,0.0
276,summer,large_,high__,7.8,10.4,22.5,4.72,178.75,116.5,201.0,2.7,0.0
277,winter,large_,low___,8.5,9.8,70.25,1.644,285.0,68.714,132.0,16.028,4.6
278,spring,large_,low___,7.98,5.6,47.06,3.088,357.0,311.39999,342.29999,18.53,2.4
279,summer,large_,low___,7.95,7.2,57.286,3.746,425.71399,291.14301,330.0,4.714,0.0
280,spring,large_,medium,7.96,5.5,131.364,3.313,810.90002,311.45499,349.81799,20.47,2.7
281,winter,large_,medium,8.35,2.75,97.733,3.681,137.444,91.0,155.556,2.744,0.0
282,summer,large_,medium,8.15,10.4,189.567,5.011,162.944,135.778,219.278,2.859,0.0
283,winter,large_,high__,8.5,10.1,3.0,0.851,37.778,10.778,23.889,0.5,37.5
284,winter,large_,medium,8.5,11.4,3.0,0.774,10.909,3.727,8.091,3.6,35.9
285,spring,large_,medium,8.5,8.5,4.025,0.825,23.636,5.583,31.091,2.4,38.6
286,autumn,large_,medium,8.4,11.43,4.966,0.969,24.111,6.0,18.167,2.133,34.7
287,spring,large_,high__,8.2,9.9,6.4,0.553,21.429,12.0,76.286,1.3,16.0
288,autumn,large_,high__,8.0,10.98,9.7,0.874,67.7,26.6,51.034,2.2,26.7
289,autumn,large_,low___,8.3,8.9,42.058,5.922,116.727,150.58299,220.72301,6.7,0.0
290,spring,large_,low___,8.7,6.8,16.889,2.139,30.0,37.111,85.444,23.033,2.2
291,winter,large_,medium,8.6,10.4,15.182,2.502,140.909,31.909,77.7,15.318,4.8
292,summer,large_,medium,8.0,9.1,15.375,2.118,43.75,48.875,86.5,8.125,0.0
293,summer,large_,medium,8.2,9.5,17.875,2.363,63.75,44.0,77.0,8.463,1.5
