d3mIndex,class_code,largest_spot_code,spot_dist_code,Activity,Evolution,Previous_24_hour_code,Historically-complex,become_complex,Area,Area_of_the_largest_spot,class
87,1,3,1,1,3,1,1,2,1,1,1
88,1,3,2,1,2,1,1,2,1,1,0
89,2,4,1,1,1,1,2,2,1,1,0
90,2,2,1,2,3,2,2,2,1,1,1
91,0,5,2,1,2,1,1,2,1,1,0
92,5,0,3,1,2,1,2,2,1,1,0
93,2,0,1,1,2,1,2,2,1,1,1
94,0,5,2,1,2,1,1,2,1,1,0
95,2,0,1,1,3,1,1,2,1,1,0
96,1,4,2,2,2,1,2,2,1,1,0
97,1,3,2,1,3,1,1,2,1,1,0
98,5,4,3,1,2,1,1,1,1,1,0
99,3,0,1,1,2,1,2,2,1,1,1
100,1,3,2,1,2,1,1,2,1,1,0
101,2,4,2,2,2,3,2,2,1,1,0
102,5,4,3,1,2,1,1,1,1,1,0
103,1,0,2,1,3,1,2,2,1,1,0
104,2,4,1,2,3,1,1,2,1,1,0
105,2,0,2,1,3,1,1,2,1,1,1
106,5,4,3,1,2,1,1,2,1,1,0
107,1,4,2,2,3,1,1,2,1,1,0
108,2,0,2,1,3,1,1,2,1,1,0
109,4,4,1,1,3,1,2,2,1,1,1
110,5,3,3,1,2,1,1,2,1,1,0
111,5,4,3,1,3,1,1,1,1,1,0
112,3,0,2,1,2,1,2,2,1,1,0
113,5,4,3,1,2,1,2,1,1,1,0
114,0,5,2,1,3,1,1,2,1,1,0
115,5,4,3,1,3,1,1,2,1,1,0
116,3,4,1,2,3,1,2,2,1,1,0
117,0,5,1,1,3,1,1,2,1,1,0
118,1,0,2,1,2,1,2,2,1,1,0
119,0,5,2,1,3,1,1,2,1,1,0
120,2,2,1,1,3,1,2,2,1,1,1
121,2,4,1,1,3,1,1,2,1,1,0
122,3,4,2,1,2,1,1,2,1,1,0
123,5,4,3,1,2,1,2,1,1,1,0
124,1,4,2,1,2,1,1,2,1,1,0
125,1,3,2,1,3,1,1,2,1,1,0
126,0,5,2,1,3,1,1,2,1,1,0
127,1,3,2,1,2,1,1,2,1,1,0
128,2,3,1,2,3,1,2,2,1,1,1
129,5,4,3,2,2,1,1,2,1,1,0
130,5,3,3,1,2,1,1,2,1,1,0
131,2,4,2,2,2,1,1,2,1,1,0
132,5,4,3,1,3,1,1,2,1,1,1
133,5,4,3,1,3,1,1,2,1,1,0
134,4,2,1,1,2,1,2,2,1,1,1
135,5,4,3,1,2,1,2,1,1,1,0
136,1,3,1,1,2,1,1,2,1,1,1
137,2,4,2,1,2,1,2,2,1,1,1
138,4,2,1,1,2,1,2,2,2,1,0
139,2,0,1,2,2,3,2,2,1,1,0
140,4,0,1,2,2,1,2,2,1,1,0
141,5,3,3,1,3,1,1,2,1,1,0
142,5,4,3,1,2,1,1,2,1,1,0
143,1,4,2,1,3,1,1,2,1,1,0
144,4,1,2,1,2,1,2,2,1,1,1
145,2,3,2,1,3,1,1,2,1,1,0
146,1,4,2,2,3,1,1,2,1,1,0
147,0,5,2,1,2,1,1,2,1,1,0
148,5,0,3,1,2,1,1,1,1,1,0
149,3,1,2,2,2,1,2,2,1,1,1
150,1,4,2,1,3,1,1,2,1,1,0
151,5,0,3,1,2,1,1,2,1,1,0
152,5,4,3,1,2,1,1,2,1,1,1
153,3,0,1,2,2,1,1,2,1,1,1
154,5,1,3,1,3,1,1,1,1,1,0
155,5,0,3,1,1,1,2,2,1,1,0
156,5,4,3,1,2,1,2,1,1,1,0
157,2,0,1,1,3,1,1,2,1,1,0
158,4,0,1,1,3,1,1,2,1,1,0
159,1,0,1,1,2,1,2,2,1,1,0
160,2,0,1,1,3,1,2,2,1,1,0
161,3,1,1,1,3,1,2,2,1,1,1
162,5,4,3,1,1,1,1,1,1,1,0
163,0,5,1,2,2,1,2,2,1,1,0
164,4,2,0,2,3,1,2,2,2,1,0
165,3,2,0,1,3,1,2,2,2,1,1
166,0,5,2,1,2,1,1,2,1,1,0
167,4,0,1,1,2,1,2,2,1,1,0
168,3,2,1,1,3,1,2,2,2,1,1
169,5,3,3,1,1,1,2,2,1,1,0
170,1,3,2,1,2,1,1,2,1,1,0
171,1,4,2,1,2,1,1,2,1,1,0
172,2,3,2,1,3,1,1,2,1,1,0
173,2,0,1,1,2,1,2,2,1,1,0
174,0,5,2,2,2,1,1,2,1,1,0
175,5,3,3,1,3,1,1,2,1,1,0
176,2,1,2,1,3,1,2,2,1,1,0
177,5,4,3,1,2,1,1,2,1,1,0
178,5,4,3,1,2,1,1,1,1,1,0
179,2,4,2,2,3,2,1,2,1,1,1
180,5,4,3,1,3,1,1,2,1,1,0
181,5,4,3,1,3,1,1,2,1,1,0
182,0,5,2,1,2,1,1,2,1,1,0
183,3,0,2,1,3,1,2,2,1,1,0
184,0,5,2,1,1,1,2,2,1,1,0
185,5,4,3,1,2,1,1,1,1,1,0
186,2,3,2,1,2,1,1,2,1,1,0
187,5,4,3,1,2,1,1,2,1,1,0
188,3,0,1,1,2,1,2,2,1,1,0
189,5,4,3,1,1,1,1,2,1,1,0
190,2,1,2,1,3,1,2,2,1,1,0
191,2,4,2,1,3,1,1,2,1,1,0
192,0,5,2,1,3,1,1,2,1,1,1
193,5,4,3,1,3,1,1,2,1,1,0
194,5,4,3,1,2,1,1,2,1,1,0
195,5,4,3,1,2,1,1,1,1,1,1
196,3,1,2,2,2,1,2,2,1,1,1
197,5,4,3,1,2,1,1,2,1,1,0
198,1,3,2,1,3,1,1,2,1,1,1
199,5,4,3,1,2,1,1,1,1,1,1
200,5,4,3,1,3,1,2,1,1,1,0
201,0,4,2,1,3,1,1,2,1,1,0
202,2,3,1,1,3,1,2,2,1,1,0
203,2,4,1,1,3,1,1,2,1,1,0
204,4,2,0,2,2,1,2,2,1,1,1
205,5,0,3,1,3,1,2,1,1,1,0
206,3,2,1,2,2,1,2,2,1,1,1
207,5,4,3,1,3,1,1,1,1,1,0
208,5,3,3,1,1,1,1,2,1,1,0
209,3,3,2,2,2,1,2,2,1,1,0
210,2,4,1,1,3,1,1,2,1,1,0
211,5,0,3,1,3,1,1,1,1,1,0
212,5,4,3,1,3,1,1,1,1,1,0
213,2,3,2,1,2,1,1,2,1,1,0
214,5,4,3,1,3,1,1,2,1,1,0
215,5,4,3,1,2,1,1,1,1,1,0
216,5,4,3,1,2,1,2,1,1,1,0
217,5,4,3,1,3,1,1,1,1,1,0
218,1,4,2,1,2,1,2,2,1,1,0
219,5,3,3,2,1,1,2,2,1,1,0
220,5,4,3,1,2,1,1,1,1,1,0
221,3,0,0,2,2,1,2,2,1,1,0
222,3,0,2,2,3,1,2,2,1,1,0
223,1,0,2,1,3,1,1,2,1,1,0
224,5,3,3,1,2,1,1,2,1,1,0
225,0,5,1,1,2,1,2,2,1,1,0
226,5,4,3,1,2,1,2,2,1,1,0
227,1,3,2,1,2,1,1,2,1,1,0
228,2,4,1,1,3,1,2,2,1,1,0
229,1,3,2,1,3,1,1,2,1,1,0
230,2,0,1,1,3,1,1,2,1,1,0
231,1,3,2,1,2,1,1,2,1,1,0
232,1,2,2,1,2,1,1,2,1,1,1
233,3,4,1,1,2,1,2,2,1,1,0
234,1,0,2,1,1,1,1,2,1,1,0
235,5,3,3,1,1,1,2,2,1,1,0
236,5,4,3,1,3,1,1,1,1,1,0
237,5,4,3,1,2,1,2,2,1,1,0
238,1,1,2,1,3,1,1,2,1,1,0
239,5,3,3,1,2,1,1,2,1,1,0
240,3,4,1,1,2,1,2,2,1,1,0
241,3,4,2,1,2,1,1,2,1,1,0
242,0,5,2,1,3,1,1,2,1,1,0
243,1,4,2,1,3,1,1,2,1,1,0
244,5,4,3,1,2,1,1,2,1,1,0
245,3,4,1,2,2,1,2,2,1,1,1
246,1,3,1,1,3,1,1,2,1,1,0
247,3,0,1,1,2,1,2,2,1,1,0
248,0,5,2,1,3,1,1,2,1,1,0
249,2,0,1,1,2,1,2,2,1,1,1
250,0,5,2,1,3,1,1,2,1,1,0
251,2,0,2,2,3,1,1,2,1,1,0
252,5,3,3,1,2,1,2,2,1,1,0
253,2,0,1,1,2,1,2,2,1,1,0
254,2,3,1,1,3,1,1,2,1,1,1
255,5,4,3,1,3,1,1,2,1,1,0
256,5,4,3,1,2,1,1,1,1,1,0
257,5,3,3,1,3,1,1,2,1,1,0
258,2,4,2,1,3,1,1,2,1,1,0
259,5,4,3,1,2,1,1,2,1,1,1
260,2,4,2,1,2,1,2,2,1,1,0
261,1,0,2,1,2,1,2,2,1,1,0
262,0,5,2,1,3,1,1,2,1,1,0
263,5,4,3,1,3,1,2,1,1,1,0
264,2,0,2,1,2,1,1,2,1,1,0
265,2,4,1,1,2,1,2,2,1,1,0
266,0,5,2,1,2,1,1,2,1,1,0
267,5,4,3,1,2,1,1,1,1,1,0
268,1,0,2,1,2,1,2,2,1,1,0
269,0,5,2,1,3,1,1,2,1,1,0
270,2,2,1,2,3,1,2,2,1,1,1
271,0,5,2,1,3,1,1,2,1,1,0
272,2,0,2,1,3,1,2,2,1,1,0
273,2,3,2,1,3,1,1,2,1,1,1
274,5,4,3,1,2,1,1,1,1,1,0
275,5,4,3,1,3,1,1,1,1,1,0
276,5,4,3,2,2,1,1,2,1,1,0
277,5,0,3,1,3,1,1,1,1,1,0
278,1,1,2,1,3,1,1,2,1,1,1
279,2,4,2,1,3,1,2,2,1,1,0
280,2,4,1,1,3,1,1,2,1,1,0
281,2,4,2,1,3,1,1,2,1,1,1
282,2,4,2,1,1,1,2,2,1,1,0
283,5,3,3,1,3,1,2,2,1,1,0
284,2,0,0,1,2,1,2,2,1,1,0
285,2,0,2,1,1,1,2,2,1,1,0
286,5,4,3,1,3,1,1,1,1,1,1
287,1,3,2,1,3,1,1,2,1,1,0
288,0,5,2,1,3,1,1,2,1,1,1
289,5,4,3,1,2,1,1,1,1,1,0
290,5,4,3,1,2,1,2,1,1,1,0
291,0,5,2,1,3,1,1,2,1,1,0
292,1,3,2,1,1,1,2,2,1,1,0
293,5,4,3,1,2,1,2,2,1,1,0
294,2,0,1,1,3,1,1,2,1,1,1
295,3,0,1,1,3,1,2,2,1,1,0
296,4,0,1,1,2,1,2,2,2,1,1
297,2,3,2,1,3,1,1,2,1,1,0
298,1,3,2,1,2,1,1,2,1,1,0
299,3,3,2,1,3,1,2,2,2,1,0
300,0,5,1,1,3,1,1,2,1,1,0
301,5,4,3,1,3,1,2,1,1,1,0
302,2,3,2,1,3,1,2,2,1,1,0
303,5,4,3,1,3,1,2,1,1,1,0
304,0,5,2,1,3,1,1,2,1,1,0
305,1,3,2,1,2,1,1,2,1,1,0
306,2,0,0,2,2,3,2,2,1,1,0
307,5,3,3,1,3,1,1,2,1,1,0
308,1,0,2,2,2,3,2,2,1,1,0
309,0,5,2,1,3,1,1,2,1,1,0
310,0,5,2,1,1,1,1,2,1,1,0
311,2,3,2,1,3,1,1,2,1,1,0
312,3,0,2,2,2,1,2,2,1,1,1
313,0,5,2,2,3,1,1,2,1,1,0
314,1,3,2,1,2,1,2,2,1,1,0
315,1,3,2,1,3,1,1,2,1,1,0
316,5,4,3,1,2,1,1,2,1,1,0
317,0,5,2,1,3,1,1,2,1,1,0
318,1,3,2,1,1,1,1,2,1,1,0
319,5,3,3,1,2,1,1,2,1,1,0
320,5,4,3,1,3,1,2,2,1,1,0
321,5,3,3,1,3,1,1,2,1,1,0
322,5,4,3,1,1,1,2,2,1,1,0
323,0,5,2,1,2,1,1,2,1,1,0
324,2,4,2,1,3,1,1,2,1,1,0
325,0,5,2,1,2,1,1,2,1,1,0
326,1,0,2,1,2,1,1,2,1,1,1
327,3,4,2,1,3,1,1,2,1,1,0
328,5,3,3,1,3,1,2,2,1,1,0
329,0,5,2,1,3,1,1,2,1,1,0
330,0,5,1,1,2,1,1,2,1,1,0
331,3,0,2,1,2,1,2,2,1,1,0
332,1,3,2,1,3,1,1,2,1,1,0
333,5,4,3,1,2,1,1,1,1,1,0
334,5,4,3,1,3,1,2,2,1,1,0
335,5,4,3,1,2,1,1,2,1,1,0
336,2,0,1,1,3,1,2,2,1,1,0
337,1,3,1,1,2,1,2,2,1,1,1
338,1,4,1,1,3,1,1,2,1,1,1
339,5,4,3,1,3,1,1,2,1,1,0
340,5,4,3,1,2,1,1,1,1,1,0
341,1,4,2,1,2,1,2,2,1,1,0
342,5,4,3,1,2,1,1,2,1,1,0
343,0,5,2,1,2,1,1,2,1,1,0
344,3,0,1,1,2,1,2,2,1,1,0
345,1,3,2,1,1,1,1,2,1,1,0
346,2,4,2,2,3,1,2,2,1,1,0
347,1,3,2,1,3,1,1,2,1,1,0
348,5,4,3,1,2,1,2,2,1,1,0
349,2,0,1,2,2,1,2,2,1,1,1
350,0,5,2,1,3,1,1,2,1,1,0
351,1,4,2,1,3,1,1,2,1,1,0
352,2,3,2,1,3,1,1,2,1,1,0
353,5,4,3,1,2,1,1,1,1,1,0
354,0,5,2,1,2,1,1,2,1,1,1
355,1,4,2,1,1,1,2,2,1,1,0
356,5,3,3,1,2,1,1,2,1,1,0
357,5,4,3,1,3,1,1,1,1,1,0
358,1,3,2,1,3,1,1,2,1,1,0
359,1,4,2,2,2,3,2,2,1,1,0
360,5,4,3,1,1,1,1,2,1,1,0
361,1,4,2,1,3,1,1,2,1,1,0
362,1,4,2,1,3,1,1,2,1,1,0
363,3,0,1,2,3,3,2,2,1,1,1
364,5,4,3,1,2,1,1,2,1,1,0
365,2,0,2,1,3,1,1,2,1,1,0
366,1,4,2,2,2,3,2,2,1,1,1
367,2,0,2,2,2,3,2,2,1,1,0
368,5,4,3,2,3,1,2,2,1,1,0
369,5,4,3,1,3,1,1,2,1,1,0
370,1,3,2,1,3,1,1,2,1,1,0
371,1,3,2,1,2,1,1,2,1,1,0
372,3,1,1,1,3,1,2,2,1,1,1
373,0,5,2,1,3,1,1,2,1,1,0
374,2,3,2,1,3,1,1,2,1,1,0
375,1,4,2,1,2,1,1,2,1,1,0
376,2,2,1,2,2,1,2,2,1,1,1
377,1,4,2,1,2,1,2,2,1,1,0
378,5,0,3,1,2,1,2,2,1,1,0
379,5,4,3,1,3,1,1,1,1,1,0
380,1,4,2,1,2,1,1,2,1,1,0
381,0,5,2,1,2,1,2,2,1,1,0
382,0,5,2,1,3,1,1,2,1,1,0
383,1,4,2,1,3,1,2,2,1,1,0
384,2,3,1,1,2,1,2,2,1,1,0
385,0,5,2,1,3,1,1,2,1,1,0
386,1,3,2,1,3,1,1,2,1,1,0
387,5,4,3,1,3,1,1,1,1,1,0
388,2,3,1,1,3,1,1,2,1,1,1
389,5,4,3,1,2,1,1,2,1,1,0
390,5,4,3,1,2,1,1,2,1,1,0
391,5,4,3,1,3,1,1,1,1,1,0
392,2,4,2,1,1,3,2,2,1,1,0
393,5,4,3,1,3,1,1,1,1,1,0
394,2,4,1,1,3,1,2,2,1,1,0
395,5,3,3,1,2,1,1,2,1,1,0
396,5,0,3,1,2,1,2,2,1,1,0
397,2,3,0,1,3,1,2,2,1,1,1
398,1,4,2,1,2,1,1,2,1,1,0
399,3,2,0,1,3,1,2,2,1,1,0
400,5,4,3,1,3,1,1,1,1,1,0
401,2,2,1,2,3,1,2,2,1,1,0
402,2,0,1,1,2,1,1,2,1,1,0
403,0,5,2,1,3,1,1,2,1,1,0
404,2,0,1,1,2,1,2,2,1,1,0
405,1,3,2,1,2,1,1,2,1,1,0
406,2,0,1,1,2,1,1,2,1,1,0
407,5,4,3,1,3,1,1,2,1,1,0
408,0,5,2,1,2,1,1,2,1,1,0
409,0,5,2,1,3,1,1,2,1,1,0
410,5,4,3,1,2,1,1,2,1,1,0
411,2,0,2,1,3,1,2,2,1,1,1
412,1,3,2,1,3,1,1,2,1,1,0
413,4,4,1,2,2,1,2,2,1,1,1
414,5,4,3,1,2,1,2,1,1,1,0
415,1,3,1,1,3,1,2,2,1,1,0
416,2,3,1,2,2,1,2,2,1,1,0
417,5,4,3,1,3,1,1,1,1,1,1
418,0,5,2,1,3,1,1,2,1,1,0
419,5,3,3,1,2,1,1,2,1,1,0
420,2,0,1,1,3,1,2,2,1,1,1
421,2,3,1,1,3,1,1,2,1,1,0
422,2,0,2,1,2,1,2,2,1,1,0
423,5,1,3,1,2,1,1,1,1,1,0
424,1,4,2,1,2,1,2,2,1,1,1
425,2,0,1,2,3,1,1,2,1,1,1
426,1,4,2,2,2,1,1,2,1,1,0
427,2,3,2,1,3,1,1,2,1,1,0
428,1,3,2,1,2,1,2,2,1,1,0
429,2,0,1,2,2,1,2,2,1,1,0
430,2,1,2,1,3,1,2,2,1,1,0
431,0,5,2,1,3,1,1,2,1,1,0
432,2,0,1,1,3,1,2,2,1,1,0
433,2,4,1,1,3,1,1,2,1,1,0
434,1,0,2,1,2,1,1,2,1,1,0
435,3,0,2,2,2,1,2,2,1,1,0
436,1,3,1,2,1,1,2,2,1,1,0
437,5,4,3,1,2,1,1,1,1,1,0
438,1,4,2,1,2,1,1,2,1,1,0
439,5,4,3,1,2,1,2,1,1,1,0
440,1,3,2,1,3,1,1,2,1,1,0
441,1,4,2,1,2,1,1,2,1,1,0
442,2,4,2,1,2,1,2,2,1,1,0
443,1,0,2,1,3,1,1,2,1,1,0
444,1,4,2,1,3,1,1,2,1,1,0
445,5,3,3,1,2,1,1,2,1,1,0
446,3,1,0,2,3,1,2,2,1,1,0
447,2,0,0,2,3,1,1,2,1,1,1
448,5,4,3,1,2,1,1,2,1,1,1
449,0,5,2,1,1,1,1,2,1,1,0
450,2,4,2,1,3,1,1,2,1,1,0
451,2,3,2,1,3,1,1,2,1,1,1
452,0,5,2,1,3,1,1,2,1,1,0
453,5,4,3,1,2,1,1,2,1,1,0
454,5,4,3,1,2,1,1,2,1,1,0
455,5,0,3,1,3,1,2,1,1,1,0
456,5,3,3,1,2,1,1,2,1,1,0
457,2,3,2,1,2,1,1,2,1,1,1
458,1,4,2,1,2,1,2,2,1,1,0
459,5,0,3,1,2,1,2,2,1,1,0
460,1,3,1,1,3,1,1,2,1,1,1
461,2,4,2,1,2,1,2,2,1,1,0
462,4,2,1,2,3,1,2,2,2,1,1
463,2,3,1,1,2,1,2,2,1,1,0
464,0,5,2,1,3,1,1,2,1,1,0
465,1,4,2,1,3,1,1,2,1,1,1
466,5,4,3,1,2,1,1,2,1,1,0
467,5,4,3,1,2,1,1,2,1,1,0
468,5,4,3,1,2,1,1,1,1,1,0
469,4,0,1,1,1,1,2,2,1,1,0
470,4,4,2,1,1,1,2,2,1,1,0
471,2,4,2,1,2,1,2,2,1,1,0
472,1,4,2,1,2,1,1,2,1,1,1
473,0,5,2,1,3,1,1,2,1,1,0
474,1,4,2,1,3,1,2,2,1,1,0
475,1,4,2,1,2,1,2,2,1,1,0
476,2,3,2,1,2,1,1,2,1,1,1
477,1,3,2,1,3,1,1,2,1,1,0
478,5,4,3,1,2,1,1,2,1,1,0
479,2,0,1,1,3,1,2,2,1,1,0
480,0,5,2,1,2,1,2,2,1,1,0
481,1,3,2,1,3,1,1,2,1,1,0
482,5,4,3,1,2,1,1,2,1,1,1
483,0,5,2,1,3,1,1,2,1,1,0
484,3,2,0,2,2,3,2,2,2,1,1
485,1,3,2,2,2,1,1,2,1,1,0
486,2,3,2,1,1,1,1,2,1,1,0
487,2,4,1,2,2,1,2,2,1,1,0
488,1,3,2,1,1,1,2,2,1,1,0
489,2,0,1,1,3,1,1,2,1,1,0
490,2,0,1,2,3,1,1,2,1,1,1
491,5,4,3,1,2,1,1,1,1,1,0
492,0,5,2,1,3,1,1,2,1,1,0
493,4,0,1,2,2,1,2,2,1,1,1
494,5,4,3,1,2,1,2,1,1,1,0
495,5,4,3,1,2,1,1,2,1,1,0
496,5,3,3,1,2,1,1,2,1,1,0
497,2,0,1,1,2,1,2,2,1,1,0
498,5,4,3,1,3,1,1,1,1,1,0
499,5,4,3,1,3,1,2,1,1,1,0
500,5,0,3,1,2,1,1,1,1,1,0
501,1,3,2,1,2,1,1,2,1,1,0
502,2,0,2,1,3,1,2,2,1,1,0
503,5,3,3,1,2,1,1,1,1,1,0
504,1,3,2,1,2,1,2,2,1,1,0
505,0,5,2,1,2,1,1,2,1,1,0
506,3,0,1,2,2,1,2,2,1,1,1
507,3,0,1,1,2,1,2,2,1,1,0
508,2,3,2,1,3,1,1,2,1,1,0
509,5,4,3,1,2,1,2,2,1,1,0
510,1,3,2,1,3,1,1,2,1,1,0
511,0,5,2,1,3,1,1,2,1,1,0
512,5,3,3,1,3,1,1,2,1,1,0
513,5,4,3,1,3,1,2,2,1,1,0
514,5,0,3,1,1,1,2,2,1,1,0
515,1,4,2,1,3,1,1,2,1,1,0
516,5,3,3,1,2,1,2,2,1,1,0
517,4,2,0,1,3,1,2,2,2,1,0
518,3,2,0,2,3,1,2,2,2,1,1
519,1,4,1,1,2,1,1,2,1,1,0
520,3,0,2,1,2,1,2,2,1,1,1
521,1,3,2,1,2,1,2,2,1,1,1
522,3,0,0,2,1,3,2,2,1,1,1
523,5,3,3,1,1,1,2,2,1,1,0
524,5,4,3,1,2,1,1,2,1,1,0
525,5,3,3,1,3,1,1,1,1,1,0
526,2,0,1,2,3,1,2,2,1,1,0
527,0,5,2,1,3,1,1,2,1,1,0
528,4,0,1,2,2,3,2,2,1,1,0
529,3,0,1,1,3,1,2,2,1,1,1
530,0,5,1,1,3,1,2,2,1,1,0
531,1,4,2,1,3,1,1,2,1,1,0
532,4,0,0,2,2,1,2,2,1,1,1
533,2,0,1,1,2,1,1,2,1,1,0
534,0,5,2,1,3,1,1,2,1,1,0
535,1,0,2,1,3,1,1,2,1,1,0
536,1,4,2,2,2,2,1,2,1,1,0
537,5,4,3,1,2,1,1,1,1,1,0
538,4,0,1,2,3,1,2,2,2,1,1
539,2,4,2,1,3,1,2,2,1,1,0
540,1,4,2,1,2,1,1,2,1,1,0
541,1,3,2,1,3,1,1,2,1,1,0
542,2,3,1,1,3,1,1,2,1,1,1
543,5,4,3,2,3,1,1,2,1,1,0
544,2,0,1,2,2,1,2,2,1,1,1
545,5,4,3,1,2,1,1,2,1,1,1
546,5,3,3,1,2,1,1,1,1,1,0
547,1,4,2,1,2,1,2,2,1,1,0
548,0,5,2,1,2,1,2,2,1,1,0
549,3,0,1,2,3,1,2,2,1,1,1
550,1,4,2,1,3,1,1,2,1,1,0
551,1,4,2,1,3,1,2,2,1,1,0
552,3,0,0,1,3,1,1,2,1,1,1
553,5,3,3,1,2,1,1,2,1,1,0
554,0,5,2,1,3,1,1,2,1,1,0
555,1,4,2,1,2,1,1,2,1,1,1
556,5,4,3,1,3,1,1,1,1,1,0
557,0,5,2,1,3,1,1,2,1,1,0
558,2,0,1,1,3,1,2,2,1,1,0
559,2,3,2,1,2,1,1,2,1,1,0
560,4,0,0,2,3,1,2,2,2,1,1
561,2,4,2,1,2,1,2,2,1,1,1
562,5,0,3,1,2,1,2,1,1,1,0
563,2,2,0,2,3,1,2,2,2,1,1
564,5,4,3,1,2,1,2,1,1,1,0
565,5,4,3,1,3,1,2,2,1,1,0
566,5,0,3,1,2,1,1,1,1,1,0
567,2,3,2,1,3,1,1,2,1,1,0
568,3,0,2,1,2,1,2,2,1,1,1
569,2,3,2,1,2,1,1,2,1,1,0
570,1,3,2,1,3,1,1,2,1,1,0
571,4,4,1,1,3,1,2,2,1,1,1
572,2,0,1,1,2,1,2,2,1,1,1
573,2,4,1,1,3,1,2,2,1,1,1
574,5,3,3,1,2,1,1,1,1,1,0
575,1,3,2,1,2,1,1,2,1,1,0
