d3mIndex,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,M0P0,M0P1,M1P0,M1P1,class
31,0,2,1,1,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1
32,0,0,1,1,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,1
33,0,0,1,2,0,0,0,0,0,0,1,1,0,2,0,1,0,1,1,1,1
34,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1
35,0,0,1,0,0,1,0,2,0,0,0,1,0,2,0,1,0,1,1,1,1
36,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
37,0,0,2,1,0,1,1,1,0,0,2,1,0,2,1,0,0,1,1,1,1
38,0,2,2,1,0,0,0,0,0,1,0,0,1,2,1,1,2,0,0,0,1
39,1,1,1,2,0,1,0,0,0,0,0,1,2,1,1,1,1,2,0,1,1
40,0,0,1,1,0,1,2,0,0,1,0,1,0,0,1,1,0,1,0,1,1
41,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
42,0,0,1,0,1,1,2,2,0,0,0,0,0,1,1,0,1,0,1,0,1
43,0,0,2,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1
44,0,0,1,1,0,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1
45,1,1,0,2,0,1,1,1,0,0,1,1,0,2,0,0,0,1,0,1,1
46,1,0,1,0,0,2,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1
47,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,1
48,0,2,0,0,1,2,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1
49,0,1,1,0,0,2,2,0,0,0,2,0,1,1,2,0,0,0,0,1,1
50,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1
51,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,2,0,1,1,1
52,1,1,1,0,0,1,2,0,0,0,1,1,0,0,1,0,0,1,1,1,1
53,0,2,1,0,1,2,1,0,0,0,0,2,1,1,0,2,0,1,0,1,1
54,0,2,0,2,0,1,2,0,0,0,1,1,0,1,1,1,0,1,1,0,1
55,0,1,2,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1
56,0,0,1,1,0,2,2,1,0,1,1,2,1,1,0,0,0,1,0,0,1
57,0,0,0,1,0,1,1,0,0,0,0,2,1,1,0,1,0,0,1,1,1
58,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
59,0,1,2,0,0,1,0,2,0,0,0,2,1,0,0,1,0,2,1,0,1
60,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
61,0,0,2,1,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1
62,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,1,0,0,2,2,1
63,0,1,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,1,0,1
64,1,1,1,2,0,1,1,2,0,1,0,2,0,1,0,0,0,1,0,0,1
65,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1
66,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
67,0,2,2,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1
68,0,1,1,1,0,1,0,1,0,0,1,1,2,2,1,0,0,1,1,0,1
69,0,1,2,1,0,2,1,2,0,0,0,0,1,1,1,0,0,1,1,0,1
70,0,1,1,0,0,2,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1
71,0,1,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,1,0,1,1
72,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1
73,0,0,0,2,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,2,1
74,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,1
75,0,1,2,1,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1
76,0,2,1,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1
77,0,0,0,1,0,1,2,0,0,0,0,2,1,1,1,1,0,0,0,0,1
78,0,0,2,1,0,1,0,2,0,0,0,1,0,1,0,2,0,0,0,1,1
79,1,2,2,0,0,0,1,2,0,0,0,2,2,1,1,1,0,0,0,1,1
80,0,1,1,1,1,2,1,2,0,1,0,1,1,1,0,0,0,0,0,1,1
81,0,2,0,2,0,0,0,2,0,0,0,0,1,2,1,1,1,0,1,0,1
82,0,0,1,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1
83,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
84,0,0,0,1,1,2,1,2,0,0,0,1,0,0,1,0,1,0,0,0,1
85,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,0,1,0,0,0,1
86,1,0,1,2,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1
87,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,2,0,1
88,0,1,1,0,0,2,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1
89,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1
90,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1
91,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,1,0,1,0,1,1
92,1,1,1,1,0,2,0,0,0,0,1,1,0,2,0,1,1,0,1,0,1
93,0,1,2,0,0,1,0,0,0,0,1,2,0,0,1,2,1,0,1,1,1
94,0,2,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1
95,0,0,2,1,0,0,1,1,0,0,1,0,0,1,0,2,0,1,0,1,1
96,0,1,2,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1
97,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
98,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
99,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1
100,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
101,0,0,1,0,0,1,1,0,0,1,1,1,0,2,1,1,1,0,0,2,1
102,1,0,1,0,1,1,1,1,0,0,0,1,1,2,1,0,1,0,0,1,1
103,0,1,0,1,0,2,1,0,1,0,0,0,1,2,0,1,0,1,0,0,1
104,0,0,1,0,0,2,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1
105,0,0,0,1,0,0,0,1,0,0,0,1,1,2,1,1,1,0,0,0,1
106,0,1,1,0,0,0,2,1,0,0,1,0,0,2,1,0,1,0,1,2,1
107,0,1,1,2,0,1,0,1,0,0,1,2,0,0,1,1,0,1,0,2,1
108,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1
109,0,1,0,0,0,2,1,0,0,0,1,2,0,0,2,1,0,1,0,0,1
110,0,1,1,1,1,0,1,0,0,0,2,2,0,0,1,0,1,0,0,1,1
111,1,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
112,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1
113,0,1,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1
114,0,1,1,1,0,2,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1
115,0,1,1,0,0,2,1,1,0,0,0,2,0,2,0,1,1,0,1,1,1
116,0,0,1,1,0,0,1,0,0,0,0,1,0,2,1,2,1,0,0,0,1
117,0,0,1,1,0,0,0,2,0,1,0,1,1,1,2,0,1,1,1,1,1
118,0,1,1,0,1,2,0,1,0,0,1,0,0,0,0,2,1,0,0,1,1
119,1,1,2,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
120,0,0,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
121,1,2,1,2,0,1,0,0,0,0,1,1,2,2,0,1,0,0,0,1,1
122,0,2,2,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,2,1,1
123,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,0,1
124,0,1,1,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,1,0,1
125,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1
126,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1
127,1,0,1,1,0,1,1,1,0,0,0,0,2,0,1,2,0,1,1,1,1
128,0,2,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1
129,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,1,0,1,1,0,1
130,0,1,2,2,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0,0,1
131,0,0,1,2,0,2,1,1,0,0,0,0,0,1,1,0,0,1,2,0,1
132,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1
133,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
134,0,1,0,1,0,2,1,0,0,1,0,1,0,2,1,1,0,1,0,0,1
135,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1
136,0,0,1,1,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
137,0,1,1,1,0,0,1,0,0,1,1,2,1,1,1,1,1,2,0,0,1
138,0,0,0,1,0,1,0,0,0,0,0,2,1,2,0,2,0,1,1,1,1
139,0,0,0,0,0,2,2,1,0,0,0,1,1,0,2,2,0,0,0,0,1
140,0,0,1,0,1,1,0,2,0,0,1,2,0,2,1,1,1,0,2,0,1
141,0,0,2,1,0,1,1,2,0,1,1,1,2,1,1,0,0,1,0,0,1
142,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
143,0,1,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,1
144,0,0,2,2,0,1,2,1,0,0,0,1,0,0,1,0,1,1,0,1,1
145,1,1,1,2,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1
146,0,0,2,0,0,1,1,2,0,0,1,2,0,0,0,2,0,0,1,0,1
147,0,1,0,1,0,1,2,0,0,0,0,1,1,1,1,2,0,1,1,0,1
148,0,2,2,1,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,1
149,0,1,2,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,1
150,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1
151,0,1,0,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
152,1,0,1,0,0,2,0,1,0,0,0,0,0,2,1,1,2,1,0,1,1
153,0,1,1,2,0,2,1,0,0,0,0,0,1,2,0,0,1,0,1,0,1
154,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
155,0,0,1,0,0,1,1,0,0,0,1,1,0,2,0,2,0,0,0,2,1
156,0,1,1,2,0,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1
157,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,2,0,1,2,0,1
158,0,0,1,0,0,1,0,2,0,0,1,2,0,2,0,0,0,2,0,0,1
159,0,1,1,1,0,1,1,0,0,1,1,2,0,1,1,1,1,0,0,0,1
160,0,1,0,1,1,2,1,1,0,0,1,1,0,2,0,0,0,1,0,1,1
161,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1
162,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
163,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
164,0,2,1,1,0,2,1,0,0,0,1,2,0,2,2,1,0,1,0,0,1
165,0,1,1,1,0,1,2,0,0,1,1,1,1,2,1,1,0,1,1,1,1
166,0,0,1,2,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
167,0,0,0,1,0,1,1,1,0,0,0,2,0,1,0,0,1,2,0,0,1
168,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
169,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1
170,0,0,1,2,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1
171,0,1,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
172,0,0,2,0,1,1,1,2,0,0,0,2,1,1,0,1,0,0,0,0,1
173,0,0,0,1,0,2,0,1,0,0,0,2,0,2,1,1,1,0,1,0,1
174,0,0,1,0,0,1,1,2,0,0,1,2,1,0,0,0,1,0,1,1,1
175,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
176,0,2,0,0,0,1,1,0,0,0,0,1,1,2,1,0,1,0,1,0,1
177,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1
178,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1
179,0,1,1,1,0,1,0,1,0,0,0,0,2,2,0,0,1,1,0,0,1
180,1,0,0,1,0,1,1,1,0,1,1,2,1,2,0,0,0,1,0,0,1
181,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1
182,0,0,1,1,0,2,1,1,0,0,1,1,2,1,1,2,0,1,1,0,1
183,0,1,1,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,1,1
184,2,1,1,0,2,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
185,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1
186,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,2,2,0,0,0,1
187,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
188,0,1,1,1,0,2,1,1,0,0,0,0,1,0,1,2,0,1,0,0,1
189,1,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
190,0,1,2,2,0,1,1,2,0,0,0,1,1,2,1,2,0,1,0,0,1
191,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1
192,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
193,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
194,0,2,1,2,0,2,0,1,0,0,2,2,0,2,1,1,2,1,0,0,1
195,0,0,1,1,0,1,1,0,0,0,0,1,1,1,2,1,0,1,2,0,1
196,0,2,2,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1
197,1,2,2,1,0,2,1,0,0,0,1,1,1,1,0,0,0,2,1,1,1
198,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
199,0,2,1,0,0,1,2,1,0,0,1,1,2,1,0,1,0,1,0,0,1
200,0,0,1,1,0,1,1,0,0,0,1,2,1,0,1,1,0,1,0,0,1
201,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
202,0,0,1,1,0,1,1,1,0,0,0,0,1,2,1,2,2,0,0,1,1
203,0,1,1,2,0,1,0,2,0,0,1,1,0,0,2,1,2,0,1,0,1
204,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1
205,0,2,1,1,0,0,0,2,0,0,1,0,2,2,0,1,0,0,0,0,1
206,0,1,1,0,0,1,1,0,0,0,0,1,1,1,2,1,1,0,1,0,1
207,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,2,0,1
208,0,0,0,1,0,1,1,2,0,1,1,1,0,2,0,0,1,0,0,0,1
209,0,1,1,1,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1
210,1,1,1,1,0,2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1
211,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1
212,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,1,1,0,1,1,1
213,0,1,1,1,0,1,0,0,0,0,0,1,0,2,1,0,0,1,1,1,1
214,0,1,1,1,0,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1,1
215,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,2,0,0,0,1
216,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1
217,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,2,0,2,1
218,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1
219,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1
220,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,0,1,0,1,1
221,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
222,0,1,1,1,0,2,1,1,0,0,1,1,0,1,2,0,1,0,0,0,1
223,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1
224,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1
225,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,1,0,1
226,0,0,1,0,0,2,1,0,0,0,0,0,1,0,2,1,0,0,1,1,1
227,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,0,0,1,0,1
228,0,0,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
229,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
230,0,0,2,2,0,0,0,2,0,1,0,2,1,1,1,0,1,0,0,0,1
231,0,1,0,1,0,0,1,2,0,0,1,1,0,2,1,0,0,1,1,1,1
232,0,1,1,0,0,2,0,1,0,0,1,1,1,0,2,1,0,1,0,0,1
233,0,2,1,0,0,1,0,2,0,0,0,1,2,1,1,0,0,1,0,1,1
234,0,1,2,2,0,1,0,2,0,0,1,1,2,2,0,0,0,0,1,0,1
235,0,0,2,1,0,2,1,2,0,0,0,0,0,1,0,1,0,2,0,1,1
236,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,2,0,1,1,0,1
237,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1
238,0,1,2,1,0,1,1,1,0,0,0,2,0,1,2,1,1,0,0,0,1
239,0,2,1,1,0,1,1,0,0,0,1,1,0,2,0,1,1,0,1,0,1
240,0,0,1,2,0,1,1,1,0,0,0,2,0,1,1,1,1,0,1,2,1
241,0,1,1,1,0,1,0,2,0,0,0,0,1,2,1,1,0,1,2,1,1
242,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,2,1,0,0,0,1
243,0,0,1,2,0,2,2,1,0,0,0,1,1,2,1,2,0,0,0,0,1
244,0,1,1,0,0,0,0,1,1,0,0,1,1,2,0,1,2,0,1,0,1
245,0,0,2,1,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,1
246,0,2,0,1,0,2,1,0,0,0,1,2,0,2,1,1,0,1,1,2,1
247,0,0,1,0,0,1,0,1,0,0,0,1,2,0,1,1,0,2,0,0,1
248,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1
249,1,1,1,1,0,1,1,0,0,0,0,1,1,1,2,0,2,0,0,2,1
250,0,1,1,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,1,0,1
251,0,0,0,2,1,1,1,0,0,0,0,1,0,2,1,1,0,1,0,1,1
252,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
253,1,2,1,1,0,2,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1
254,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
255,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1
256,0,1,0,1,1,2,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1
257,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1
258,0,1,2,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1
259,1,0,1,0,0,1,1,2,0,0,1,0,0,1,1,0,1,0,0,0,1
260,0,2,1,1,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1
261,1,1,2,0,1,0,0,2,0,0,0,1,0,2,0,1,1,0,1,1,1
262,0,0,0,1,0,2,0,1,0,0,1,0,0,0,2,1,0,1,0,0,1
263,0,0,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,1,1,0,1
264,0,1,1,1,1,1,1,2,0,0,0,2,1,0,1,1,0,0,1,0,1
265,1,0,0,0,0,2,1,1,1,1,0,1,2,1,0,1,1,0,0,0,1
266,0,2,1,0,0,1,0,1,0,0,0,2,1,1,1,1,1,0,0,1,1
267,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
268,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1
269,0,1,1,0,1,2,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1
270,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1
271,0,1,1,0,1,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1
272,0,0,0,0,1,1,2,1,0,0,1,1,1,2,0,0,0,1,0,0,1
273,0,0,0,1,0,0,1,1,0,0,0,2,0,2,2,1,1,0,0,1,1
274,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1
275,0,1,2,2,0,2,0,1,0,0,0,2,0,1,1,1,0,1,0,0,1
276,0,0,0,0,0,1,0,2,0,0,1,2,2,1,1,1,1,0,1,0,1
277,1,0,1,0,0,2,0,1,0,0,0,0,1,2,0,1,1,0,1,0,1
278,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1
279,1,0,1,0,0,1,1,0,0,1,1,2,0,0,1,2,1,0,0,0,1
280,0,1,1,2,0,1,0,1,0,0,1,2,1,0,1,0,2,0,1,1,1
281,0,1,2,1,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,1
282,0,2,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1
283,0,1,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
284,0,2,0,2,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
285,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
286,0,1,1,1,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,1,1
287,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1
288,0,1,1,2,0,2,1,0,0,0,0,1,1,1,1,2,0,1,0,1,1
289,0,1,1,1,0,1,1,1,0,0,0,2,0,1,1,0,1,0,1,1,1
290,0,1,0,0,0,2,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1
291,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
292,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
293,0,0,0,1,0,1,1,0,0,0,2,2,0,1,1,0,0,0,1,0,1
294,0,1,0,1,0,1,1,1,0,0,0,1,0,2,2,1,1,0,0,1,1
295,0,0,2,2,0,2,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1
296,0,0,2,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
297,1,1,0,1,1,2,0,0,0,0,2,1,0,2,0,1,0,1,0,0,1
298,0,1,1,0,0,0,1,2,0,0,1,1,0,1,0,1,1,0,1,0,1
299,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1
300,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
301,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1
302,0,0,1,1,0,0,0,1,0,0,0,1,1,2,1,2,0,0,0,0,1
303,0,1,1,1,1,2,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1
304,0,1,0,0,0,2,2,2,0,0,0,1,0,1,0,0,0,0,0,1,1
305,0,1,0,0,1,1,0,0,0,0,0,2,1,1,1,1,0,1,0,0,1
306,0,1,1,1,0,2,1,0,0,0,0,2,0,1,0,1,1,0,1,0,1
307,0,1,2,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
308,1,1,0,2,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1
309,2,0,1,1,0,2,1,0,0,0,0,2,1,1,0,0,0,2,1,0,1
310,0,0,0,0,0,1,1,1,0,1,0,2,1,0,2,2,1,0,1,1,1
311,0,0,1,0,0,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,1
312,0,0,2,1,0,0,0,2,0,1,1,2,0,1,0,0,2,0,1,1,1
313,0,0,2,0,0,2,1,0,0,0,0,1,0,2,1,1,0,1,1,1,1
