d3mIndex,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,class
55,0,0,0,1,0,1,0,0,0,1,0
56,1,0,0,1,1,0,1,1,0,1,0
57,0,1,1,1,1,1,0,0,1,1,0
58,0,1,0,0,0,0,0,0,0,0,1
59,0,1,1,0,1,0,1,0,1,0,0
60,1,0,1,1,0,1,1,0,0,0,1
61,0,0,1,0,1,0,0,1,0,0,0
62,0,0,0,1,1,1,0,1,1,1,1
63,0,0,1,1,1,1,0,0,0,0,1
64,0,0,0,1,1,1,0,0,1,0,0
65,1,0,1,0,1,0,1,1,1,0,0
66,0,1,0,0,1,1,0,1,1,1,1
67,1,1,0,0,0,1,0,1,1,0,1
68,0,0,1,1,0,0,1,0,0,1,0
69,0,0,0,0,0,1,0,0,1,0,1
70,1,0,1,1,1,0,1,1,1,1,1
71,0,0,0,1,0,1,1,1,1,0,1
72,1,0,0,1,0,1,0,0,0,0,0
73,0,0,1,0,0,0,0,0,0,0,1
74,1,1,1,1,0,0,0,1,1,0,0
75,1,0,0,0,1,1,1,0,1,0,1
76,1,1,0,1,1,1,0,1,0,1,0
77,0,0,0,0,0,0,0,0,1,0,0
78,0,0,0,1,0,1,0,0,0,0,0
79,1,0,1,0,0,0,0,0,1,1,1
80,1,0,1,0,0,1,0,0,0,0,0
81,0,1,1,1,1,1,1,0,0,1,0
82,0,1,0,1,1,1,1,0,1,1,1
83,0,0,1,0,0,0,0,0,1,0,1
84,0,1,1,0,0,1,0,0,1,0,1
85,0,0,0,0,1,0,0,0,0,0,0
86,0,0,1,0,0,1,1,0,1,0,0
87,0,1,0,1,1,0,1,0,0,1,0
88,0,0,1,0,1,1,1,0,0,0,0
89,1,1,0,1,0,0,0,0,0,0,0
90,0,1,0,1,0,0,0,1,1,0,1
91,1,0,1,1,1,1,1,0,1,0,1
92,0,0,1,1,0,0,0,1,0,0,1
93,0,1,0,1,0,0,1,0,0,0,0
94,0,0,1,1,0,0,1,1,0,0,1
95,1,1,0,1,0,0,0,1,0,1,1
96,1,0,0,1,0,0,1,0,0,0,1
97,0,1,1,1,1,0,1,1,1,1,0
98,0,1,0,1,1,1,0,0,0,0,1
99,1,0,1,1,0,0,1,1,1,1,1
100,0,0,1,1,1,0,1,1,0,0,1
101,1,0,0,0,0,0,0,1,0,0,1
102,1,1,1,1,0,0,1,1,0,1,0
103,1,1,1,1,1,0,1,1,0,1,0
104,0,0,0,0,1,1,0,1,1,1,0
105,1,1,0,1,1,1,1,1,0,1,0
106,0,0,1,1,0,0,1,1,0,0,1
107,0,0,0,0,1,1,0,0,1,0,1
108,0,1,0,0,1,0,0,0,0,1,1
109,1,1,0,1,1,0,1,0,0,1,0
110,0,0,1,1,0,1,0,1,1,0,0
111,1,0,1,1,1,1,0,0,0,0,1
112,1,1,1,0,0,1,1,1,1,0,0
113,1,1,1,0,1,0,0,1,0,0,1
114,0,1,0,0,1,0,0,1,1,0,0
115,1,0,0,0,0,0,1,0,1,1,0
116,0,0,0,0,1,0,1,1,0,1,1
117,1,0,0,1,0,0,0,0,0,1,1
118,0,0,0,0,0,1,1,1,0,1,0
119,0,0,1,0,0,0,1,0,0,1,1
120,0,0,0,1,1,0,0,0,1,0,1
121,1,1,1,0,0,1,1,1,0,0,0
122,1,1,1,1,1,1,1,0,1,0,0
123,0,0,1,1,1,1,0,0,1,1,1
124,0,1,1,1,1,0,1,1,1,0,0
125,0,1,1,1,0,1,1,0,1,1,0
126,0,1,1,0,0,0,0,1,1,1,1
127,1,1,0,1,0,0,0,1,0,1,1
128,0,1,1,0,1,0,0,0,1,1,0
129,1,1,0,1,0,0,0,0,1,1,0
130,1,0,0,0,1,0,1,1,0,1,1
131,0,0,0,0,0,1,0,1,1,0,0
132,0,0,0,1,0,0,0,0,1,0,1
133,1,0,1,0,0,1,1,1,0,1,1
134,1,1,1,0,1,1,0,1,1,1,0
135,0,1,0,1,0,1,1,0,0,1,1
136,1,0,0,0,1,0,1,0,1,0,0
137,0,1,0,1,1,0,1,1,1,0,1
138,1,1,0,1,0,0,1,0,0,1,0
139,0,1,1,1,0,0,1,1,0,0,0
140,0,0,1,0,1,0,0,1,0,1,0
141,0,0,0,0,0,0,0,0,0,1,0
142,1,1,1,1,1,1,1,0,1,1,0
143,0,1,0,0,0,1,1,0,0,0,0
144,0,0,0,0,1,0,0,0,0,0,0
145,0,0,1,0,0,0,1,0,1,0,1
146,1,0,1,1,1,0,1,1,0,1,1
147,1,0,1,0,0,0,0,1,1,0,0
148,0,0,1,0,0,0,1,0,1,1,1
149,1,1,0,0,1,0,1,0,0,1,1
150,1,0,1,0,0,0,0,0,0,0,1
151,1,1,1,0,0,0,0,0,1,1,0
152,0,1,1,0,0,1,0,1,0,1,0
153,1,1,1,1,1,0,0,1,1,1,0
154,0,0,0,0,1,1,1,0,0,0,1
155,1,0,0,1,1,0,1,0,1,0,1
156,1,1,0,0,1,0,0,1,1,1,0
157,1,0,1,1,1,1,1,0,0,1,1
158,1,0,0,1,1,1,0,1,1,1,1
159,0,1,1,1,1,1,0,0,1,0,0
160,1,0,0,0,1,1,1,0,1,0,1
161,0,1,1,0,0,1,0,0,0,0,1
162,1,0,1,0,1,0,0,0,0,1,1
163,1,0,1,0,1,1,1,0,1,1,0
164,0,1,1,1,0,1,1,1,0,0,1
165,1,1,1,0,1,1,1,1,1,1,0
166,1,1,1,0,0,0,0,1,1,0,1
167,1,1,0,0,1,1,1,1,0,0,1
168,0,1,0,1,1,0,1,1,1,1,1
169,0,1,1,1,1,1,1,0,1,1,0
170,1,0,0,1,0,0,0,0,0,0,1
171,0,0,0,1,0,0,0,1,0,1,0
172,0,0,1,1,0,0,0,0,0,1,0
173,0,1,1,1,1,0,0,1,0,0,0
174,1,1,1,0,1,0,1,0,1,0,0
175,1,0,1,0,0,0,0,1,0,1,0
176,1,0,1,1,0,0,1,1,1,0,1
177,0,0,1,0,0,0,0,0,1,1,1
178,0,0,0,0,0,0,1,1,0,1,1
179,0,1,0,1,1,1,1,1,1,0,0
180,0,0,0,0,1,0,0,1,0,1,1
181,1,0,0,0,0,1,0,1,0,1,0
182,0,1,1,1,0,0,0,0,1,0,1
183,1,1,1,0,0,1,1,0,0,0,1
184,0,0,1,0,0,1,1,0,1,1,0
185,0,0,1,1,1,1,1,1,0,0,0
186,0,1,0,0,1,0,0,1,1,1,0
187,1,1,0,0,0,0,0,1,0,0,0
188,1,0,1,1,1,1,1,0,1,1,1
189,0,0,0,1,0,1,0,1,0,0,1
190,1,1,1,0,0,1,1,1,0,1,0
191,1,0,0,0,0,0,0,1,0,1,1
192,1,1,0,1,0,0,1,0,1,0,0
193,0,1,1,1,0,0,1,1,0,1,0
194,1,0,1,0,1,0,1,0,0,1,1
195,1,0,1,0,1,0,1,0,0,0,1
196,1,1,1,0,0,0,1,0,1,1,0
197,0,1,0,1,0,1,0,0,0,0,1
198,0,0,1,1,0,1,0,0,0,1,1
199,1,1,0,0,0,1,0,0,1,0,0
200,0,1,1,1,1,1,1,1,1,1,1
201,1,1,1,1,0,0,0,0,1,1,1
202,1,0,1,1,1,1,0,1,1,1,0
203,1,0,0,0,0,0,1,1,1,0,1
204,1,1,1,0,1,0,1,1,1,0,1
205,1,1,0,1,0,0,0,1,1,1,1
206,0,1,0,0,1,1,0,1,1,1,1
207,1,1,1,0,1,1,0,1,1,0,0
208,0,0,0,0,0,1,0,1,1,1,0
209,1,1,0,1,0,0,1,0,0,0,0
210,1,0,0,1,0,0,0,1,1,1,0
211,0,1,1,1,1,0,1,1,0,1,0
212,1,1,0,1,1,0,1,1,0,0,1
213,1,1,0,1,0,0,1,1,0,1,1
214,0,1,0,0,0,1,0,1,1,1,1
215,1,0,1,0,1,1,0,0,1,1,0
216,0,1,1,0,1,1,1,1,0,1,0
217,1,1,0,0,1,0,1,1,1,0,0
218,1,0,0,1,1,1,0,0,0,1,0
219,1,1,0,0,1,0,0,0,1,0,1
220,0,0,1,0,1,0,0,1,1,1,0
221,0,1,0,1,1,0,0,1,0,0,1
222,1,1,1,1,1,1,0,1,1,0,1
223,1,1,1,0,1,1,0,1,0,0,0
224,0,1,0,0,0,0,1,0,0,1,1
225,1,0,0,0,1,1,1,1,1,1,0
226,1,0,1,0,1,1,0,1,0,0,1
227,1,0,0,1,0,1,0,0,1,0,0
228,1,0,1,0,0,1,1,0,1,0,0
229,0,1,0,1,1,1,0,0,1,1,1
230,1,0,1,0,0,0,1,0,1,1,1
231,0,1,1,0,1,0,0,0,0,0,0
232,1,1,0,0,1,0,0,1,0,0,0
233,0,0,0,1,0,0,1,0,0,0,1
234,0,0,0,0,1,1,1,1,1,1,0
235,0,0,0,0,0,0,0,0,0,0,0
236,0,1,0,1,1,1,0,0,0,1,1
237,1,1,0,0,0,1,1,0,0,0,0
238,1,1,1,1,0,1,0,1,1,1,1
239,1,0,0,1,0,0,0,0,1,1,1
240,0,1,1,1,0,1,0,1,1,1,1
241,1,1,0,1,0,1,1,0,1,1,1
242,1,0,1,1,1,1,0,1,0,1,0
243,0,1,0,0,1,1,1,1,0,0,1
244,1,1,0,0,0,1,0,1,0,0,1
245,0,1,0,0,1,1,0,0,0,1,0
246,0,1,1,1,0,1,1,1,1,0,1
247,1,1,0,1,1,0,1,0,1,1,0
248,1,1,0,1,1,1,1,0,1,0,1
249,1,1,0,0,0,1,0,0,1,1,0
250,1,1,1,0,1,1,1,1,1,0,0
251,1,1,0,1,1,0,0,1,0,1,1
252,1,0,0,0,1,1,1,1,1,0,0
253,0,0,1,0,0,1,0,0,1,1,0
254,0,0,1,0,0,1,1,1,1,1,1
255,0,0,1,1,1,1,0,1,1,0,0
256,1,1,0,1,0,1,0,1,1,0,0
257,1,1,1,1,0,1,1,0,1,1,0
258,0,0,1,1,0,1,1,1,1,0,0
259,0,1,1,1,1,0,0,1,1,1,0
260,0,1,1,0,0,0,0,1,1,0,1
261,1,1,0,0,0,1,1,1,0,0,1
262,1,1,0,0,1,0,0,1,1,0,0
263,0,1,1,1,1,1,0,1,0,0,1
264,1,1,1,1,0,1,1,0,0,1,0
265,0,0,1,1,1,1,0,0,1,0,1
266,0,1,0,1,0,0,0,0,1,0,0
267,1,0,1,0,1,0,0,1,1,1,0
268,1,1,1,1,0,0,1,1,1,1,0
269,1,0,1,0,0,1,1,1,0,0,1
270,0,1,0,1,0,0,0,0,0,1,0
271,1,0,1,1,1,1,0,0,0,1,1
272,1,0,1,0,1,0,1,0,1,1,1
273,1,1,1,1,0,0,1,0,1,0,1
274,1,0,1,1,0,1,1,0,0,0,1
275,0,0,1,0,0,0,1,1,1,1,0
276,0,1,0,0,0,1,0,0,0,0,0
277,1,0,1,0,0,0,0,1,1,1,0
278,1,0,1,0,1,1,1,1,0,1,1
279,1,0,1,0,0,1,0,0,0,1,0
280,1,1,1,1,0,0,1,0,0,1,1
281,0,1,0,0,0,1,1,1,0,1,1
282,1,1,1,1,0,1,1,0,0,0,0
283,1,1,0,0,0,0,1,0,0,0,1
284,0,0,0,0,0,0,1,0,1,0,0
285,1,0,1,0,0,0,0,0,1,1,1
286,0,1,1,1,1,0,0,0,1,0,1
287,1,0,1,1,0,0,0,1,0,0,1
288,1,1,0,1,1,0,0,0,0,1,0
289,0,0,0,1,1,1,1,0,0,0,0
290,1,0,0,0,1,0,1,0,0,0,0
291,1,0,0,0,0,1,0,1,1,1,0
292,0,1,1,0,1,0,0,1,0,1,1
293,1,1,0,0,0,0,0,0,0,0,1
294,1,1,0,1,0,1,1,1,1,1,0
295,0,1,1,0,1,0,1,1,0,1,1
296,0,0,0,1,1,0,1,0,0,0,1
297,1,0,1,1,1,0,1,0,1,0,0
298,0,1,0,0,0,1,0,1,0,1,1
299,1,1,0,0,0,0,1,1,1,0,0
300,1,1,0,1,0,0,0,0,0,0,0
301,1,1,0,1,0,0,1,1,1,0,1
302,0,1,1,1,1,0,1,0,0,0,1
303,1,0,0,0,0,1,1,1,1,1,0
304,0,1,0,0,1,0,1,0,0,0,1
305,1,0,1,1,0,0,1,1,0,0,1
306,1,1,0,1,0,1,1,1,0,1,0
307,0,1,1,0,0,1,0,0,1,1,1
308,0,0,1,0,0,0,0,0,0,0,1
309,1,1,1,1,0,0,1,1,1,0,0
310,1,0,1,0,1,0,1,1,1,0,0
311,1,0,1,0,0,0,1,1,0,0,0
312,0,1,1,1,1,1,1,0,1,0,0
313,0,1,0,1,1,1,0,1,0,1,0
314,0,0,0,1,1,0,1,1,0,0,0
315,1,0,1,0,0,1,0,0,0,0,0
316,0,1,0,1,0,1,0,1,0,1,0
317,0,1,1,1,1,1,0,1,1,0,1
318,1,1,1,1,0,0,0,1,0,0,0
319,1,1,1,0,0,1,0,1,1,0,0
320,0,0,0,1,1,1,0,1,0,1,1
321,0,1,0,0,1,0,1,1,0,0,0
322,1,0,1,0,1,1,0,0,0,1,0
323,1,1,0,0,1,1,0,0,0,0,0
324,1,0,0,1,0,1,0,0,0,0,0
325,1,0,0,0,1,0,0,1,1,0,1
326,0,1,0,1,0,1,0,0,0,1,1
327,1,0,0,1,0,1,1,1,1,0,1
328,1,0,0,1,1,1,1,0,0,0,0
329,0,1,1,1,0,1,1,0,1,0,0
330,0,1,1,0,1,0,0,1,1,0,1
331,1,1,0,1,0,0,1,0,1,1,0
332,0,0,1,0,0,0,0,1,1,0,0
333,1,0,0,1,1,0,1,1,1,1,0
334,0,1,0,0,0,0,1,1,1,1,0
335,0,1,1,0,0,0,0,1,0,1,1
336,0,0,1,0,0,1,0,0,1,0,0
337,1,0,1,0,1,0,0,0,0,0,1
338,1,0,0,0,0,0,1,0,0,0,0
339,1,1,0,1,1,0,0,0,1,0,0
340,0,0,0,0,0,1,0,0,0,1,1
341,1,1,1,1,0,0,0,0,0,1,1
342,1,0,1,1,1,1,0,1,1,0,0
343,0,1,1,1,1,1,1,1,0,0,1
344,1,0,0,1,1,0,1,0,1,1,1
345,1,1,0,0,1,1,0,1,0,0,1
346,1,0,1,0,1,0,1,1,0,0,0
347,0,0,0,0,1,0,0,1,1,1,1
348,0,1,0,0,1,0,0,0,1,0,1
349,1,1,1,0,0,1,1,0,1,0,1
350,0,0,0,0,0,0,0,1,0,0,1
351,0,0,1,0,0,1,0,1,0,1,1
352,1,1,1,1,1,0,1,0,1,1,1
353,0,0,0,1,0,1,1,0,1,0,0
354,1,1,1,0,1,0,1,1,0,0,1
355,1,0,1,0,0,1,0,0,1,1,0
356,0,0,1,1,1,0,1,1,0,1,1
357,0,0,0,1,0,0,1,1,0,1,0
358,0,1,0,1,0,0,0,1,0,0,1
359,1,1,0,0,0,0,1,0,0,1,1
360,0,0,0,1,1,0,1,0,0,1,1
361,0,0,0,0,0,0,0,0,1,1,0
362,1,1,1,0,0,0,1,1,1,1,1
363,1,0,0,0,1,1,0,0,1,0,1
364,1,1,0,0,0,0,1,0,1,1,1
365,1,0,0,0,1,1,1,0,1,1,1
366,0,1,0,0,0,1,1,0,1,1,0
367,0,0,0,0,0,0,0,1,0,1,1
368,0,1,1,0,0,0,0,0,1,0,0
369,1,0,1,0,0,1,1,0,0,0,0
370,1,0,0,1,1,1,1,1,1,0,1
371,1,0,1,1,0,0,0,0,1,0,0
372,1,1,0,0,1,1,1,1,1,1,1
373,0,0,1,0,1,0,1,1,1,0,0
374,0,0,1,1,0,0,0,1,0,1,1
375,0,0,0,0,0,0,1,1,0,0,1
376,1,1,0,1,0,0,0,0,0,1,0
377,1,0,0,1,0,0,0,1,0,0,0
378,1,1,1,0,0,1,0,1,0,1,0
379,1,0,0,0,0,1,1,1,1,0,0
380,0,0,1,0,0,1,1,0,1,0,0
381,1,0,1,1,0,1,0,1,0,0,0
382,1,0,1,0,0,0,1,0,0,0,1
383,1,1,0,1,1,1,0,1,1,1,0
384,0,0,1,0,1,0,1,1,0,0,0
385,1,1,0,1,0,0,1,1,0,0,1
386,0,0,1,0,1,1,0,1,1,1,1
387,0,0,0,1,0,1,1,0,1,1,0
388,0,0,1,0,0,1,0,1,1,1,1
389,1,1,0,1,1,1,0,0,0,1,1
390,0,0,1,0,1,1,1,1,1,0,1
391,1,1,0,0,1,1,1,1,0,1,1
392,0,1,0,1,1,1,0,1,0,0,0
393,0,0,0,0,1,1,1,1,0,0,0
394,1,0,0,1,0,1,1,1,0,1,1
395,0,0,1,1,1,0,1,1,1,0,1
396,0,0,0,1,1,1,0,0,1,1,0
397,0,1,0,1,0,1,1,0,1,1,1
398,1,1,0,1,0,1,1,1,1,0,0
399,1,1,1,1,1,1,1,1,0,0,1
400,1,0,1,0,1,1,1,1,1,1,1
401,0,1,1,0,1,1,1,0,0,1,1
402,0,0,0,1,0,1,1,1,1,1,1
403,0,0,1,1,0,0,1,1,1,1,1
404,1,1,1,0,0,0,1,1,1,0,1
405,0,0,1,1,1,1,1,1,0,1,0
406,0,0,0,1,1,0,0,1,1,1,0
407,0,0,0,1,1,1,1,0,1,0,0
408,0,0,1,1,0,1,0,0,1,1,1
409,0,0,0,1,0,1,0,0,1,0,0
410,1,1,1,0,0,1,1,0,0,1,1
411,1,0,1,1,1,0,0,0,0,0,0
412,0,1,0,1,0,0,0,1,1,1,1
413,0,1,0,1,1,0,1,1,0,1,1
414,1,0,0,1,1,0,1,1,0,0,0
415,0,1,0,0,0,0,1,1,0,0,0
416,0,0,0,1,0,0,1,1,0,0,0
417,0,0,0,1,1,1,0,1,1,1,1
418,1,1,1,0,1,1,0,0,0,0,1
419,0,0,1,0,1,0,1,1,1,1,0
420,0,1,0,0,0,1,0,0,0,1,0
421,0,0,1,1,0,0,1,0,0,1,0
422,0,0,1,1,1,1,1,0,1,0,1
423,1,1,0,0,1,0,0,0,0,0,1
424,1,1,1,1,0,0,0,0,1,0,1
425,1,1,1,0,0,0,1,1,0,1,1
426,0,1,0,0,0,1,0,1,0,0,1
427,0,0,0,1,1,1,1,1,1,0,1
428,0,1,0,1,0,0,1,0,0,0,0
429,0,1,1,0,1,1,0,1,1,1,0
430,1,1,0,1,1,1,1,0,1,1,1
431,1,1,1,0,0,1,1,1,1,1,0
432,0,0,1,1,1,1,0,0,0,1,1
433,0,0,0,1,1,0,0,1,0,1,0
434,0,0,1,1,0,1,1,0,1,0,1
435,0,0,0,0,1,0,1,1,1,1,1
436,1,1,1,1,1,0,1,1,1,0,0
437,0,1,1,0,0,0,1,0,0,1,0
438,0,1,0,1,0,0,1,1,0,1,1
439,1,0,1,1,0,1,1,1,0,1,0
440,1,1,0,0,0,1,0,0,0,1,0
441,0,0,1,0,1,0,0,1,1,0,0
442,0,1,1,1,0,0,0,1,0,0,0
443,1,1,1,1,1,1,1,1,0,1,1
444,0,1,1,1,1,0,0,0,0,1,1
445,1,0,0,1,0,0,0,0,1,0,1
446,1,0,0,1,1,0,0,0,0,0,1
447,0,1,0,1,1,0,1,0,1,0,0
448,0,1,1,1,1,0,0,1,1,0,0
449,0,1,0,1,1,0,1,0,0,0,0
450,0,1,1,0,0,1,0,1,1,1,0
451,1,1,0,0,1,1,1,1,1,0,1
452,0,0,1,1,1,1,1,0,0,0,1
453,0,0,0,0,1,0,1,0,0,0,0
454,0,1,1,0,1,0,0,1,0,0,1
455,0,1,1,0,1,1,0,0,1,1,1
456,1,0,0,0,1,1,1,0,0,0,1
457,1,1,1,1,1,1,0,1,1,1,1
458,1,0,1,1,0,0,0,0,0,0,0
459,0,1,1,0,1,1,1,1,0,0,0
460,0,0,1,0,0,1,1,1,0,0,1
461,0,1,0,1,0,1,0,0,1,1,1
462,1,0,0,0,0,0,0,0,1,0,0
463,1,1,0,1,1,1,1,1,1,1,0
464,0,1,1,0,1,0,0,0,0,1,0
465,0,0,1,0,1,1,0,0,1,0,0
466,0,0,0,0,0,0,1,1,1,1,1
467,1,0,1,1,1,0,1,0,0,1,0
468,0,1,1,0,1,1,1,0,1,0,1
469,0,1,0,0,0,0,0,0,0,1,1
470,1,1,0,0,1,0,1,1,0,1,0
471,1,0,1,0,1,0,0,1,0,0,0
472,1,1,1,1,1,1,1,0,0,1,0
473,0,0,0,0,0,1,0,1,0,1,0
474,0,1,0,1,0,0,1,1,1,1,1
475,1,1,1,0,0,1,0,1,0,0,0
476,0,0,1,1,0,0,0,1,1,0,1
477,0,0,1,1,1,0,1,0,0,0,0
478,1,0,1,0,0,0,0,0,0,1,1
479,0,1,0,1,1,0,0,0,0,0,0
480,1,1,1,0,1,1,0,0,0,1,1
481,0,1,0,0,0,0,0,1,1,1,0
482,1,0,1,0,0,0,1,1,0,1,0
483,0,0,1,0,0,0,0,0,1,0,1
484,0,0,1,1,1,0,0,0,0,1,0
485,1,1,1,1,0,1,1,1,0,0,1
486,0,0,0,1,1,0,1,0,1,1,1
487,1,1,1,1,1,1,0,0,0,1,0
488,1,1,0,0,0,0,1,0,1,0,1
489,1,0,1,1,0,0,0,1,1,1,1
490,0,0,0,1,1,1,0,0,0,0,0
491,0,1,0,1,0,1,0,1,1,1,0
492,0,1,1,0,0,1,1,0,1,1,1
493,0,1,1,0,0,1,1,1,0,0,0
494,0,0,1,1,1,0,0,1,0,0,1
495,1,1,1,1,0,0,1,0,1,1,1
496,1,1,1,1,1,0,0,0,0,0,1
497,1,1,0,1,0,0,1,1,1,1,1
498,1,1,0,1,1,0,0,1,1,0,1
499,1,0,0,0,1,0,0,0,0,0,0
500,1,0,0,0,1,0,0,0,0,1,0
501,1,0,0,0,0,1,1,1,0,0,0
502,0,1,1,1,1,0,1,0,1,0,1
503,0,0,0,1,1,0,1,1,1,1,0
504,1,1,1,1,0,0,0,0,0,0,1
505,0,0,0,1,1,1,0,0,0,1,0
506,1,1,1,1,0,1,0,0,1,0,0
507,0,0,1,1,1,0,0,0,0,0,0
508,1,1,0,0,0,0,0,0,1,0,1
509,0,1,0,0,1,0,1,1,1,1,0
510,1,0,1,1,0,0,1,0,1,1,0
511,1,0,1,1,1,1,0,0,1,0,1
512,1,1,1,1,1,0,1,1,1,1,0
513,1,0,0,0,0,1,0,0,0,0,1
514,1,1,1,1,0,0,0,1,1,0,0
515,1,1,0,0,0,1,1,0,1,0,0
516,1,1,0,1,1,0,0,1,0,0,1
517,0,0,0,0,0,0,0,1,1,1,1
518,1,1,1,0,1,0,0,1,1,0,1
519,1,0,1,0,1,1,0,1,0,1,1
520,0,0,0,0,1,1,1,1,0,1,0
521,1,0,1,1,0,0,1,0,0,1,0
522,1,1,0,1,1,1,0,0,0,0,1
523,0,1,0,1,1,1,0,1,1,1,0
524,1,0,0,0,0,0,0,0,0,0,0
525,1,0,1,1,1,0,0,0,1,1,0
526,1,1,1,0,0,1,0,0,1,1,1
527,0,1,0,1,0,1,1,1,1,0,0
528,1,0,0,1,0,0,1,0,1,1,1
529,1,0,0,1,1,0,0,0,1,1,1
530,1,1,0,1,1,0,1,1,1,1,1
531,1,1,0,1,0,1,1,1,0,0,0
532,0,1,1,0,1,1,0,0,1,0,1
533,1,0,1,0,1,1,0,0,0,0,0
534,0,0,0,0,1,1,1,0,0,1,1
535,1,1,1,0,1,1,1,1,0,1,0
536,0,0,1,1,1,0,0,1,1,0,1
537,1,1,1,0,1,0,0,0,1,0,0
538,0,1,0,1,1,0,1,1,0,0,1
539,0,1,1,1,0,0,1,0,1,0,1
540,0,1,1,0,1,1,0,1,0,1,0
541,0,1,0,0,1,1,0,0,0,0,0
542,1,1,0,1,0,1,0,1,0,1,0
543,0,0,1,1,0,0,0,1,0,0,1
544,1,0,1,1,0,1,1,0,1,1,1
545,1,1,0,0,1,1,1,0,1,1,0
546,1,1,1,0,1,0,1,1,1,1,1
547,0,0,1,0,1,0,0,0,0,0,1
548,0,1,0,0,0,1,1,1,0,0,1
549,0,0,0,0,1,1,1,1,1,0,0
550,0,0,1,0,1,0,0,0,0,1,1
551,0,0,1,0,0,1,1,1,0,1,1
552,1,1,0,1,1,0,0,0,1,1,0
553,1,0,0,1,0,1,0,1,1,1,1
554,0,0,0,1,1,0,1,1,1,0,0
555,1,0,0,0,1,1,0,1,1,1,0
556,1,1,1,1,1,1,0,0,0,0,0
557,0,1,1,0,1,1,1,0,1,1,1
558,0,0,0,0,1,1,0,0,1,1,1
559,1,1,1,1,1,1,1,1,1,0,1
560,0,1,0,1,1,1,1,0,1,1,1
561,1,1,1,1,1,0,0,0,1,1,1
562,0,0,0,1,0,0,0,1,0,0,0
563,0,0,0,1,0,1,0,0,1,1,0
564,1,0,1,1,1,0,0,1,0,1,1
565,0,0,0,1,0,0,1,0,1,0,1
566,0,1,0,1,0,1,0,1,0,0,0
567,0,1,0,1,0,1,0,1,1,0,0
568,1,0,1,1,1,0,1,1,1,0,1
569,0,0,0,0,1,0,0,0,0,1,0
570,1,0,1,0,0,0,1,0,0,1,1
571,0,0,0,0,1,1,0,1,1,0,0
572,0,1,1,1,0,0,1,0,0,0,1
573,0,0,0,1,0,1,1,1,0,1,1
574,0,1,0,0,1,0,0,0,0,0,1
575,0,0,1,0,1,1,0,1,0,0,1
576,0,1,0,0,0,1,1,1,1,0,1
