d3mIndex,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,binaryClass
26,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,N
27,-1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,N
28,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,P
29,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,N
30,1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,P
31,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,N
32,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,P
33,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,P
34,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,P
35,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,P
36,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,P
37,-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,N
38,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,P
39,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,P
40,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,N
41,1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,P
42,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,N
43,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,N
44,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,P
45,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,N
46,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,1.0,P
47,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,N
48,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,N
49,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,P
50,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,1.0,N
51,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,N
52,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,N
53,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,P
54,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,P
55,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,P
56,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,N
57,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,P
58,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,P
59,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,P
60,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,P
61,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,N
62,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,P
63,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,N
64,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,N
65,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,-1.0,N
66,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,N
67,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,P
68,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,P
69,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,P
70,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,P
71,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,N
72,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,P
73,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,N
74,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0,N
75,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,N
76,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,N
77,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,P
78,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,N
79,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,N
80,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,P
81,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,N
82,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,P
83,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,N
84,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,P
85,-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,N
86,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,P
87,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,N
88,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,N
89,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,N
90,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,P
91,-1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,N
92,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,N
93,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,P
94,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,P
95,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,P
96,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,P
97,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,P
98,-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,N
99,1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,P
100,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,P
101,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,P
102,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,P
103,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,N
104,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,P
105,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,N
106,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,P
107,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,N
108,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,N
109,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,P
110,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,P
111,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,P
112,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,P
113,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,N
114,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,N
115,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,P
116,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,P
117,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,N
118,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,N
119,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,P
120,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,P
121,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,P
122,-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,N
123,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,N
124,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,P
125,1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,P
126,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,N
127,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,N
128,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,P
129,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,P
130,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,P
131,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,N
132,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,P
133,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,N
134,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,N
135,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,P
136,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,N
137,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,N
138,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,P
139,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,P
140,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,P
141,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,P
142,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,P
143,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,P
144,-1.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,N
145,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,N
146,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,N
147,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,N
148,1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,P
149,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,P
150,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,P
151,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,P
152,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,N
153,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,N
154,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,N
155,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,P
156,1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,P
157,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,P
158,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,N
159,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,N
160,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,N
161,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,N
162,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,N
163,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-1.0,N
164,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,N
165,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,N
166,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,N
167,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,P
168,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,N
169,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,N
170,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,P
171,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,P
172,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,P
173,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,N
174,-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,N
175,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,N
176,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,P
177,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,N
178,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,P
179,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,P
180,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,P
181,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,N
182,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,N
183,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,P
184,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,P
185,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,N
186,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,P
187,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,N
188,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,P
189,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,N
190,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,P
191,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,N
192,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,N
193,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,P
194,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,P
195,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,N
196,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,P
197,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,P
198,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,N
199,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,N
