d3mIndex,Species,Length1,Length2,Length3,Height,Width,Sex,binaryClass
40,3,12.9,14.1,16.2,25.6,14.0,,P
41,3,16.5,18.2,20.3,26.1,13.9,,P
42,3,17.5,18.8,21.2,26.3,13.7,,P
43,3,18.2,19.8,22.2,25.3,14.3,,P
44,3,18.6,20.0,22.2,28.0,16.1,,P
45,3,19.0,20.5,22.8,28.4,14.7,,P
46,3,19.1,20.8,23.1,26.7,14.7,0,P
47,3,19.4,21.0,23.7,25.8,13.9,0,P
48,3,20.4,22.0,24.7,23.5,15.2,0,P
49,3,20.5,22.0,24.3,27.3,14.6,0,P
50,3,20.5,22.5,25.3,27.8,15.1,0,P
51,3,21.0,22.5,25.0,26.2,13.3,,P
52,3,21.1,22.5,25.0,25.6,15.2,0,P
53,3,22.0,24.0,27.2,27.7,14.1,,P
54,3,22.0,23.4,26.7,25.9,13.6,,P
55,3,22.1,23.5,26.8,27.6,15.4,0,P
56,3,23.6,25.2,27.9,25.4,14.0,,P
57,3,24.0,26.0,29.2,30.4,15.4,,P
58,3,25.0,27.0,30.6,28.0,15.6,0,P
59,3,29.5,31.7,35.0,27.1,15.3,,P
60,4,13.5,14.7,16.5,41.5,14.1,,P
61,4,14.3,15.5,17.4,37.8,13.3,1,P
62,4,16.3,17.7,19.8,37.4,13.5,1,P
63,4,17.5,19.0,21.3,39.4,13.7,1,P
64,4,18.4,20.0,22.4,39.7,14.7,,P
65,4,19.0,20.7,23.2,36.8,14.2,,P
66,4,19.0,20.7,23.2,40.5,14.7,0,P
67,4,19.8,21.5,24.1,40.4,13.1,0,P
68,4,21.2,23.0,25.8,40.1,14.2,,P
69,4,23.0,25.0,28.0,39.6,14.8,0,P
70,4,24.0,26.0,29.0,39.2,14.6,0,P
71,5,9.3,9.8,10.8,16.1,9.7,1,P
72,5,10.0,10.5,11.6,17.0,10.0,0,P
73,5,10.1,10.6,11.6,14.9,9.9,1,P
74,5,10.4,11.0,12.0,18.3,11.5,0,P
75,5,10.7,11.2,12.4,16.8,10.3,1,P
76,5,10.8,11.3,12.6,15.7,10.2,1,P
77,5,11.3,11.8,13.1,16.9,9.8,1,P
78,5,11.3,11.8,13.1,16.9,8.9,0,P
79,5,11.4,12.0,13.2,16.7,8.7,0,P
80,5,11.5,12.2,13.4,15.6,10.4,0,P
81,5,11.7,12.4,13.5,18.0,9.4,0,P
82,5,12.1,13.0,13.8,16.5,9.1,0,P
83,5,13.2,14.3,15.2,18.9,13.6,0,P
84,5,13.8,15.0,16.2,18.1,11.6,0,P
85,6,30.0,32.3,34.8,16.0,9.7,,P
86,6,31.7,34.0,37.8,15.1,11.0,0,P
87,6,32.7,35.0,38.8,15.3,11.3,,P
88,6,34.8,37.3,39.8,15.8,10.1,,P
89,6,35.5,38.0,40.5,18.0,11.3,,N
90,6,36.0,38.5,41.0,15.6,9.7,1,P
91,6,40.0,42.5,45.5,16.0,9.5,,N
92,6,40.0,42.5,45.5,15.0,9.8,,N
93,6,40.1,43.0,45.8,17.0,11.2,,N
94,6,42.0,45.0,48.0,14.5,10.2,,N
95,6,43.2,46.0,48.7,16.0,10.0,0,N
96,6,44.8,48.0,51.2,15.0,10.5,0,N
97,6,48.3,51.7,55.1,16.2,11.2,,N
98,6,52.0,56.0,59.7,17.9,11.7,,N
99,6,56.0,60.0,64.0,15.0,9.6,,N
100,6,56.0,60.0,64.0,15.0,9.6,0,N
101,6,59.0,63.4,68.0,15.9,11.0,0,N
102,7,7.5,8.4,8.8,24.0,16.0,,P
103,7,12.5,13.7,14.7,24.0,13.6,,P
104,7,13.8,15.0,16.0,23.9,15.2,,P
105,7,15.0,16.2,17.2,26.7,15.3,,P
106,7,15.7,17.4,18.5,24.8,15.9,,P
107,7,16.2,18.0,19.2,27.2,17.3,,P
108,7,16.8,18.7,19.4,26.8,16.1,,P
109,7,17.2,19.0,20.2,27.9,15.1,,P
110,7,17.8,19.6,20.8,24.7,14.6,,P
111,7,18.2,20.0,21.0,24.2,13.2,,P
112,7,19.0,21.0,22.5,25.3,15.8,,P
113,7,19.0,21.0,22.5,26.3,14.7,,P
114,7,19.0,21.0,22.5,25.3,16.3,1,P
115,7,19.3,21.3,22.8,28.0,15.5,0,P
116,7,20.0,22.0,23.5,26.0,14.5,0,P
117,7,20.0,22.0,23.5,24.0,15.0,,P
118,7,20.0,22.0,23.5,26.0,15.0,,P
119,7,20.0,22.0,23.5,25.0,15.0,,P
120,7,20.0,22.0,23.5,23.5,17.0,0,P
121,7,20.5,22.5,24.0,24.4,15.1,0,P
122,7,20.5,22.5,24.0,28.3,15.1,0,P
123,7,20.7,22.7,24.2,24.6,15.0,,P
124,7,21.0,23.0,24.5,21.3,14.8,,P
125,7,21.5,23.5,25.0,25.1,14.9,,P
126,7,22.0,24.0,25.5,28.6,14.6,,P
127,7,22.0,24.0,25.5,25.0,15.0,,P
128,7,22.6,24.6,26.2,25.7,15.9,,P
129,7,23.0,25.0,26.5,24.3,13.9,0,P
130,7,23.5,25.6,27.0,24.3,15.7,,P
131,7,25.0,26.5,28.0,25.6,14.8,,P
132,7,25.2,27.3,28.7,29.0,17.9,0,P
133,7,25.4,27.5,28.9,24.8,15.0,0,P
134,7,25.4,27.5,28.9,24.4,15.0,,P
135,7,25.4,27.5,28.9,25.2,15.8,0,P
136,7,25.9,28.0,29.4,26.6,14.3,,P
137,7,26.9,28.7,30.1,25.2,15.4,0,P
138,7,27.8,30.0,31.6,24.1,15.1,0,P
139,7,30.5,32.8,34.0,29.5,17.7,,N
140,7,32.0,34.5,36.5,28.1,17.5,,N
141,7,32.5,35.0,37.3,30.8,20.9,0,N
142,7,34.0,36.5,39.0,27.9,17.6,0,N
143,7,34.0,36.0,38.3,27.7,17.6,0,N
144,7,34.5,37.0,39.4,27.5,15.9,0,N
145,7,34.6,37.0,39.3,26.9,16.2,0,N
146,7,36.5,39.0,41.4,26.9,18.1,0,N
147,7,36.5,39.0,41.4,26.9,14.5,,N
148,7,36.6,39.0,41.3,30.1,17.8,,N
149,7,36.9,40.0,42.3,28.2,16.8,0,N
150,7,37.0,40.0,42.5,27.6,17.0,0,N
151,7,37.0,40.0,42.4,29.2,17.6,0,N
152,7,37.1,40.0,42.5,26.2,15.6,0,N
153,7,39.0,42.0,44.6,28.7,15.4,0,N
154,7,39.8,43.0,45.2,26.4,16.1,0,N
155,7,40.1,43.0,45.5,27.5,16.3,0,N
156,7,40.2,43.5,46.0,27.4,17.7,1,N
157,7,41.1,44.0,46.6,26.8,16.3,0,N
