d3mIndex,country_code,year,strike_volume,unemployment,inflation,parliamentary_representation,union_centralization
43,2.0,1959.0,23.0,3.3,1.1,47.3,1.0
44,2.0,1960.0,30.0,2.5,2.0,47.3,1.0
45,2.0,1961.0,49.0,2.0,3.5,47.3,1.0
46,2.0,1962.0,277.0,1.9,4.4,46.1,1.0
47,2.0,1963.0,15.0,2.1,2.7,46.1,1.0
48,2.0,1964.0,15.0,1.9,3.9,46.1,1.0
49,2.0,1965.0,64.0,1.9,4.9,46.1,1.0
50,2.0,1966.0,30.0,1.8,2.2,47.9,1.0
51,2.0,1967.0,7.0,1.8,4.0,47.9,1.0
52,2.0,1968.0,3.0,2.0,2.8,47.9,1.0
53,2.0,1969.0,8.0,1.8,3.1,47.9,1.0
54,2.0,1970.0,11.0,1.5,4.4,49.1,1.0
55,2.0,1971.0,2.0,1.2,4.7,49.1,1.0
56,2.0,1972.0,6.0,1.1,6.4,50.8,1.0
57,2.0,1973.0,61.0,1.0,7.5,50.8,1.0
58,2.0,1974.0,3.0,1.1,9.5,50.8,1.0
59,2.0,1975.0,2.0,1.7,8.5,50.8,1.0
60,2.0,1976.0,0.0,1.7,7.3,50.8,1.0
61,2.0,1977.0,0.0,1.6,5.5,50.8,1.0
62,2.0,1978.0,4.0,1.8,3.6,50.8,1.0
63,2.0,1979.0,0.0,1.7,3.7,51.9,1.0
64,2.0,1980.0,6.0,1.6,6.3,51.9,1.0
65,2.0,1981.0,1.0,2.1,6.8,51.9,1.0
66,2.0,1982.0,0.0,3.1,5.4,51.9,1.0
67,2.0,1983.0,0.0,3.8,3.3,49.2,1.0
68,2.0,1984.0,0.0,3.9,5.7,49.2,1.0
69,2.0,1985.0,8.0,4.1,3.2,49.2,1.0
70,3.0,1951.0,242.0,4.5,9.6,39.6,0.75
71,3.0,1952.0,356.0,5.2,0.9,39.6,0.75
72,3.0,1953.0,170.0,5.5,-0.3,39.6,0.75
73,3.0,1954.0,182.0,5.2,1.3,42.5,0.75
74,3.0,1955.0,403.0,4.0,-0.5,42.5,0.75
75,3.0,1956.0,372.0,2.9,2.8,42.5,0.75
76,3.0,1957.0,1453.0,2.4,3.2,42.5,0.75
77,3.0,1958.0,114.0,3.4,1.3,40.6,0.75
78,3.0,1959.0,383.0,4.1,1.2,40.6,0.75
79,3.0,1960.0,129.0,3.4,0.3,40.6,0.75
80,3.0,1961.0,35.0,2.7,1.0,42.0,0.75
81,3.0,1962.0,100.0,2.1,1.4,42.0,0.75
82,3.0,1963.0,90.0,1.7,2.2,42.0,0.75
83,3.0,1964.0,157.0,1.5,4.2,42.0,0.75
84,3.0,1965.0,25.0,1.7,4.1,33.0,0.75
85,3.0,1966.0,189.0,1.8,4.2,33.0,0.75
86,3.0,1967.0,64.0,2.5,2.9,33.0,0.75
87,3.0,1968.0,129.0,2.9,2.7,30.2,0.75
88,3.0,1969.0,56.0,2.3,3.8,30.2,0.75
89,3.0,1970.0,483.0,1.9,3.9,30.2,0.75
90,3.0,1971.0,410.0,1.8,4.3,30.2,0.75
91,3.0,1972.0,117.0,2.3,5.5,31.1,0.75
92,3.0,1973.0,282.0,2.3,7.0,31.1,0.75
93,3.0,1974.0,184.0,2.4,12.7,29.7,0.75
94,3.0,1975.0,196.0,4.4,12.8,29.7,0.75
95,3.0,1976.0,291.0,5.8,9.2,29.7,0.75
96,3.0,1977.0,216.0,6.6,7.1,30.2,0.75
97,3.0,1978.0,325.0,7.1,4.5,30.2,0.75
98,3.0,1979.0,197.0,7.3,4.5,29.3,0.75
99,3.0,1980.0,69.0,7.7,6.7,29.3,0.75
100,4.0,1951.0,242.0,2.4,10.4,78.7,0.0
101,4.0,1952.0,5918.0,2.9,2.5,78.7,0.0
102,4.0,1953.0,335.0,2.9,-0.9,73.5,0.0
103,4.0,1954.0,372.0,4.5,0.6,73.5,0.0
104,4.0,1955.0,454.0,4.3,0.2,73.5,0.0
105,4.0,1956.0,284.0,3.3,1.4,73.5,0.0
106,4.0,1957.0,325.0,4.5,3.2,49.0,0.0
107,4.0,1958.0,618.0,6.9,2.6,21.5,0.0
108,4.0,1959.0,470.0,5.9,1.1,21.5,0.0
109,4.0,1960.0,153.0,6.9,1.3,21.5,0.0
110,4.0,1961.0,28.0,7.1,0.9,21.5,0.0
111,4.0,1962.0,279.0,5.4,1.2,44.9,0.0
112,4.0,1963.0,175.0,5.1,1.8,55.1,0.0
113,4.0,1964.0,289.0,4.3,1.8,55.1,0.0
114,4.0,1965.0,408.0,3.6,2.5,57.3,0.0
115,4.0,1966.0,849.0,3.3,3.7,57.3,0.0
116,4.0,1967.0,612.0,3.8,3.6,57.3,0.0
117,4.0,1968.0,762.0,4.4,4.1,67.0,0.0
118,4.0,1969.0,1125.0,4.4,4.5,67.0,0.0
119,4.0,1970.0,934.0,5.6,3.4,67.0,0.0
120,4.0,1971.0,399.0,6.1,2.8,67.0,0.0
121,4.0,1972.0,1041.0,6.2,4.8,53.0,0.0
122,4.0,1973.0,732.0,5.5,7.6,53.0,0.0
123,4.0,1974.0,1121.0,5.3,10.9,59.0,0.0
124,4.0,1975.0,1303.0,6.9,10.8,59.0,0.0
125,4.0,1976.0,1359.0,7.1,7.5,59.0,0.0
126,4.0,1977.0,381.0,8.0,8.0,59.0,0.0
127,4.0,1978.0,826.0,8.3,8.9,59.0,0.0
128,4.0,1979.0,841.0,7.4,9.1,49.6,0.0
129,4.0,1980.0,930.0,7.4,10.2,63.4,0.0
130,4.0,1981.0,894.0,7.5,12.5,63.4,0.0
131,4.0,1982.0,605.0,10.9,10.8,63.4,0.0
132,4.0,1983.0,462.0,11.8,5.8,63.4,0.0
133,4.0,1984.0,393.0,11.2,4.3,24.8,0.0
134,4.0,1985.0,315.0,10.4,4.0,24.8,0.0
135,5.0,1951.0,3.0,9.7,10.5,44.6,0.5
136,5.0,1952.0,3.0,12.5,3.8,44.6,0.5
137,5.0,1953.0,2.0,9.2,0.9,45.6,0.5
138,5.0,1954.0,17.0,9.0,0.0,46.9,0.5
139,5.0,1955.0,7.0,9.7,5.5,46.9,0.5
140,5.0,1956.0,789.0,11.1,6.0,46.9,0.5
141,5.0,1957.0,5.0,9.9,2.7,43.4,0.5
142,5.0,1958.0,6.0,9.2,0.7,43.4,0.5
143,5.0,1959.0,12.0,5.9,1.7,43.4,0.5
144,5.0,1960.0,41.0,4.2,1.3,43.4,0.5
145,5.0,1961.0,1486.0,3.3,3.5,49.7,0.5
146,5.0,1962.0,9.0,1.8,7.4,49.7,0.5
147,5.0,1963.0,15.0,2.0,6.1,49.7,0.5
148,5.0,1964.0,11.0,1.4,3.1,49.7,0.5
149,5.0,1965.0,143.0,1.2,5.5,49.1,0.5
150,5.0,1966.0,9.0,1.4,7.1,50.9,0.5
151,5.0,1967.0,6.0,1.2,8.2,50.9,0.5
152,5.0,1968.0,19.0,1.2,8.0,44.0,0.5
153,5.0,1969.0,31.0,1.1,3.5,44.0,0.5
154,5.0,1970.0,56.0,0.7,6.5,44.0,0.5
155,5.0,1971.0,11.0,1.1,5.9,44.0,0.5
156,5.0,1972.0,11.0,0.9,6.6,49.7,0.5
157,5.0,1973.0,2001.0,0.9,9.3,49.7,0.5
158,5.0,1974.0,94.0,3.5,15.3,36.0,0.5
159,5.0,1975.0,52.0,4.9,9.6,41.7,0.5
160,5.0,1976.0,107.0,6.3,9.0,41.7,0.5
161,5.0,1977.0,115.0,7.3,11.1,48.0,0.5
162,5.0,1978.0,64.0,8.3,10.0,48.0,0.5
163,5.0,1979.0,84.0,6.0,9.6,48.0,0.5
164,5.0,1980.0,90.0,6.5,12.3,48.6,0.5
165,5.0,1981.0,319.0,10.3,11.7,48.6,0.5
166,5.0,1982.0,45.0,11.0,10.1,48.0,0.5
167,5.0,1983.0,38.0,11.4,6.9,48.0,0.5
168,5.0,1984.0,62.0,8.5,6.3,46.9,0.5
169,5.0,1985.0,1056.0,7.3,4.7,46.9,0.5
170,6.0,1951.0,288.0,0.1,16.3,26.5,0.75
171,6.0,1952.0,47.0,0.1,1.0,26.5,0.75
172,6.0,1953.0,54.0,0.3,2.0,26.5,0.75
173,6.0,1954.0,96.0,0.1,0.0,27.0,0.75
174,6.0,1955.0,281.0,0.1,-2.9,27.0,0.75
175,6.0,1956.0,5568.0,0.1,11.0,27.0,0.75
176,6.0,1957.0,174.0,0.3,11.3,27.0,0.75
177,6.0,1958.0,35.0,0.4,6.6,27.0,0.75
178,6.0,1959.0,323.0,2.3,1.5,25.5,0.75
179,6.0,1960.0,71.0,1.5,3.2,25.5,0.75
180,6.0,1961.0,30.0,1.2,1.8,25.5,0.75
181,6.0,1962.0,23.0,1.3,4.5,20.0,0.75
182,6.0,1963.0,961.0,1.5,4.9,20.0,0.75
183,6.0,1964.0,39.0,1.5,10.4,20.0,0.75
184,6.0,1965.0,11.0,1.4,4.8,20.0,0.75
185,6.0,1966.0,80.0,1.5,3.9,31.0,0.75
186,6.0,1967.0,211.0,2.9,5.6,31.0,0.75
187,6.0,1968.0,186.0,3.8,9.2,31.0,0.75
188,6.0,1969.0,104.0,2.8,2.2,31.0,0.75
189,6.0,1970.0,100.0,1.9,2.7,26.0,0.75
190,6.0,1971.0,143.0,2.2,6.5,26.0,0.75
191,6.0,1972.0,1632.0,2.5,7.1,27.5,0.75
192,6.0,1973.0,272.0,2.3,11.0,27.5,0.75
193,6.0,1974.0,239.0,1.7,16.7,27.5,0.75
194,6.0,1975.0,155.0,2.2,17.8,27.5,0.75
195,6.0,1976.0,684.0,3.8,14.4,27.0,0.75
196,6.0,1977.0,1310.0,5.8,12.7,27.0,0.75
197,6.0,1978.0,73.0,7.2,7.8,27.0,0.75
198,6.0,1979.0,131.0,5.9,7.5,26.0,0.75
199,6.0,1980.0,836.0,4.6,11.6,26.0,0.75
200,6.0,1981.0,337.0,5.1,12.0,26.0,0.75
201,6.0,1982.0,105.0,5.8,9.6,26.0,0.75
202,6.0,1983.0,361.0,6.1,8.4,28.5,0.75
203,6.0,1984.0,754.0,4.9,7.1,28.5,0.75
204,6.0,1985.0,84.0,4.8,5.9,28.5,0.75
205,7.0,1951.0,299.0,0.6,17.7,49.3,0.0
206,7.0,1952.0,146.0,0.7,12.0,49.3,0.0
207,7.0,1953.0,807.0,0.9,-1.9,49.3,0.0
208,7.0,1954.0,119.0,1.6,0.4,49.3,0.0
209,7.0,1955.0,251.0,1.5,1.0,49.3,0.0
210,7.0,1956.0,114.0,1.1,4.3,56.6,0.0
211,7.0,1957.0,324.0,0.8,-0.8,56.6,0.0
212,7.0,1958.0,88.0,0.9,15.3,56.6,0.0
213,7.0,1959.0,151.0,1.3,5.7,16.6,0.0
214,7.0,1960.0,82.0,1.2,4.2,16.6,0.0
215,7.0,1961.0,198.0,1.1,2.4,16.6,0.0
216,7.0,1962.0,142.0,1.1,5.2,16.6,0.0
217,7.0,1963.0,434.0,1.2,5.1,32.4,0.0
218,7.0,1964.0,176.0,0.9,3.2,32.4,0.0
219,7.0,1965.0,69.0,1.2,2.7,32.4,0.0
220,7.0,1966.0,174.0,1.2,2.6,32.4,0.0
221,7.0,1967.0,282.0,1.6,2.8,41.0,0.0
222,7.0,1968.0,7000.0,2.6,4.6,19.1,0.0
223,7.0,1969.0,143.0,2.3,6.1,19.1,0.0
224,7.0,1970.0,109.0,2.4,5.9,19.1,0.0
225,7.0,1971.0,271.0,2.6,5.5,19.1,0.0
226,7.0,1972.0,228.0,2.7,6.2,19.1,0.0
227,7.0,1973.0,232.0,2.6,7.3,36.9,0.0
228,7.0,1974.0,197.0,2.8,13.7,36.9,0.0
229,7.0,1975.0,227.0,4.1,11.8,36.9,0.0
230,7.0,1976.0,235.0,4.4,9.6,36.9,0.0
231,7.0,1977.0,139.0,4.9,9.4,36.9,0.0
232,7.0,1978.0,118.0,5.2,9.1,41.7,0.0
233,7.0,1979.0,179.0,5.9,10.8,41.7,0.0
234,7.0,1980.0,86.0,6.3,13.3,41.7,0.0
235,7.0,1981.0,82.0,7.4,13.4,68.4,0.0
236,7.0,1982.0,127.0,8.1,11.8,68.4,0.0
237,7.0,1983.0,74.0,8.3,9.6,68.4,0.0
238,7.0,1984.0,75.0,9.7,7.4,68.4,0.0
239,7.0,1985.0,41.0,10.2,5.8,68.4,0.0
240,8.0,1951.0,112.0,6.4,7.7,36.3,0.25
241,8.0,1952.0,29.0,6.1,2.1,36.3,0.25
242,8.0,1953.0,95.0,5.5,-1.9,36.3,0.25
243,8.0,1954.0,98.0,5.2,0.2,31.0,0.25
244,8.0,1955.0,50.0,3.9,1.7,31.0,0.25
245,8.0,1956.0,89.0,3.1,2.6,31.0,0.25
246,8.0,1957.0,59.0,2.7,2.1,31.0,0.25
247,8.0,1958.0,43.0,2.7,2.1,34.0,0.25
248,8.0,1959.0,3.0,1.9,1.0,34.0,0.25
249,8.0,1960.0,2.0,0.9,1.5,34.0,0.25
250,8.0,1961.0,3.0,0.6,2.3,34.0,0.25
251,8.0,1962.0,22.0,0.6,2.9,38.1,0.25
252,8.0,1963.0,88.0,0.7,3.0,38.1,0.25
253,8.0,1964.0,1.0,0.6,2.4,38.1,0.25
254,8.0,1965.0,2.0,0.5,3.2,38.1,0.25
255,8.0,1966.0,1.0,0.6,3.6,40.7,0.25
256,8.0,1967.0,19.0,1.7,1.6,40.7,0.25
257,8.0,1968.0,1.0,1.2,1.6,40.7,0.25
258,8.0,1969.0,12.0,0.7,1.9,40.7,0.25
259,8.0,1970.0,4.0,0.6,3.4,45.2,0.25
260,8.0,1971.0,203.0,0.7,5.2,45.2,0.25
261,8.0,1972.0,3.0,0.9,5.5,45.2,0.25
262,8.0,1973.0,25.0,1.0,7.0,46.4,0.25
263,8.0,1974.0,48.0,2.1,7.0,46.4,0.25
264,8.0,1975.0,3.0,4.0,5.9,46.4,0.25
265,8.0,1976.0,25.0,4.0,4.3,46.4,0.25
266,8.0,1977.0,1.0,3.9,3.7,43.2,0.25
267,8.0,1978.0,197.0,3.7,2.7,43.2,0.25
268,8.0,1979.0,22.0,3.3,4.1,43.2,0.25
269,8.0,1980.0,6.0,3.3,5.4,43.2,0.25
270,8.0,1981.0,3.0,4.6,6.3,43.9,0.25
271,8.0,1982.0,1.0,6.7,5.3,43.9,0.25
272,8.0,1983.0,2.0,8.2,3.3,38.8,0.25
273,8.0,1984.0,260.0,8.2,2.4,38.8,0.25
274,8.0,1985.0,2.0,8.3,2.2,38.8,0.25
275,9.0,1951.0,773.0,7.3,7.9,10.88,0.5
276,9.0,1952.0,752.0,9.1,9.2,10.88,0.5
277,9.0,1953.0,117.0,9.6,5.0,10.88,0.5
278,9.0,1954.0,95.0,8.1,0.0,12.92,0.5
279,9.0,1955.0,336.0,6.8,2.6,12.92,0.5
280,9.0,1956.0,70.0,7.7,4.3,12.92,0.5
281,9.0,1957.0,135.0,9.2,4.1,8.16,0.5
282,9.0,1958.0,187.0,8.6,4.5,8.16,0.5
283,9.0,1959.0,181.0,8.0,0.0,8.16,0.5
284,9.0,1960.0,115.0,6.7,0.4,8.16,0.5
285,9.0,1961.0,589.0,5.7,2.7,11.11,0.5
286,9.0,1962.0,160.0,5.7,4.2,11.11,0.5
287,9.0,1963.0,354.0,6.1,2.5,11.11,0.5
288,9.0,1964.0,794.0,4.7,6.7,11.11,0.5
289,9.0,1965.0,796.0,4.6,5.0,15.27,0.5
290,9.0,1966.0,1129.0,4.7,3.1,15.27,0.5
291,9.0,1967.0,262.0,5.0,3.2,15.27,0.5
292,9.0,1968.0,574.0,5.3,4.7,15.27,0.5
293,9.0,1969.0,1304.0,5.0,7.4,12.5,0.5
294,9.0,1970.0,1405.0,5.8,8.2,12.5,0.5
295,9.0,1971.0,379.0,5.5,9.0,12.5,0.5
296,9.0,1972.0,284.0,6.2,8.7,12.5,0.5
297,9.0,1973.0,277.0,5.7,11.4,13.19,0.5
298,9.0,1974.0,720.0,5.3,17.0,13.19,0.5
299,9.0,1975.0,390.0,7.3,20.9,13.19,0.5
300,9.0,1976.0,1032.0,9.0,18.0,13.19,0.5
301,9.0,1977.0,571.0,8.8,13.6,11.48,0.5
302,9.0,1978.0,765.0,8.2,7.6,11.48,0.5
303,9.0,1979.0,1752.0,7.1,13.2,11.48,0.5
304,9.0,1980.0,480.0,7.3,18.2,11.48,0.5
305,9.0,1981.0,503.0,9.9,20.4,9.04,0.5
306,9.0,1982.0,504.0,11.4,17.1,9.04,0.5
307,9.0,1983.0,382.0,14.0,10.5,9.64,0.5
308,9.0,1984.0,472.0,15.6,8.6,9.64,0.5
309,9.0,1985.0,521.0,17.0,5.4,9.64,0.5
310,10.0,1951.0,437.0,8.8,14.3,37.5,0.25
311,10.0,1952.0,337.0,9.5,1.9,37.5,0.25
312,10.0,1953.0,545.0,10.0,1.4,40.2,0.25
313,10.0,1954.0,493.0,8.7,2.4,40.2,0.25
314,10.0,1955.0,511.0,7.5,2.3,40.2,0.25
315,10.0,1956.0,372.0,9.3,3.4,40.2,0.25
316,10.0,1957.0,407.0,7.4,1.1,40.2,0.25
317,10.0,1958.0,363.0,6.4,3.2,41.4,0.25
318,10.0,1959.0,792.0,5.4,0.0,41.4,0.25
319,10.0,1960.0,483.0,4.0,2.1,41.4,0.25
320,10.0,1961.0,803.0,3.4,2.0,41.4,0.25
321,10.0,1962.0,1799.0,4.4,5.0,41.4,0.25
322,10.0,1963.0,888.0,3.8,6.7,40.2,0.25
323,10.0,1964.0,1256.0,4.2,6.3,40.2,0.25
324,10.0,1965.0,557.0,5.3,4.2,40.2,0.25
325,10.0,1966.0,1163.0,5.7,2.4,40.2,0.25
326,10.0,1967.0,675.0,5.3,1.3,40.2,0.25
327,10.0,1968.0,719.0,5.6,1.2,42.5,0.25
328,10.0,1969.0,2875.0,5.6,2.6,42.5,0.25
329,10.0,1970.0,1566.0,5.3,5.0,42.5,0.25
330,10.0,1971.0,1098.0,5.3,4.9,42.5,0.25
331,10.0,1972.0,1437.0,6.3,5.7,42.7,0.25
332,10.0,1973.0,1698.0,6.2,10.8,42.7,0.25
333,10.0,1974.0,1381.0,5.3,19.1,42.7,0.25
334,10.0,1975.0,1918.0,5.8,17.0,42.7,0.25
335,10.0,1976.0,1774.0,6.6,16.7,48.6,0.25
336,10.0,1977.0,1149.0,7.0,18.5,48.6,0.25
337,10.0,1978.0,702.0,7.1,12.0,48.6,0.25
338,10.0,1979.0,1870.0,7.6,14.8,48.6,0.25
339,10.0,1980.0,1108.0,7.5,21.3,48.6,0.25
340,10.0,1981.0,705.0,7.8,19.5,48.6,0.25
341,10.0,1982.0,1245.0,8.4,16.5,48.6,0.25
342,10.0,1983.0,945.0,9.3,14.6,47.8,0.25
343,10.0,1984.0,591.0,9.7,10.8,47.8,0.25
344,10.0,1985.0,257.0,9.9,9.2,47.8,0.25
345,11.0,1951.0,439.0,1.1,16.5,17.8,0.125
346,11.0,1952.0,1061.0,1.2,5.0,23.6,0.125
347,11.0,1953.0,286.0,1.3,6.6,29.8,0.125
348,11.0,1954.0,249.0,1.7,6.5,29.8,0.125
349,11.0,1955.0,215.0,1.8,-1.0,34.1,0.125
350,11.0,1956.0,262.0,1.7,0.0,34.1,0.125
351,11.0,1957.0,300.0,1.4,3.3,34.1,0.125
352,11.0,1958.0,306.0,1.4,-0.4,35.8,0.125
353,11.0,1959.0,279.0,1.5,1.0,35.8,0.125
354,11.0,1960.0,216.0,1.1,3.6,35.3,0.125
355,11.0,1961.0,259.0,1.0,5.4,35.3,0.125
356,11.0,1962.0,216.0,1.3,6.8,35.3,0.125
357,11.0,1963.0,105.0,1.2,7.7,36.8,0.125
358,11.0,1964.0,115.0,1.2,3.8,36.8,0.125
359,11.0,1965.0,197.0,1.2,6.6,36.8,0.125
360,11.0,1966.0,9.0,1.3,5.1,36.8,0.125
361,11.0,1967.0,60.0,1.3,4.0,36.0,0.125
362,11.0,1968.0,90.0,1.2,5.4,36.0,0.125
363,11.0,1969.0,114.0,1.1,5.2,27.8,0.125
364,11.0,1970.0,118.0,1.1,7.7,27.8,0.125
365,11.0,1971.0,177.0,1.2,6.3,27.8,0.125
366,11.0,1972.0,149.0,1.4,4.9,35.6,0.125
367,11.0,1973.0,127.0,1.3,11.6,35.6,0.125
368,11.0,1974.0,266.0,1.4,23.2,35.6,0.125
369,11.0,1975.0,220.0,1.9,11.8,35.6,0.125
370,11.0,1976.0,88.0,2.0,9.4,33.1,0.125
371,11.0,1977.0,40.0,2.0,8.2,33.1,0.125
372,11.0,1978.0,36.0,2.2,4.2,33.1,0.125
373,11.0,1979.0,24.0,2.1,3.7,35.3,0.125
374,11.0,1980.0,25.0,2.0,7.7,32.9,0.125
375,11.0,1981.0,14.0,2.2,5.0,32.9,0.125
376,11.0,1982.0,13.0,2.4,2.7,32.9,0.125
377,11.0,1983.0,12.0,2.6,1.9,34.1,0.125
378,11.0,1984.0,8.0,2.7,2.3,34.1,0.125
379,11.0,1985.0,6.0,2.6,2.0,34.1,0.125
380,12.0,1951.0,24.0,2.4,11.9,35.0,0.75
381,12.0,1952.0,11.0,3.5,0.0,36.0,0.75
382,12.0,1953.0,10.0,2.5,0.0,36.0,0.75
383,12.0,1954.0,20.0,1.8,4.0,36.0,0.75
384,12.0,1955.0,44.0,1.3,1.9,36.0,0.75
385,12.0,1956.0,68.0,0.9,1.9,38.0,0.75
386,12.0,1957.0,2.0,1.2,6.1,38.0,0.75
387,12.0,1958.0,12.0,2.3,2.2,35.3,0.75
388,12.0,1959.0,4.0,1.8,1.1,35.3,0.75
389,12.0,1960.0,142.0,1.1,2.3,35.3,0.75
390,12.0,1961.0,7.0,0.8,1.3,35.3,0.75
391,12.0,1962.0,3.0,0.5,2.3,35.3,0.75
392,12.0,1963.0,11.0,0.6,3.3,34.0,0.75
393,12.0,1964.0,12.0,0.5,5.8,34.0,0.75
394,12.0,1965.0,15.0,0.5,5.8,34.0,0.75
395,12.0,1966.0,3.0,0.8,5.8,34.0,0.75
396,12.0,1967.0,2.0,1.6,3.5,30.7,0.75
397,12.0,1968.0,4.0,1.4,3.7,30.7,0.75
398,12.0,1969.0,6.0,1.0,7.4,30.7,0.75
399,12.0,1970.0,66.0,1.0,3.7,30.7,0.75
400,12.0,1971.0,25.0,1.3,7.5,31.3,0.75
401,12.0,1972.0,33.0,2.2,7.8,31.3,0.75
402,12.0,1973.0,141.0,2.2,8.0,34.7,0.75
403,12.0,1974.0,2.0,2.7,9.6,34.7,0.75
404,12.0,1975.0,0.0,5.2,10.2,34.7,0.75
405,12.0,1976.0,3.0,5.5,9.1,34.7,0.75
406,12.0,1977.0,57.0,5.3,6.5,37.3,0.75
407,12.0,1978.0,1.0,5.3,4.1,37.3,0.75
408,12.0,1979.0,68.0,5.4,4.2,37.3,0.75
409,12.0,1980.0,13.0,6.0,6.5,37.3,0.75
410,12.0,1981.0,5.0,8.6,6.8,33.3,0.75
411,12.0,1982.0,49.0,11.4,5.9,33.3,0.75
412,12.0,1983.0,26.0,13.7,2.8,35.3,0.75
413,12.0,1984.0,6.0,14.1,3.3,35.3,0.75
414,12.0,1985.0,19.0,12.8,2.2,35.3,0.75
415,13.0,1951.0,2462.0,0.0,11.1,37.5,0.375
416,13.0,1952.0,58.0,0.0,7.8,37.5,0.375
417,13.0,1953.0,38.0,0.0,4.8,37.5,0.375
418,13.0,1954.0,39.0,0.1,4.5,43.8,0.375
419,13.0,1955.0,97.0,0.0,2.6,43.8,0.375
420,13.0,1956.0,43.0,0.1,3.5,43.8,0.375
421,13.0,1957.0,49.0,0.4,2.0,51.2,0.375
422,13.0,1958.0,32.0,0.4,4.4,51.2,0.375
423,13.0,1959.0,49.0,1.2,3.7,51.2,0.375
424,13.0,1960.0,58.0,0.6,0.8,42.5,0.375
425,13.0,1961.0,59.0,0.3,1.8,42.5,0.375
426,13.0,1962.0,141.0,0.1,2.7,42.5,0.375
427,13.0,1963.0,80.0,0.1,1.9,43.8,0.375
428,13.0,1964.0,93.0,0.1,3.4,43.8,0.375
429,13.0,1965.0,29.0,0.1,3.4,43.8,0.375
430,13.0,1966.0,128.0,0.1,2.8,43.8,0.375
431,13.0,1967.0,174.0,0.1,6.1,43.8,0.375
432,13.0,1968.0,166.0,0.8,4.3,43.8,0.375
433,13.0,1969.0,171.0,0.3,4.9,46.4,0.375
434,13.0,1970.0,327.0,0.2,6.6,46.4,0.375
435,13.0,1971.0,191.0,0.2,10.5,46.4,0.375
436,13.0,1972.0,152.0,0.4,6.9,63.2,0.375
437,13.0,1973.0,300.0,0.2,8.1,63.2,0.375
438,13.0,1974.0,198.0,0.1,11.1,63.2,0.375
439,13.0,1975.0,225.0,0.2,14.6,36.8,0.375
440,13.0,1976.0,501.0,0.4,17.0,36.8,0.375
441,13.0,1977.0,437.0,0.3,14.4,36.8,0.375
442,13.0,1978.0,372.0,1.7,12.0,43.5,0.375
443,13.0,1979.0,373.0,1.9,13.7,43.5,0.375
444,13.0,1980.0,362.0,2.2,17.2,43.5,0.375
445,13.0,1981.0,354.0,3.6,15.4,46.7,0.375
446,13.0,1982.0,294.0,3.5,16.2,46.7,0.375
