d3mIndex,Year,Row,Group,Lugs
250,1987,43,11,6.0
251,1987,44,11,8.0
252,1987,45,12,6.0
253,1987,46,12,6.0
254,1987,47,12,7.0
255,1987,48,12,3.0
256,1987,49,13,3.0
257,1987,50,13,2.0
258,1987,51,13,2.0
259,1987,52,13,2.0
260,1988,1,1,1.5
261,1988,2,1,4.0
262,1988,3,1,6.0
263,1988,4,1,5.0
264,1988,5,2,6.0
265,1988,6,2,5.0
266,1988,7,2,5.0
267,1988,8,2,6.0
268,1988,9,3,8.0
269,1988,10,3,5.0
270,1988,11,3,8.0
271,1988,12,3,7.0
272,1988,13,4,10.0
273,1988,14,4,9.0
274,1988,15,4,9.0
275,1988,16,4,9.0
276,1988,17,5,7.0
277,1988,18,5,7.0
278,1988,19,5,7.0
279,1988,20,5,7.0
280,1988,21,6,8.0
281,1988,22,6,9.0
282,1988,23,6,7.0
283,1988,24,6,8.0
284,1988,25,7,8.0
285,1988,26,7,8.0
286,1988,27,7,8.0
287,1988,28,7,8.0
288,1988,29,8,7.0
289,1988,30,8,7.0
290,1988,31,8,10.0
291,1988,32,8,8.0
292,1988,33,9,7.0
293,1988,34,9,7.0
294,1988,35,9,11.0
295,1988,36,9,11.0
296,1988,37,10,12.0
297,1988,38,10,10.0
298,1988,39,10,11.0
299,1988,40,10,11.0
300,1988,41,11,11.0
301,1988,42,11,8.5
302,1988,43,11,10.0
303,1988,44,11,9.0
304,1988,45,12,11.0
305,1988,46,12,7.0
306,1988,47,12,5.0
307,1988,48,12,3.0
308,1988,49,13,3.0
309,1988,50,13,1.5
310,1988,51,13,1.0
311,1988,52,13,0.0
312,1989,1,1,1.0
313,1989,2,1,3.0
314,1989,3,1,3.0
315,1989,4,1,3.0
316,1989,5,2,5.0
317,1989,6,2,3.5
318,1989,7,2,3.0
319,1989,8,2,4.5
320,1989,9,3,5.0
321,1989,10,3,5.0
322,1989,11,3,6.0
323,1989,12,3,5.0
324,1989,13,4,4.0
325,1989,14,4,6.0
326,1989,15,4,5.0
327,1989,16,4,6.5
328,1989,17,5,4.0
329,1989,18,5,6.0
330,1989,19,5,3.0
331,1989,20,5,6.0
332,1989,21,6,5.0
333,1989,22,6,8.0
334,1989,23,6,4.5
335,1989,24,6,4.0
336,1989,25,7,4.0
337,1989,26,7,6.5
338,1989,27,7,4.0
339,1989,28,7,5.0
340,1989,29,8,3.0
341,1989,30,8,5.5
342,1989,31,8,3.0
343,1989,32,8,2.0
344,1989,33,9,2.0
345,1989,34,9,2.0
346,1989,35,9,2.0
347,1989,36,9,3.0
348,1989,37,10,2.0
349,1989,38,10,2.0
350,1989,39,10,2.0
351,1989,40,10,2.0
352,1989,41,11,2.0
353,1989,42,11,1.5
354,1989,43,11,1.5
355,1989,44,11,1.5
356,1989,45,12,1.0
357,1989,46,12,1.0
358,1989,47,12,1.0
359,1989,48,12,1.0
360,1989,49,13,0.5
361,1989,50,13,0.5
362,1989,51,13,0.0
363,1989,52,13,0.0
364,1990,1,1,5.0
365,1990,2,1,8.0
366,1990,3,1,11.0
367,1990,4,1,9.0
368,1990,5,2,9.5
369,1990,6,2,10.0
370,1990,7,2,12.0
371,1990,8,2,10.0
372,1990,9,3,11.5
373,1990,10,3,10.0
374,1990,11,3,11.0
375,1990,12,3,10.0
376,1990,13,4,10.5
377,1990,14,4,10.0
378,1990,15,4,11.0
379,1990,16,4,11.0
380,1990,17,5,11.5
381,1990,18,5,12.0
382,1990,19,5,12.5
383,1990,20,5,13.0
384,1990,21,6,11.0
385,1990,22,6,11.0
386,1990,23,6,11.0
387,1990,24,6,13.0
388,1990,25,7,11.0
389,1990,26,7,13.0
390,1990,27,7,12.0
391,1990,28,7,14.0
392,1990,29,8,10.0
393,1990,30,8,13.0
394,1990,31,8,8.0
395,1990,32,8,7.5
396,1990,33,9,8.0
397,1990,34,9,8.0
398,1990,35,9,7.0
399,1990,36,9,10.0
400,1990,37,10,7.0
401,1990,38,10,10.0
402,1990,39,10,8.0
403,1990,40,10,10.0
404,1990,41,11,9.0
405,1990,42,11,10.0
406,1990,43,11,8.0
407,1990,44,11,11.0
408,1990,45,12,10.0
409,1990,46,12,7.0
410,1990,47,12,5.0
411,1990,48,12,7.0
412,1990,49,13,8.0
413,1990,50,13,6.0
414,1990,51,13,7.5
415,1990,52,13,2.5
416,1991,1,1,9.5
417,1991,2,1,17.5
418,1991,3,1,18.0
419,1991,4,1,20.0
420,1991,5,2,20.5
421,1991,6,2,20.0
422,1991,7,2,19.0
423,1991,8,2,21.0
424,1991,9,3,19.0
425,1991,10,3,26.0
426,1991,11,3,20.0
427,1991,12,3,23.0
428,1991,13,4,22.0
429,1991,14,4,20.0
430,1991,15,4,20.0
431,1991,16,4,24.0
432,1991,17,5,23.0
433,1991,18,5,23.0
434,1991,19,5,20.0
435,1991,20,5,21.0
436,1991,21,6,23.0
437,1991,22,6,23.0
438,1991,23,6,22.0
439,1991,24,6,22.0
440,1991,25,7,21.0
441,1991,26,7,20.0
442,1991,27,7,18.0
443,1991,28,7,21.0
444,1991,29,8,16.0
445,1991,30,8,16.0
446,1991,31,8,15.0
447,1991,32,8,16.0
448,1991,33,9,15.0
449,1991,34,9,15.0
450,1991,35,9,17.0
451,1991,36,9,17.0
452,1991,37,10,21.0
453,1991,38,10,17.0
454,1991,39,10,20.0
455,1991,40,10,16.0
456,1991,41,11,20.0
457,1991,42,11,15.0
458,1991,43,11,17.0
459,1991,44,11,17.0
460,1991,45,12,20.0
461,1991,46,12,15.0
462,1991,47,12,14.0
463,1991,48,12,12.0
464,1991,49,13,11.0
465,1991,50,13,11.0
466,1991,51,13,8.5
467,1991,52,13,2.5
