d3mIndex,col_1,col_2,binaryClass
140,1985.0,37.0,N
141,1985.0,38.0,N
142,1985.0,39.0,N
143,1985.0,40.0,N
144,1985.0,41.0,N
145,1985.0,42.0,N
146,1985.0,43.0,N
147,1985.0,44.0,N
148,1985.0,45.0,N
149,1985.0,46.0,P
150,1985.0,47.0,P
151,1985.0,48.0,P
152,1985.0,49.0,P
153,1985.0,50.0,P
154,1985.0,51.0,P
155,1985.0,52.0,P
156,1986.0,1.0,P
157,1986.0,2.0,N
158,1986.0,3.0,N
159,1986.0,4.0,N
160,1986.0,5.0,N
161,1986.0,6.0,P
162,1986.0,7.0,P
163,1986.0,8.0,P
164,1986.0,9.0,P
165,1986.0,10.0,P
166,1986.0,11.0,P
167,1986.0,12.0,P
168,1986.0,13.0,P
169,1986.0,14.0,P
170,1986.0,15.0,P
171,1986.0,16.0,P
172,1986.0,17.0,P
173,1986.0,18.0,P
174,1986.0,19.0,P
175,1986.0,20.0,P
176,1986.0,21.0,P
177,1986.0,22.0,P
178,1986.0,23.0,P
179,1986.0,24.0,P
180,1986.0,25.0,P
181,1986.0,26.0,P
182,1986.0,27.0,P
183,1986.0,28.0,P
184,1986.0,29.0,P
185,1986.0,30.0,P
186,1986.0,31.0,P
187,1986.0,32.0,P
188,1986.0,33.0,P
189,1986.0,34.0,P
190,1986.0,35.0,P
191,1986.0,36.0,P
192,1986.0,37.0,P
193,1986.0,38.0,P
194,1986.0,39.0,P
195,1986.0,40.0,P
196,1986.0,41.0,P
197,1986.0,42.0,P
198,1986.0,43.0,P
199,1986.0,44.0,P
200,1986.0,45.0,P
201,1986.0,46.0,P
202,1986.0,47.0,P
203,1986.0,48.0,P
204,1986.0,49.0,P
205,1986.0,50.0,P
206,1986.0,51.0,P
207,1986.0,52.0,P
208,1987.0,1.0,P
209,1987.0,2.0,P
210,1987.0,3.0,P
211,1987.0,4.0,P
212,1987.0,5.0,P
213,1987.0,6.0,N
214,1987.0,7.0,P
215,1987.0,8.0,P
216,1987.0,9.0,N
217,1987.0,10.0,P
218,1987.0,11.0,P
219,1987.0,12.0,P
220,1987.0,13.0,P
221,1987.0,14.0,P
222,1987.0,15.0,P
223,1987.0,16.0,N
224,1987.0,17.0,N
225,1987.0,18.0,N
226,1987.0,19.0,N
227,1987.0,20.0,N
228,1987.0,21.0,N
229,1987.0,22.0,N
230,1987.0,23.0,N
231,1987.0,24.0,N
232,1987.0,25.0,N
233,1987.0,26.0,N
234,1987.0,27.0,N
235,1987.0,28.0,N
236,1987.0,29.0,N
237,1987.0,30.0,N
238,1987.0,31.0,N
239,1987.0,32.0,N
240,1987.0,33.0,N
241,1987.0,34.0,N
242,1987.0,35.0,N
243,1987.0,36.0,N
244,1987.0,37.0,P
245,1987.0,38.0,N
246,1987.0,39.0,P
247,1987.0,40.0,N
248,1987.0,41.0,P
249,1987.0,42.0,P
250,1987.0,43.0,P
251,1987.0,44.0,P
252,1987.0,45.0,P
253,1987.0,46.0,P
254,1987.0,47.0,P
255,1987.0,48.0,P
256,1987.0,49.0,P
257,1987.0,50.0,P
258,1987.0,51.0,P
259,1987.0,52.0,P
260,1988.0,1.0,P
261,1988.0,2.0,P
262,1988.0,3.0,P
263,1988.0,4.0,P
264,1988.0,5.0,P
265,1988.0,6.0,P
266,1988.0,7.0,P
267,1988.0,8.0,P
268,1988.0,9.0,P
269,1988.0,10.0,P
270,1988.0,11.0,P
271,1988.0,12.0,P
272,1988.0,13.0,P
273,1988.0,14.0,P
274,1988.0,15.0,P
275,1988.0,16.0,P
276,1988.0,17.0,P
277,1988.0,18.0,P
278,1988.0,19.0,P
279,1988.0,20.0,P
280,1988.0,21.0,P
281,1988.0,22.0,P
282,1988.0,23.0,P
283,1988.0,24.0,P
284,1988.0,25.0,P
285,1988.0,26.0,P
286,1988.0,27.0,P
287,1988.0,28.0,P
288,1988.0,29.0,P
289,1988.0,30.0,P
290,1988.0,31.0,P
291,1988.0,32.0,P
292,1988.0,33.0,P
293,1988.0,34.0,P
294,1988.0,35.0,N
295,1988.0,36.0,N
296,1988.0,37.0,N
297,1988.0,38.0,P
298,1988.0,39.0,N
299,1988.0,40.0,N
300,1988.0,41.0,N
301,1988.0,42.0,P
302,1988.0,43.0,P
303,1988.0,44.0,P
304,1988.0,45.0,N
305,1988.0,46.0,P
306,1988.0,47.0,P
307,1988.0,48.0,P
308,1988.0,49.0,P
309,1988.0,50.0,P
310,1988.0,51.0,P
311,1988.0,52.0,P
312,1989.0,1.0,P
313,1989.0,2.0,P
314,1989.0,3.0,P
315,1989.0,4.0,P
316,1989.0,5.0,P
317,1989.0,6.0,P
318,1989.0,7.0,P
319,1989.0,8.0,P
320,1989.0,9.0,P
321,1989.0,10.0,P
322,1989.0,11.0,P
323,1989.0,12.0,P
324,1989.0,13.0,P
325,1989.0,14.0,P
326,1989.0,15.0,P
327,1989.0,16.0,P
328,1989.0,17.0,P
329,1989.0,18.0,P
330,1989.0,19.0,P
331,1989.0,20.0,P
332,1989.0,21.0,P
333,1989.0,22.0,P
334,1989.0,23.0,P
335,1989.0,24.0,P
336,1989.0,25.0,P
337,1989.0,26.0,P
338,1989.0,27.0,P
339,1989.0,28.0,P
340,1989.0,29.0,P
341,1989.0,30.0,P
342,1989.0,31.0,P
343,1989.0,32.0,P
344,1989.0,33.0,P
345,1989.0,34.0,P
346,1989.0,35.0,P
347,1989.0,36.0,P
348,1989.0,37.0,P
349,1989.0,38.0,P
350,1989.0,39.0,P
351,1989.0,40.0,P
352,1989.0,41.0,P
353,1989.0,42.0,P
354,1989.0,43.0,P
355,1989.0,44.0,P
356,1989.0,45.0,P
357,1989.0,46.0,P
358,1989.0,47.0,P
359,1989.0,48.0,P
360,1989.0,49.0,P
361,1989.0,50.0,P
362,1989.0,51.0,P
363,1989.0,52.0,P
364,1990.0,1.0,P
365,1990.0,2.0,P
366,1990.0,3.0,N
367,1990.0,4.0,P
368,1990.0,5.0,N
369,1990.0,6.0,N
370,1990.0,7.0,N
371,1990.0,8.0,N
372,1990.0,9.0,N
373,1990.0,10.0,N
374,1990.0,11.0,N
375,1990.0,12.0,N
376,1990.0,13.0,N
377,1990.0,14.0,N
378,1990.0,15.0,N
379,1990.0,16.0,N
380,1990.0,17.0,N
381,1990.0,18.0,N
382,1990.0,19.0,N
383,1990.0,20.0,N
384,1990.0,21.0,N
385,1990.0,22.0,N
386,1990.0,23.0,N
387,1990.0,24.0,N
388,1990.0,25.0,N
389,1990.0,26.0,N
390,1990.0,27.0,N
391,1990.0,28.0,N
392,1990.0,29.0,N
393,1990.0,30.0,N
394,1990.0,31.0,P
395,1990.0,32.0,P
396,1990.0,33.0,P
397,1990.0,34.0,P
398,1990.0,35.0,P
399,1990.0,36.0,N
400,1990.0,37.0,P
401,1990.0,38.0,N
402,1990.0,39.0,P
403,1990.0,40.0,N
404,1990.0,41.0,P
405,1990.0,42.0,N
406,1990.0,43.0,P
407,1990.0,44.0,N
408,1990.0,45.0,N
409,1990.0,46.0,P
410,1990.0,47.0,P
411,1990.0,48.0,P
412,1990.0,49.0,P
413,1990.0,50.0,P
414,1990.0,51.0,P
415,1990.0,52.0,P
416,1991.0,1.0,N
417,1991.0,2.0,N
418,1991.0,3.0,N
419,1991.0,4.0,N
420,1991.0,5.0,N
421,1991.0,6.0,N
422,1991.0,7.0,N
423,1991.0,8.0,N
424,1991.0,9.0,N
425,1991.0,10.0,N
426,1991.0,11.0,N
427,1991.0,12.0,N
428,1991.0,13.0,N
429,1991.0,14.0,N
430,1991.0,15.0,N
431,1991.0,16.0,N
432,1991.0,17.0,N
433,1991.0,18.0,N
434,1991.0,19.0,N
435,1991.0,20.0,N
436,1991.0,21.0,N
437,1991.0,22.0,N
438,1991.0,23.0,N
439,1991.0,24.0,N
440,1991.0,25.0,N
441,1991.0,26.0,N
442,1991.0,27.0,N
443,1991.0,28.0,N
444,1991.0,29.0,N
445,1991.0,30.0,N
446,1991.0,31.0,N
447,1991.0,32.0,N
448,1991.0,33.0,N
449,1991.0,34.0,N
450,1991.0,35.0,N
451,1991.0,36.0,N
452,1991.0,37.0,N
453,1991.0,38.0,N
454,1991.0,39.0,N
455,1991.0,40.0,N
456,1991.0,41.0,N
457,1991.0,42.0,N
458,1991.0,43.0,N
459,1991.0,44.0,N
460,1991.0,45.0,N
461,1991.0,46.0,N
462,1991.0,47.0,N
463,1991.0,48.0,N
464,1991.0,49.0,N
465,1991.0,50.0,N
466,1991.0,51.0,P
467,1991.0,52.0,P
