d3mIndex,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
31,77,17,69,312.0,354.0,1.1346,5.743,5.8693,0.1263
32,77,18,70,307.0,354.0,1.1531,5.7268,5.8693,0.1425
33,77,19,71,305.0,354.0,1.1607,5.7203,5.8693,0.149
34,77,20,72,305.0,354.0,1.1607,5.7203,5.8693,0.149
35,77,21,73,299.0,354.0,1.1839,5.7004,5.8693,0.1689
36,77,22,74,297.0,354.0,1.1919,5.6937,5.8693,0.1756
37,77,23,75,300.0,354.0,1.18,5.7038,5.8693,0.1655
38,77,24,76,300.0,354.0,1.18,5.7038,5.8693,0.1655
39,77,25,77,302.0,354.0,1.1722,5.7104,5.8693,0.1589
40,77,26,78,300.0,354.0,1.18,5.7038,5.8693,0.1655
41,77,33,85,293.0,349.0,1.1911,5.6802,5.8551,0.1749
42,77,34,86,293.0,349.0,1.1911,5.6802,5.8551,0.1749
43,77,35,87,293.0,347.0,1.1843,5.6802,5.8493,0.1691
44,77,36,88,296.0,347.0,1.1723,5.6904,5.8493,0.1589
45,77,37,89,295.0,347.0,1.1763,5.687,5.8493,0.1623
46,77,38,90,297.0,347.0,1.1684,5.6937,5.8493,0.1556
47,77,39,91,298.0,347.0,1.1644,5.6971,5.8493,0.1522
48,77,40,92,299.0,346.0,1.1572,5.7004,5.8464,0.146
49,77,41,93,301.0,347.0,1.1528,5.7071,5.8493,0.1422
50,77,42,94,305.0,348.0,1.141,5.7203,5.8522,0.1319
51,77,43,95,307.0,348.0,1.1336,5.7268,5.8522,0.1254
52,77,44,96,306.0,346.0,1.1307,5.7236,5.8464,0.1228
53,77,45,97,303.0,345.0,1.1386,5.7137,5.8435,0.1298
54,77,46,98,304.0,345.0,1.1349,5.717,5.8435,0.1265
55,77,47,99,303.0,345.0,1.1386,5.7137,5.8435,0.1298
56,77,48,100,300.0,345.0,1.15,5.7038,5.8435,0.1397
57,77,49,101,299.0,345.0,1.1538,5.7004,5.8435,0.1431
58,77,50,102,297.0,345.0,1.1616,5.6937,5.8435,0.1498
59,78,2,106,297.0,345.0,1.1616,5.6937,5.8435,0.1498
60,78,3,107,297.0,345.0,1.1616,5.6937,5.8435,0.1498
61,78,4,108,298.0,345.0,1.1577,5.6971,5.8435,0.1464
62,78,5,109,299.0,345.0,1.1538,5.7004,5.8435,0.1431
63,78,6,110,303.0,347.0,1.1452,5.7137,5.8493,0.1356
64,78,7,111,304.0,348.0,1.1447,5.717,5.8522,0.1352
65,78,8,112,304.0,349.0,1.148,5.717,5.8551,0.1381
66,78,9,113,306.0,350.0,1.1438,5.7236,5.8579,0.1343
67,78,10,114,307.0,348.0,1.1336,5.7268,5.8522,0.1254
68,78,11,115,304.0,347.0,1.1414,5.717,5.8493,0.1323
69,78,15,119,305.0,350.0,1.1475,5.7203,5.8579,0.1376
70,78,16,120,307.0,353.0,1.1498,5.7268,5.8665,0.1397
71,78,17,121,307.0,354.0,1.1531,5.7268,5.8693,0.1425
72,78,18,122,307.0,355.0,1.1564,5.7268,5.8721,0.1453
73,78,19,123,308.0,355.0,1.1526,5.7301,5.8721,0.142
74,78,20,124,308.0,355.0,1.1526,5.7301,5.8721,0.142
75,78,21,125,309.0,355.0,1.1489,5.7333,5.8721,0.1388
76,78,22,126,312.0,355.0,1.1378,5.743,5.8721,0.1291
77,78,23,127,315.0,358.0,1.1365,5.7526,5.8805,0.1279
78,78,24,128,314.0,358.0,1.1401,5.7494,5.8805,0.1311
79,78,25,129,310.0,355.0,1.1452,5.7366,5.8721,0.1355
80,78,33,137,316.0,356.0,1.1266,5.7557,5.8749,0.1192
81,78,34,138,314.0,356.0,1.1338,5.7494,5.8749,0.1255
82,78,35,139,316.0,356.0,1.1266,5.7557,5.8749,0.1192
83,78,36,140,314.0,356.0,1.1338,5.7494,5.8749,0.1255
84,78,37,141,314.0,356.0,1.1338,5.7494,5.8749,0.1255
85,78,38,142,316.0,357.0,1.1297,5.7557,5.8777,0.122
86,78,39,143,316.0,357.0,1.1297,5.7557,5.8777,0.122
87,78,40,144,316.0,356.0,1.1266,5.7557,5.8749,0.1192
88,78,41,145,317.0,358.0,1.1293,5.7589,5.8805,0.1216
89,78,42,146,317.0,358.0,1.1293,5.7589,5.8805,0.1216
90,78,43,147,316.0,358.0,1.1329,5.7557,5.8805,0.1248
91,78,44,148,315.0,359.0,1.1397,5.7526,5.8833,0.1307
92,78,45,149,315.0,359.0,1.1397,5.7526,5.8833,0.1307
93,78,46,150,315.0,358.0,1.1365,5.7526,5.8805,0.1279
94,78,47,151,315.0,357.0,1.1333,5.7526,5.8777,0.1251
95,78,48,152,316.0,357.0,1.1297,5.7557,5.8777,0.122
96,78,49,153,318.0,360.0,1.1321,5.7621,5.8861,0.124
97,78,50,154,318.0,360.0,1.1321,5.7621,5.8861,0.124
98,79,2,158,318.0,358.0,1.1258,5.7621,5.8805,0.1184
99,79,3,159,319.0,359.0,1.1254,5.7652,5.8833,0.1181
100,79,4,160,319.0,363.0,1.1379,5.7652,5.8944,0.1292
101,79,5,161,320.0,363.0,1.1344,5.7683,5.8944,0.1261
102,79,6,162,322.0,371.0,1.1522,5.7746,5.9162,0.1416
103,79,7,163,330.0,379.0,1.1485,5.7991,5.9375,0.1384
104,79,8,164,343.0,400.0,1.1662,5.8377,5.9915,0.1538
105,79,9,165,354.0,405.0,1.1441,5.8693,6.0039,0.1346
106,79,10,166,356.0,412.0,1.1573,5.8749,6.021,0.1461
107,79,11,167,366.0,427.0,1.1667,5.9026,6.0568,0.1542
108,79,12,168,364.0,427.0,1.1731,5.8972,6.0568,0.1596
109,79,13,169,371.0,434.0,1.1698,5.9162,6.073,0.1568
110,79,14,170,369.0,448.0,1.2141,5.9108,6.1048,0.194
111,79,18,174,364.0,448.0,1.2308,5.8972,6.1048,0.2076
112,79,19,175,363.0,469.0,1.292,5.8944,6.1506,0.2562
113,79,20,176,362.0,469.0,1.2956,5.8916,6.1506,0.259
114,79,21,177,364.0,469.0,1.2885,5.8972,6.1506,0.2534
115,79,22,178,361.0,469.0,1.2992,5.8889,6.1506,0.2617
116,79,23,179,360.0,469.0,1.3028,5.8861,6.1506,0.2645
117,79,24,180,362.0,462.0,1.2762,5.8916,6.1356,0.244
118,79,25,181,363.0,462.0,1.2727,5.8944,6.1356,0.2412
119,79,26,182,361.0,462.0,1.2798,5.8889,6.1356,0.2467
120,79,31,187,364.0,462.0,1.2692,5.8972,6.1356,0.2384
121,79,34,190,369.0,464.0,1.2575,5.9108,6.1399,0.2291
122,79,35,191,365.0,464.0,1.2712,5.8999,6.1399,0.24
123,79,36,192,366.0,464.0,1.2678,5.9026,6.1399,0.2373
124,79,37,193,368.0,469.0,1.2745,5.9081,6.1506,0.2425
125,79,38,194,370.0,469.0,1.2676,5.9135,6.1506,0.2371
126,79,39,195,382.0,490.0,1.2827,5.9454,6.1944,0.249
127,79,40,196,408.0,521.0,1.277,6.0113,6.2558,0.2445
128,79,41,197,414.0,536.0,1.2947,6.0259,6.2841,0.2582
129,79,42,198,400.0,536.0,1.34,5.9915,6.2841,0.2926
130,79,43,199,405.0,533.0,1.316,6.0039,6.2785,0.2746
131,79,44,200,397.0,525.0,1.3224,5.9839,6.2634,0.2795
132,79,45,201,394.0,519.0,1.3173,5.9764,6.2519,0.2755
133,79,46,202,397.0,523.0,1.3174,5.9839,6.2596,0.2757
134,79,47,203,388.0,517.0,1.3325,5.961,6.248,0.287
135,79,48,204,379.0,509.0,1.343,5.9375,6.2324,0.2949
136,79,49,205,377.0,507.0,1.3448,5.9322,6.2285,0.2963
137,79,50,206,380.0,500.0,1.3158,5.9402,6.2146,0.2744
138,80,2,210,383.0,510.0,1.3316,5.948,6.2344,0.2864
139,80,3,211,394.0,524.0,1.3299,5.9764,6.2615,0.2851
140,80,4,212,408.0,538.0,1.3186,6.0113,6.2879,0.2766
141,80,5,213,413.0,538.0,1.3027,6.0234,6.2879,0.2645
142,80,7,215,433.0,573.0,1.3233,6.0707,6.3509,0.2802
143,80,13,221,415.0,570.0,1.3735,6.0283,6.3456,0.3173
144,80,14,222,414.0,566.0,1.3671,6.0259,6.3386,0.3127
145,80,15,223,414.0,567.0,1.3696,6.0259,6.3404,0.3145
146,80,16,224,412.0,584.0,1.4175,6.021,6.3699,0.3489
147,80,17,225,405.0,585.0,1.4444,6.0039,6.3716,0.3677
148,80,18,226,396.0,564.0,1.4242,5.9814,6.3351,0.3537
149,80,19,227,396.0,565.0,1.4268,5.9814,6.3368,0.3554
150,80,20,228,405.0,573.0,1.4148,6.0039,6.3509,0.347
151,80,22,230,407.0,587.0,1.4423,6.0088,6.375,0.3662
152,80,23,231,409.0,585.0,1.4303,6.0137,6.3716,0.3579
153,80,24,232,403.0,578.0,1.4342,5.9989,6.3596,0.3607
154,80,25,233,402.0,578.0,1.4378,5.9965,6.3596,0.3631
155,80,26,234,401.0,578.0,1.4414,5.994,6.3596,0.3656
156,80,31,239,396.0,576.0,1.4545,5.9814,6.3561,0.3747
157,80,35,243,398.0,563.0,1.4146,5.9865,6.3333,0.3468
158,80,36,244,394.0,557.0,1.4137,5.9764,6.3226,0.3462
159,80,37,245,396.0,550.0,1.3889,5.9814,6.3099,0.3285
160,80,38,246,404.0,564.0,1.396,6.0014,6.3351,0.3337
161,80,39,247,408.0,564.0,1.3824,6.0113,6.3351,0.3238
162,80,40,248,401.0,564.0,1.4065,5.994,6.3351,0.3411
163,80,41,249,398.0,548.0,1.3769,5.9865,6.3063,0.3198
164,80,42,250,392.0,535.0,1.3648,5.9713,6.2823,0.311
165,80,43,251,393.0,542.0,1.3791,5.9738,6.2953,0.3215
166,80,44,252,397.0,536.0,1.3501,5.9839,6.2841,0.3002
167,80,45,253,400.0,536.0,1.34,5.9915,6.2841,0.2926
168,80,46,254,403.0,540.0,1.34,5.9989,6.2916,0.2927
169,80,47,255,416.0,543.0,1.3053,6.0307,6.2971,0.2664
170,80,48,256,415.0,544.0,1.3108,6.0283,6.2989,0.2706
171,80,49,257,414.0,536.0,1.2947,6.0259,6.2841,0.2582
172,80,50,258,414.0,526.0,1.2705,6.0259,6.2653,0.2394
173,81,3,263,415.0,528.0,1.2723,6.0283,6.2691,0.2408
174,81,4,264,425.0,530.0,1.2471,6.0521,6.2729,0.2208
175,81,5,265,427.0,534.0,1.2506,6.0568,6.2804,0.2236
176,81,6,266,426.0,526.0,1.2347,6.0544,6.2653,0.2109
177,81,7,267,421.0,525.0,1.247,6.0426,6.2634,0.2208
178,81,8,268,420.0,525.0,1.25,6.0403,6.2634,0.2231
179,81,9,269,419.0,524.0,1.2506,6.0379,6.2615,0.2236
180,81,10,270,417.0,523.0,1.2542,6.0331,6.2596,0.2265
181,81,11,271,411.0,519.0,1.2628,6.0186,6.2519,0.2333
182,81,12,272,406.0,519.0,1.2783,6.0064,6.2519,0.2455
183,81,13,273,410.0,533.0,1.3,6.0162,6.2785,0.2623
184,81,14,274,409.0,540.0,1.3203,6.0137,6.2916,0.2779
185,81,15,275,411.0,540.0,1.3139,6.0186,6.2916,0.273
186,81,18,278,413.0,543.0,1.3148,6.0234,6.2971,0.2737
187,81,19,279,415.0,543.0,1.3084,6.0283,6.2971,0.2688
188,81,20,280,419.0,546.0,1.3031,6.0379,6.3026,0.2647
189,81,21,281,423.0,541.0,1.279,6.0474,6.2934,0.246
190,81,22,282,422.0,539.0,1.2773,6.045,6.2897,0.2447
191,81,23,283,425.0,539.0,1.2682,6.0521,6.2897,0.2376
192,81,25,285,428.0,539.0,1.2593,6.0591,6.2897,0.2306
193,81,26,286,427.0,543.0,1.2717,6.0568,6.2971,0.2403
194,81,31,291,427.0,543.0,1.2717,6.0568,6.2971,0.2403
195,81,35,295,425.0,543.0,1.2776,6.0521,6.2971,0.245
196,81,36,296,423.0,518.0,1.2246,6.0474,6.25,0.2026
197,81,37,297,422.0,519.0,1.2299,6.045,6.2519,0.2069
198,81,39,299,422.0,519.0,1.2299,6.045,6.2519,0.2069
199,81,40,300,420.0,519.0,1.2357,6.0403,6.2519,0.2116
200,81,41,301,421.0,522.0,1.2399,6.0426,6.2577,0.2151
201,81,42,302,421.0,523.0,1.2423,6.0426,6.2596,0.217
202,81,43,303,418.0,520.0,1.244,6.0355,6.2538,0.2183
203,81,44,304,421.0,522.0,1.2399,6.0426,6.2577,0.2151
204,81,45,305,420.0,520.0,1.2381,6.0403,6.2538,0.2135
205,81,46,306,422.0,524.0,1.2417,6.045,6.2615,0.2165
206,81,47,307,424.0,523.0,1.2335,6.0497,6.2596,0.2099
207,81,48,308,425.0,523.0,1.2306,6.0521,6.2596,0.2075
208,81,49,309,423.0,522.0,1.234,6.0474,6.2577,0.2103
209,81,50,310,422.0,522.0,1.237,6.045,6.2577,0.2127
210,81,51,311,422.0,524.0,1.2417,6.045,6.2615,0.2165
211,82,3,315,423.0,524.0,1.2388,6.0474,6.2615,0.2141
212,82,4,316,423.0,530.0,1.253,6.0474,6.2729,0.2255
213,82,5,317,427.0,535.0,1.2529,6.0568,6.2823,0.2255
214,82,6,318,428.0,535.0,1.25,6.0591,6.2823,0.2232
215,82,7,319,437.0,544.0,1.2449,6.0799,6.2989,0.219
216,82,8,320,441.0,550.0,1.2472,6.089,6.3099,0.2209
217,82,9,321,440.0,550.0,1.25,6.0868,6.3099,0.2231
218,82,10,322,445.0,554.0,1.2449,6.0981,6.3172,0.2191
219,82,11,323,446.0,561.0,1.2578,6.1003,6.3297,0.2294
220,82,12,324,443.0,579.0,1.307,6.0936,6.3613,0.2677
221,82,13,325,445.0,579.0,1.3011,6.0981,6.3613,0.2632
222,82,14,326,444.0,582.0,1.3108,6.0958,6.3665,0.2707
223,82,18,330,446.0,585.0,1.3117,6.1003,6.3716,0.2713
224,82,19,331,445.0,581.0,1.3056,6.0981,6.3648,0.2667
225,82,20,332,443.0,581.0,1.3115,6.0936,6.3648,0.2712
226,82,21,333,442.0,581.0,1.3145,6.0913,6.3648,0.2735
227,82,22,334,446.0,580.0,1.3004,6.1003,6.363,0.2627
228,82,23,335,448.0,579.0,1.2924,6.1048,6.3613,0.2565
229,82,24,336,449.0,579.0,1.2895,6.107,6.3613,0.2543
230,82,25,337,445.0,579.0,1.3011,6.0981,6.3613,0.2632
231,82,26,338,443.0,579.0,1.307,6.0936,6.3613,0.2677
232,82,27,339,437.0,579.0,1.3249,6.0799,6.3613,0.2814
233,82,30,342,439.0,579.0,1.3189,6.0845,6.3613,0.2768
234,82,34,346,433.0,572.0,1.321,6.0707,6.3491,0.2784
235,82,35,347,431.0,572.0,1.3271,6.0661,6.3491,0.283
236,82,36,348,430.0,572.0,1.3302,6.0638,6.3491,0.2853
237,82,37,349,437.0,576.0,1.3181,6.0799,6.3561,0.2762
238,82,38,350,435.0,576.0,1.3241,6.0753,6.3561,0.2808
239,82,39,351,433.0,561.0,1.2956,6.0707,6.3297,0.259
240,82,40,352,432.0,561.0,1.2986,6.0684,6.3297,0.2613
241,82,41,353,432.0,553.0,1.2801,6.0684,6.3154,0.247
242,82,42,354,431.0,558.0,1.2947,6.0661,6.3244,0.2583
243,82,43,355,432.0,553.0,1.2801,6.0684,6.3154,0.247
244,82,44,356,432.0,547.0,1.2662,6.0684,6.3044,0.236
245,82,45,357,432.0,562.0,1.3009,6.0684,6.3315,0.2631
246,82,46,358,432.0,565.0,1.3079,6.0684,6.3368,0.2684
247,82,47,359,430.0,564.0,1.3116,6.0638,6.3351,0.2713
248,82,48,360,427.0,551.0,1.2904,6.0568,6.3117,0.2549
249,82,49,361,426.0,549.0,1.2887,6.0544,6.3081,0.2537
250,82,50,362,426.0,549.0,1.2887,6.0544,6.3081,0.2537
251,83,2,366,429.0,556.0,1.296,6.0615,6.3208,0.2593
252,83,3,367,432.0,563.0,1.3032,6.0684,6.3333,0.2649
253,83,4,368,435.0,579.0,1.331,6.0753,6.3613,0.286
254,83,5,369,438.0,580.0,1.3242,6.0822,6.363,0.2808
255,83,6,370,438.0,582.0,1.3288,6.0822,6.3665,0.2843
256,83,7,371,436.0,577.0,1.3234,6.0776,6.3578,0.2802
257,83,8,372,435.0,578.0,1.3287,6.0753,6.3596,0.2843
258,83,9,373,435.0,576.0,1.3241,6.0753,6.3561,0.2808
259,83,10,374,471.0,626.0,1.3291,6.1549,6.4394,0.2845
260,83,11,375,471.0,628.0,1.3333,6.1549,6.4425,0.2876
261,83,12,376,466.0,641.0,1.3755,6.1442,6.463,0.3188
262,83,13,377,467.0,623.0,1.334,6.1463,6.4345,0.2882
263,83,17,381,470.0,639.0,1.3596,6.1527,6.4599,0.3072
264,83,18,382,470.0,643.0,1.3681,6.1527,6.4661,0.3134
265,83,19,383,470.0,632.0,1.3447,6.1527,6.4489,0.2962
266,83,20,384,468.0,632.0,1.3504,6.1485,6.4489,0.3004
267,83,21,385,467.0,632.0,1.3533,6.1463,6.4489,0.3026
268,83,22,386,472.0,635.0,1.3453,6.157,6.4536,0.2966
269,83,23,387,473.0,635.0,1.3425,6.1591,6.4536,0.2945
270,83,24,388,474.0,644.0,1.3586,6.1612,6.4677,0.3065
271,83,25,389,471.0,642.0,1.3631,6.1549,6.4646,0.3097
272,83,30,394,481.0,638.0,1.3264,6.1759,6.4583,0.2824
273,83,34,398,481.0,627.0,1.3035,6.1759,6.4409,0.265
274,83,35,399,481.0,627.0,1.3035,6.1759,6.4409,0.265
275,83,36,400,481.0,624.0,1.2973,6.1759,6.4362,0.2603
276,83,37,401,482.0,627.0,1.3008,6.1779,6.4409,0.263
277,83,38,402,482.0,627.0,1.3008,6.1779,6.4409,0.263
278,83,39,403,482.0,633.0,1.3133,6.1779,6.4505,0.2726
279,83,40,404,481.0,624.0,1.2973,6.1759,6.4362,0.2603
280,83,41,405,480.0,620.0,1.2917,6.1738,6.4297,0.2559
281,83,42,406,479.0,617.0,1.2881,6.1717,6.4249,0.2532
282,83,43,407,477.0,620.0,1.2998,6.1675,6.4297,0.2622
283,83,44,408,477.0,625.0,1.3103,6.1675,6.4378,0.2703
284,83,45,409,477.0,620.0,1.2998,6.1675,6.4297,0.2622
285,83,46,410,476.0,624.0,1.3109,6.1654,6.4362,0.2708
286,83,47,411,476.0,623.0,1.3088,6.1654,6.4345,0.2691
287,83,48,412,476.0,627.0,1.3172,6.1654,6.4409,0.2755
288,83,49,413,475.0,628.0,1.3221,6.1633,6.4425,0.2792
289,83,50,414,476.0,636.0,1.3361,6.1654,6.4552,0.2898
290,84,2,418,480.0,649.0,1.3521,6.1738,6.4754,0.3016
291,84,3,419,483.0,671.0,1.3892,6.18,6.5088,0.3288
292,84,4,420,488.0,717.0,1.4693,6.1903,6.5751,0.3848
293,84,5,421,490.0,748.0,1.5265,6.1944,6.6174,0.423
294,84,6,422,488.0,726.0,1.4877,6.1903,6.5876,0.3973
295,84,7,423,490.0,754.0,1.5388,6.1944,6.6254,0.431
296,84,8,424,490.0,754.0,1.5388,6.1944,6.6254,0.431
297,84,9,425,493.0,791.0,1.6045,6.2005,6.6733,0.4728
298,84,10,426,490.0,775.0,1.5816,6.1944,6.6529,0.4585
299,84,11,427,490.0,773.0,1.5776,6.1944,6.6503,0.4559
300,84,12,428,487.0,770.0,1.5811,6.1883,6.6464,0.4581
301,84,13,429,492.0,786.0,1.5976,6.1985,6.667,0.4685
302,84,14,430,495.0,786.0,1.5879,6.2046,6.667,0.4624
303,84,18,434,494.0,786.0,1.5911,6.2025,6.667,0.4645
304,84,19,435,496.0,786.0,1.5847,6.2066,6.667,0.4604
305,84,20,436,495.0,786.0,1.5879,6.2046,6.667,0.4624
306,84,21,437,495.0,786.0,1.5879,6.2046,6.667,0.4624
307,84,22,438,497.0,786.0,1.5815,6.2086,6.667,0.4584
308,84,25,441,496.0,786.0,1.5847,6.2066,6.667,0.4604
309,84,26,442,499.0,786.0,1.5752,6.2126,6.667,0.4544
