d3mIndex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
95,41.0,unknown,single,tertiary,no,1567.0,no,no,cellular,1.0,jul,291.0,2.0,-1.0,0.0,unknown,1
96,41.0,admin.,married,tertiary,no,5426.0,yes,no,unknown,14.0,may,149.0,2.0,-1.0,0.0,unknown,1
97,30.0,admin.,single,tertiary,no,261.0,no,no,cellular,19.0,oct,233.0,1.0,137.0,20.0,failure,1
98,36.0,blue-collar,divorced,secondary,no,2843.0,no,no,cellular,12.0,feb,473.0,1.0,182.0,1.0,success,1
99,31.0,unemployed,single,primary,no,406.0,no,no,cellular,4.0,feb,736.0,1.0,-1.0,0.0,unknown,2
100,36.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,6.0,may,337.0,1.0,-1.0,0.0,unknown,1
101,38.0,management,single,tertiary,no,493.0,yes,no,cellular,11.0,may,553.0,1.0,367.0,7.0,failure,1
102,49.0,technician,married,secondary,no,5996.0,no,no,telephone,21.0,nov,345.0,2.0,-1.0,0.0,unknown,1
103,57.0,services,single,primary,no,3777.0,yes,no,telephone,13.0,may,65.0,2.0,-1.0,0.0,unknown,1
104,34.0,management,single,secondary,no,524.0,no,no,unknown,13.0,aug,9.0,1.0,-1.0,0.0,unknown,1
105,32.0,management,single,tertiary,no,574.0,yes,no,cellular,14.0,apr,259.0,2.0,145.0,3.0,failure,1
106,37.0,blue-collar,married,secondary,no,427.0,yes,yes,unknown,9.0,jun,371.0,3.0,-1.0,0.0,unknown,1
107,33.0,self-employed,married,tertiary,no,483.0,yes,no,cellular,3.0,feb,280.0,2.0,-1.0,0.0,unknown,1
108,56.0,unemployed,married,primary,no,3391.0,no,no,cellular,21.0,apr,243.0,1.0,-1.0,0.0,unknown,2
109,27.0,housemaid,married,primary,no,0.0,yes,no,cellular,23.0,jul,435.0,3.0,-1.0,0.0,unknown,1
110,21.0,student,single,secondary,no,2488.0,no,no,cellular,30.0,jun,258.0,6.0,169.0,3.0,success,2
111,58.0,management,married,tertiary,no,1517.0,yes,no,telephone,29.0,jul,7.0,5.0,-1.0,0.0,unknown,1
112,32.0,self-employed,married,secondary,no,217.0,yes,yes,cellular,15.0,jul,317.0,5.0,-1.0,0.0,unknown,1
113,33.0,blue-collar,single,secondary,no,22.0,no,no,cellular,30.0,jan,76.0,2.0,207.0,1.0,failure,1
114,25.0,student,single,secondary,no,331.0,no,no,telephone,26.0,aug,170.0,4.0,-1.0,0.0,unknown,2
115,25.0,technician,single,secondary,no,505.0,no,yes,cellular,17.0,nov,386.0,2.0,-1.0,0.0,unknown,2
116,30.0,services,married,secondary,no,1808.0,yes,no,cellular,18.0,may,83.0,2.0,-1.0,0.0,unknown,1
117,22.0,admin.,single,secondary,no,4111.0,no,yes,cellular,19.0,aug,65.0,1.0,-1.0,0.0,unknown,1
118,39.0,blue-collar,married,primary,no,52.0,no,no,cellular,13.0,aug,69.0,1.0,-1.0,0.0,unknown,1
119,46.0,management,divorced,tertiary,no,25.0,no,no,unknown,17.0,jun,564.0,2.0,-1.0,0.0,unknown,1
120,31.0,admin.,divorced,secondary,no,1890.0,yes,no,cellular,21.0,jul,588.0,1.0,-1.0,0.0,unknown,1
121,45.0,blue-collar,married,primary,no,419.0,no,no,cellular,18.0,aug,113.0,4.0,-1.0,0.0,unknown,1
122,32.0,technician,married,secondary,no,2693.0,yes,no,unknown,21.0,may,16.0,1.0,-1.0,0.0,unknown,1
123,36.0,blue-collar,married,secondary,no,-231.0,no,yes,cellular,15.0,jul,779.0,2.0,-1.0,0.0,unknown,1
124,51.0,management,single,tertiary,yes,-55.0,yes,no,cellular,11.0,may,281.0,2.0,266.0,6.0,failure,1
125,34.0,self-employed,single,tertiary,no,462.0,no,no,cellular,21.0,aug,1877.0,3.0,-1.0,0.0,unknown,2
126,24.0,unemployed,single,secondary,no,119.0,no,no,unknown,15.0,sep,51.0,1.0,-1.0,0.0,unknown,1
127,45.0,technician,single,secondary,no,586.0,no,yes,cellular,28.0,jul,32.0,3.0,-1.0,0.0,unknown,1
128,32.0,blue-collar,single,secondary,no,228.0,no,no,telephone,5.0,feb,176.0,1.0,288.0,3.0,failure,1
129,77.0,retired,divorced,tertiary,no,4659.0,no,no,cellular,14.0,apr,161.0,1.0,-1.0,0.0,unknown,2
130,41.0,blue-collar,married,primary,no,168.0,yes,no,cellular,18.0,nov,187.0,3.0,-1.0,0.0,unknown,1
131,37.0,blue-collar,married,primary,no,0.0,yes,no,unknown,26.0,may,24.0,1.0,-1.0,0.0,unknown,1
132,43.0,blue-collar,married,unknown,yes,-715.0,yes,no,unknown,30.0,may,67.0,3.0,-1.0,0.0,unknown,1
133,48.0,admin.,married,unknown,no,0.0,yes,no,cellular,8.0,may,85.0,1.0,168.0,2.0,failure,1
134,27.0,technician,single,secondary,no,769.0,yes,no,unknown,9.0,may,317.0,2.0,-1.0,0.0,unknown,1
135,33.0,management,single,tertiary,no,0.0,no,no,cellular,28.0,aug,236.0,10.0,-1.0,0.0,unknown,1
136,29.0,admin.,single,secondary,no,428.0,yes,yes,cellular,7.0,may,54.0,1.0,345.0,2.0,failure,1
137,34.0,management,single,tertiary,no,0.0,no,no,cellular,5.0,feb,71.0,1.0,-1.0,0.0,unknown,1
138,52.0,management,married,tertiary,no,-970.0,yes,no,cellular,4.0,feb,489.0,1.0,-1.0,0.0,unknown,2
139,60.0,management,married,unknown,no,6313.0,no,no,unknown,19.0,jun,39.0,2.0,-1.0,0.0,unknown,1
140,32.0,management,divorced,tertiary,no,948.0,no,no,cellular,12.0,aug,204.0,2.0,-1.0,0.0,unknown,1
141,32.0,management,single,tertiary,no,0.0,yes,no,cellular,22.0,jul,455.0,2.0,-1.0,0.0,unknown,1
142,56.0,services,divorced,unknown,no,1877.0,yes,no,unknown,30.0,may,86.0,1.0,-1.0,0.0,unknown,1
143,31.0,management,single,tertiary,no,874.0,yes,no,cellular,18.0,nov,190.0,2.0,-1.0,0.0,unknown,1
144,42.0,admin.,married,secondary,no,323.0,yes,yes,unknown,8.0,may,280.0,2.0,-1.0,0.0,unknown,1
145,35.0,management,married,tertiary,no,106.0,no,yes,cellular,11.0,aug,588.0,2.0,-1.0,0.0,unknown,1
146,56.0,retired,married,primary,no,1906.0,no,yes,unknown,19.0,jun,45.0,9.0,-1.0,0.0,unknown,1
147,48.0,technician,married,secondary,no,1152.0,yes,no,cellular,21.0,jul,168.0,5.0,-1.0,0.0,unknown,1
148,46.0,admin.,married,secondary,no,179.0,yes,no,cellular,29.0,jan,194.0,4.0,436.0,1.0,other,1
149,37.0,technician,single,unknown,no,391.0,yes,no,unknown,8.0,may,103.0,3.0,-1.0,0.0,unknown,1
150,41.0,entrepreneur,married,unknown,no,89.0,yes,no,unknown,6.0,may,333.0,2.0,-1.0,0.0,unknown,1
151,36.0,management,single,tertiary,no,442.0,yes,yes,cellular,29.0,jul,102.0,3.0,-1.0,0.0,unknown,1
152,45.0,unemployed,divorced,primary,yes,-249.0,yes,yes,unknown,1.0,jul,92.0,1.0,-1.0,0.0,unknown,1
153,55.0,entrepreneur,married,secondary,no,8104.0,no,no,cellular,6.0,feb,213.0,2.0,-1.0,0.0,unknown,1
154,39.0,technician,married,secondary,no,501.0,no,no,unknown,26.0,may,289.0,1.0,-1.0,0.0,unknown,1
155,35.0,technician,divorced,secondary,no,308.0,no,no,cellular,22.0,aug,77.0,2.0,-1.0,0.0,unknown,1
156,55.0,admin.,married,secondary,no,602.0,no,no,cellular,1.0,jun,324.0,3.0,90.0,2.0,success,2
157,55.0,technician,married,secondary,no,273.0,yes,no,cellular,29.0,jan,84.0,3.0,183.0,3.0,failure,1
158,27.0,self-employed,single,secondary,no,50.0,no,no,cellular,29.0,jan,168.0,1.0,-1.0,0.0,unknown,1
159,34.0,technician,married,secondary,no,1641.0,yes,no,cellular,17.0,apr,380.0,1.0,-1.0,0.0,unknown,1
160,34.0,blue-collar,married,tertiary,no,20.0,no,no,unknown,4.0,oct,10.0,1.0,-1.0,0.0,unknown,1
161,25.0,admin.,single,secondary,no,4590.0,yes,no,unknown,28.0,may,199.0,2.0,-1.0,0.0,unknown,1
162,41.0,admin.,single,secondary,no,-256.0,no,yes,unknown,9.0,may,35.0,3.0,-1.0,0.0,unknown,1
163,43.0,services,married,secondary,no,978.0,yes,yes,unknown,26.0,may,82.0,2.0,-1.0,0.0,unknown,1
164,28.0,management,single,tertiary,no,80.0,no,no,cellular,20.0,oct,676.0,2.0,146.0,2.0,failure,2
165,31.0,admin.,single,secondary,no,2104.0,yes,no,unknown,3.0,jun,455.0,1.0,-1.0,0.0,unknown,1
166,78.0,housemaid,married,secondary,no,499.0,no,no,telephone,16.0,mar,80.0,4.0,-1.0,0.0,unknown,1
167,45.0,blue-collar,divorced,secondary,no,1269.0,yes,no,cellular,29.0,jan,549.0,2.0,-1.0,0.0,unknown,1
168,48.0,technician,married,tertiary,no,310.0,no,no,unknown,6.0,may,135.0,1.0,-1.0,0.0,unknown,1
169,32.0,blue-collar,single,secondary,no,1143.0,yes,yes,cellular,10.0,jul,412.0,1.0,-1.0,0.0,unknown,1
170,42.0,technician,married,secondary,no,2980.0,no,no,unknown,20.0,jun,101.0,3.0,-1.0,0.0,unknown,1
171,37.0,management,single,tertiary,no,37.0,no,no,cellular,28.0,jan,253.0,2.0,-1.0,0.0,unknown,1
172,40.0,admin.,single,secondary,no,462.0,yes,yes,cellular,6.0,apr,272.0,1.0,335.0,4.0,other,1
173,32.0,admin.,married,secondary,no,1031.0,yes,no,cellular,17.0,jul,84.0,1.0,-1.0,0.0,unknown,1
174,42.0,management,married,tertiary,no,9009.0,no,no,cellular,20.0,nov,135.0,2.0,-1.0,0.0,unknown,1
175,43.0,admin.,married,secondary,no,-465.0,yes,yes,cellular,23.0,jul,166.0,1.0,-1.0,0.0,unknown,1
176,44.0,admin.,married,secondary,no,5181.0,yes,yes,cellular,31.0,jul,18.0,7.0,-1.0,0.0,unknown,1
177,37.0,admin.,married,secondary,no,176.0,yes,no,cellular,5.0,may,147.0,2.0,347.0,1.0,failure,1
178,37.0,unknown,married,unknown,no,1699.0,no,no,unknown,9.0,jun,63.0,1.0,-1.0,0.0,unknown,1
179,37.0,admin.,married,tertiary,no,0.0,yes,no,cellular,17.0,nov,65.0,2.0,119.0,1.0,failure,1
180,28.0,technician,single,tertiary,no,172.0,yes,yes,cellular,2.0,feb,194.0,2.0,-1.0,0.0,unknown,1
181,32.0,services,single,secondary,no,0.0,no,yes,cellular,11.0,jul,333.0,2.0,-1.0,0.0,unknown,1
182,34.0,admin.,single,secondary,no,6979.0,yes,no,cellular,15.0,may,14.0,5.0,-1.0,0.0,unknown,1
183,40.0,admin.,divorced,secondary,no,6.0,no,no,unknown,11.0,jun,140.0,1.0,-1.0,0.0,unknown,1
184,34.0,services,married,secondary,no,-62.0,yes,no,unknown,16.0,jun,109.0,3.0,-1.0,0.0,unknown,1
185,34.0,self-employed,married,tertiary,no,1972.0,yes,no,cellular,23.0,jul,61.0,2.0,-1.0,0.0,unknown,1
186,34.0,admin.,married,tertiary,no,899.0,yes,no,telephone,19.0,nov,377.0,3.0,7.0,4.0,success,1
187,37.0,services,single,secondary,no,21.0,yes,no,cellular,2.0,feb,96.0,1.0,271.0,2.0,other,1
188,36.0,technician,married,secondary,no,23.0,yes,no,cellular,8.0,may,152.0,2.0,347.0,1.0,failure,1
189,56.0,retired,married,secondary,no,-1206.0,yes,no,cellular,15.0,jun,382.0,2.0,-1.0,0.0,unknown,2
190,49.0,blue-collar,married,primary,no,0.0,yes,yes,telephone,23.0,jul,97.0,6.0,-1.0,0.0,unknown,1
191,33.0,self-employed,married,secondary,no,215.0,yes,no,cellular,29.0,jul,543.0,12.0,-1.0,0.0,unknown,1
192,30.0,management,single,tertiary,no,1372.0,no,no,cellular,20.0,nov,240.0,2.0,-1.0,0.0,unknown,1
193,36.0,services,married,secondary,no,1981.0,no,no,unknown,17.0,jun,48.0,2.0,-1.0,0.0,unknown,1
194,23.0,student,single,secondary,no,9216.0,no,no,cellular,5.0,jun,471.0,2.0,-1.0,0.0,unknown,1
195,57.0,retired,divorced,secondary,no,39.0,yes,no,cellular,30.0,jul,354.0,3.0,-1.0,0.0,unknown,1
196,27.0,blue-collar,single,secondary,no,5563.0,yes,no,unknown,30.0,may,435.0,2.0,-1.0,0.0,unknown,1
197,38.0,services,married,secondary,no,1.0,no,yes,cellular,21.0,nov,152.0,2.0,-1.0,0.0,unknown,1
198,42.0,technician,married,tertiary,no,782.0,no,no,cellular,3.0,apr,285.0,1.0,-1.0,0.0,unknown,1
199,75.0,retired,married,secondary,no,3771.0,no,no,telephone,15.0,apr,185.0,1.0,181.0,2.0,success,2
200,34.0,technician,single,tertiary,no,992.0,yes,no,cellular,4.0,may,301.0,1.0,88.0,2.0,success,1
201,48.0,technician,married,secondary,no,1526.0,no,no,cellular,6.0,aug,273.0,2.0,-1.0,0.0,unknown,1
202,35.0,technician,single,tertiary,no,2658.0,yes,no,cellular,19.0,aug,768.0,2.0,141.0,3.0,failure,2
203,39.0,management,divorced,tertiary,no,1315.0,yes,no,cellular,19.0,nov,1337.0,4.0,126.0,1.0,failure,1
204,29.0,blue-collar,single,tertiary,no,455.0,no,no,telephone,21.0,apr,403.0,1.0,-1.0,0.0,unknown,2
205,45.0,technician,single,tertiary,no,0.0,yes,no,cellular,18.0,nov,139.0,2.0,-1.0,0.0,unknown,1
206,42.0,technician,married,secondary,no,2030.0,yes,yes,cellular,9.0,jul,196.0,1.0,-1.0,0.0,unknown,1
207,29.0,technician,married,secondary,no,1599.0,yes,no,cellular,8.0,jul,115.0,1.0,61.0,1.0,failure,1
208,38.0,services,single,secondary,no,-196.0,yes,no,cellular,2.0,feb,60.0,1.0,271.0,1.0,failure,1
209,56.0,retired,married,secondary,no,1333.0,no,no,cellular,28.0,aug,17.0,14.0,-1.0,0.0,unknown,1
210,36.0,technician,single,secondary,no,9149.0,yes,no,cellular,13.0,aug,141.0,3.0,-1.0,0.0,unknown,1
211,25.0,blue-collar,single,secondary,no,-350.0,yes,no,unknown,23.0,jun,95.0,3.0,-1.0,0.0,unknown,1
212,38.0,technician,married,tertiary,no,432.0,yes,no,cellular,15.0,may,10.0,2.0,373.0,1.0,other,1
213,57.0,self-employed,married,secondary,no,11494.0,no,no,cellular,19.0,nov,198.0,1.0,-1.0,0.0,unknown,1
214,31.0,management,married,tertiary,yes,-253.0,no,no,cellular,12.0,aug,220.0,4.0,-1.0,0.0,unknown,1
215,42.0,management,married,tertiary,no,372.0,yes,no,cellular,3.0,aug,654.0,2.0,-1.0,0.0,unknown,2
216,45.0,technician,married,secondary,no,1410.0,no,no,cellular,11.0,aug,71.0,2.0,-1.0,0.0,unknown,1
217,30.0,blue-collar,married,secondary,no,975.0,yes,no,cellular,13.0,may,256.0,2.0,351.0,2.0,failure,1
218,49.0,blue-collar,married,primary,no,305.0,yes,yes,telephone,10.0,jul,834.0,10.0,-1.0,0.0,unknown,1
219,49.0,services,married,secondary,no,400.0,no,no,cellular,21.0,aug,151.0,3.0,-1.0,0.0,unknown,1
220,53.0,retired,married,tertiary,no,-22.0,yes,no,cellular,31.0,jul,20.0,3.0,-1.0,0.0,unknown,1
221,37.0,technician,married,secondary,no,4030.0,yes,no,unknown,26.0,may,178.0,5.0,-1.0,0.0,unknown,1
222,49.0,blue-collar,married,primary,no,365.0,no,no,unknown,26.0,may,59.0,2.0,-1.0,0.0,unknown,1
223,41.0,self-employed,married,primary,no,204.0,no,no,cellular,13.0,aug,111.0,7.0,-1.0,0.0,unknown,1
224,54.0,management,married,primary,no,1691.0,yes,no,cellular,20.0,nov,186.0,1.0,-1.0,0.0,unknown,1
225,32.0,services,single,secondary,no,406.0,yes,no,unknown,6.0,may,227.0,1.0,-1.0,0.0,unknown,1
226,33.0,technician,married,secondary,no,-204.0,no,no,cellular,15.0,may,297.0,3.0,-1.0,0.0,unknown,1
227,33.0,technician,married,secondary,no,359.0,yes,no,cellular,20.0,apr,210.0,1.0,242.0,1.0,other,1
228,36.0,blue-collar,married,primary,no,123.0,yes,no,cellular,18.0,may,9.0,1.0,-1.0,0.0,unknown,1
