d3mIndex,fileName,subject,imgNum,label_target,ang,xF,yF,wF,hF,xRE,yRE,xLE,yLE,xN,yN,xRM,yRM,xLM,yLM
18,20130529_01_Driv_019_f,1,19.0,2,0,282.0,235.0,115.0,126.0,324.0,264.0,367.0,265.0,350.0,287.0,331.0,311.0,359.0,312.0
19,20130529_01_Driv_020_f,1,20.0,2,0,285.0,232.0,115.0,117.0,326.0,259.0,370.0,260.0,353.0,283.0,334.0,306.0,361.0,306.0
20,20130529_01_Driv_021_f,1,21.0,2,0,288.0,221.0,114.0,120.0,328.0,249.0,374.0,250.0,355.0,273.0,337.0,298.0,365.0,299.0
21,20130529_01_Driv_022_f,1,22.0,2,0,295.0,218.0,112.0,125.0,334.0,245.0,378.0,247.0,360.0,272.0,344.0,296.0,370.0,295.0
22,20130529_01_Driv_023_f,1,23.0,2,0,294.0,234.0,110.0,116.0,333.0,259.0,379.0,261.0,359.0,285.0,344.0,308.0,367.0,309.0
23,20130529_01_Driv_024_f,1,24.0,2,-15,294.0,209.0,115.0,121.0,334.0,236.0,379.0,238.0,359.0,262.0,344.0,284.0,367.0,285.0
24,20130529_01_Driv_025_f,1,25.0,2,-15,297.0,204.0,110.0,122.0,331.0,234.0,377.0,238.0,354.0,261.0,336.0,284.0,364.0,285.0
25,20130529_01_Driv_026_lr,1,26.0,1,-30,291.0,211.0,111.0,129.0,319.0,240.0,369.0,245.0,341.0,272.0,327.0,293.0,352.0,295.0
26,20130529_01_Driv_027_lr,1,27.0,1,-30,280.0,239.0,122.0,119.0,311.0,266.0,356.0,270.0,324.0,294.0,314.0,314.0,337.0,316.0
27,20130529_01_Driv_028_lr,1,28.0,1,-45,271.0,235.0,111.0,123.0,300.0,264.0,345.0,269.0,312.0,291.0,302.0,311.0,327.0,312.0
28,20130529_01_Driv_029_lr,1,29.0,1,-45,272.0,217.0,113.0,126.0,297.0,247.0,341.0,249.0,304.0,271.0,299.0,291.0,320.0,292.0
29,20130529_01_Driv_030_lr,1,30.0,1,-45,257.0,220.0,110.0,122.0,287.0,246.0,330.0,248.0,291.0,271.0,288.0,295.0,319.0,295.0
30,20130529_01_Driv_031_lr,1,31.0,1,-45,265.0,220.0,108.0,127.0,294.0,248.0,341.0,247.0,305.0,274.0,297.0,295.0,329.0,296.0
31,20130529_01_Driv_032_lr,1,32.0,1,-30,268.0,219.0,113.0,125.0,299.0,249.0,350.0,252.0,317.0,276.0,307.0,299.0,337.0,298.0
32,20130529_01_Driv_033_f,1,33.0,2,-15,276.0,221.0,112.0,126.0,307.0,249.0,356.0,250.0,327.0,278.0,313.0,300.0,349.0,299.0
33,20130529_01_Driv_034_f,1,34.0,2,0,275.0,221.0,122.0,128.0,311.0,249.0,363.0,250.0,334.0,277.0,317.0,297.0,353.0,298.0
34,20130529_01_Driv_035_f,1,35.0,2,0,280.0,214.0,117.0,127.0,318.0,244.0,367.0,245.0,341.0,269.0,322.0,292.0,358.0,292.0
35,20130529_01_Driv_036_f,1,36.0,2,0,284.0,215.0,118.0,131.0,325.0,246.0,372.0,247.0,347.0,275.0,326.0,295.0,364.0,297.0
36,20130529_01_Driv_037_f,1,37.0,2,0,284.0,218.0,120.0,130.0,325.0,249.0,373.0,252.0,351.0,278.0,327.0,297.0,365.0,298.0
37,20130529_01_Driv_038_f,1,38.0,2,0,284.0,220.0,120.0,130.0,325.0,247.0,376.0,250.0,352.0,274.0,331.0,297.0,365.0,295.0
38,20130529_01_Driv_039_f,1,39.0,2,0,287.0,211.0,118.0,132.0,328.0,242.0,377.0,244.0,356.0,272.0,332.0,293.0,368.0,293.0
39,20130529_01_Driv_040_f,1,40.0,2,0,286.0,215.0,117.0,128.0,329.0,244.0,377.0,247.0,356.0,274.0,332.0,295.0,367.0,295.0
40,20130529_01_Driv_041_f,1,41.0,2,0,284.0,217.0,117.0,130.0,330.0,246.0,376.0,249.0,355.0,274.0,330.0,295.0,368.0,294.0
41,20130529_01_Driv_042_f,1,42.0,2,0,286.0,214.0,121.0,126.0,331.0,244.0,376.0,245.0,357.0,274.0,331.0,292.0,370.0,294.0
42,20130529_01_Driv_043_f,1,43.0,2,0,287.0,218.0,122.0,127.0,331.0,245.0,379.0,246.0,359.0,274.0,334.0,294.0,372.0,294.0
43,20130529_01_Driv_044_f,1,44.0,2,0,285.0,218.0,129.0,126.0,333.0,245.0,379.0,246.0,361.0,271.0,336.0,295.0,371.0,294.0
44,20130529_01_Driv_045_f,1,45.0,2,0,282.0,217.0,127.0,126.0,331.0,244.0,378.0,247.0,362.0,272.0,335.0,295.0,374.0,295.0
45,20130529_01_Driv_046_f,1,46.0,2,0,289.0,218.0,121.0,129.0,333.0,246.0,381.0,249.0,361.0,273.0,339.0,294.0,373.0,295.0
46,20130529_01_Driv_047_f,1,47.0,2,0,287.0,220.0,126.0,121.0,334.0,244.0,380.0,249.0,362.0,275.0,335.0,296.0,374.0,296.0
47,20130529_01_Driv_048_f,1,48.0,2,0,286.0,215.0,125.0,125.0,334.0,241.0,379.0,244.0,361.0,269.0,333.0,291.0,374.0,291.0
48,20130529_01_Driv_049_f,1,49.0,2,0,287.0,214.0,124.0,125.0,334.0,240.0,380.0,243.0,362.0,268.0,336.0,288.0,373.0,289.0
49,20130529_01_Driv_050_f,1,50.0,2,0,285.0,212.0,126.0,122.0,333.0,237.0,379.0,241.0,361.0,266.0,336.0,286.0,373.0,286.0
50,20130529_01_Driv_051_f,1,51.0,2,0,287.0,211.0,126.0,123.0,333.0,236.0,380.0,240.0,360.0,263.0,335.0,284.0,373.0,285.0
51,20130529_01_Driv_052_f,1,52.0,2,0,284.0,206.0,127.0,123.0,333.0,233.0,377.0,237.0,361.0,263.0,337.0,283.0,372.0,282.0
52,20130529_01_Driv_053_f,1,53.0,2,0,284.0,204.0,127.0,128.0,333.0,234.0,378.0,237.0,361.0,262.0,336.0,281.0,373.0,281.0
53,20130529_01_Driv_054_f,1,54.0,2,0,285.0,206.0,127.0,125.0,331.0,235.0,379.0,236.0,360.0,261.0,336.0,282.0,371.0,282.0
54,20130529_01_Driv_055_f,1,55.0,2,0,285.0,207.0,127.0,119.0,333.0,235.0,377.0,237.0,361.0,261.0,336.0,280.0,370.0,281.0
55,20130529_01_Driv_056_f,1,56.0,2,0,287.0,205.0,126.0,126.0,334.0,234.0,378.0,235.0,361.0,260.0,335.0,281.0,371.0,281.0
56,20130529_01_Driv_057_f,1,57.0,2,0,285.0,203.0,128.0,130.0,333.0,231.0,379.0,234.0,362.0,258.0,337.0,280.0,373.0,280.0
57,20130529_01_Driv_058_f,1,58.0,2,0,284.0,204.0,130.0,124.0,334.0,231.0,380.0,234.0,363.0,257.0,336.0,278.0,373.0,280.0
58,20130529_01_Driv_059_f,1,59.0,2,0,281.0,202.0,133.0,124.0,334.0,230.0,380.0,232.0,364.0,255.0,338.0,276.0,376.0,277.0
59,20130529_01_Driv_060_f,1,60.0,2,0,285.0,205.0,128.0,124.0,334.0,232.0,379.0,233.0,362.0,257.0,339.0,278.0,373.0,278.0
60,20130529_01_Driv_061_f,1,61.0,2,0,287.0,206.0,123.0,117.0,332.0,231.0,378.0,232.0,361.0,258.0,336.0,277.0,373.0,277.0
61,20130529_01_Driv_062_f,1,62.0,2,0,287.0,201.0,123.0,121.0,333.0,227.0,377.0,230.0,362.0,255.0,337.0,275.0,373.0,274.0
62,20130529_01_Driv_063_f,1,63.0,2,0,286.0,204.0,125.0,120.0,333.0,230.0,377.0,231.0,362.0,254.0,339.0,275.0,371.0,276.0
63,20130529_01_Driv_064_f,1,64.0,2,0,285.0,203.0,123.0,118.0,333.0,231.0,376.0,230.0,362.0,252.0,339.0,275.0,373.0,275.0
64,20130529_01_Driv_065_f,1,65.0,2,0,292.0,207.0,118.0,114.0,333.0,231.0,377.0,231.0,363.0,254.0,339.0,277.0,370.0,277.0
65,20130529_01_Driv_066_f,1,66.0,2,0,293.0,206.0,115.0,121.0,336.0,231.0,382.0,232.0,362.0,255.0,339.0,276.0,371.0,278.0
66,20130529_01_Driv_067_f,1,67.0,2,0,291.0,200.0,119.0,118.0,334.0,228.0,378.0,230.0,363.0,252.0,342.0,274.0,372.0,275.0
67,20130529_01_Driv_068_f,1,68.0,2,0,292.0,203.0,113.0,116.0,334.0,228.0,378.0,232.0,364.0,253.0,342.0,274.0,373.0,274.0
68,20130529_01_Driv_069_f,1,69.0,2,0,292.0,204.0,118.0,121.0,332.0,229.0,378.0,230.0,363.0,252.0,341.0,274.0,370.0,276.0
69,20130529_01_Driv_070_f,1,70.0,2,0,288.0,202.0,118.0,122.0,333.0,229.0,377.0,231.0,362.0,252.0,341.0,273.0,370.0,275.0
70,20130529_01_Driv_071_f,1,71.0,2,0,289.0,206.0,124.0,121.0,333.0,231.0,376.0,233.0,361.0,254.0,337.0,277.0,371.0,277.0
71,20130529_01_Driv_072_f,1,72.0,2,0,291.0,204.0,116.0,119.0,333.0,230.0,376.0,232.0,362.0,253.0,337.0,276.0,368.0,277.0
72,20130529_01_Driv_073_f,1,73.0,2,0,290.0,201.0,118.0,122.0,334.0,229.0,376.0,231.0,361.0,252.0,338.0,274.0,368.0,276.0
73,20130529_01_Driv_074_f,1,74.0,2,0,291.0,210.0,115.0,119.0,333.0,231.0,376.0,234.0,360.0,255.0,337.0,275.0,370.0,279.0
74,20130529_01_Driv_075_f,1,75.0,2,0,291.0,204.0,116.0,119.0,333.0,229.0,377.0,233.0,360.0,252.0,336.0,275.0,371.0,276.0
75,20130529_01_Driv_076_f,1,76.0,2,0,290.0,204.0,117.0,120.0,333.0,229.0,375.0,232.0,359.0,252.0,335.0,274.0,369.0,275.0
76,20130529_01_Driv_077_f,1,77.0,2,0,290.0,201.0,114.0,118.0,333.0,227.0,375.0,230.0,359.0,250.0,334.0,273.0,368.0,275.0
77,20130529_01_Driv_078_f,1,78.0,2,0,293.0,203.0,113.0,116.0,333.0,229.0,377.0,232.0,361.0,251.0,337.0,274.0,369.0,276.0
78,20130529_01_Driv_079_f,1,79.0,2,0,293.0,206.0,111.0,115.0,331.0,229.0,377.0,232.0,356.0,254.0,334.0,276.0,369.0,276.0
79,20130529_01_Driv_080_f,1,80.0,2,0,288.0,201.0,118.0,117.0,331.0,228.0,376.0,230.0,357.0,249.0,332.0,273.0,369.0,274.0
80,20130529_01_Driv_081_f,1,81.0,2,0,290.0,201.0,115.0,117.0,332.0,228.0,377.0,229.0,359.0,248.0,335.0,275.0,366.0,274.0
81,20130529_01_Driv_082_f,1,82.0,2,0,286.0,204.0,119.0,119.0,332.0,229.0,376.0,231.0,358.0,250.0,335.0,274.0,366.0,276.0
82,20130529_01_Driv_083_f,1,83.0,2,0,287.0,203.0,122.0,123.0,331.0,229.0,375.0,233.0,357.0,250.0,336.0,275.0,368.0,276.0
83,20130529_01_Driv_084_f,1,84.0,2,0,284.0,206.0,120.0,118.0,333.0,229.0,376.0,230.0,359.0,247.0,336.0,274.0,368.0,276.0
84,20130529_01_Driv_085_f,1,85.0,2,0,285.0,206.0,120.0,117.0,330.0,229.0,374.0,232.0,357.0,250.0,334.0,275.0,368.0,275.0
85,20130529_01_Driv_086_f,1,86.0,2,0,285.0,203.0,123.0,121.0,329.0,229.0,376.0,232.0,357.0,250.0,335.0,277.0,367.0,277.0
86,20130529_01_Driv_087_f,1,87.0,2,0,286.0,200.0,116.0,120.0,330.0,229.0,373.0,230.0,359.0,250.0,332.0,274.0,364.0,274.0
87,20130529_01_Driv_088_f,1,88.0,2,0,288.0,205.0,117.0,119.0,329.0,232.0,372.0,234.0,356.0,255.0,334.0,276.0,366.0,278.0
88,20130529_01_Driv_089_f,1,89.0,2,0,290.0,208.0,107.0,113.0,327.0,230.0,370.0,232.0,357.0,254.0,333.0,275.0,365.0,277.0
89,20130529_01_Driv_090_f,1,90.0,2,0,284.0,204.0,115.0,114.0,324.0,229.0,368.0,231.0,351.0,254.0,332.0,276.0,364.0,276.0
90,20130529_01_Driv_091_f,1,91.0,2,0,283.0,207.0,114.0,116.0,322.0,231.0,367.0,232.0,347.0,257.0,330.0,275.0,360.0,275.0
91,20130529_01_Driv_092_f,1,92.0,2,0,285.0,209.0,110.0,109.0,320.0,232.0,365.0,233.0,345.0,255.0,330.0,277.0,361.0,278.0
92,20130529_01_Driv_093_f,1,93.0,2,0,288.0,204.0,103.0,118.0,319.0,231.0,363.0,234.0,345.0,255.0,325.0,278.0,357.0,277.0
93,20130529_01_Driv_094_f,1,94.0,2,0,285.0,207.0,109.0,112.0,318.0,229.0,365.0,231.0,344.0,253.0,322.0,274.0,359.0,274.0
94,20130529_01_Driv_095_f,1,95.0,2,0,285.0,212.0,106.0,112.0,317.0,237.0,364.0,237.0,341.0,258.0,324.0,281.0,361.0,281.0
95,20130529_01_Driv_096_f,1,96.0,2,0,283.0,214.0,112.0,116.0,314.0,240.0,361.0,240.0,342.0,263.0,322.0,287.0,353.0,283.0
96,20130529_01_Driv_097_f,1,97.0,2,0,277.0,221.0,114.0,111.0,315.0,244.0,359.0,242.0,342.0,264.0,321.0,289.0,353.0,288.0
97,20130529_01_Driv_098_f,1,98.0,2,0,279.0,216.0,115.0,115.0,314.0,240.0,362.0,241.0,342.0,263.0,322.0,287.0,356.0,288.0
98,20130529_01_Driv_099_f,1,99.0,2,0,279.0,215.0,116.0,117.0,317.0,240.0,360.0,240.0,342.0,263.0,321.0,286.0,357.0,286.0
99,20130529_01_Driv_100_f,1,100.0,2,0,279.0,212.0,117.0,120.0,320.0,240.0,367.0,238.0,342.0,262.0,328.0,285.0,356.0,283.0
100,20130529_01_Driv_101_f,1,101.0,2,0,280.0,211.0,114.0,113.0,317.0,232.0,365.0,234.0,342.0,255.0,325.0,281.0,354.0,281.0
101,20130529_01_Driv_102_f,1,102.0,2,0,282.0,210.0,114.0,114.0,319.0,234.0,365.0,237.0,341.0,257.0,327.0,283.0,355.0,283.0
102,20130529_01_Driv_103_f,1,103.0,2,0,281.0,214.0,113.0,113.0,317.0,236.0,364.0,236.0,344.0,258.0,326.0,283.0,357.0,282.0
103,20130529_01_Driv_104_f,1,104.0,2,0,280.0,212.0,119.0,115.0,317.0,234.0,363.0,236.0,342.0,258.0,329.0,283.0,354.0,281.0
104,20130529_01_Driv_105_f,1,105.0,2,0,279.0,211.0,118.0,117.0,320.0,234.0,364.0,237.0,342.0,257.0,328.0,282.0,356.0,280.0
105,20130529_01_Driv_106_f,1,106.0,2,0,283.0,214.0,114.0,115.0,319.0,236.0,365.0,237.0,344.0,260.0,330.0,286.0,354.0,283.0
106,20130529_01_Driv_107_f,1,107.0,2,0,279.0,207.0,118.0,120.0,317.0,235.0,362.0,236.0,341.0,257.0,327.0,281.0,353.0,280.0
107,20130529_01_Driv_108_f,1,108.0,2,0,281.0,207.0,112.0,119.0,318.0,234.0,363.0,235.0,341.0,255.0,327.0,281.0,354.0,281.0
108,20130529_01_Driv_109_f,1,109.0,2,0,282.0,216.0,114.0,121.0,320.0,240.0,364.0,240.0,341.0,261.0,327.0,285.0,355.0,285.0
109,20130529_01_Driv_110_f,1,110.0,2,0,282.0,217.0,114.0,122.0,319.0,238.0,364.0,240.0,342.0,259.0,328.0,285.0,353.0,285.0
110,20130529_01_Driv_111_f,1,111.0,2,0,280.0,215.0,110.0,119.0,317.0,238.0,361.0,239.0,339.0,258.0,325.0,281.0,351.0,281.0
111,20130529_01_Driv_112_f,1,112.0,2,0,280.0,214.0,110.0,114.0,317.0,238.0,362.0,240.0,341.0,261.0,328.0,287.0,352.0,286.0
112,20130529_01_Driv_113_f,1,113.0,2,0,275.0,214.0,113.0,118.0,314.0,241.0,361.0,241.0,340.0,261.0,328.0,284.0,350.0,282.0
113,20130529_01_Driv_114_f,1,114.0,2,0,286.0,224.0,97.0,107.0,313.0,241.0,361.0,243.0,335.0,264.0,324.0,287.0,351.0,286.0
114,20130529_01_Driv_115_f,1,115.0,2,0,278.0,210.0,113.0,118.0,314.0,241.0,361.0,241.0,339.0,262.0,323.0,287.0,353.0,284.0
115,20130529_01_Driv_116_f,1,116.0,2,0,279.0,211.0,113.0,123.0,315.0,241.0,359.0,241.0,341.0,263.0,322.0,286.0,355.0,285.0
116,20130529_01_Driv_117_f,1,117.0,2,0,279.0,217.0,106.0,115.0,311.0,243.0,360.0,241.0,338.0,261.0,318.0,286.0,353.0,285.0
117,20130529_01_Driv_118_f,1,118.0,2,0,280.0,215.0,113.0,111.0,315.0,239.0,360.0,240.0,337.0,260.0,320.0,284.0,354.0,281.0
118,20130529_01_Driv_119_f,1,119.0,2,0,280.0,213.0,104.0,110.0,314.0,239.0,358.0,239.0,337.0,261.0,319.0,283.0,353.0,283.0
119,20130529_01_Driv_120_f,1,120.0,2,0,279.0,218.0,109.0,110.0,313.0,243.0,357.0,241.0,336.0,264.0,315.0,287.0,350.0,286.0
120,20130529_01_Driv_121_f,1,121.0,2,0,277.0,221.0,109.0,116.0,310.0,241.0,357.0,241.0,334.0,262.0,315.0,286.0,353.0,285.0
121,20130529_01_Driv_122_f,1,122.0,2,0,280.0,215.0,110.0,112.0,311.0,240.0,354.0,241.0,337.0,265.0,317.0,286.0,354.0,284.0
122,20130529_01_Driv_123_f,1,123.0,2,0,278.0,216.0,110.0,115.0,312.0,243.0,358.0,241.0,336.0,263.0,317.0,286.0,353.0,284.0
123,20130529_01_Driv_124_f,1,124.0,2,0,277.0,214.0,111.0,122.0,312.0,240.0,357.0,240.0,337.0,263.0,319.0,286.0,351.0,286.0
124,20130529_01_Driv_125_f,1,125.0,2,0,280.0,217.0,110.0,116.0,312.0,241.0,359.0,240.0,337.0,260.0,323.0,286.0,354.0,285.0
125,20130529_01_Driv_126_f,1,126.0,2,0,273.0,217.0,117.0,117.0,314.0,241.0,361.0,240.0,339.0,261.0,322.0,284.0,353.0,284.0
126,20130529_01_Driv_127_f,1,127.0,2,0,279.0,215.0,111.0,117.0,316.0,243.0,362.0,243.0,342.0,264.0,321.0,287.0,355.0,286.0
127,20130529_01_Driv_128_f,1,128.0,2,0,276.0,212.0,113.0,117.0,314.0,238.0,359.0,237.0,344.0,257.0,322.0,284.0,359.0,281.0
128,20130529_01_Driv_129_f,1,129.0,2,0,277.0,209.0,108.0,118.0,316.0,237.0,360.0,238.0,344.0,259.0,325.0,283.0,359.0,282.0
129,20130529_01_Driv_130_f,1,130.0,2,0,274.0,213.0,116.0,119.0,316.0,241.0,362.0,240.0,345.0,261.0,324.0,284.0,356.0,284.0
130,20130529_01_Driv_131_f,1,131.0,2,0,274.0,216.0,112.0,119.0,320.0,240.0,364.0,239.0,346.0,260.0,327.0,284.0,359.0,283.0
131,20130529_01_Driv_132_f,1,132.0,2,0,282.0,217.0,108.0,114.0,319.0,241.0,365.0,241.0,345.0,261.0,327.0,285.0,359.0,283.0
132,20130529_01_Driv_133_f,1,133.0,2,0,280.0,216.0,110.0,110.0,319.0,239.0,364.0,240.0,347.0,260.0,328.0,283.0,359.0,280.0
133,20130529_01_Driv_134_f,1,134.0,2,0,282.0,214.0,104.0,110.0,319.0,239.0,364.0,238.0,347.0,258.0,327.0,283.0,357.0,281.0
134,20130529_01_Driv_135_f,1,135.0,2,0,280.0,214.0,109.0,117.0,320.0,239.0,367.0,240.0,345.0,261.0,329.0,283.0,359.0,283.0
135,20130529_01_Driv_136_f,1,136.0,2,0,284.0,213.0,105.0,113.0,320.0,237.0,366.0,237.0,348.0,263.0,325.0,283.0,362.0,281.0
136,20130529_01_Driv_137_f,1,137.0,2,0,282.0,209.0,111.0,119.0,319.0,236.0,362.0,237.0,346.0,257.0,328.0,280.0,362.0,281.0
137,20130529_01_Driv_138_f,1,138.0,2,0,281.0,215.0,110.0,108.0,322.0,237.0,366.0,237.0,352.0,259.0,329.0,281.0,361.0,281.0
138,20130529_01_Driv_139_f,1,139.0,2,0,279.0,215.0,108.0,112.0,324.0,236.0,364.0,237.0,350.0,258.0,328.0,281.0,359.0,281.0
139,20130529_01_Driv_140_f,1,140.0,2,0,282.0,211.0,106.0,116.0,322.0,236.0,365.0,235.0,349.0,257.0,329.0,278.0,361.0,280.0
140,20130529_01_Driv_141_f,1,141.0,2,0,281.0,210.0,109.0,113.0,321.0,234.0,364.0,235.0,350.0,257.0,325.0,282.0,362.0,278.0
141,20130529_01_Driv_142_f,1,142.0,2,0,275.0,221.0,112.0,116.0,319.0,243.0,363.0,243.0,348.0,263.0,325.0,286.0,358.0,286.0
142,20130529_01_Driv_143_f,1,143.0,2,0,276.0,221.0,110.0,114.0,319.0,244.0,364.0,244.0,348.0,266.0,330.0,286.0,359.0,287.0
143,20130529_01_Driv_144_f,1,144.0,2,0,280.0,224.0,105.0,114.0,317.0,248.0,363.0,247.0,347.0,268.0,330.0,290.0,361.0,291.0
144,20130529_01_Driv_145_f,1,145.0,2,0,283.0,215.0,103.0,112.0,319.0,240.0,366.0,239.0,347.0,257.0,330.0,283.0,358.0,281.0
145,20130529_01_Driv_146_f,1,146.0,2,0,278.0,205.0,114.0,114.0,322.0,229.0,365.0,230.0,351.0,257.0,330.0,278.0,361.0,280.0
146,20130529_01_Driv_147_f,1,147.0,2,0,271.0,206.0,114.0,109.0,319.0,227.0,361.0,227.0,350.0,250.0,325.0,272.0,357.0,271.0
147,20130529_01_Driv_148_f,1,148.0,2,0,271.0,224.0,114.0,114.0,320.0,250.0,363.0,251.0,349.0,272.0,325.0,295.0,358.0,295.0
148,20130529_01_Driv_149_f,1,149.0,2,0,273.0,227.0,114.0,111.0,318.0,249.0,364.0,249.0,346.0,268.0,328.0,292.0,356.0,293.0
149,20130529_01_Driv_150_f,1,150.0,2,0,276.0,221.0,108.0,105.0,320.0,241.0,363.0,241.0,348.0,262.0,328.0,285.0,359.0,285.0
150,20130529_01_Driv_151_f,1,151.0,2,15,277.0,204.0,109.0,112.0,323.0,230.0,365.0,230.0,355.0,251.0,332.0,272.0,362.0,273.0
151,20130529_01_Driv_152_f,1,152.0,2,15,279.0,200.0,114.0,114.0,324.0,223.0,368.0,223.0,354.0,245.0,334.0,269.0,365.0,270.0
152,20130529_01_Driv_153_f,1,153.0,2,15,274.0,216.0,109.0,115.0,322.0,241.0,365.0,237.0,351.0,263.0,328.0,287.0,361.0,287.0
153,20130529_01_Driv_154_f,1,154.0,2,15,279.0,215.0,108.0,109.0,321.0,237.0,363.0,235.0,354.0,260.0,332.0,280.0,361.0,280.0
154,20130529_01_Driv_155_f,1,155.0,2,15,284.0,200.0,106.0,112.0,323.0,226.0,367.0,226.0,356.0,246.0,334.0,271.0,362.0,270.0
155,20130529_01_Driv_156_f,1,156.0,2,15,277.0,211.0,121.0,117.0,323.0,232.0,363.0,234.0,356.0,255.0,333.0,280.0,361.0,280.0
156,20130529_01_Driv_157_f,1,157.0,2,15,277.0,215.0,114.0,112.0,320.0,238.0,365.0,238.0,353.0,260.0,331.0,283.0,359.0,283.0
157,20130529_01_Driv_158_f,1,158.0,2,15,272.0,218.0,125.0,125.0,323.0,249.0,366.0,249.0,357.0,269.0,334.0,295.0,361.0,292.0
158,20130529_01_Driv_159_f,1,159.0,2,15,279.0,226.0,116.0,114.0,322.0,249.0,368.0,247.0,354.0,271.0,334.0,295.0,361.0,294.0
159,20130529_01_Driv_160_f,1,160.0,2,15,278.0,224.0,116.0,116.0,324.0,247.0,367.0,249.0,353.0,269.0,330.0,289.0,360.0,293.0
160,20130529_01_Driv_161_f,1,161.0,2,15,274.0,217.0,121.0,112.0,327.0,243.0,370.0,243.0,356.0,267.0,336.0,286.0,363.0,287.0
161,20130529_01_Driv_162_f,1,162.0,2,15,280.0,215.0,116.0,117.0,327.0,241.0,371.0,245.0,357.0,267.0,339.0,286.0,363.0,288.0
162,20130529_01_Driv_163_f,1,163.0,2,15,280.0,218.0,117.0,113.0,324.0,240.0,370.0,243.0,357.0,264.0,336.0,289.0,361.0,288.0
163,20130529_01_Driv_164_f,1,164.0,2,15,277.0,223.0,122.0,117.0,328.0,243.0,370.0,245.0,357.0,269.0,336.0,293.0,362.0,290.0
164,20130529_01_Driv_165_f,1,165.0,2,15,278.0,224.0,119.0,117.0,328.0,246.0,370.0,247.0,356.0,267.0,339.0,292.0,362.0,295.0
165,20130529_01_Driv_166_f,1,166.0,2,15,279.0,228.0,120.0,110.0,330.0,248.0,368.0,250.0,361.0,269.0,342.0,295.0,364.0,294.0
166,20130529_01_Driv_167_f,1,167.0,2,15,279.0,223.0,117.0,117.0,331.0,249.0,372.0,250.0,364.0,271.0,337.0,295.0,365.0,294.0
167,20130529_01_Driv_168_ll,1,168.0,3,30,279.0,218.0,122.0,116.0,331.0,246.0,370.0,246.0,369.0,267.0,341.0,290.0,364.0,291.0
