d3mIndex,group,conc,age,at.risk,binaryClass
202,16,110.0,57.5,392.0,N
203,16,110.0,62.5,302.0,N
204,16,110.0,67.5,195.0,P
205,16,110.0,72.5,101.0,P
206,16,110.0,77.5,65.0,P
207,16,110.0,82.5,37.0,P
208,17,110.0,22.5,718.0,P
209,17,110.0,27.5,449.0,P
210,17,110.0,32.5,290.0,P
211,17,110.0,37.5,329.0,P
212,17,110.0,42.5,397.0,P
213,17,110.0,47.5,401.0,P
214,17,110.0,52.5,333.0,P
215,17,110.0,57.5,251.0,N
216,17,110.0,62.5,203.0,N
217,17,110.0,67.5,175.0,P
218,17,110.0,72.5,156.0,P
219,17,110.0,77.5,62.0,P
220,17,110.0,82.5,69.0,P
221,18,123.0,22.5,674.0,P
222,18,123.0,27.5,436.0,P
223,18,123.0,32.5,360.0,P
224,18,123.0,37.5,440.0,P
225,18,123.0,42.5,385.0,P
226,18,123.0,47.5,396.0,P
227,18,123.0,52.5,363.0,P
228,18,123.0,57.5,313.0,P
229,18,123.0,62.5,280.0,P
230,18,123.0,67.5,272.0,P
231,18,123.0,72.5,210.0,P
232,18,123.0,77.5,113.0,P
233,18,123.0,82.5,49.0,P
234,19,126.0,22.5,1196.0,P
235,19,126.0,27.5,501.0,P
236,19,126.0,32.5,443.0,P
237,19,126.0,37.5,510.0,P
238,19,126.0,42.5,609.0,P
239,19,126.0,47.5,610.0,P
240,19,126.0,52.5,544.0,P
241,19,126.0,57.5,453.0,P
242,19,126.0,62.5,408.0,N
243,19,126.0,67.5,295.0,P
244,19,126.0,72.5,226.0,P
245,19,126.0,77.5,142.0,P
246,19,126.0,82.5,89.0,P
247,20,256.0,22.5,1949.0,P
248,20,256.0,27.5,981.0,P
249,20,256.0,32.5,755.0,P
250,20,256.0,37.5,787.0,P
251,20,256.0,42.5,912.0,P
252,20,256.0,47.5,872.0,P
253,20,256.0,52.5,759.0,P
254,20,256.0,57.5,540.0,P
255,20,256.0,62.5,464.0,N
256,20,256.0,67.5,352.0,N
257,20,256.0,72.5,262.0,P
258,20,256.0,77.5,111.0,P
259,20,256.0,82.5,125.0,P
260,21,256.0,22.5,686.0,P
261,21,256.0,27.5,240.0,P
262,21,256.0,32.5,277.0,P
263,21,256.0,37.5,254.0,P
264,21,256.0,42.5,234.0,P
265,21,256.0,47.5,376.0,P
266,21,256.0,52.5,362.0,P
267,21,256.0,57.5,241.0,P
268,21,256.0,62.5,285.0,N
269,21,256.0,67.5,188.0,P
270,21,256.0,72.5,165.0,N
271,21,256.0,77.5,61.0,P
272,21,256.0,82.5,43.0,P
273,22,259.0,22.5,1100.0,P
274,22,259.0,27.5,572.0,P
275,22,259.0,32.5,401.0,P
276,22,259.0,37.5,365.0,P
277,22,259.0,42.5,521.0,P
278,22,259.0,47.5,453.0,P
279,22,259.0,52.5,480.0,P
280,22,259.0,57.5,389.0,P
281,22,259.0,62.5,289.0,P
282,22,259.0,67.5,193.0,P
283,22,259.0,72.5,131.0,P
284,22,259.0,77.5,101.0,P
285,22,259.0,82.5,84.0,P
286,23,307.0,22.5,547.0,P
287,23,307.0,27.5,320.0,P
288,23,307.0,32.5,164.0,P
289,23,307.0,37.5,196.0,P
290,23,307.0,42.5,266.0,P
291,23,307.0,47.5,299.0,P
292,23,307.0,52.5,271.0,P
293,23,307.0,57.5,196.0,P
294,23,307.0,62.5,153.0,P
295,23,307.0,67.5,122.0,P
296,23,307.0,72.5,94.0,P
297,23,307.0,77.5,56.0,P
298,23,307.0,82.5,74.0,P
299,24,307.0,22.5,793.0,P
300,24,307.0,27.5,466.0,P
301,24,307.0,32.5,356.0,P
302,24,307.0,37.5,490.0,P
303,24,307.0,42.5,556.0,P
304,24,307.0,47.5,520.0,P
305,24,307.0,52.5,388.0,P
306,24,307.0,57.5,268.0,P
307,24,307.0,62.5,237.0,P
308,24,307.0,67.5,188.0,P
309,24,307.0,72.5,127.0,P
310,24,307.0,77.5,60.0,P
311,24,307.0,82.5,56.0,P
312,25,350.0,22.5,659.0,P
313,25,350.0,27.5,346.0,P
314,25,350.0,32.5,273.0,P
315,25,350.0,37.5,283.0,P
316,25,350.0,42.5,385.0,P
317,25,350.0,47.5,390.0,P
318,25,350.0,52.5,292.0,P
319,25,350.0,57.5,262.0,P
320,25,350.0,62.5,243.0,P
321,25,350.0,67.5,236.0,P
322,25,350.0,72.5,102.0,P
323,25,350.0,77.5,68.0,P
324,25,350.0,82.5,47.0,P
325,26,398.0,22.5,538.0,P
326,26,398.0,27.5,272.0,P
327,26,398.0,32.5,211.0,P
328,26,398.0,37.5,232.0,P
329,26,398.0,42.5,274.0,P
330,26,398.0,47.5,321.0,P
331,26,398.0,52.5,292.0,P
332,26,398.0,57.5,175.0,P
333,26,398.0,62.5,153.0,P
334,26,398.0,67.5,122.0,N
335,26,398.0,72.5,96.0,P
336,26,398.0,77.5,23.0,P
337,26,398.0,82.5,14.0,P
338,27,406.0,22.5,770.0,P
339,27,406.0,27.5,315.0,P
340,27,406.0,32.5,239.0,P
341,27,406.0,37.5,355.0,P
342,27,406.0,42.5,412.0,P
343,27,406.0,47.5,420.0,P
344,27,406.0,52.5,367.0,N
345,27,406.0,57.5,331.0,P
346,27,406.0,62.5,284.0,P
347,27,406.0,67.5,209.0,N
348,27,406.0,72.5,114.0,P
349,27,406.0,77.5,47.0,P
350,27,406.0,82.5,23.0,N
351,28,448.0,22.5,1043.0,P
352,28,448.0,27.5,457.0,P
353,28,448.0,32.5,241.0,P
354,28,448.0,37.5,331.0,P
355,28,448.0,42.5,404.0,P
356,28,448.0,47.5,423.0,P
357,28,448.0,52.5,387.0,P
358,28,448.0,57.5,312.0,N
359,28,448.0,62.5,252.0,P
360,28,448.0,67.5,202.0,P
361,28,448.0,72.5,130.0,N
362,28,448.0,77.5,49.0,P
363,28,448.0,82.5,28.0,P
364,29,467.0,22.5,1114.0,P
365,29,467.0,27.5,720.0,P
366,29,467.0,32.5,632.0,P
367,29,467.0,37.5,566.0,P
368,29,467.0,42.5,523.0,P
369,29,467.0,47.5,487.0,P
370,29,467.0,52.5,447.0,P
371,29,467.0,57.5,315.0,P
372,29,467.0,62.5,212.0,N
373,29,467.0,67.5,133.0,N
374,29,467.0,72.5,72.0,P
375,29,467.0,77.5,45.0,N
376,29,467.0,82.5,32.0,P
377,30,504.0,22.5,1029.0,P
378,30,504.0,27.5,406.0,P
379,30,504.0,32.5,384.0,P
380,30,504.0,37.5,499.0,P
381,30,504.0,42.5,654.0,P
382,30,504.0,47.5,585.0,P
383,30,504.0,52.5,460.0,P
384,30,504.0,57.5,397.0,P
385,30,504.0,62.5,330.0,P
386,30,504.0,67.5,235.0,P
387,30,504.0,72.5,171.0,P
388,30,504.0,77.5,152.0,P
389,30,504.0,82.5,95.0,P
390,31,520.0,22.5,905.0,P
391,31,520.0,27.5,364.0,P
392,31,520.0,32.5,263.0,P
393,31,520.0,37.5,342.0,P
394,31,520.0,42.5,442.0,P
395,31,520.0,47.5,497.0,P
396,31,520.0,52.5,444.0,P
397,31,520.0,57.5,344.0,N
398,31,520.0,62.5,276.0,P
399,31,520.0,67.5,193.0,P
400,31,520.0,72.5,130.0,N
401,31,520.0,77.5,68.0,P
402,31,520.0,82.5,45.0,P
403,32,520.0,22.5,841.0,P
404,32,520.0,27.5,541.0,P
405,32,520.0,32.5,401.0,P
406,32,520.0,37.5,321.0,P
407,32,520.0,42.5,440.0,P
408,32,520.0,47.5,420.0,P
409,32,520.0,52.5,391.0,P
410,32,520.0,57.5,315.0,P
411,32,520.0,62.5,293.0,P
412,32,520.0,67.5,174.0,P
413,32,520.0,72.5,134.0,N
414,32,520.0,77.5,78.0,P
415,32,520.0,82.5,83.0,N
416,33,529.0,22.5,1971.0,P
417,33,529.0,27.5,842.0,P
418,33,529.0,32.5,693.0,P
419,33,529.0,37.5,840.0,P
420,33,529.0,42.5,899.0,P
421,33,529.0,47.5,934.0,P
422,33,529.0,52.5,705.0,P
423,33,529.0,57.5,535.0,P
424,33,529.0,62.5,448.0,N
425,33,529.0,67.5,361.0,N
426,33,529.0,72.5,261.0,N
427,33,529.0,77.5,138.0,P
428,33,529.0,82.5,62.0,N
429,34,538.0,22.5,851.0,P
430,34,538.0,27.5,383.0,P
431,34,538.0,32.5,318.0,P
432,34,538.0,37.5,330.0,P
433,34,538.0,42.5,306.0,P
434,34,538.0,47.5,328.0,P
435,34,538.0,52.5,328.0,P
436,34,538.0,57.5,297.0,P
437,34,538.0,62.5,230.0,N
438,34,538.0,67.5,121.0,N
439,34,538.0,72.5,87.0,P
440,34,538.0,77.5,52.0,N
441,34,538.0,82.5,36.0,P
442,35,544.0,22.5,719.0,P
443,35,544.0,27.5,338.0,P
444,35,544.0,32.5,194.0,P
445,35,544.0,37.5,228.0,P
446,35,544.0,42.5,328.0,P
447,35,544.0,47.5,340.0,P
448,35,544.0,52.5,304.0,N
449,35,544.0,57.5,260.0,P
450,35,544.0,62.5,209.0,P
451,35,544.0,67.5,146.0,P
452,35,544.0,72.5,136.0,P
453,35,544.0,77.5,104.0,P
454,35,544.0,82.5,107.0,P
455,36,599.0,22.5,1351.0,P
456,36,599.0,27.5,930.0,P
457,36,599.0,32.5,776.0,P
458,36,599.0,37.5,746.0,P
459,36,599.0,42.5,885.0,P
460,36,599.0,47.5,701.0,P
461,36,599.0,52.5,632.0,N
462,36,599.0,57.5,609.0,P
463,36,599.0,62.5,412.0,P
464,36,599.0,67.5,383.0,P
465,36,599.0,72.5,253.0,N
466,36,599.0,77.5,214.0,P
467,36,599.0,82.5,85.0,P
468,37,650.0,22.5,408.0,P
469,37,650.0,27.5,215.0,P
470,37,650.0,32.5,133.0,P
471,37,650.0,37.5,157.0,P
472,37,650.0,42.5,220.0,P
473,37,650.0,47.5,261.0,P
474,37,650.0,52.5,222.0,P
475,37,650.0,57.5,156.0,P
476,37,650.0,62.5,104.0,P
477,37,650.0,67.5,82.0,P
478,37,650.0,72.5,74.0,P
479,37,650.0,77.5,51.0,P
480,37,650.0,82.5,25.0,P
481,38,683.0,22.5,674.0,P
482,38,683.0,27.5,276.0,P
483,38,683.0,32.5,199.0,P
484,38,683.0,37.5,278.0,P
485,38,683.0,42.5,335.0,P
486,38,683.0,47.5,351.0,P
487,38,683.0,52.5,301.0,P
488,38,683.0,57.5,214.0,P
489,38,683.0,62.5,162.0,P
490,38,683.0,67.5,102.0,N
491,38,683.0,72.5,45.0,P
492,38,683.0,77.5,19.0,P
493,38,683.0,82.5,27.0,P
494,39,693.0,22.5,2378.0,P
495,39,693.0,27.5,1562.0,P
496,39,693.0,32.5,1415.0,P
497,39,693.0,37.5,1063.0,P
498,39,693.0,42.5,1059.0,P
499,39,693.0,47.5,1118.0,P
500,39,693.0,52.5,893.0,N
501,39,693.0,57.5,687.0,N
502,39,693.0,62.5,455.0,N
503,39,693.0,67.5,352.0,P
504,39,693.0,72.5,177.0,P
505,39,693.0,77.5,45.0,N
506,39,693.0,82.5,59.0,N
507,40,694.0,22.5,1197.0,P
508,40,694.0,27.5,531.0,P
509,40,694.0,32.5,467.0,P
510,40,694.0,37.5,620.0,P
511,40,694.0,42.5,720.0,P
512,40,694.0,47.5,654.0,P
513,40,694.0,52.5,509.0,P
514,40,694.0,57.5,386.0,P
515,40,694.0,62.5,293.0,P
516,40,694.0,67.5,177.0,P
517,40,694.0,72.5,89.0,N
518,40,694.0,77.5,60.0,P
519,40,694.0,82.5,17.0,P
520,41,698.0,22.5,798.0,P
521,41,698.0,27.5,385.0,P
522,41,698.0,32.5,279.0,P
523,41,698.0,37.5,351.0,P
524,41,698.0,42.5,434.0,P
525,41,698.0,47.5,398.0,P
526,41,698.0,52.5,355.0,P
527,41,698.0,57.5,272.0,P
528,41,698.0,62.5,175.0,N
529,41,698.0,67.5,84.0,N
530,41,698.0,72.5,26.0,N
531,41,698.0,77.5,9.0,N
532,41,698.0,82.5,10.0,P
533,42,717.0,22.5,1126.0,P
534,42,717.0,27.5,590.0,P
535,42,717.0,32.5,379.0,P
536,42,717.0,37.5,384.0,P
537,42,717.0,42.5,488.0,P
538,42,717.0,47.5,517.0,P
539,42,717.0,52.5,434.0,P
540,42,717.0,57.5,312.0,P
541,42,717.0,62.5,210.0,P
542,42,717.0,67.5,168.0,P
543,42,717.0,72.5,131.0,P
544,42,717.0,77.5,98.0,N
545,42,717.0,82.5,40.0,P
546,43,934.0,22.5,1861.0,P
547,43,934.0,27.5,987.0,P
548,43,934.0,32.5,928.0,P
549,43,934.0,37.5,759.0,P
550,43,934.0,42.5,758.0,P
551,43,934.0,47.5,815.0,P
552,43,934.0,52.5,798.0,N
553,43,934.0,57.5,544.0,N
554,43,934.0,62.5,401.0,N
555,43,934.0,67.5,236.0,N
556,43,934.0,72.5,126.0,N
557,43,934.0,77.5,70.0,P
558,43,934.0,82.5,59.0,P
