d3mIndex,group,conc,age,at.risk,binaryClass
153,12,65.0,72.5,183.0,P
154,12,65.0,77.5,120.0,P
155,12,65.0,82.5,80.0,P
156,13,73.0,22.5,2796.0,P
157,13,73.0,27.5,1759.0,P
158,13,73.0,32.5,1302.0,P
159,13,73.0,37.5,1289.0,P
160,13,73.0,42.5,1401.0,P
161,13,73.0,47.5,1066.0,P
162,13,73.0,52.5,864.0,P
163,13,73.0,57.5,653.0,P
164,13,73.0,62.5,550.0,P
165,13,73.0,67.5,442.0,P
166,13,73.0,72.5,350.0,P
167,13,73.0,77.5,214.0,P
168,13,73.0,82.5,81.0,P
169,14,80.0,22.5,2477.0,P
170,14,80.0,27.5,1667.0,P
171,14,80.0,32.5,939.0,P
172,14,80.0,37.5,782.0,P
173,14,80.0,42.5,878.0,P
174,14,80.0,47.5,1028.0,P
175,14,80.0,52.5,1147.0,P
176,14,80.0,57.5,1030.0,P
177,14,80.0,62.5,589.0,P
178,14,80.0,67.5,348.0,P
179,14,80.0,72.5,223.0,P
180,14,80.0,77.5,113.0,P
181,14,80.0,82.5,86.0,P
182,15,100.0,22.5,1613.0,P
183,15,100.0,27.5,1042.0,P
184,15,100.0,32.5,638.0,P
185,15,100.0,37.5,510.0,P
186,15,100.0,42.5,624.0,P
187,15,100.0,47.5,628.0,P
188,15,100.0,52.5,513.0,P
189,15,100.0,57.5,405.0,P
190,15,100.0,62.5,326.0,P
191,15,100.0,67.5,252.0,P
192,15,100.0,72.5,169.0,P
193,15,100.0,77.5,107.0,P
194,15,100.0,82.5,68.0,P
195,16,110.0,22.5,1508.0,P
196,16,110.0,27.5,809.0,P
197,16,110.0,32.5,522.0,P
198,16,110.0,37.5,582.0,P
199,16,110.0,42.5,519.0,P
200,16,110.0,47.5,506.0,P
201,16,110.0,52.5,404.0,N
202,16,110.0,57.5,316.0,P
203,16,110.0,62.5,243.0,P
204,16,110.0,67.5,170.0,N
205,16,110.0,72.5,113.0,P
206,16,110.0,77.5,39.0,P
207,16,110.0,82.5,22.0,P
208,17,110.0,22.5,1044.0,P
209,17,110.0,27.5,639.0,P
210,17,110.0,32.5,363.0,P
211,17,110.0,37.5,390.0,P
212,17,110.0,42.5,392.0,P
213,17,110.0,47.5,408.0,P
214,17,110.0,52.5,295.0,P
215,17,110.0,57.5,238.0,P
216,17,110.0,62.5,205.0,P
217,17,110.0,67.5,116.0,P
218,17,110.0,72.5,101.0,P
219,17,110.0,77.5,41.0,P
220,17,110.0,82.5,17.0,P
221,18,123.0,22.5,1022.0,P
222,18,123.0,27.5,682.0,P
223,18,123.0,32.5,429.0,P
224,18,123.0,37.5,492.0,P
225,18,123.0,42.5,454.0,P
226,18,123.0,47.5,394.0,P
227,18,123.0,52.5,286.0,P
228,18,123.0,57.5,266.0,P
229,18,123.0,62.5,252.0,P
230,18,123.0,67.5,192.0,P
231,18,123.0,72.5,101.0,P
232,18,123.0,77.5,90.0,P
233,18,123.0,82.5,49.0,P
234,19,126.0,22.5,1616.0,P
235,19,126.0,27.5,897.0,P
236,19,126.0,32.5,516.0,P
237,19,126.0,37.5,485.0,P
238,19,126.0,42.5,588.0,P
239,19,126.0,47.5,555.0,P
240,19,126.0,52.5,474.0,P
241,19,126.0,57.5,411.0,P
242,19,126.0,62.5,345.0,P
243,19,126.0,67.5,285.0,P
244,19,126.0,72.5,184.0,P
245,19,126.0,77.5,104.0,P
246,19,126.0,82.5,48.0,P
247,20,256.0,22.5,2506.0,P
248,20,256.0,27.5,1455.0,P
249,20,256.0,32.5,923.0,P
250,20,256.0,37.5,796.0,P
251,20,256.0,42.5,929.0,P
252,20,256.0,47.5,853.0,P
253,20,256.0,52.5,708.0,P
254,20,256.0,57.5,510.0,P
255,20,256.0,62.5,392.0,P
256,20,256.0,67.5,275.0,P
257,20,256.0,72.5,202.0,P
258,20,256.0,77.5,111.0,P
259,20,256.0,82.5,42.0,P
260,21,256.0,22.5,1036.0,P
261,21,256.0,27.5,511.0,P
262,21,256.0,32.5,249.0,P
263,21,256.0,37.5,277.0,P
264,21,256.0,42.5,255.0,P
265,21,256.0,47.5,281.0,P
266,21,256.0,52.5,353.0,P
267,21,256.0,57.5,226.0,P
268,21,256.0,62.5,204.0,P
269,21,256.0,67.5,201.0,P
270,21,256.0,72.5,153.0,P
271,21,256.0,77.5,83.0,P
272,21,256.0,82.5,43.0,P
273,22,259.0,22.5,1425.0,P
274,22,259.0,27.5,773.0,P
275,22,259.0,32.5,468.0,P
276,22,259.0,37.5,379.0,P
277,22,259.0,42.5,457.0,P
278,22,259.0,47.5,439.0,P
279,22,259.0,52.5,403.0,P
280,22,259.0,57.5,374.0,P
281,22,259.0,62.5,346.0,P
282,22,259.0,67.5,237.0,P
283,22,259.0,72.5,143.0,P
284,22,259.0,77.5,75.0,P
285,22,259.0,82.5,61.0,P
286,23,307.0,22.5,733.0,P
287,23,307.0,27.5,398.0,P
288,23,307.0,32.5,202.0,P
289,23,307.0,37.5,213.0,P
290,23,307.0,42.5,272.0,P
291,23,307.0,47.5,292.0,P
292,23,307.0,52.5,239.0,P
293,23,307.0,57.5,154.0,P
294,23,307.0,62.5,169.0,P
295,23,307.0,67.5,140.0,P
296,23,307.0,72.5,85.0,P
297,23,307.0,77.5,32.0,P
298,23,307.0,82.5,24.0,P
299,24,307.0,22.5,1231.0,P
300,24,307.0,27.5,740.0,P
301,24,307.0,32.5,501.0,P
302,24,307.0,37.5,514.0,P
303,24,307.0,42.5,563.0,P
304,24,307.0,47.5,539.0,P
305,24,307.0,52.5,440.0,P
306,24,307.0,57.5,300.0,P
307,24,307.0,62.5,212.0,P
308,24,307.0,67.5,131.0,P
309,24,307.0,72.5,90.0,P
310,24,307.0,77.5,66.0,N
311,24,307.0,82.5,37.0,P
312,25,350.0,22.5,1024.0,P
313,25,350.0,27.5,551.0,P
314,25,350.0,32.5,346.0,P
315,25,350.0,37.5,291.0,P
316,25,350.0,42.5,351.0,P
317,25,350.0,47.5,334.0,P
318,25,350.0,52.5,259.0,P
319,25,350.0,57.5,204.0,P
320,25,350.0,62.5,143.0,P
321,25,350.0,67.5,176.0,P
322,25,350.0,72.5,122.0,P
323,25,350.0,77.5,55.0,P
324,25,350.0,82.5,56.0,P
325,26,398.0,22.5,745.0,P
326,26,398.0,27.5,380.0,P
327,26,398.0,32.5,269.0,P
328,26,398.0,37.5,218.0,P
329,26,398.0,42.5,250.0,P
330,26,398.0,47.5,327.0,P
331,26,398.0,52.5,294.0,P
332,26,398.0,57.5,224.0,P
333,26,398.0,62.5,167.0,P
334,26,398.0,67.5,103.0,P
335,26,398.0,72.5,60.0,P
336,26,398.0,77.5,19.0,P
337,26,398.0,82.5,13.0,P
338,27,406.0,22.5,1203.0,P
339,27,406.0,27.5,570.0,P
340,27,406.0,32.5,311.0,P
341,27,406.0,37.5,342.0,P
342,27,406.0,42.5,341.0,P
343,27,406.0,47.5,442.0,P
344,27,406.0,52.5,336.0,P
345,27,406.0,57.5,319.0,P
346,27,406.0,62.5,249.0,P
347,27,406.0,67.5,201.0,P
348,27,406.0,72.5,104.0,P
349,27,406.0,77.5,36.0,P
350,27,406.0,82.5,28.0,P
351,28,448.0,22.5,1164.0,P
352,28,448.0,27.5,592.0,P
353,28,448.0,32.5,379.0,P
354,28,448.0,37.5,374.0,P
355,28,448.0,42.5,415.0,P
356,28,448.0,47.5,364.0,P
357,28,448.0,52.5,339.0,P
358,28,448.0,57.5,287.0,P
359,28,448.0,62.5,220.0,P
360,28,448.0,67.5,169.0,P
361,28,448.0,72.5,140.0,P
362,28,448.0,77.5,86.0,P
363,28,448.0,82.5,22.0,P
364,29,467.0,22.5,1476.0,P
365,29,467.0,27.5,782.0,P
366,29,467.0,32.5,614.0,P
367,29,467.0,37.5,621.0,P
368,29,467.0,42.5,677.0,P
369,29,467.0,47.5,579.0,P
370,29,467.0,52.5,466.0,P
371,29,467.0,57.5,294.0,N
372,29,467.0,62.5,247.0,P
373,29,467.0,67.5,206.0,P
374,29,467.0,72.5,96.0,P
375,29,467.0,77.5,64.0,P
376,29,467.0,82.5,57.0,P
377,30,504.0,22.5,1348.0,P
378,30,504.0,27.5,696.0,P
379,30,504.0,32.5,546.0,P
380,30,504.0,37.5,514.0,P
381,30,504.0,42.5,637.0,P
382,30,504.0,47.5,549.0,P
383,30,504.0,52.5,445.0,P
384,30,504.0,57.5,371.0,P
385,30,504.0,62.5,294.0,P
386,30,504.0,67.5,201.0,P
387,30,504.0,72.5,104.0,P
388,30,504.0,77.5,80.0,P
389,30,504.0,82.5,58.0,P
390,31,520.0,22.5,1089.0,P
391,31,520.0,27.5,531.0,P
392,31,520.0,32.5,326.0,P
393,31,520.0,37.5,322.0,P
394,31,520.0,42.5,418.0,P
395,31,520.0,47.5,396.0,P
396,31,520.0,52.5,332.0,P
397,31,520.0,57.5,247.0,P
398,31,520.0,62.5,220.0,P
399,31,520.0,67.5,194.0,P
400,31,520.0,72.5,148.0,P
401,31,520.0,77.5,93.0,P
402,31,520.0,82.5,74.0,P
403,32,520.0,22.5,1161.0,P
404,32,520.0,27.5,778.0,P
405,32,520.0,32.5,450.0,P
406,32,520.0,37.5,420.0,P
407,32,520.0,42.5,419.0,P
408,32,520.0,47.5,430.0,P
409,32,520.0,52.5,362.0,P
410,32,520.0,57.5,279.0,P
411,32,520.0,62.5,207.0,P
412,32,520.0,67.5,166.0,P
413,32,520.0,72.5,129.0,P
414,32,520.0,77.5,43.0,P
415,32,520.0,82.5,26.0,P
416,33,529.0,22.5,2383.0,P
417,33,529.0,27.5,1446.0,P
418,33,529.0,32.5,859.0,P
419,33,529.0,37.5,855.0,P
420,33,529.0,42.5,892.0,P
421,33,529.0,47.5,847.0,P
422,33,529.0,52.5,691.0,P
423,33,529.0,57.5,550.0,P
424,33,529.0,62.5,373.0,P
425,33,529.0,67.5,295.0,P
426,33,529.0,72.5,145.0,P
427,33,529.0,77.5,67.0,P
428,33,529.0,82.5,51.0,P
429,34,538.0,22.5,1129.0,P
430,34,538.0,27.5,616.0,P
431,34,538.0,32.5,363.0,P
432,34,538.0,37.5,331.0,P
433,34,538.0,42.5,352.0,P
434,34,538.0,47.5,296.0,P
435,34,538.0,52.5,307.0,P
436,34,538.0,57.5,279.0,P
437,34,538.0,62.5,249.0,P
438,34,538.0,67.5,173.0,P
439,34,538.0,72.5,106.0,P
440,34,538.0,77.5,39.0,P
441,34,538.0,82.5,47.0,P
442,35,544.0,22.5,910.0,P
443,35,544.0,27.5,505.0,P
444,35,544.0,32.5,255.0,P
445,35,544.0,37.5,238.0,P
446,35,544.0,42.5,324.0,P
447,35,544.0,47.5,330.0,P
448,35,544.0,52.5,295.0,P
449,35,544.0,57.5,208.0,P
450,35,544.0,62.5,179.0,P
451,35,544.0,67.5,152.0,P
452,35,544.0,72.5,139.0,P
453,35,544.0,77.5,61.0,P
454,35,544.0,82.5,59.0,P
455,36,599.0,22.5,2158.0,P
456,36,599.0,27.5,1217.0,P
457,36,599.0,32.5,935.0,P
458,36,599.0,37.5,747.0,P
459,36,599.0,42.5,854.0,P
460,36,599.0,47.5,698.0,P
461,36,599.0,52.5,702.0,P
462,36,599.0,57.5,560.0,P
463,36,599.0,62.5,502.0,P
464,36,599.0,67.5,226.0,P
465,36,599.0,72.5,227.0,P
466,36,599.0,77.5,142.0,P
467,36,599.0,82.5,91.0,P
468,37,650.0,22.5,620.0,P
469,37,650.0,27.5,345.0,P
470,37,650.0,32.5,186.0,P
471,37,650.0,37.5,148.0,P
472,37,650.0,42.5,178.0,P
473,37,650.0,47.5,233.0,P
474,37,650.0,52.5,227.0,P
475,37,650.0,57.5,156.0,P
476,37,650.0,62.5,122.0,P
477,37,650.0,67.5,88.0,P
478,37,650.0,72.5,57.0,P
479,37,650.0,77.5,46.0,P
480,37,650.0,82.5,19.0,P
481,38,683.0,22.5,878.0,P
482,38,683.0,27.5,329.0,P
483,38,683.0,32.5,200.0,P
484,38,683.0,37.5,264.0,P
485,38,683.0,42.5,316.0,P
486,38,683.0,47.5,299.0,P
487,38,683.0,52.5,247.0,P
488,38,683.0,57.5,195.0,P
489,38,683.0,62.5,172.0,P
490,38,683.0,67.5,128.0,P
491,38,683.0,72.5,84.0,P
492,38,683.0,77.5,33.0,P
493,38,683.0,82.5,10.0,P
494,39,693.0,22.5,2567.0,P
495,39,693.0,27.5,1759.0,P
496,39,693.0,32.5,1537.0,P
497,39,693.0,37.5,1037.0,P
498,39,693.0,42.5,1057.0,P
499,39,693.0,47.5,1033.0,P
500,39,693.0,52.5,690.0,N
501,39,693.0,57.5,591.0,N
502,39,693.0,62.5,420.0,P
503,39,693.0,67.5,206.0,P
504,39,693.0,72.5,167.0,P
505,39,693.0,77.5,45.0,N
506,39,693.0,82.5,14.0,P
507,40,694.0,22.5,1817.0,P
508,40,694.0,27.5,1024.0,P
509,40,694.0,32.5,598.0,P
510,40,694.0,37.5,573.0,P
511,40,694.0,42.5,683.0,P
512,40,694.0,47.5,679.0,P
513,40,694.0,52.5,525.0,P
514,40,694.0,57.5,418.0,P
515,40,694.0,62.5,308.0,P
516,40,694.0,67.5,193.0,P
517,40,694.0,72.5,118.0,P
518,40,694.0,77.5,46.0,P
519,40,694.0,82.5,28.0,P
520,41,698.0,22.5,1085.0,P
521,41,698.0,27.5,617.0,P
522,41,698.0,32.5,390.0,P
523,41,698.0,37.5,361.0,P
524,41,698.0,42.5,395.0,P
525,41,698.0,47.5,339.0,P
526,41,698.0,52.5,337.0,P
527,41,698.0,57.5,275.0,P
528,41,698.0,62.5,195.0,P
529,41,698.0,67.5,167.0,P
530,41,698.0,72.5,102.0,P
531,41,698.0,77.5,37.0,P
532,41,698.0,82.5,10.0,P
533,42,717.0,22.5,1425.0,P
534,42,717.0,27.5,849.0,P
535,42,717.0,32.5,509.0,P
536,42,717.0,37.5,463.0,P
537,42,717.0,42.5,530.0,P
538,42,717.0,47.5,501.0,P
539,42,717.0,52.5,473.0,P
540,42,717.0,57.5,334.0,P
541,42,717.0,62.5,269.0,P
542,42,717.0,67.5,212.0,P
543,42,717.0,72.5,133.0,P
544,42,717.0,77.5,80.0,P
545,42,717.0,82.5,37.0,P
546,43,934.0,22.5,2085.0,P
547,43,934.0,27.5,1209.0,P
548,43,934.0,32.5,1087.0,P
549,43,934.0,37.5,745.0,P
550,43,934.0,42.5,693.0,P
551,43,934.0,47.5,739.0,P
552,43,934.0,52.5,616.0,P
553,43,934.0,57.5,513.0,N
554,43,934.0,62.5,342.0,P
555,43,934.0,67.5,154.0,P
556,43,934.0,72.5,87.0,P
557,43,934.0,77.5,30.0,P
558,43,934.0,82.5,41.0,P
