d3mIndex,In1,In2,In3,In4,In5,In6,In7,In8,In9,In10,Out1
79,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0
80,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
81,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0
82,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
83,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,5.0
84,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0
85,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
86,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0
87,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
88,2.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0
89,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0
90,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0
91,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0
92,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0
93,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0
94,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0
95,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0
96,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0
97,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0
98,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0
99,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0
100,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0
101,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0
102,1.0,3.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0
103,3.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0
104,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
105,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0
106,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0
107,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
108,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0
109,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
110,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0
111,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0
112,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0
113,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0
114,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
115,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
116,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0
117,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0
118,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0
119,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0
120,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0
121,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0
122,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0
123,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0
124,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
125,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,5.0
126,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0
127,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0
128,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0
129,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0
130,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
131,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0
132,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0
133,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
134,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0
135,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0
136,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,5.0
137,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0
138,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0
139,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0
140,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0
141,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0
142,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0
143,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0
144,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0
145,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0
146,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0
147,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0
148,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0
149,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0
150,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0
151,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0
152,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0
153,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0
154,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0
155,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0
156,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0
157,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0
158,3.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0
159,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0
160,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0
161,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
162,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0
163,1.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,5.0
164,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0
165,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0
166,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0
167,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0
168,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0
169,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0
170,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0
171,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0
172,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0
173,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0
174,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
175,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0
176,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0
177,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0
178,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0
179,1.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0
180,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0
181,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0
182,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
183,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0
184,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0
185,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0
186,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0
187,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
188,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
189,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
190,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0
191,1.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0
192,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
193,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0
194,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0
195,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0
196,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0
197,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
198,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0
199,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0
200,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0
201,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
202,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
203,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
204,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0
205,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
206,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0
207,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0
208,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0
209,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0
210,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0
211,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0
212,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0
213,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0
214,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0
215,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0
216,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
217,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
218,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0
219,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
220,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0
221,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0
222,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0
223,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0
224,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0
225,3.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0
226,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
227,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0
228,1.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0
229,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0
230,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0
231,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0
232,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0
233,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0
234,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0
235,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0
236,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0
237,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0
238,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0
239,1.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0
240,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0
241,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0
242,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0
243,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0
244,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0
245,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
246,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0
247,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
248,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
249,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0
250,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0
251,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
252,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
253,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0
254,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0
255,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,5.0
256,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0
257,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
258,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,5.0
259,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
260,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0
261,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0
262,3.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0
263,1.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,5.0
264,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0
265,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0
266,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0
267,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0
268,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0
269,3.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0
270,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0
271,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0
272,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
273,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0
274,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
275,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
276,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0
277,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
278,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0
279,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0
280,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0
281,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0
282,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0
283,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0
284,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0
285,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0
286,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0
287,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0
288,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0
289,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
290,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
291,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0
292,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0
293,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0
294,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0
295,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0
296,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0
297,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
298,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0
299,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0
300,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0
301,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0
