d3mIndex,year_zone,year,strip,pdk,damage_rankRJT,damage_rankALL,dry_or_irr,zone,binaryClass
47,8c,88,9.0,1.0,2,2,D,C,N
48,8c,88,9.0,2.0,1,1,D,C,N
49,8c,88,9.0,3.0,2,0,D,C,N
50,8c,88,10.0,1.0,3,3,O,C,N
51,8c,88,10.0,2.0,5,2,D,C,N
52,8c,88,10.0,4.0,4,3,D,C,N
53,9f,89,1.0,1.0,4,4,D,F,N
54,9f,89,1.0,2.0,5,5,D,F,N
55,9f,89,1.0,3.0,0,0,D,F,P
56,9f,89,1.0,4.0,2,4,D,F,N
57,9f,89,2.0,1.0,4,1,D,F,N
58,9f,89,2.0,2.0,2,1,D,F,N
59,9f,89,2.0,3.0,3,4,D,F,N
60,9f,89,3.0,1.0,1,1,D,F,N
61,9f,89,3.0,2.0,3,2,D,F,N
62,9f,89,3.0,3.0,4,4,D,F,N
63,9f,89,4.0,1.0,4,2,D,F,N
64,9f,89,4.0,2.0,1,4,D,F,N
65,9m,89,5.0,1.0,0,0,B,M,P
66,9m,89,5.0,2.0,3,4,D,M,N
67,9m,89,6.0,1.0,2,2,D,M,P
68,9m,89,6.0,2.0,4,4,D,M,P
69,9m,89,6.0,3.0,5,4,D,M,N
70,9m,89,7.0,1.0,0,2,B,M,N
71,9m,89,7.0,2.0,1,0,B,M,P
72,9c,89,9.0,1.0,1,2,D,C,P
73,9c,89,9.0,2.0,3,3,D,C,P
74,9c,89,9.0,3.0,2,1,D,C,N
75,9c,89,10.0,1.0,2,4,O,C,N
76,9c,89,10.0,2.0,2,1,D,C,P
77,9c,89,10.0,3.0,1,3,O,C,N
78,0f,90,1.0,1.0,5,5,D,F,N
79,0f,90,1.0,2.0,1,1,D,F,N
80,0f,90,1.0,3.0,1,1,D,F,N
81,0f,90,2.0,1.0,3,3,D,F,N
82,0f,90,2.0,2.0,2,2,D,F,N
83,0f,90,2.0,3.0,0,0,D,F,P
84,0f,90,3.0,1.0,1,1,O,F,N
85,0f,90,3.0,2.0,2,3,D,F,N
86,0f,90,3.0,3.0,4,4,D,F,N
87,0f,90,4.0,1.0,5,4,D,F,N
88,0f,90,4.0,2.0,3,3,D,F,N
89,0f,90,4.0,3.0,3,4,D,F,N
90,0m,90,5.0,1.0,0,0,B,M,P
91,0m,90,5.0,2.0,5,5,D,M,N
92,0m,90,5.0,3.0,1,1,B,M,N
93,0m,90,6.0,1.0,1,1,D,M,P
94,0m,90,6.0,2.0,2,1,D,M,P
95,0m,90,6.0,3.0,4,4,D,M,N
96,0m,90,7.0,1.0,0,0,B,M,P
97,0m,90,7.0,2.0,4,3,D,M,N
98,0c,90,9.0,1.0,4,2,D,C,N
99,0c,90,9.0,2.0,2,2,D,C,N
100,0c,90,9.0,3.0,4,4,D,C,N
101,0c,90,10.0,1.0,3,3,O,C,N
102,0c,90,10.0,2.0,4,4,D,C,N
103,0c,90,10.0,3.0,5,5,O,C,N
104,1f,91,1.0,1.0,1,1,D,F,N
105,1f,91,1.0,2.0,2,2,D,F,N
106,1f,91,1.0,3.0,5,4,D,F,N
107,1f,91,2.0,1.0,3,3,D,F,N
108,1f,91,2.0,2.0,1,1,D,F,N
109,1f,91,2.0,3.0,2,1,D,F,P
110,1f,91,3.0,1.0,2,2,D,F,N
111,1f,91,3.0,2.0,0,0,D,F,N
112,1f,91,4.0,1.0,3,2,D,F,P
113,1f,91,4.0,2.0,1,2,D,F,N
114,1f,91,4.0,3.0,1,1,D,F,P
115,1m,91,5.0,1.0,0,1,B,M,P
116,1m,91,5.0,2.0,2,2,B,M,P
117,1m,91,5.0,3.0,2,2,B,M,P
118,1m,91,6.0,1.0,5,5,D,M,N
119,1m,91,6.0,2.0,2,1,B,M,P
120,1m,91,6.0,3.0,3,2,D,M,P
121,1m,91,7.0,1.0,0,0,B,M,P
122,1m,91,7.0,2.0,3,0,D,M,N
123,1c,91,9.0,1.0,3,2,D,C,N
124,1c,91,9.0,2.0,3,3,D,C,P
125,1c,91,9.0,3.0,3,2,B,C,N
126,1c,91,10.0,1.0,5,4,D,C,N
127,1c,91,10.0,2.0,3,3,O,C,N
128,1c,91,10.0,3.0,2,1,O,C,N
129,2f,92,1.0,1.0,1,1,D,F,N
130,2f,92,1.0,2.0,0,0,D,F,N
131,2f,92,1.0,3.0,3,3,D,F,P
132,2f,92,1.0,4.0,3,3,D,F,N
133,2f,92,2.0,1.0,1,1,D,F,N
134,2f,92,2.0,2.0,2,2,D,F,P
135,2f,92,2.0,3.0,4,4,D,F,N
136,2f,92,3.0,1.0,3,3,D,F,N
137,2f,92,3.0,2.0,2,2,D,F,N
138,2f,92,3.0,3.0,1,1,O,F,N
139,2f,92,4.0,1.0,3,3,D,F,N
140,2f,92,4.0,2.0,4,4,D,F,N
141,2f,92,4.0,3.0,1,1,D,F,P
142,2m,92,6.0,1.0,0,0,B,M,P
143,2m,92,6.0,2.0,2,2,D,M,P
144,2m,92,6.0,3.0,4,4,D,M,N
145,2m,92,7.0,1.0,2,1,B,M,N
146,2m,92,7.0,2.0,5,4,D,M,N
147,2m,92,7.0,3.0,3,3,D,M,N
148,2c,92,9.0,1.0,1,2,D,C,N
149,2c,92,9.0,2.0,4,4,D,C,N
150,2c,92,9.0,4.0,1,1,B,C,N
151,2c,92,10.0,1.0,3,3,O,C,N
152,2c,92,10.0,2.0,1,1,D,C,N
153,2c,92,10.0,3.0,2,2,O,C,N
154,2c,92,10.0,4.0,3,3,D,C,N
