d3mIndex,Film,Roger_Ebert,Jeffrey_Lyons,Michael_Medved,Rex_Reed,Gene_Shalit,Joel_Siegel,Gene_Siskel,binaryClass
219,NICK_OF_TIME,Mixed,Con,Con,,,Mixed,,P
220,NICO-ICON,Pro,,,,,,Pro,N
221,NIXON,Pro,Pro,Con,Mixed,,Pro,Pro,N
222,NOW_AND_THEN,Con,Pro,,,,Con,Con,P
223,ONCE_UPON_A_TIME_...,Pro,,,Mixed,,,,P
224,ONE_FINE_DAY,,Con,Con,Con,Con,Con,,N
225,OPEN_SEASON,,Pro,Mixed,,,,,N
226,OTHELLO,,Pro,Pro,Mixed,,Mixed,,N
227,PALOOKAVILLE,,Pro,,,,,,N
228,PERSUASION,,Con,,,,Pro,,P
229,PHENOMENON,Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
230,POWDER,Con,Con,,,,,Con,P
231,PREFONTAINE,Pro,Pro,,,,,,P
232,PRIMAL_FEAR,Pro,Mixed,,Pro,,,,P
233,PRISONER_OF_THE_MOUNTAINS,Pro,,,,,,Pro,P
234,PRIVATE_PARTS,Pro,Pro,,,,Pro,Pro,N
235,RACE_THE_SUN,Con,,,,,,Con,P
236,RANSOM,Pro,Pro,Con,Mixed,Mixed,Pro,Pro,N
237,RECKLESS,,Mixed,Con,Pro,,,,P
238,RED_FIRECRACKER_GREEN_FIREC,Con,,,,,,,N
239,RESTORATION,Pro,Pro,Pro,Con,,Pro,Pro,P
240,RETURN_OF_THE_JEDI,Pro,Pro,Pro,,,Pro,Pro,N
241,RHYME_&_REASON,Pro,,,,,Pro,Pro,P
242,RICHARD_III,Pro,Pro,Pro,Pro,,Pro,,P
243,RIDICULE,Pro,Pro,Pro,,,,Pro,N
244,ROB_ROY,,Pro,Mixed,,Mixed,Pro,,N
245,ROMEO_AND_JULIET,Mixed,Mixed,,Con,,Mixed,Pro,N
246,ROSEWOOD,,Pro,,Pro,,Pro,,N
247,RUMBLE_IN_THE_BRONX,Pro,Con,,,,Pro,Pro,N
248,SABRINA,Pro,,Pro,Mixed,Pro,Mixed,Pro,P
249,SCREAM,,Con,,Con,,Mixed,,N
250,SCREAMERS,Mixed,Pro,Con,Con,,,,P
251,SECRETS_&_LIES,,Pro,,Pro,,,,N
252,SELENA,,Pro,Mixed,Mixed,,,Mixed,P
253,SENSE_AND_SENSIBILITY,Mixed,Pro,,Pro,Pro,Pro,Pro,N
254,SET_IT_OFF,,Con,,,,,Mixed,N
255,SEVEN,Pro,Pro,Con,Pro,,,Pro,N
256,SGT._BILKO,Pro,Pro,Pro,,,Mixed,Pro,P
257,SHANGHAI_TRIAD,Mixed,,,Con,,,,N
258,SHES_THE_ONE,Mixed,Pro,Pro,,,Pro,,P
259,SHINE,Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
260,SHOWGIRLS,Con,Con,,,,,Con,P
261,SLEEPERS,Pro,Pro,,Pro,,,Mixed,N
262,SLING_BLADE,Pro,Pro,,,,Pro,Pro,N
263,SMILLAS_SENSE_OF_SNOW,Pro,Mixed,,,,Con,Pro,N
264,SOME_MOTHERS_SON,,Pro,,Pro,,,,N
265,SOMEONE_ELSES_AMERICA,,Pro,,,,,,P
266,SPACE_JAM,Pro,Pro,,,Pro,Pro,Pro,N
267,SPY_HARD,,,Pro,Con,,,,N
268,STAR_TREK:FIRST_CONTACT,,Con,Pro,,,,,N
269,STEAL_BIG_STEAL_LITTLE,Con,Con,,Con,,Con,Con,P
270,STEALING_BEAUTY,Mixed,Con,,Con,,,,N
271,STONEWALL,Mixed,,,,,,Pro,N
272,STRANGE_DAYS,Pro,Con,,Con,,Con,Mixed,N
273,STRIPTEASE,Mixed,Con,Con,Con,Con,,Con,P
274,STUART_SAVES_HIS_FAMILY,Pro,,Pro,,,,,P
275,SUBURBIA,,Con,Mixed,Con,,Pro,,N
276,SUDDEN_DEATH,Mixed,Pro,Pro,,,Con,Pro,P
277,SUNSET_PARK,Mixed,,,Con,,,Pro,P
278,SURVIVING_PICASSO,,,,Pro,,Mixed,,N
279,SWEET_NOTHING,Pro,,,Pro,,,,P
280,SWINGERS,,,Pro,,,,,N
281,THAT_DARN_CAT,Con,Con,,,,,Con,P
282,THAT_THING_YOU_DO!,,,Pro,Pro,Mixed,,,N
283,THE_ADDICTION,,Con,,,,,,N
284,THE_ADVENTURES_OF_PINOCCHIO,Mixed,Pro,,Con,,,,N
285,THE_AMERICAN_PRESIDENT,,,Mixed,Pro,Pro,Pro,,N
286,THE_ARRIVAL,Pro,Pro,Pro,,,,Pro,P
287,THE_ASSOCIATE,,Pro,Con,,Pro,Pro,,N
288,THE_BASKETBALL_DIARIES,Con,Pro,Mixed,Pro,,,Con,N
289,THE_BEAUTICIAN_AND_THE_BEAST,Mixed,Pro,Con,,,Mixed,Mixed,N
290,THE_BIG_SQUEEZE,Con,,,,,,,P
291,THE_BIRDCAGE,Pro,Pro,,Con,Pro,Pro,,N
292,THE_CABLE_GUY,Mixed,Con,Pro,Mixed,Mixed,Mixed,Pro,P
293,THE_CELLULOID_CLOSET,,,,,,Pro,,N
294,THE_CHAMBER,Mixed,Pro,,,,Mixed,Con,P
295,THE_CRAFT,,Con,Con,,,,,P
296,THE_CROSSING_GUARD,Mixed,Con,Con,Pro,,,Mixed,N
297,THE_CRUCIBLE,,Pro,,Pro,,Pro,,N
298,THE_CURE,Mixed,Pro,Pro,Pro,,,Mixed,N
299,THE_DAYTRIPPERS,,,Pro,,,Pro,,N
300,THE_DOOM_GENERATION,Con,,,,,,,N
301,THE_EIGHTH_DAY,,,,,,,,N
302,THE_EMPIRE_STRIKES_BACK,,,Pro,,,Pro,,N
303,THE_ENGLISH_PATIENT,,Pro,,Mixed,Pro,Pro,,N
304,THE_EVENING_STAR,,Pro,Mixed,Pro,,,,N
305,THE_FAN,,Con,,Con,Mixed,Pro,,P
306,THE_FIRST_WIVES_CLUB,Mixed,,,Pro,Pro,Pro,Mixed,N
307,THE_FLOWER_OF_MY_SECRET,Con,Pro,Mixed,Mixed,,,,N
308,THE_FRIGHTENERS,Con,Con,Pro,,,,Mixed,N
309,THE_FUNERAL,Pro,,,Con,,,,N
310,THE_GHOST_AND_THE_DARKNESS,Con,,Pro,Pro,,Pro,Pro,N
311,THE_GODFATHER,,Pro,,,,Pro,,N
312,THE_GRASS_HARP,,Pro,Con,Pro,,Pro,,P
313,THE_GREAT_WHITE_HYPE,,Mixed,,,,,,N
314,THE_ISLAND_OF_DR._MOREAU,,Mixed,,,,,,N
315,THE_JUROR,Mixed,Con,Mixed,Con,Con,Mixed,Con,P
316,THE_LAST_GOOD_TIME,Pro,,,,,,,N
317,THE_LAST_SUPPER,Pro,Mixed,,,,,Pro,N
318,THE_LINE_KING,,,,Pro,,,,N
319,THE_LONG_KISS_GOODNIGHT,Mixed,Mixed,,Con,,Pro,Pro,N
320,THE_MIRROR_HAS_TWO_FACES,,Con,Con,Con,Pro,Pro,Pro,P
321,THE_MONSTER,,Pro,,,,,,N
322,THE_NEON_BIBLE,,,,Con,,,,N
323,THE_NUTTY_PROFESSOR,Pro,Pro,Mixed,Con,Con,,,N
324,THE_PALLBEARER,,Pro,Con,,,,,N
325,THE_PEBBLE_AND_THE_PENGUIN,,,Con,,,,,P
326,THE_PEOPLE_VS_LARRY_FLYNT,,Pro,,Pro,Pro,Pro,,N
327,THE_PHANTOM,Pro,Mixed,Pro,,Pro,,Mixed,P
328,THE_POMPATUS_OF_LOVE,Mixed,Pro,,,,,,P
329,THE_PORTRAIT_OF_A_LADY,Pro,Con,Pro,,,,Pro,N
330,THE_PREACHERS_WIFE,Pro,Pro,Pro,,,Mixed,Pro,P
331,THE_QUEST,,,,,,,,P
332,THE_QUIET_ROOM,,,,,,,,N
333,THE_RELIC,Pro,,Con,,,,,P
334,THE_RICH_MANS_WIFE,Mixed,Con,Con,,,,,P
335,THE_ROCK,Pro,Mixed,,,Pro,,Mixed,N
336,THE_RUN_OF_THE_COUNTRY,Mixed,Pro,,Pro,,,Pro,P
337,THE_SCARLET_LETTER,Con,Con,Con,,,Con,,P
338,THE_SEARCH_FOR_1-EYED_JIMMY,,Con,,,,,,P
339,THE_SECRET_AGENT,,Con,,Pro,,Pro,,N
340,THE_SPITFIRE_GRILL,Mixed,Pro,Pro,,Pro,Pro,,P
341,THE_STAR_MAKER,Pro,Pro,,,,,Pro,P
342,THE_SUBSTANCE_OF_FIRE,Pro,,,Pro,,,,N
343,THE_SUBSTITUTE,Con,Mixed,,,,,Mixed,P
344,THE_TRUTH_ABOUT_CATS_&_DOGS,Pro,Pro,Pro,Pro,Mixed,Pro,,N
345,THE_UMBRELLAS_OF_CHARBOURG,Pro,Pro,,Pro,,Pro,Pro,N
346,THE_WAR_AT_HOME,,Pro,,Pro,,Con,,N
347,THE_WHOLE_WIDE_WORLD,Pro,,,,,,Mixed,P
348,THE_YOUNG_POISONERS_HANDBOOK,Pro,,,Pro,,,,N
349,THINGS_TO_DO_IN_DENVER...,Mixed,Con,,,,Con,,N
350,THREE_WISHES,Con,Pro,Pro,,Mixed,,,P
351,TIN_CUP,Pro,Con,Pro,Mixed,Mixed,Pro,Pro,N
352,TO_DIE_FOR,Pro,Pro,Pro,Pro,,Pro,Pro,P
353,TO_GILLIAN_ON_HER_37TH_BDAY,Mixed,Pro,Mixed,,,,Mixed,P
354,TO_WONG_FOO_THANKS_FOR...,Mixed,Con,Con,Con,,Con,Pro,N
355,TOTAL_ECLIPSE,Mixed,,,,,,,P
356,TOUCH,Mixed,Con,Con,Con,,Con,Mixed,P
357,TOY_STORY,Pro,Pro,,Pro,Pro,Pro,,N
358,TRAINSPOTTING,,Pro,Con,,,Pro,Pro,N
359,TREES_LOUNGE,,Con,,,,,,N
360,TROMEO_AND_JULIET,,Pro,Con,,,,,P
361,TURBULENCE,Con,,Mixed,,,,,P
362,TWELFTH_NIGHT,Pro,,,,,Pro,,N
363,TWISTER,Mixed,Con,Mixed,Con,,Mixed,,N
364,TWO_BITS,Con,Mixed,,,,,,P
365,TWO_MUCH,Con,Con,,Con,,Con,,P
366,UNDER_THE_DOMIN_TREE,,Mixed,Pro,,,,,P
367,UNFORGETTABLE,Con,Con,Pro,Con,,Con,Pro,P
368,UNHOOK_THE_STARS,,,,Pro,,,,N
369,UNSTRUNG_HEROES,Pro,,Mixed,Pro,,Pro,Con,N
370,UP_CLOSE_&_PERSONAL,Pro,Pro,Con,Con,Pro,Pro,Con,N
371,VAMPIRE_IN_BROOKLYN,Con,Pro,,,,,Con,P
372,WAITING_TO_EXHALE,Pro,Pro,,Con,,Con,Mixed,N
373,WALKING_&_TALKING,Pro,Pro,,,,Pro,,N
374,WELCOME_TO_THE_DOLLHOUSE,,,,,,,,N
375,WHEN_WE_WERE_KINGS,Pro,,,,,,Pro,P
376,WHITE_MANS_BURDEN,Con,Pro,,Mixed,Con,Pro,Con,N
377,WHITE_SQUALL,Pro,Pro,Mixed,Pro,,Con,,N
378,WILD_BILL,Con,Pro,Con,Pro,,Con,Pro,N
