d3mIndex,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
182,Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,?,floral,1
183,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,1
184,Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,2
185,bohemian,Average,0.0,L,Winter,turndowncollor,full,natural,mix,?,?,solid,1
186,Casual,Low,0.0,free,?,o-neck,full,natural,cotton,?,?,patchwork,1
187,cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
188,Sexy,Average,0.0,S,Automn,v-neck,sleevless,empire,cotton,?,beading,solid,1
189,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,?,?,solid,2
190,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,?,lace,solid,2
191,work,low,4.7,free,Summer,o-neck,full,empire,cotton,?,?,solid,1
192,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,?,rivet,solid,1
193,cute,Average,0.0,M,Summer,o-neck,short,natural,cotton,chiffon,?,print,1
194,Casual,Average,4.7,M,winter,o-neck,full,?,?,?,?,animal,1
195,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,?,applique,solid,2
196,party,Average,5.0,free,Summer,v-neck,sleevless,?,?,?,?,?,1
197,Casual,Average,0.0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,?,patchwork,1
198,Sexy,Average,5.0,L,winter,o-neck,threequarter,natural,polyster,?,lace,geometric,1
199,Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,?,embroidary,solid,1
200,Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,?,?,dot,1
201,Casual,Average,4.1,M,Automn,v-neck,full,?,?,chiffon,sashes,?,2
202,Casual,Average,5.0,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,?,?,1
203,Sexy,Average,5.0,M,Summer,v-neck,sleevless,empire,cotton,?,sequined,solid,2
204,work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,?,?,solid,1
205,Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,?,?,?,?,?,1
206,vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,?,worsted,?,solid,1
207,Casual,Average,0.0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,?,solid,2
208,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,?,print,1
209,bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,?,sashes,print,1
210,Casual,low,5.0,free,Spring,slash-neck,sleevless,empire,spandex,?,?,striped,2
211,Casual,Average,5.0,M,Winter,o-neck,sleevless,natural,?,chiffon,sashes,solid,2
212,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,?,striped,1
213,work,low,4.5,M,Winter,v-neck,threequarter,?,?,?,?,patchwork,1
214,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,?,lace,patchwork,2
215,Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,?,dobby,lace,animal,1
216,sexy,Low,4.3,M,Automn,open,short,natural,lace,?,lace,print,1
217,Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,2
218,Casual,low,4.6,L,Winter,o-neck,full,?,cotton,?,?,?,1
219,Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,?,chiffon,sashes,solid,2
220,Casual,low,0.0,free,Automn,peterpan-collor,threequarter,empire,?,?,?,?,1
221,Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,?,chiffon,?,?,2
222,Casual,Average,0.0,S,Summer,o-neck,sleevless,empire,cotton,?,?,solid,1
223,Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,?,?,print,2
224,Casual,Average,5.0,S,Winter,o-neck,sleevless,empire,polyster,chiffon,?,plaid,1
225,Sexy,very-high,0.0,free,Winter,v-neck,sleevless,natural,polyster,knitting,?,solid,1
226,Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,?,sashes,print,1
227,Casual,Average,4.8,M,Automn,v-neck,short,?,?,chiffon,embroidary,print,2
228,Casual,Average,5.0,free,Summer,v-neck,sleevless,?,modal,?,?,patchwork,1
229,Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,?,?,print,2
230,Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,?,striped,1
231,Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,?,?,1
232,Casual,low,5.0,S,Spring,o-neck,sleevless,natural,chiffonfabric,?,?,print,1
233,cute,Average,0.0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,1
234,Casual,low,4.8,free,Spring,o-neck,sleevless,?,chiffonfabric,chiffon,?,print,2
235,Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,?,applique,dot,1
236,bohemian,Average,5.0,M,Spring,slash-neck,sleevless,empire,?,chiffon,ruffles,solid,2
237,Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,?,sashes,print,2
238,Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,1
239,Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,?,?,solid,2
240,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,1
241,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,?,patchwork,1
242,Casual,Average,3.5,M,winter,v-neck,short,natural,?,?,?,solid,1
243,Casual,Average,4.8,M,winter,o-neck,threequarter,natural,?,?,?,print,2
244,Casual,Average,0.0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,2
245,Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,?,sashes,striped,1
246,Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,?,broadcloth,?,print,2
247,Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,?,button,solid,1
248,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,?,?,character,1
249,Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,?,solid,1
250,Casual,low,4.7,S,summer,o-neck,full,natural,cotton,?,?,patchwork,1
251,cute,Low,0.0,free,Summer,boat-neck,sleevless,?,cotton,?,?,print,1
252,party,very-high,5.0,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,?,2
253,Casual,Average,4.9,M,Automn,v-neck,sleevless,?,polyster,?,?,?,2
254,party,very-high,0.0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,?,1
255,party,very-high,0.0,M,Winter,v-neck,cap-sleeves,?,?,chiffon,lace,?,1
256,Casual,Low,4.4,M,Winter,v-neck,turndowncollor,?,cotton,?,?,?,2
257,party,very-high,0.0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,?,2
258,party,high,0.0,M,Winter,Sweetheart,sleevless,natural,?,?,pearls,?,1
259,party,high,0.0,M,Spring,Sweetheart,sleevless,?,nylon,?,?,?,1
260,party,Average,5.0,M,Winter,o-neck,capsleeves,empire,polyster,?,lace,?,2
261,party,high,4.7,M,Winter,sweetheart,sleeveless,natural,?,chiffon,flowers,?,1
262,party,?,4.8,free,Winter,o-neck,sleevless,empire,?,?,embroidary,?,2
263,party,?,4.5,L,Summer,?,full,?,?,?,?,?,2
264,party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,?,chiffon,beading,?,2
265,party,high,4.6,M,winter,Sweetheart,sleevless,natural,?,chiffon,?,?,1
266,party,Average,5.0,M,Spring,Sweetheart,sleevless,natural,polyster,?,?,?,2
267,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,?,2
268,party,very-high,0.0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,?,2
269,party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,?,1
270,party,Average,4.8,L,?,Sweetheart,sleevless,empire,?,?,pleat,?,2
271,party,Medium,4.6,S,Winter,Scoop,short,empire,?,?,crystal,?,1
272,party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,?,2
273,party,Medium,4.8,S,Spring,v-neck,sleevless,empire,?,?,?,?,2
274,party,very-high,4.2,L,Winter,v-neck,sleevless,?,?,?,lace,?,2
275,Casual,Low,4.4,free,Summer,o-neck,sleevless,?,?,?,?,?,2
276,party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,?,2
277,party,very-high,0.0,M,Winter,o-neck,full,natural,?,?,feathers,?,2
278,Casual,high,4.6,M,Summer,Sweetheart,sleevless,empire,?,?,beading,?,2
279,party,Average,4.7,free,Winter,o-neck,sleevless,?,polyster,?,?,?,1
280,party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,?,2
281,party,very-high,4.5,M,Spring,v-neck,cap-sleeves,?,?,?,lace,?,2
282,party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,2
283,party,high,4.8,M,Summer,Sweetheart,sleevless,princess,?,sattin,?,?,2
284,party,high,4.6,M,Summer,slash-neck,sleevless,natural,?,chiffon,?,?,2
285,party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,?,2
286,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,2
287,party,Average,5.0,M,Spring,o-neck,sleevless,?,?,?,?,?,2
288,party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,?,2
289,party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,?,2
290,party,very-high,4.9,L,Spring,slash-neck,sleevless,?,?,chiffon,flowers,?,2
291,party,Medium,0.0,free,Winter,v-neck,short,empire,?,chiffon,lace,?,2
292,work,Average,5.0,free,Winter,o-neck,half,?,microfiber,?,?,?,1
293,party,very-high,4.9,M,Spring,v-neck,sleevless,empire,?,sattin,beading,?,2
294,Casual,high,5.0,free,Summer,v-neck,sleevless,natural,nylon,?,?,?,2
295,Casual,very-high,0.0,small,Spring,o-neck,full,?,?,chiffon,applique,?,1
296,Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,?,bow,?,2
297,party,Average,0.0,M,Spring,v-neck,sleevless,natural,?,?,?,?,2
298,Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,?,?,?,2
299,Casual,very-high,4.6,M,winter,o-neck,short,natural,?,?,flowers,?,2
300,Casual,Low,4.4,free,winter,halter,sleevless,natural,?,?,draped,?,2
301,party,high,4.5,M,winter,o-neck,sleevless,?,?,?,?,?,2
302,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,?,?,?,?,1
303,Sexy,Average,5.0,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,?,1
304,vintage,Average,4.9,free,Summer,o-neck,urndowncollor,empire,?,?,?,?,1
305,vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,?,?,?,1
306,work,Average,4.9,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,?,1
307,Casual,low,4.7,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,?,?,1
