d3mIndex,V1,V2,Class
75,-0.508,-0.715,2
76,0.603,-0.108,2
77,-0.323,-0.213,2
78,-0.124,-1.12,1
79,-0.439,-0.961,1
80,0.201,0.0024,2
81,0.812,0.708,1
82,0.888,0.817,1
83,0.0238,0.0836,2
84,0.415,-1.0,1
85,-0.308,2.19,2
86,0.767,-0.248,2
87,1.23,-1.2,2
88,1.33,1.63,2
89,0.27,0.0491,2
90,-1.69,-1.87,2
91,0.495,-0.281,2
92,-0.519,-0.799,1
93,-1.99,0.549,1
94,1.36,-0.732,2
95,-1.03,0.654,1
96,0.431,-1.33,1
97,-0.0583,-1.15,1
98,-0.209,0.345,2
99,1.26,-1.37,2
100,-1.78,-0.378,2
101,0.98,-0.0439,2
102,-0.0536,1.6,1
103,-1.39,-0.451,2
104,1.22,-0.361,2
105,1.22,0.561,1
106,-0.838,0.356,2
107,-0.446,-0.861,1
108,1.17,-1.39,2
109,-0.0868,-1.33,1
110,-1.12,0.576,1
111,-0.28,-1.3,1
112,-0.0269,0.958,2
113,-0.697,1.35,1
114,1.38,-1.74,2
115,0.408,1.16,1
116,1.2,1.54,2
117,2.07,1.02,2
118,-0.462,-0.187,2
119,1.27,0.589,1
120,-0.101,-0.765,1
121,-0.819,1.26,1
122,0.615,-0.0228,2
123,-1.79,-0.98,2
124,-1.79,-0.954,2
125,0.826,1.5,2
126,0.845,0.766,1
127,-0.476,-1.49,1
128,1.01,0.48,1
129,1.39,-0.376,1
130,0.357,-1.07,1
131,0.77,1.4,1
132,-1.08,0.114,2
133,-0.795,-1.43,1
134,0.706,1.38,2
135,-1.26,0.23,2
136,-0.833,-0.569,1
137,-0.0303,2.11,1
138,-0.223,-0.419,2
139,-0.562,-0.873,1
140,0.926,0.972,1
141,-1.86,-1.57,2
142,-0.806,0.941,1
143,-0.214,0.38,2
144,0.744,1.42,2
145,1.94,-0.65,1
146,1.77,1.35,2
147,-0.903,0.101,2
148,-0.0418,-1.02,1
149,0.309,-0.175,2
150,-0.634,-0.969,1
151,-1.62,0.102,1
152,-1.21,1.27,1
153,0.529,0.133,1
154,0.386,1.55,1
155,-0.0962,0.19,2
156,-0.536,1.13,1
157,1.02,-0.261,2
158,-0.876,-1.0,1
159,2.35,1.21,2
160,-0.982,-1.08,1
161,-1.16,0.469,2
162,-1.74,0.693,1
163,-1.1,1.16,1
164,0.0179,-0.7,2
165,-0.62,-0.984,1
166,-1.52,0.66,1
167,1.07,-0.985,2
168,0.917,0.525,1
169,-0.0482,1.52,1
170,1.49,1.55,2
171,-0.584,1.01,1
172,-0.0625,-0.12,2
173,-1.68,1.08,1
174,-1.77,-0.923,2
175,-0.202,0.712,2
176,1.06,-0.427,2
177,1.71,1.1,2
178,-1.7,0.872,1
179,1.86,1.14,2
180,-0.529,-0.357,2
181,-0.411,-1.3,1
182,0.666,1.36,2
183,0.162,-0.791,1
184,-0.296,0.255,2
185,-0.0347,1.3,1
186,0.294,-1.5,1
187,-0.52,-1.17,1
188,0.741,-1.2,2
189,-1.33,1.08,1
190,-0.0987,0.966,2
191,0.0131,-0.969,1
192,0.896,1.58,2
193,-0.412,0.492,2
194,0.683,1.07,1
195,-0.753,-0.0615,2
196,-0.0674,1.85,1
197,1.08,0.683,1
198,1.15,0.243,1
199,0.497,-0.671,2
200,0.174,1.92,1
201,1.64,0.0477,1
202,-0.478,-0.796,1
203,-0.447,-1.0,1
204,-1.04,-0.2,2
205,2.06,-0.482,1
206,-0.89,-1.17,1
207,0.312,-1.23,1
208,0.976,-1.39,2
209,0.291,-0.795,1
210,0.303,-0.143,2
211,1.1,-0.695,2
212,0.579,-1.02,2
213,-1.54,0.685,1
214,0.916,0.144,2
215,1.18,0.614,1
216,0.254,-0.862,1
217,-0.877,-0.401,2
218,1.97,0.99,2
219,0.471,1.39,1
220,1.63,0.475,1
221,0.945,0.309,1
222,0.121,-1.3,1
223,1.06,-0.69,2
224,1.42,-0.32,2
225,0.535,0.504,2
226,0.912,-0.114,1
227,-0.75,1.14,1
228,1.14,-0.209,2
229,-1.03,-1.09,1
230,0.268,-1.08,2
231,-1.77,-0.828,2
232,0.378,-0.0609,2
233,1.19,0.113,2
234,-0.168,1.32,1
235,2.07,1.21,2
236,-1.07,0.707,1
237,-1.19,0.309,1
238,1.19,0.697,1
239,0.121,1.72,1
240,1.23,-0.0582,2
241,0.44,0.399,2
242,-0.723,0.633,1
243,-0.63,0.949,1
244,0.143,0.263,2
245,1.23,-0.615,2
246,1.9,-0.0565,1
247,1.22,-0.0172,1
248,0.0107,0.0258,2
249,0.36,-0.715,2
250,0.139,-1.01,1
251,0.308,-1.06,1
252,-0.645,-0.238,2
253,1.15,0.715,1
254,-0.531,-1.27,1
255,1.05,0.701,1
256,0.0681,-0.76,1
257,-0.595,1.46,1
258,0.72,0.989,1
259,-1.86,-0.963,2
260,0.0692,-0.828,1
261,0.863,0.765,1
262,-0.574,1.32,1
263,-0.467,-1.51,1
264,1.43,0.484,1
265,-0.592,-1.17,1
266,0.122,-0.041,2
267,0.909,0.118,1
268,-0.705,-0.93,1
269,1.05,0.453,1
270,-0.786,-1.33,1
271,0.07,1.7,1
272,-0.36,-1.28,1
273,-1.25,0.985,1
274,1.33,1.42,2
275,0.778,-0.694,2
276,-1.87,-1.26,2
277,0.178,1.49,1
278,-1.03,1.18,1
279,-0.956,-0.818,2
280,0.0345,-0.691,1
281,-1.25,0.512,2
282,-0.187,-1.38,1
283,-1.24,1.0,1
284,0.329,-0.37,2
285,-1.37,-0.803,2
286,0.529,1.62,1
287,-0.23,1.08,1
288,-0.619,-0.748,1
289,-0.914,1.07,1
290,0.163,-1.31,1
291,1.19,-1.34,2
292,0.983,-1.31,2
293,-1.63,-1.41,2
294,-1.02,-0.296,2
295,-0.387,0.26,2
296,-1.59,-1.0,2
297,1.69,-0.724,1
298,-0.869,-0.0393,2
299,-1.9,0.106,2
300,-1.75,0.722,1
301,-1.06,-1.07,1
302,-0.509,-1.41,1
303,-0.112,-0.841,2
304,1.08,0.79,1
305,0.498,0.567,1
306,-0.796,-1.63,1
307,-0.3,-1.04,1
308,-2.34,0.246,1
309,0.842,-1.41,2
310,-0.0263,-1.35,1
311,0.586,1.15,1
312,1.87,-0.239,1
313,0.404,-0.868,1
314,0.564,-1.13,2
315,-0.0584,0.54,2
316,-1.58,-1.26,2
317,-0.813,-0.57,2
318,-0.579,-0.748,2
319,-1.35,1.32,1
320,-0.639,-0.938,1
321,1.49,-0.00779,1
322,0.719,0.0781,2
323,0.0346,1.7,1
324,-0.274,0.0468,2
325,0.207,0.0304,2
326,1.63,-0.251,1
327,-0.207,-0.745,1
328,-0.717,1.0,1
329,1.17,-0.567,2
330,0.661,1.69,1
331,-1.13,0.6,1
332,-0.109,-1.25,1
333,0.68,0.702,1
334,0.867,0.81,1
335,-0.562,-1.01,1
336,1.79,-0.102,1
337,-1.87,-1.1,2
338,-0.946,-0.197,2
339,0.812,-0.195,2
340,0.287,-0.517,2
341,0.262,-0.673,1
342,-0.358,-1.02,1
343,-0.392,-1.27,1
344,-1.2,-1.02,1
345,-0.337,-1.45,1
346,-1.54,-0.643,2
347,0.311,1.76,1
348,-0.473,-0.749,1
349,1.71,0.0217,1
350,1.88,-0.368,1
351,-1.18,-0.0978,2
352,0.0431,-0.0199,2
353,1.23,0.354,1
354,0.0788,-0.0998,2
355,0.0544,-1.59,1
356,-0.24,1.72,2
357,-0.496,-1.09,1
358,-0.636,1.35,1
359,1.15,0.634,1
360,1.29,-1.43,2
361,-0.983,1.06,1
362,-0.206,-0.474,2
363,0.298,-0.829,2
364,-0.972,-1.06,1
365,1.21,0.354,1
366,0.328,1.71,2
367,0.313,-1.07,1
368,-1.24,-0.352,2
369,-1.39,-0.68,2
370,1.2,-1.56,2
371,-0.208,0.332,2
372,0.553,1.54,1
373,0.354,-1.19,1
374,-0.74,-1.53,1
375,-0.769,1.35,1
376,-0.0381,-0.791,1
377,-0.102,-0.13,2
378,-1.06,0.496,2
379,-0.481,1.09,1
380,0.866,-0.917,2
381,1.06,0.266,1
382,1.73,1.68,2
383,-0.516,-0.935,1
384,-0.893,-1.27,1
385,1.2,-0.948,2
386,0.763,1.15,1
387,0.794,0.762,1
388,-0.314,0.0194,2
389,-0.456,1.55,1
390,1.04,0.563,1
391,-0.0978,-0.424,2
392,1.37,-0.643,1
393,-0.201,0.0726,2
394,-1.97,0.611,1
395,0.99,-0.0762,2
396,1.28,0.902,1
397,0.569,1.62,2
398,-1.2,-0.451,2
399,-0.508,1.48,1
400,-1.69,-0.175,1
401,-0.298,-1.26,1
402,0.301,-1.17,1
403,0.975,1.48,1
404,-0.853,-0.254,2
405,0.837,1.75,2
406,0.379,1.36,1
407,-0.364,-0.0828,2
408,0.939,-0.351,2
409,1.24,0.554,1
410,1.37,-0.331,2
411,-0.48,-0.913,1
412,1.34,-0.261,1
413,0.286,1.23,1
414,0.672,2.03,1
415,-0.52,-1.52,1
416,-0.513,1.29,1
417,-0.648,-0.631,1
418,-0.113,-0.197,2
419,0.103,0.329,2
420,-0.941,0.976,1
421,-0.533,-0.402,2
422,1.09,-1.59,2
423,-0.395,-0.756,1
424,1.46,-0.417,2
425,-0.724,-1.26,1
426,-1.59,-0.98,2
427,0.159,1.51,1
428,-0.843,1.4,1
429,-0.581,-1.27,1
430,-0.268,-1.26,1
431,-1.58,-0.842,2
432,-0.52,1.2,1
433,-0.0203,1.92,2
434,-1.52,0.934,1
435,1.05,0.444,1
436,0.351,-0.0402,2
437,-0.322,-1.12,1
438,-0.654,-0.999,1
439,0.165,-1.58,1
440,2.6,0.951,2
441,1.52,-0.0653,1
442,-1.29,-0.529,2
443,1.18,0.392,1
444,-0.00264,-1.02,1
445,1.24,0.273,1
446,1.45,0.398,1
447,0.54,-1.26,1
448,-0.324,-1.03,1
449,-1.69,-1.2,2
450,-0.455,0.868,1
451,2.16,1.16,2
452,-0.232,-1.4,1
453,0.685,1.69,1
454,-0.0537,-1.52,1
455,1.03,0.548,1
456,-0.758,-1.21,1
457,-0.259,0.496,2
458,-0.472,0.411,2
459,-0.127,-1.33,1
460,-0.784,-1.05,1
461,-1.73,-1.32,2
462,-1.24,-0.919,2
463,0.275,-0.987,1
464,1.66,0.672,1
465,-1.07,0.963,1
466,-0.262,1.28,1
467,-1.4,-0.37,2
468,-0.288,0.305,2
469,0.778,1.44,2
470,1.23,-0.493,1
471,-1.27,-0.273,2
472,-0.994,1.14,1
473,0.74,1.2,2
474,0.489,0.904,1
475,0.805,-0.237,2
476,-1.86,-1.47,2
477,-0.617,-1.02,1
478,-0.66,0.965,1
479,0.487,-0.13,2
480,-0.0508,-1.19,1
481,0.96,-0.522,2
482,-1.21,0.778,1
483,0.149,1.98,1
484,-1.76,-0.903,2
485,0.0486,-0.389,2
486,-0.891,1.0,1
487,0.263,-1.48,1
488,1.21,1.28,1
489,-1.46,0.0829,2
490,-1.04,1.19,1
491,-1.69,-0.542,2
492,0.707,0.0524,2
493,1.31,-0.254,1
494,-0.488,-0.566,2
495,1.8,-0.811,1
496,1.84,1.18,2
497,1.49,-0.156,1
498,-0.881,-1.59,1
499,0.529,0.788,2
500,0.571,0.197,2
501,-2.07,0.0318,1
502,-1.23,-0.308,2
503,0.682,1.5,1
504,-1.33,0.0398,2
505,-1.35,0.424,2
506,0.307,-0.678,1
507,0.859,-0.952,2
508,-0.672,0.683,2
509,1.36,0.258,1
510,-0.37,1.48,1
511,-1.9,-1.1,2
512,-1.38,-0.32,2
513,0.234,0.958,1
514,-1.01,-0.771,2
515,-0.739,0.578,2
516,-0.107,-1.5,1
517,0.592,0.973,1
518,0.52,1.21,1
519,0.416,1.86,2
520,-0.181,0.344,2
521,1.27,-0.441,1
522,0.422,-0.934,2
523,-0.704,-0.802,1
524,0.088,-1.25,1
525,0.952,0.427,1
526,1.39,-0.218,1
527,-1.08,-1.3,1
528,1.25,-0.35,1
529,0.183,-1.21,1
530,-0.0765,-1.12,1
531,-0.407,0.602,2
532,0.975,0.809,1
533,-0.0552,0.882,2
534,-0.946,1.02,1
535,1.11,-0.106,1
536,-0.794,1.07,1
537,-0.652,-1.1,1
538,-2.08,-1.78,2
539,-0.631,-0.867,1
540,-0.856,-1.31,1
541,-0.215,-1.01,1
542,-1.12,0.154,2
543,-1.1,0.135,2
544,-0.134,-1.1,1
545,0.844,0.243,1
546,0.472,0.289,2
547,1.64,0.174,1
548,-0.413,-0.0275,2
549,-0.875,0.591,2
550,-0.404,0.178,2
551,-0.297,-0.467,2
552,-0.698,-1.26,1
553,1.2,0.298,1
554,-0.346,-1.5,1
555,-1.14,-0.494,2
556,-0.0242,-0.659,2
557,-0.495,-1.2,1
558,-0.803,-0.782,1
559,-0.641,0.516,2
560,-0.0874,-0.948,1
561,-1.04,0.679,1
562,0.701,0.0237,2
563,-0.677,-1.41,1
564,-0.516,0.831,2
565,-0.864,-1.56,1
566,0.863,-1.02,2
567,-1.12,0.559,2
568,-0.779,-1.14,1
569,-0.9,1.49,1
570,2.43,1.39,2
571,-1.67,-1.73,2
572,0.743,-1.18,2
573,-1.52,-0.658,2
574,1.28,-0.176,2
575,1.58,-1.29,2
576,0.61,0.488,1
577,-2.15,-0.858,2
578,-0.0307,0.678,2
579,-0.227,-1.19,1
580,0.642,1.65,2
581,-1.58,-1.25,2
582,0.373,1.48,1
583,0.333,-0.845,2
584,-1.18,-0.758,2
585,1.15,-1.52,2
586,-0.601,-0.539,2
587,-1.57,-1.74,2
588,0.652,-0.646,2
589,-1.43,1.26,1
590,0.71,0.0529,2
591,1.18,0.585,1
592,-1.01,-1.27,2
593,0.13,1.38,1
594,0.469,-0.321,2
595,-1.08,0.72,1
596,0.987,0.858,1
597,1.57,-0.389,1
598,-0.411,0.727,2
599,-0.72,0.189,2
600,-0.00329,-0.0777,2
601,-0.937,-0.086,2
602,2.21,1.02,2
603,-0.606,-0.997,1
604,1.4,0.377,1
605,0.37,0.312,2
606,-1.41,-0.214,2
607,-0.192,1.66,1
608,-0.0246,-0.141,2
609,1.07,-0.0433,1
610,-0.477,-1.25,1
611,-1.35,-0.485,2
612,0.996,0.225,1
613,-1.25,-1.28,1
614,-0.198,1.67,2
615,-0.8,-0.282,2
616,0.168,0.345,2
617,0.851,1.46,1
618,1.45,-1.24,2
619,-1.02,-1.18,1
620,-1.31,0.916,1
621,-0.457,-0.322,2
622,0.0744,1.04,1
623,0.902,-1.08,2
624,-0.904,0.953,1
625,-0.11,-0.911,1
626,1.01,-1.05,2
627,0.441,-1.13,1
628,-0.287,-0.726,2
629,0.205,-0.471,2
630,-0.625,1.14,1
631,-0.623,-0.737,2
632,-0.254,-0.932,1
633,-0.817,-1.19,1
634,-1.73,0.87,1
635,0.176,1.94,1
636,0.899,-0.235,2
637,0.834,-0.584,2
638,0.15,-0.256,2
639,-1.23,-0.336,2
640,0.866,-0.807,2
641,1.07,0.0877,1
642,-0.256,1.52,1
643,2.34,-1.25,1
644,-0.374,-1.08,1
645,-1.16,0.381,1
646,-1.3,-1.17,2
647,0.527,-0.251,2
648,-0.748,-0.57,2
649,1.02,0.997,1
650,0.105,0.103,2
651,0.563,0.137,2
652,0.317,-0.0233,2
653,0.15,1.3,1
654,-1.31,0.00723,2
655,1.42,-0.146,1
656,0.576,1.7,2
657,-0.106,-0.316,2
658,-1.2,0.932,1
659,-1.14,0.488,1
660,-0.151,1.66,1
661,-1.46,-0.909,2
662,1.36,-0.425,1
663,1.41,0.83,1
664,0.176,-1.11,1
665,-0.526,1.26,1
666,0.552,-1.07,2
667,-1.14,0.304,2
668,-1.64,0.143,2
669,-0.189,-1.24,1
670,0.775,0.0171,2
671,-0.598,1.22,1
672,-1.71,-1.29,2
673,1.52,0.409,1
674,0.548,-0.959,1
675,-0.636,-0.988,2
676,-0.0723,-1.08,1
677,0.0949,-0.854,2
678,0.726,0.289,1
679,1.43,0.147,1
680,-0.0238,0.000407,2
681,0.939,1.69,2
682,-1.29,0.511,1
683,0.324,1.68,2
684,-0.506,-1.09,1
685,0.341,-1.32,1
686,-0.978,0.931,1
687,-1.31,-0.229,2
688,1.29,0.677,1
689,1.01,-0.94,2
690,0.0219,-0.388,2
691,-0.647,-1.22,1
692,-0.31,-1.38,1
693,-0.146,0.132,2
694,1.38,0.877,1
695,0.24,-1.14,1
696,-1.01,-1.53,1
697,1.21,-1.02,2
698,-0.623,1.24,1
699,-1.42,0.83,1
700,-0.0908,-0.846,1
701,1.39,-0.872,2
702,0.502,-0.536,2
703,-0.046,1.51,1
704,-1.35,-1.19,2
705,1.77,0.109,1
706,-0.166,-0.986,1
707,0.152,1.53,1
708,0.308,0.933,1
709,-1.11,0.439,2
710,-1.87,-0.451,2
711,-1.66,-0.735,2
712,1.18,0.424,1
713,-0.109,-0.884,1
714,0.243,0.304,2
715,1.04,0.816,1
716,0.514,1.27,1
717,-0.145,1.67,1
718,0.169,1.86,2
719,-0.984,-0.807,1
720,0.379,-0.755,1
721,-1.11,0.655,2
722,-0.918,1.13,1
723,-0.43,-0.722,1
724,-1.62,-1.85,2
725,0.377,0.198,2
726,-0.329,-0.858,1
727,0.125,2.16,1
728,-0.108,-1.3,1
729,-0.118,1.7,2
730,0.826,0.744,1
731,-1.1,0.811,1
732,1.2,-0.598,2
733,-1.89,-0.727,2
734,1.45,0.229,1
735,0.833,-0.254,2
736,-1.7,-0.845,2
737,0.272,1.82,2
738,0.179,1.81,1
739,-0.951,0.533,1
740,-1.07,0.534,2
741,-0.874,0.922,1
742,-0.0715,1.41,1
743,0.195,-0.296,2
744,0.373,-1.17,1
745,0.808,-0.831,2
746,-0.504,1.03,1
747,1.39,0.262,1
748,1.12,0.862,1
749,0.755,0.22,2
750,1.57,-0.114,1
751,1.32,1.36,2
752,0.802,0.133,1
753,-0.558,0.572,2
754,0.27,0.696,2
755,-0.606,-0.546,2
756,-0.556,-0.505,2
757,-1.74,0.254,1
758,0.143,0.337,2
759,1.19,-0.404,1
760,-0.16,-1.36,1
761,1.29,0.153,1
762,1.47,-0.312,2
763,-0.853,-1.17,1
764,-0.377,0.607,2
765,0.816,0.306,2
766,1.16,-1.08,2
767,0.378,-0.56,2
768,-0.567,-1.14,1
769,0.934,0.258,2
770,1.01,-0.743,2
771,0.96,-0.9,2
772,-0.249,0.0234,2
773,1.45,-0.26,1
774,-0.497,1.07,1
775,0.827,0.755,1
776,0.604,0.374,1
777,2.51,1.11,2
778,0.154,-0.653,2
779,-0.264,-0.768,2
780,-0.573,-0.789,2
781,0.792,0.988,1
782,-0.0338,1.52,1
783,1.59,-0.522,1
784,-0.61,-0.306,2
785,0.184,1.7,2
786,0.0317,-0.821,2
787,0.781,0.415,1
788,0.118,-1.37,1
789,-1.57,0.942,1
790,0.415,1.8,1
791,0.552,2.05,1
792,-1.21,-0.934,1
793,-2.14,-0.476,2
794,0.0154,-1.41,1
795,-0.0789,-1.35,1
796,-0.397,1.32,1
797,-0.466,0.145,2
798,0.238,-1.51,1
799,-0.433,-1.13,1
800,1.3,0.555,1
801,0.0991,-1.05,1
802,0.59,-0.796,2
803,-0.235,-0.617,2
804,0.796,0.429,2
805,-1.97,-0.271,2
806,0.284,2.37,1
807,-0.39,-0.209,2
808,0.165,-0.405,2
809,-0.424,2.01,1
810,-0.934,-1.58,1
811,0.218,-0.368,2
812,-0.283,1.88,2
813,-0.347,-1.5,1
814,-0.342,-1.31,1
815,0.313,0.189,2
816,-0.341,-0.0358,2
817,-0.00698,-1.15,1
818,-1.73,-1.3,2
819,-0.451,0.775,2
820,-1.62,-0.712,2
821,-0.862,-0.0613,2
822,-0.828,-0.839,1
823,-1.01,1.07,1
824,1.02,0.858,1
825,-0.255,0.387,2
826,0.118,0.13,2
827,-0.786,-0.64,2
828,-0.0895,1.65,2
829,2.46,1.23,2
830,-0.803,-0.705,1
831,-0.618,-1.2,1
832,0.713,1.02,1
833,0.976,-1.53,2
834,1.47,1.21,2
835,-1.97,-0.674,2
836,-0.012,1.42,1
837,0.748,-0.558,2
838,-1.45,-0.203,2
839,0.199,-0.86,1
840,-1.68,-0.51,2
841,0.56,0.491,1
842,0.216,-1.12,1
843,-0.232,-0.843,2
844,1.66,1.42,2
845,0.301,2.01,1
846,1.33,0.825,1
847,1.18,0.08,1
848,-1.59,0.138,1
849,1.78,-0.508,1
850,1.37,-1.52,2
851,0.802,0.431,2
852,0.913,-0.318,2
853,0.00564,-1.14,1
854,-1.08,1.31,1
855,0.379,1.37,1
856,-0.106,-0.933,1
857,0.854,-0.827,2
858,-1.47,-0.212,2
859,1.24,-1.33,2
860,-0.314,-0.984,1
861,-0.474,-0.911,1
862,0.659,-0.057,2
863,1.83,0.349,1
864,1.51,-1.15,2
865,-0.237,-1.4,1
866,0.016,-1.13,1
867,0.26,1.91,1
868,-0.104,-1.09,1
869,-0.724,-1.48,1
870,1.24,-0.145,1
871,-0.776,-1.26,1
872,1.16,0.0489,1
873,1.05,-2.08,2
874,0.143,1.05,1
875,-1.42,-1.51,2
876,1.21,0.642,1
877,0.551,1.48,1
878,0.191,1.72,1
879,0.345,-0.891,1
880,-0.396,-1.38,1
881,-1.59,-0.766,2
882,0.903,-1.17,2
883,1.57,-0.0908,1
884,1.18,0.913,1
885,-0.323,-0.264,2
886,-0.302,-1.22,1
887,-1.26,-0.296,2
888,0.874,-1.41,2
889,-0.885,1.05,1
890,-1.52,-0.74,2
891,-0.716,-0.194,2
892,-0.579,-0.397,2
893,-1.52,0.388,1
894,1.57,-0.566,1
895,-0.702,-1.2,1
896,-0.366,-0.882,1
897,1.45,-1.78,2
898,-1.22,0.831,1
899,1.39,-1.11,2
900,0.969,0.921,1
901,0.659,1.07,1
902,-0.238,0.126,2
903,-0.576,-0.463,2
904,0.171,-0.886,1
905,0.893,0.345,1
906,-1.49,0.885,1
907,0.258,0.309,2
908,-0.609,-0.917,1
909,1.05,0.651,1
910,-0.827,-0.506,2
911,0.374,-1.39,1
912,-0.784,0.969,1
913,1.08,1.42,2
914,0.146,-0.151,2
915,-1.93,0.603,1
916,-0.734,-1.09,1
917,-1.19,-0.529,2
918,0.0176,0.0932,2
919,1.72,-0.448,1
920,1.37,0.625,1
921,1.3,0.186,1
922,-0.0618,0.358,2
923,-0.929,-1.39,1
924,1.14,-0.0771,1
925,-0.85,-0.92,1
926,-1.78,-1.49,2
927,-1.86,-0.977,2
928,-0.699,-0.000578,2
929,-0.995,-1.39,1
930,-0.233,0.593,2
931,-0.415,1.48,1
932,-1.66,-0.792,2
933,-0.152,-0.669,1
934,-0.673,0.313,2
935,-1.24,-0.72,2
936,0.73,-0.37,1
937,-1.25,0.104,2
938,1.85,1.38,2
939,0.134,-0.922,1
940,0.546,-0.195,2
941,0.604,1.03,1
942,-1.13,-1.08,2
943,-1.13,0.193,2
944,-1.62,1.02,1
945,-1.07,-1.11,2
946,-0.443,1.86,1
947,0.0438,0.536,2
948,-0.262,-1.2,1
949,0.156,0.152,2
950,-0.311,0.995,2
951,0.639,1.2,1
952,-1.42,-0.36,2
953,-1.43,0.707,1
954,1.52,-1.34,2
955,-1.91,-2.24,2
956,0.132,2.0,1
957,2.06,1.12,2
958,0.512,-1.34,1
959,-0.138,-0.951,1
960,1.15,0.824,1
961,0.233,-1.29,1
962,-0.124,-1.27,1
963,0.0584,-0.638,2
964,0.486,0.245,2
965,-0.0227,0.163,2
966,1.15,1.16,2
967,0.834,1.24,1
968,-2.03,-1.65,2
969,0.0205,1.23,1
970,0.522,1.36,2
971,-0.801,-0.24,2
972,-0.178,-0.238,2
973,1.16,1.05,1
974,-1.94,-1.03,2
975,1.45,0.273,1
976,-1.07,1.16,1
977,0.413,-1.3,1
978,1.32,0.0928,1
979,0.322,1.68,2
980,-0.292,-1.32,1
981,0.206,1.19,1
982,-0.639,-1.37,1
983,0.407,1.67,2
984,0.144,1.56,1
985,-1.58,0.588,1
986,-1.58,0.807,1
987,0.683,-0.0347,2
988,-0.668,-1.13,1
989,-2.05,-1.4,2
990,-0.679,-0.0957,2
991,-0.924,1.45,1
992,-0.547,-1.31,1
993,0.0296,1.2,1
994,2.23,0.895,2
995,-0.56,-1.41,1
996,-0.558,-1.67,1
997,0.0598,-1.26,1
998,0.51,-1.15,1
999,-0.122,-0.0671,2
1000,-0.502,-1.04,1
1001,1.41,-0.808,2
1002,-0.68,0.314,2
1003,-0.347,0.574,2
1004,-0.155,1.29,1
1005,1.18,0.0819,1
1006,1.8,-1.0,1
1007,-0.653,-0.734,1
1008,1.3,0.648,1
1009,0.265,-0.182,2
1010,0.896,0.36,2
1011,-0.945,-1.43,1
1012,-1.26,-1.01,2
1013,-1.65,-0.723,2
1014,-0.103,-1.71,1
1015,1.87,1.19,2
1016,0.839,-0.0819,2
1017,0.167,0.87,1
1018,-0.917,-0.863,1
1019,1.26,-0.912,2
1020,-0.786,-1.02,1
1021,2.81,1.3,2
1022,0.725,-0.54,2
1023,-0.709,-0.262,2
1024,0.56,-1.05,1
1025,-1.0,0.078,2
1026,1.18,-0.0513,1
1027,-1.29,0.891,1
1028,0.126,-0.865,1
1029,1.31,-0.238,1
1030,1.62,-0.919,1
1031,0.918,0.82,1
1032,2.17,1.24,2
1033,0.433,0.38,2
1034,0.211,-1.28,1
1035,1.18,-0.0335,1
1036,-1.32,-0.403,2
1037,-0.0936,-1.28,1
1038,-0.812,-0.411,2
1039,0.933,1.21,1
1040,0.642,0.909,1
1041,1.16,1.48,2
1042,-0.54,-0.601,2
1043,-1.48,-0.682,2
1044,1.41,-1.48,2
1045,-1.63,-1.16,2
1046,0.663,1.7,1
1047,0.0329,1.88,1
1048,-1.08,-0.0594,2
1049,0.981,-0.0572,1
1050,-0.334,0.18,2
1051,-0.477,0.676,2
1052,1.12,-0.756,2
1053,1.36,0.482,1
1054,0.123,-1.62,1
