d3mIndex,V1,V2,V3,V4,V5,V6,Class
103,1,1.0,6,5.0,5,4.0,1
104,1,1.0,6,5.0,5,5.0,1
105,1,1.0,6,5.0,6,4.0,1
106,1,1.0,6,5.0,6,6.0,1
107,1,1.0,6,5.0,7,4.0,1
108,1,1.0,6,5.0,7,5.0,1
109,1,1.0,6,5.0,7,6.0,1
110,1,1.0,6,6.0,5,5.0,1
111,1,1.0,6,6.0,6,5.0,1
112,1,1.0,6,6.0,7,5.0,1
113,1,1.0,6,6.0,7,6.0,1
114,1,1.0,6,6.0,7,7.0,1
115,1,1.0,6,7.0,7,6.0,1
116,1,1.0,7,1.0,6,1.0,1
117,1,1.0,7,1.0,6,2.0,1
118,1,1.0,7,1.0,7,2.0,1
119,1,1.0,7,1.0,8,1.0,1
120,1,1.0,7,1.0,8,2.0,1
121,1,1.0,7,2.0,6,1.0,1
122,1,1.0,7,2.0,6,2.0,1
123,1,1.0,7,2.0,6,3.0,1
124,1,1.0,7,2.0,7,1.0,1
125,1,1.0,7,2.0,7,3.0,1
126,1,1.0,7,2.0,8,1.0,1
127,1,1.0,7,2.0,8,2.0,1
128,1,1.0,7,2.0,8,3.0,1
129,1,1.0,7,3.0,6,2.0,1
130,1,1.0,7,3.0,6,3.0,1
131,1,1.0,7,3.0,6,4.0,1
132,1,1.0,7,3.0,7,2.0,1
133,1,1.0,7,3.0,7,4.0,1
134,1,1.0,7,3.0,8,2.0,1
135,1,1.0,7,3.0,8,3.0,1
136,1,1.0,7,3.0,8,4.0,1
137,1,1.0,7,4.0,6,3.0,1
138,1,1.0,7,4.0,6,4.0,1
139,1,1.0,7,4.0,6,5.0,1
140,1,1.0,7,4.0,7,3.0,1
141,1,1.0,7,4.0,7,5.0,1
142,1,1.0,7,4.0,8,3.0,1
143,1,1.0,7,4.0,8,4.0,1
144,1,1.0,7,4.0,8,5.0,1
145,1,1.0,7,5.0,6,4.0,1
146,1,1.0,7,5.0,6,5.0,1
147,1,1.0,7,5.0,6,6.0,1
148,1,1.0,7,5.0,7,4.0,1
149,1,1.0,7,5.0,7,6.0,1
150,1,1.0,7,5.0,8,4.0,1
151,1,1.0,7,5.0,8,5.0,1
152,1,1.0,7,5.0,8,6.0,1
153,1,1.0,7,6.0,6,5.0,1
154,1,1.0,7,6.0,6,6.0,1
155,1,1.0,7,6.0,7,5.0,1
156,1,1.0,7,6.0,7,7.0,1
157,1,1.0,7,6.0,8,5.0,1
158,1,1.0,7,6.0,8,6.0,1
159,1,1.0,7,6.0,8,7.0,1
160,1,1.0,7,7.0,6,6.0,1
161,1,1.0,7,7.0,7,6.0,1
162,1,1.0,7,7.0,8,6.0,1
163,1,1.0,7,7.0,8,7.0,1
164,1,1.0,7,7.0,8,8.0,1
165,1,1.0,7,8.0,8,7.0,1
166,1,1.0,8,1.0,7,1.0,1
167,1,1.0,8,1.0,7,2.0,1
168,1,1.0,8,1.0,8,2.0,1
169,1,1.0,8,2.0,7,1.0,1
170,1,1.0,8,2.0,7,2.0,1
171,1,1.0,8,2.0,7,3.0,1
172,1,1.0,8,2.0,8,1.0,1
173,1,1.0,8,2.0,8,3.0,1
174,1,1.0,8,3.0,7,2.0,1
175,1,1.0,8,3.0,7,3.0,1
176,1,1.0,8,3.0,7,4.0,1
177,1,1.0,8,3.0,8,2.0,1
178,1,1.0,8,3.0,8,4.0,1
179,1,1.0,8,4.0,7,3.0,1
180,1,1.0,8,4.0,7,4.0,1
181,1,1.0,8,4.0,7,5.0,1
182,1,1.0,8,4.0,8,3.0,1
183,1,1.0,8,4.0,8,5.0,1
184,1,1.0,8,5.0,7,4.0,1
185,1,1.0,8,5.0,7,5.0,1
186,1,1.0,8,5.0,7,6.0,1
187,1,1.0,8,5.0,8,4.0,1
188,1,1.0,8,5.0,8,6.0,1
189,1,1.0,8,6.0,7,5.0,1
190,1,1.0,8,6.0,7,6.0,1
191,1,1.0,8,6.0,7,7.0,1
192,1,1.0,8,6.0,8,5.0,1
193,1,1.0,8,6.0,8,7.0,1
194,1,1.0,8,7.0,7,6.0,1
195,1,1.0,8,7.0,7,7.0,1
196,1,1.0,8,7.0,8,6.0,1
197,1,1.0,8,7.0,8,8.0,1
198,1,1.0,8,8.0,7,7.0,1
199,1,1.0,8,8.0,8,7.0,1
200,2,1.0,1,3.0,1,4.0,1
201,2,1.0,1,3.0,2,3.0,1
202,2,1.0,1,3.0,2,4.0,1
203,2,1.0,1,4.0,1,3.0,1
204,2,1.0,1,4.0,1,5.0,1
205,2,1.0,1,4.0,2,3.0,1
206,2,1.0,1,4.0,2,4.0,1
207,2,1.0,1,4.0,2,5.0,1
208,2,1.0,1,5.0,1,4.0,1
209,2,1.0,1,5.0,1,6.0,1
210,2,1.0,1,5.0,2,4.0,1
211,2,1.0,1,5.0,2,5.0,1
212,2,1.0,1,5.0,2,6.0,1
213,2,1.0,1,6.0,1,5.0,1
214,2,1.0,1,6.0,1,7.0,1
215,2,1.0,1,6.0,2,5.0,1
216,2,1.0,1,6.0,2,6.0,1
217,2,1.0,1,6.0,2,7.0,1
218,2,1.0,1,7.0,1,6.0,1
219,2,1.0,1,7.0,1,8.0,1
220,2,1.0,1,7.0,2,6.0,1
221,2,1.0,1,7.0,2,7.0,1
222,2,1.0,1,7.0,2,8.0,1
223,2,1.0,1,8.0,1,7.0,1
224,2,1.0,1,8.0,2,7.0,1
225,2,1.0,1,8.0,2,8.0,1
226,2,1.0,2,3.0,1,3.0,1
227,2,1.0,2,3.0,1,4.0,1
228,2,1.0,2,3.0,2,4.0,1
229,2,1.0,2,3.0,3,3.0,1
230,2,1.0,2,3.0,3,4.0,1
231,2,1.0,2,4.0,1,3.0,1
232,2,1.0,2,4.0,1,4.0,1
233,2,1.0,2,4.0,1,5.0,1
234,2,1.0,2,4.0,2,3.0,1
235,2,1.0,2,4.0,2,5.0,1
236,2,1.0,2,4.0,3,3.0,1
237,2,1.0,2,4.0,3,4.0,1
238,2,1.0,2,4.0,3,5.0,1
239,2,1.0,2,5.0,1,4.0,1
240,2,1.0,2,5.0,1,5.0,1
241,2,1.0,2,5.0,1,6.0,1
242,2,1.0,2,5.0,2,4.0,1
243,2,1.0,2,5.0,2,6.0,1
244,2,1.0,2,5.0,3,4.0,1
245,2,1.0,2,5.0,3,5.0,1
246,2,1.0,2,5.0,3,6.0,1
247,2,1.0,2,6.0,1,5.0,1
248,2,1.0,2,6.0,1,6.0,1
249,2,1.0,2,6.0,1,7.0,1
250,2,1.0,2,6.0,2,5.0,1
251,2,1.0,2,6.0,2,7.0,1
252,2,1.0,2,6.0,3,5.0,1
253,2,1.0,2,6.0,3,6.0,1
254,2,1.0,2,6.0,3,7.0,1
255,2,1.0,2,7.0,1,6.0,1
256,2,1.0,2,7.0,1,7.0,1
257,2,1.0,2,7.0,1,8.0,1
258,2,1.0,2,7.0,2,6.0,1
259,2,1.0,2,7.0,2,8.0,1
260,2,1.0,2,7.0,3,6.0,1
261,2,1.0,2,7.0,3,7.0,1
262,2,1.0,2,7.0,3,8.0,1
263,2,1.0,2,8.0,1,7.0,1
264,2,1.0,2,8.0,1,8.0,1
265,2,1.0,2,8.0,2,7.0,1
266,2,1.0,2,8.0,3,7.0,1
267,2,1.0,2,8.0,3,8.0,1
268,2,1.0,3,3.0,2,3.0,1
269,2,1.0,3,3.0,2,4.0,1
270,2,1.0,3,3.0,3,4.0,1
271,2,1.0,3,3.0,4,2.0,1
272,2,1.0,3,3.0,4,3.0,1
273,2,1.0,3,3.0,4,4.0,1
274,2,1.0,3,4.0,2,3.0,1
275,2,1.0,3,4.0,2,4.0,1
276,2,1.0,3,4.0,2,5.0,1
277,2,1.0,3,4.0,3,3.0,1
278,2,1.0,3,4.0,3,5.0,1
279,2,1.0,3,4.0,4,3.0,1
280,2,1.0,3,4.0,4,4.0,1
281,2,1.0,3,4.0,4,5.0,1
282,2,1.0,3,5.0,2,4.0,1
283,2,1.0,3,5.0,2,5.0,1
284,2,1.0,3,5.0,2,6.0,1
285,2,1.0,3,5.0,3,4.0,1
286,2,1.0,3,5.0,3,6.0,1
287,2,1.0,3,5.0,4,4.0,1
288,2,1.0,3,5.0,4,5.0,1
289,2,1.0,3,5.0,4,6.0,1
290,2,1.0,3,6.0,2,5.0,1
291,2,1.0,3,6.0,2,6.0,1
292,2,1.0,3,6.0,2,7.0,1
293,2,1.0,3,6.0,3,5.0,1
294,2,1.0,3,6.0,3,7.0,1
295,2,1.0,3,6.0,4,5.0,1
296,2,1.0,3,6.0,4,6.0,1
297,2,1.0,3,6.0,4,7.0,1
298,2,1.0,3,7.0,2,6.0,1
299,2,1.0,3,7.0,2,7.0,1
300,2,1.0,3,7.0,2,8.0,1
301,2,1.0,3,7.0,3,6.0,1
302,2,1.0,3,7.0,3,8.0,1
303,2,1.0,3,7.0,4,6.0,1
304,2,1.0,3,7.0,4,7.0,1
305,2,1.0,3,7.0,4,8.0,1
306,2,1.0,3,8.0,2,7.0,1
307,2,1.0,3,8.0,2,8.0,1
308,2,1.0,3,8.0,3,7.0,1
309,2,1.0,3,8.0,4,7.0,1
310,2,1.0,3,8.0,4,8.0,1
311,2,1.0,4,1.0,4,2.0,1
312,2,1.0,4,1.0,5,1.0,1
313,2,1.0,4,1.0,5,2.0,1
314,2,1.0,4,2.0,3,3.0,1
315,2,1.0,4,2.0,4,1.0,1
316,2,1.0,4,2.0,4,3.0,1
317,2,1.0,4,2.0,5,1.0,1
318,2,1.0,4,2.0,5,2.0,1
319,2,1.0,4,2.0,5,3.0,1
320,2,1.0,4,3.0,3,3.0,1
321,2,1.0,4,3.0,3,4.0,1
322,2,1.0,4,3.0,4,2.0,1
323,2,1.0,4,3.0,4,4.0,1
324,2,1.0,4,3.0,5,2.0,1
325,2,1.0,4,3.0,5,3.0,1
326,2,1.0,4,3.0,5,4.0,1
327,2,1.0,4,4.0,3,3.0,1
328,2,1.0,4,4.0,3,4.0,1
329,2,1.0,4,4.0,3,5.0,1
330,2,1.0,4,4.0,4,3.0,1
331,2,1.0,4,4.0,4,5.0,1
332,2,1.0,4,4.0,5,3.0,1
333,2,1.0,4,4.0,5,4.0,1
334,2,1.0,4,4.0,5,5.0,1
335,2,1.0,4,5.0,3,4.0,1
336,2,1.0,4,5.0,3,5.0,1
337,2,1.0,4,5.0,3,6.0,1
338,2,1.0,4,5.0,4,4.0,1
339,2,1.0,4,5.0,4,6.0,1
340,2,1.0,4,5.0,5,4.0,1
341,2,1.0,4,5.0,5,5.0,1
342,2,1.0,4,5.0,5,6.0,1
343,2,1.0,4,6.0,3,5.0,1
344,2,1.0,4,6.0,3,6.0,1
345,2,1.0,4,6.0,3,7.0,1
346,2,1.0,4,6.0,4,5.0,1
347,2,1.0,4,6.0,4,7.0,1
348,2,1.0,4,6.0,5,5.0,1
349,2,1.0,4,6.0,5,6.0,1
350,2,1.0,4,6.0,5,7.0,1
351,2,1.0,4,7.0,3,6.0,1
352,2,1.0,4,7.0,3,7.0,1
353,2,1.0,4,7.0,3,8.0,1
354,2,1.0,4,7.0,4,6.0,1
355,2,1.0,4,7.0,4,8.0,1
356,2,1.0,4,7.0,5,6.0,1
357,2,1.0,4,7.0,5,7.0,1
358,2,1.0,4,7.0,5,8.0,1
359,2,1.0,4,8.0,3,7.0,1
360,2,1.0,4,8.0,3,8.0,1
361,2,1.0,4,8.0,4,7.0,1
362,2,1.0,4,8.0,5,7.0,1
363,2,1.0,4,8.0,5,8.0,1
364,2,1.0,5,1.0,4,1.0,1
365,2,1.0,5,1.0,4,2.0,1
366,2,1.0,5,1.0,5,2.0,1
367,2,1.0,5,1.0,6,1.0,1
368,2,1.0,5,1.0,6,2.0,1
369,2,1.0,5,2.0,4,1.0,1
370,2,1.0,5,2.0,4,2.0,1
371,2,1.0,5,2.0,4,3.0,1
372,2,1.0,5,2.0,5,1.0,1
373,2,1.0,5,2.0,5,3.0,1
374,2,1.0,5,2.0,6,1.0,1
375,2,1.0,5,2.0,6,2.0,1
376,2,1.0,5,2.0,6,3.0,1
377,2,1.0,5,3.0,4,2.0,1
378,2,1.0,5,3.0,4,3.0,1
379,2,1.0,5,3.0,4,4.0,1
380,2,1.0,5,3.0,5,2.0,1
381,2,1.0,5,3.0,5,4.0,1
382,2,1.0,5,3.0,6,2.0,1
383,2,1.0,5,3.0,6,3.0,1
384,2,1.0,5,3.0,6,4.0,1
385,2,1.0,5,4.0,4,3.0,1
386,2,1.0,5,4.0,4,4.0,1
387,2,1.0,5,4.0,4,5.0,1
388,2,1.0,5,4.0,5,3.0,1
389,2,1.0,5,4.0,5,5.0,1
390,2,1.0,5,4.0,6,3.0,1
391,2,1.0,5,4.0,6,4.0,1
392,2,1.0,5,4.0,6,5.0,1
393,2,1.0,5,5.0,4,4.0,1
394,2,1.0,5,5.0,4,5.0,1
395,2,1.0,5,5.0,4,6.0,1
396,2,1.0,5,5.0,5,4.0,1
397,2,1.0,5,5.0,5,6.0,1
398,2,1.0,5,5.0,6,4.0,1
399,2,1.0,5,5.0,6,5.0,1
400,2,1.0,5,5.0,6,6.0,1
401,2,1.0,5,6.0,4,5.0,1
402,2,1.0,5,6.0,4,6.0,1
403,2,1.0,5,6.0,4,7.0,1
404,2,1.0,5,6.0,5,5.0,1
405,2,1.0,5,6.0,5,7.0,1
406,2,1.0,5,6.0,6,5.0,1
407,2,1.0,5,6.0,6,6.0,1
408,2,1.0,5,6.0,6,7.0,1
409,2,1.0,5,7.0,4,6.0,1
410,2,1.0,5,7.0,4,7.0,1
411,2,1.0,5,7.0,4,8.0,1
412,2,1.0,5,7.0,5,6.0,1
413,2,1.0,5,7.0,5,8.0,1
414,2,1.0,5,7.0,6,6.0,1
415,2,1.0,5,7.0,6,7.0,1
416,2,1.0,5,7.0,6,8.0,1
417,2,1.0,5,8.0,4,7.0,1
418,2,1.0,5,8.0,4,8.0,1
419,2,1.0,5,8.0,5,7.0,1
420,2,1.0,5,8.0,6,7.0,1
421,2,1.0,5,8.0,6,8.0,1
422,2,1.0,6,1.0,5,1.0,1
423,2,1.0,6,1.0,5,2.0,1
424,2,1.0,6,1.0,6,2.0,1
425,2,1.0,6,1.0,7,1.0,1
426,2,1.0,6,1.0,7,2.0,1
427,2,1.0,6,2.0,5,1.0,1
428,2,1.0,6,2.0,5,2.0,1
429,2,1.0,6,2.0,5,3.0,1
430,2,1.0,6,2.0,6,1.0,1
431,2,1.0,6,2.0,6,3.0,1
432,2,1.0,6,2.0,7,1.0,1
433,2,1.0,6,2.0,7,2.0,1
434,2,1.0,6,2.0,7,3.0,1
435,2,1.0,6,3.0,5,2.0,1
436,2,1.0,6,3.0,5,3.0,1
437,2,1.0,6,3.0,5,4.0,1
438,2,1.0,6,3.0,6,2.0,1
439,2,1.0,6,3.0,6,4.0,1
440,2,1.0,6,3.0,7,2.0,1
441,2,1.0,6,3.0,7,3.0,1
442,2,1.0,6,3.0,7,4.0,1
443,2,1.0,6,4.0,5,3.0,1
444,2,1.0,6,4.0,5,4.0,1
445,2,1.0,6,4.0,5,5.0,1
446,2,1.0,6,4.0,6,3.0,1
447,2,1.0,6,4.0,6,5.0,1
448,2,1.0,6,4.0,7,3.0,1
449,2,1.0,6,4.0,7,4.0,1
450,2,1.0,6,4.0,7,5.0,1
451,2,1.0,6,5.0,5,4.0,1
452,2,1.0,6,5.0,5,5.0,1
453,2,1.0,6,5.0,5,6.0,1
454,2,1.0,6,5.0,6,4.0,1
455,2,1.0,6,5.0,6,6.0,1
456,2,1.0,6,5.0,7,4.0,1
457,2,1.0,6,5.0,7,5.0,1
458,2,1.0,6,5.0,7,6.0,1
459,2,1.0,6,6.0,5,5.0,1
460,2,1.0,6,6.0,5,6.0,1
461,2,1.0,6,6.0,5,7.0,1
462,2,1.0,6,6.0,6,5.0,1
463,2,1.0,6,6.0,6,7.0,1
464,2,1.0,6,6.0,7,5.0,1
465,2,1.0,6,6.0,7,6.0,1
466,2,1.0,6,6.0,7,7.0,1
467,2,1.0,6,7.0,5,6.0,1
468,2,1.0,6,7.0,5,7.0,1
469,2,1.0,6,7.0,5,8.0,1
470,2,1.0,6,7.0,6,6.0,1
471,2,1.0,6,7.0,6,8.0,1
472,2,1.0,6,7.0,7,6.0,1
473,2,1.0,6,7.0,7,7.0,1
474,2,1.0,6,7.0,7,8.0,1
475,2,1.0,6,8.0,5,7.0,1
476,2,1.0,6,8.0,5,8.0,1
477,2,1.0,6,8.0,6,7.0,1
478,2,1.0,6,8.0,7,7.0,1
479,2,1.0,6,8.0,7,8.0,1
480,2,1.0,7,1.0,6,1.0,1
481,2,1.0,7,1.0,6,2.0,1
482,2,1.0,7,1.0,7,2.0,1
483,2,1.0,7,1.0,8,1.0,1
484,2,1.0,7,1.0,8,2.0,1
485,2,1.0,7,2.0,6,1.0,1
486,2,1.0,7,2.0,6,2.0,1
487,2,1.0,7,2.0,6,3.0,1
488,2,1.0,7,2.0,7,1.0,1
489,2,1.0,7,2.0,7,3.0,1
490,2,1.0,7,2.0,8,1.0,1
491,2,1.0,7,2.0,8,2.0,1
492,2,1.0,7,2.0,8,3.0,1
493,2,1.0,7,3.0,6,2.0,1
494,2,1.0,7,3.0,6,3.0,1
495,2,1.0,7,3.0,6,4.0,1
496,2,1.0,7,3.0,7,2.0,1
497,2,1.0,7,3.0,7,4.0,1
498,2,1.0,7,3.0,8,2.0,1
499,2,1.0,7,3.0,8,3.0,1
500,2,1.0,7,3.0,8,4.0,1
501,2,1.0,7,4.0,6,3.0,1
502,2,1.0,7,4.0,6,4.0,1
503,2,1.0,7,4.0,6,5.0,1
504,2,1.0,7,4.0,7,3.0,1
505,2,1.0,7,4.0,7,5.0,1
506,2,1.0,7,4.0,8,3.0,1
507,2,1.0,7,4.0,8,4.0,1
508,2,1.0,7,4.0,8,5.0,1
509,2,1.0,7,5.0,6,4.0,1
510,2,1.0,7,5.0,6,5.0,1
511,2,1.0,7,5.0,6,6.0,1
512,2,1.0,7,5.0,7,4.0,1
513,2,1.0,7,5.0,7,6.0,1
514,2,1.0,7,5.0,8,4.0,1
515,2,1.0,7,5.0,8,5.0,1
516,2,1.0,7,5.0,8,6.0,1
517,2,1.0,7,6.0,6,5.0,1
518,2,1.0,7,6.0,6,6.0,1
519,2,1.0,7,6.0,6,7.0,1
520,2,1.0,7,6.0,7,5.0,1
521,2,1.0,7,6.0,7,7.0,1
522,2,1.0,7,6.0,8,5.0,1
523,2,1.0,7,6.0,8,6.0,1
524,2,1.0,7,6.0,8,7.0,1
525,2,1.0,7,7.0,6,6.0,1
526,2,1.0,7,7.0,6,7.0,1
527,2,1.0,7,7.0,6,8.0,1
528,2,1.0,7,7.0,7,6.0,1
529,2,1.0,7,7.0,7,8.0,1
530,2,1.0,7,7.0,8,6.0,1
531,2,1.0,7,7.0,8,7.0,1
532,2,1.0,7,7.0,8,8.0,1
533,2,1.0,7,8.0,6,7.0,1
534,2,1.0,7,8.0,6,8.0,1
535,2,1.0,7,8.0,7,7.0,1
536,2,1.0,7,8.0,8,7.0,1
537,2,1.0,7,8.0,8,8.0,1
538,2,1.0,8,1.0,7,1.0,1
539,2,1.0,8,1.0,7,2.0,1
540,2,1.0,8,1.0,8,2.0,1
541,2,1.0,8,2.0,7,1.0,1
542,2,1.0,8,2.0,7,2.0,1
543,2,1.0,8,2.0,7,3.0,1
544,2,1.0,8,2.0,8,1.0,1
545,2,1.0,8,2.0,8,3.0,1
546,2,1.0,8,3.0,7,2.0,1
547,2,1.0,8,3.0,7,3.0,1
548,2,1.0,8,3.0,7,4.0,1
549,2,1.0,8,3.0,8,2.0,1
550,2,1.0,8,3.0,8,4.0,1
551,2,1.0,8,4.0,7,3.0,1
552,2,1.0,8,4.0,7,4.0,1
553,2,1.0,8,4.0,7,5.0,1
554,2,1.0,8,4.0,8,3.0,1
555,2,1.0,8,4.0,8,5.0,1
556,2,1.0,8,5.0,7,4.0,1
557,2,1.0,8,5.0,7,5.0,1
558,2,1.0,8,5.0,7,6.0,1
559,2,1.0,8,5.0,8,4.0,1
560,2,1.0,8,5.0,8,6.0,1
561,2,1.0,8,6.0,7,5.0,1
562,2,1.0,8,6.0,7,6.0,1
563,2,1.0,8,6.0,7,7.0,1
564,2,1.0,8,6.0,8,5.0,1
565,2,1.0,8,6.0,8,7.0,1
566,2,1.0,8,7.0,7,6.0,1
567,2,1.0,8,7.0,7,7.0,1
568,2,1.0,8,7.0,7,8.0,1
569,2,1.0,8,7.0,8,6.0,1
570,2,1.0,8,7.0,8,8.0,1
571,2,1.0,8,8.0,7,7.0,1
572,2,1.0,8,8.0,7,8.0,1
573,2,1.0,8,8.0,8,7.0,1
574,2,2.0,3,4.0,4,3.0,1
575,2,2.0,4,1.0,4,2.0,1
576,2,2.0,4,1.0,5,1.0,1
577,2,2.0,4,1.0,5,2.0,1
578,2,2.0,4,2.0,4,1.0,1
579,2,2.0,4,2.0,4,3.0,1
580,2,2.0,4,2.0,5,1.0,1
581,2,2.0,4,2.0,5,2.0,1
582,2,2.0,4,2.0,5,3.0,1
583,2,2.0,4,3.0,4,2.0,1
584,2,2.0,4,3.0,4,4.0,1
585,2,2.0,4,3.0,5,2.0,1
586,2,2.0,4,3.0,5,3.0,1
587,2,2.0,4,3.0,5,4.0,1
588,2,2.0,4,4.0,4,3.0,1
589,2,2.0,4,4.0,5,3.0,1
590,2,2.0,4,4.0,5,4.0,1
591,2,2.0,4,4.0,5,5.0,1
592,2,2.0,4,5.0,5,4.0,1
593,2,2.0,5,1.0,4,1.0,1
594,2,2.0,5,1.0,4,2.0,1
595,2,2.0,5,1.0,5,2.0,1
596,2,2.0,5,1.0,6,1.0,1
597,2,2.0,5,1.0,6,2.0,1
598,2,2.0,5,2.0,4,1.0,1
599,2,2.0,5,2.0,4,2.0,1
600,2,2.0,5,2.0,4,3.0,1
601,2,2.0,5,2.0,5,1.0,1
602,2,2.0,5,2.0,5,3.0,1
603,2,2.0,5,2.0,6,1.0,1
604,2,2.0,5,2.0,6,2.0,1
605,2,2.0,5,2.0,6,3.0,1
606,2,2.0,5,3.0,4,2.0,1
607,2,2.0,5,3.0,4,3.0,1
608,2,2.0,5,3.0,4,4.0,1
609,2,2.0,5,3.0,5,2.0,1
610,2,2.0,5,3.0,5,4.0,1
611,2,2.0,5,3.0,6,2.0,1
612,2,2.0,5,3.0,6,3.0,1
613,2,2.0,5,3.0,6,4.0,1
614,2,2.0,5,4.0,4,3.0,1
615,2,2.0,5,4.0,4,4.0,1
616,2,2.0,5,4.0,5,3.0,1
617,2,2.0,5,4.0,5,5.0,1
618,2,2.0,5,4.0,6,3.0,1
619,2,2.0,5,4.0,6,4.0,1
620,2,2.0,5,4.0,6,5.0,1
621,2,2.0,5,5.0,4,4.0,1
622,2,2.0,5,5.0,5,4.0,1
623,2,2.0,5,5.0,6,4.0,1
624,2,2.0,5,5.0,6,5.0,1
625,2,2.0,5,5.0,6,6.0,1
626,2,2.0,5,6.0,6,5.0,1
627,2,2.0,6,1.0,5,1.0,1
628,2,2.0,6,1.0,5,2.0,1
629,2,2.0,6,1.0,6,2.0,1
630,2,2.0,6,1.0,7,1.0,1
631,2,2.0,6,1.0,7,2.0,1
632,2,2.0,6,2.0,5,1.0,1
