d3mIndex,Month,Day,Births,binaryClass
62,3/1/00,4,8008.0,N
63,3/1/00,5,7791.0,P
64,3/1/00,6,9294.0,N
65,3/1/00,7,9573.0,N
66,3/1/00,8,9212.0,N
67,3/1/00,9,9218.0,N
68,3/1/00,10,9583.0,N
69,3/1/00,11,8144.0,N
70,3/1/00,12,7870.0,P
71,3/1/00,13,9022.0,N
72,3/1/00,14,9525.0,N
73,3/1/00,15,9284.0,N
74,3/1/00,16,9327.0,N
75,3/1/00,17,9480.0,N
76,3/1/00,18,7965.0,N
77,3/1/00,19,7729.0,P
78,3/1/00,20,9135.0,N
79,3/1/00,21,9663.0,N
80,3/1/00,22,9307.0,N
81,3/1/00,23,9159.0,N
82,3/1/00,24,9157.0,N
83,3/1/00,25,7874.0,N
84,3/1/00,26,7589.0,P
85,3/1/00,27,9100.0,N
86,3/1/00,28,9293.0,N
87,3/1/00,29,9195.0,N
88,3/1/00,30,8902.0,N
89,3/1/00,31,9318.0,N
90,4/1/00,1,8069.0,N
91,4/1/00,2,7691.0,P
92,4/1/00,3,9114.0,N
93,4/1/00,4,9439.0,N
94,4/1/00,5,8852.0,N
95,4/1/00,6,8969.0,N
96,4/1/00,7,9077.0,N
97,4/1/00,8,7890.0,N
98,4/1/00,9,7445.0,P
99,4/1/00,10,8870.0,N
100,4/1/00,11,9023.0,N
101,4/1/00,12,8606.0,N
102,4/1/00,13,8724.0,N
103,4/1/00,14,9012.0,N
104,4/1/00,15,7527.0,N
105,4/1/00,16,7193.0,P
106,4/1/00,17,8702.0,N
107,4/1/00,18,9205.0,N
108,4/1/00,19,8720.0,N
109,4/1/00,20,8582.0,N
110,4/1/00,21,8892.0,N
111,4/1/00,22,7787.0,N
112,4/1/00,23,7304.0,P
113,4/1/00,24,9017.0,N
114,4/1/00,25,9077.0,N
115,4/1/00,26,9019.0,N
116,4/1/00,27,8839.0,N
117,4/1/00,28,9047.0,N
118,4/1/00,29,7750.0,N
119,4/1/00,30,7135.0,P
120,5/1/00,1,8900.0,N
121,5/1/00,2,9422.0,N
122,5/1/00,3,9051.0,N
123,5/1/00,4,8672.0,N
124,5/1/00,5,9101.0,N
125,5/1/00,6,7718.0,N
126,5/1/00,7,7388.0,P
127,5/1/00,8,8987.0,N
128,5/1/00,9,9307.0,N
129,5/1/00,10,9273.0,N
130,5/1/00,11,8903.0,N
131,5/1/00,12,8975.0,N
132,5/1/00,13,7762.0,N
133,5/1/00,14,7382.0,P
134,5/1/00,15,9195.0,N
135,5/1/00,16,9200.0,N
136,5/1/00,17,8913.0,N
137,5/1/00,18,9044.0,N
138,5/1/00,19,9000.0,N
139,5/1/00,20,8064.0,N
140,5/1/00,21,7570.0,P
141,5/1/00,22,9089.0,N
142,5/1/00,23,9210.0,N
143,5/1/00,24,9196.0,N
144,5/1/00,25,9180.0,N
145,5/1/00,26,9514.0,N
146,5/1/00,27,8005.0,N
147,5/1/00,28,7781.0,P
148,5/1/00,29,7780.0,N
149,5/1/00,30,9630.0,N
150,5/1/00,31,9600.0,N
151,6/1/00,1,9435.0,N
152,6/1/00,2,9303.0,N
153,6/1/00,3,7971.0,N
154,6/1/00,4,7399.0,P
155,6/1/00,5,9127.0,N
156,6/1/00,6,9606.0,N
157,6/1/00,7,9328.0,N
158,6/1/00,8,9075.0,N
159,6/1/00,9,9362.0,N
160,6/1/00,10,8040.0,N
161,6/1/00,11,7581.0,P
162,6/1/00,12,9201.0,N
163,6/1/00,13,9264.0,N
164,6/1/00,14,9216.0,N
165,6/1/00,15,9175.0,N
166,6/1/00,16,9350.0,N
167,6/1/00,17,8233.0,N
168,6/1/00,18,7777.0,P
169,6/1/00,19,9543.0,N
170,6/1/00,20,9672.0,N
171,6/1/00,21,9266.0,N
172,6/1/00,22,9405.0,N
173,6/1/00,23,9598.0,N
174,6/1/00,24,8122.0,N
175,6/1/00,25,8091.0,P
176,6/1/00,26,9348.0,N
177,6/1/00,27,9857.0,N
178,6/1/00,28,9701.0,N
179,6/1/00,29,9630.0,N
180,6/1/00,30,10080.0,N
181,7/1/00,1,8209.0,N
182,7/1/00,2,7976.0,P
183,7/1/00,3,9284.0,N
184,7/1/00,4,8433.0,N
185,7/1/00,5,9675.0,N
186,7/1/00,6,10184.0,N
187,7/1/00,7,10241.0,N
188,7/1/00,8,8773.0,N
189,7/1/00,9,8102.0,P
190,7/1/00,10,9877.0,N
191,7/1/00,11,9852.0,N
192,7/1/00,12,9705.0,N
193,7/1/00,13,9984.0,N
194,7/1/00,14,10438.0,N
195,7/1/00,15,8859.0,N
196,7/1/00,16,8416.0,P
197,7/1/00,17,10026.0,N
198,7/1/00,18,10357.0,N
199,7/1/00,19,10015.0,N
200,7/1/00,20,10386.0,N
201,7/1/00,21,10332.0,N
202,7/1/00,22,9062.0,N
203,7/1/00,23,8563.0,P
204,7/1/00,24,9960.0,N
205,7/1/00,25,10349.0,N
206,7/1/00,26,10091.0,N
207,7/1/00,27,10192.0,N
208,7/1/00,28,10307.0,N
209,7/1/00,29,8677.0,N
210,7/1/00,30,8486.0,P
211,7/1/00,31,9890.0,N
212,8/1/00,1,10145.0,N
213,8/1/00,2,9824.0,N
214,8/1/00,3,10128.0,N
215,8/1/00,4,10051.0,N
216,8/1/00,5,8738.0,N
217,8/1/00,6,8442.0,P
218,8/1/00,7,10206.0,N
219,8/1/00,8,10442.0,N
220,8/1/00,9,10142.0,N
221,8/1/00,10,10284.0,N
222,8/1/00,11,10162.0,N
223,8/1/00,12,8951.0,N
224,8/1/00,13,8532.0,P
225,8/1/00,14,10127.0,N
226,8/1/00,15,10502.0,N
227,8/1/00,16,10053.0,N
228,8/1/00,17,10377.0,N
229,8/1/00,18,10355.0,N
230,8/1/00,19,8904.0,N
231,8/1/00,20,8477.0,P
232,8/1/00,21,9967.0,N
233,8/1/00,22,10229.0,N
234,8/1/00,23,9900.0,N
235,8/1/00,24,10152.0,N
236,8/1/00,25,10173.0,N
237,8/1/00,26,8782.0,N
238,8/1/00,27,8453.0,P
239,8/1/00,28,9998.0,N
240,8/1/00,29,10387.0,N
241,8/1/00,30,10063.0,N
242,8/1/00,31,9849.0,N
243,,1,10114.0,N
244,,2,8580.0,N
245,,3,8355.0,P
246,,4,8481.0,N
247,,5,10023.0,N
248,,6,10703.0,N
249,,7,10292.0,N
250,,8,10371.0,N
251,,9,9023.0,N
252,,10,8630.0,P
253,,11,10154.0,N
254,,12,10425.0,N
255,,13,10149.0,N
256,,14,10265.0,N
257,,15,10265.0,N
258,,16,9170.0,N
259,,17,8711.0,P
260,,18,10304.0,N
261,,19,10711.0,N
262,,20,10488.0,N
263,,21,10499.0,N
264,,22,10349.0,N
265,,23,8735.0,N
266,,24,8647.0,P
267,,25,10414.0,N
268,,26,10498.0,N
269,,27,10344.0,N
270,,28,10175.0,N
271,,29,10368.0,N
272,,30,8648.0,N
273,10/1/00,1,8686.0,P
274,10/1/00,2,9927.0,N
275,10/1/00,3,10378.0,N
276,10/1/00,4,9928.0,N
277,10/1/00,5,9949.0,N
278,10/1/00,6,10052.0,N
279,10/1/00,7,8605.0,N
280,10/1/00,8,8377.0,P
281,10/1/00,9,9765.0,N
282,10/1/00,10,10351.0,N
283,10/1/00,11,9873.0,N
284,10/1/00,12,9824.0,N
285,10/1/00,13,9755.0,N
286,10/1/00,14,8554.0,N
287,10/1/00,15,7873.0,P
288,10/1/00,16,9531.0,N
289,10/1/00,17,9938.0,N
290,10/1/00,18,9388.0,N
291,10/1/00,19,9502.0,N
292,10/1/00,20,9625.0,N
293,10/1/00,21,8411.0,N
294,10/1/00,22,7936.0,P
295,10/1/00,23,9425.0,N
296,10/1/00,24,9576.0,N
297,10/1/00,25,9328.0,N
298,10/1/00,26,9501.0,N
299,10/1/00,27,9537.0,N
300,10/1/00,28,8415.0,N
301,10/1/00,29,8155.0,P
302,10/1/00,30,9457.0,N
303,10/1/00,31,9333.0,N
304,11/1/00,1,9321.0,N
305,11/1/00,2,9245.0,N
306,11/1/00,3,9774.0,N
307,11/1/00,4,8246.0,N
308,11/1/00,5,8011.0,P
309,11/1/00,6,9507.0,N
310,11/1/00,7,9769.0,N
311,11/1/00,8,9501.0,N
312,11/1/00,9,9609.0,N
313,11/1/00,10,9652.0,N
314,11/1/00,11,8352.0,N
315,11/1/00,12,7967.0,P
316,11/1/00,13,9606.0,N
317,11/1/00,14,10014.0,N
318,11/1/00,15,9536.0,N
319,11/1/00,16,9568.0,N
320,11/1/00,17,9835.0,N
321,11/1/00,18,8432.0,N
322,11/1/00,19,7868.0,P
323,11/1/00,20,9592.0,N
324,11/1/00,21,9950.0,N
325,11/1/00,22,9548.0,N
326,11/1/00,23,7915.0,N
327,11/1/00,24,9037.0,N
328,11/1/00,25,8275.0,N
329,11/1/00,26,8068.0,P
330,11/1/00,27,9825.0,N
331,11/1/00,28,9814.0,N
332,11/1/00,29,9438.0,N
333,11/1/00,30,9396.0,N
334,12/1/00,1,9592.0,N
335,12/1/00,2,8528.0,N
336,12/1/00,3,8196.0,P
337,12/1/00,4,9767.0,N
338,12/1/00,5,9881.0,N
339,12/1/00,6,9402.0,N
340,12/1/00,7,9480.0,N
341,12/1/00,8,9398.0,N
342,12/1/00,9,8335.0,N
343,12/1/00,10,8093.0,P
344,12/1/00,11,9686.0,N
345,12/1/00,12,10063.0,N
346,12/1/00,13,9509.0,N
347,12/1/00,14,9524.0,N
348,12/1/00,15,9951.0,N
349,12/1/00,16,8507.0,N
350,12/1/00,17,8172.0,P
351,12/1/00,18,10196.0,N
352,12/1/00,19,10605.0,N
353,12/1/00,20,9998.0,N
354,12/1/00,21,9398.0,N
355,12/1/00,22,9008.0,N
356,12/1/00,23,7939.0,N
357,12/1/00,24,7964.0,P
358,12/1/00,25,7846.0,N
359,12/1/00,26,8902.0,N
360,12/1/00,27,9907.0,N
361,12/1/00,28,10177.0,N
362,12/1/00,29,10401.0,N
363,12/1/00,30,8474.0,N
364,12/1/00,31,8028.0,P
