d3mIndex,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,P1,P2,P3,class
27,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1
28,2,2,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1
29,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1
30,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,1,1
31,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1
32,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,1
33,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
34,1,2,1,1,0,0,0,2,1,1,1,2,0,0,0,0,2,1,0,0,1
35,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1
36,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,2,1,1,0,1
37,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1
38,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
39,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1
40,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
41,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
42,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
43,1,1,0,0,1,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,1
44,1,1,1,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,1,0,1
45,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,1,0,1
46,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
47,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
48,0,1,0,1,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1
49,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1
50,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1
51,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
52,0,1,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,1,1
53,1,0,1,1,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,1,1
54,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1
55,1,1,2,0,1,0,0,1,1,0,1,0,0,2,0,1,1,0,0,0,1
56,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1
57,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1
58,0,1,1,0,2,0,0,1,1,0,0,1,0,0,1,0,2,0,0,1,1
59,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
60,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
61,2,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1
62,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,1,2,1,1
63,1,1,1,0,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
64,2,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,1,1,0,1,1
65,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1
66,2,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,1,0,1,1
67,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
68,1,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
69,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,1
70,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
71,0,1,0,1,0,0,0,1,1,0,1,2,0,0,1,1,1,0,1,0,1
72,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,1
73,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
74,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,1
76,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
77,1,0,0,1,1,0,1,2,0,1,0,0,1,0,0,1,1,0,0,1,1
78,1,1,1,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,1,0,1
79,2,0,0,0,1,0,0,1,0,1,1,2,0,0,1,1,2,0,1,1,1
80,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
81,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
82,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1
83,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
84,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
85,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,0,1
86,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
87,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
88,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,1,1,1
89,2,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,1,0,1
90,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
91,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,2,1,1
92,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1
93,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
94,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
95,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1
96,2,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
97,0,1,1,1,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,1
98,0,1,0,0,1,0,1,1,1,1,0,2,1,0,0,0,1,0,0,0,1
99,2,0,1,0,1,0,1,2,0,0,1,0,0,0,1,2,1,0,0,0,1
100,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1
101,1,1,1,0,1,0,1,2,1,0,2,0,0,1,1,1,0,1,0,0,1
102,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,2,1,0,0,1
103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
104,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
105,1,1,0,0,0,1,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1
106,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
107,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1
108,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,1
109,2,1,0,1,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1
110,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,1
111,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1
112,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1
114,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
115,2,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,2,1
116,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1
117,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1
118,2,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,1,0,0,1
119,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,1,1,1
120,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
121,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
122,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
123,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
124,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
125,0,1,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1
126,0,1,0,1,1,0,0,1,0,0,1,2,0,0,0,1,0,0,1,1,1
127,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
128,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
129,2,1,0,1,1,0,0,1,0,1,2,2,1,1,0,0,0,0,2,1,1
130,2,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,1
131,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
132,1,1,1,0,1,1,0,1,1,0,0,2,0,0,1,1,2,0,0,0,1
133,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,1
134,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
135,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1
136,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,1,1
137,2,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1
138,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1
139,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
140,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1
141,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,1,0,1
142,2,2,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1
143,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1
144,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,1
145,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1
146,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
147,0,2,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1
148,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2,0,0,0,1
149,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
150,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
151,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
152,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
153,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
154,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,1,0,1
155,1,1,1,1,0,1,0,2,1,0,0,1,0,0,0,0,2,0,1,1,1
156,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1
157,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
158,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1
159,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
160,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1
161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1
162,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1
163,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,1,0,1,1,1
164,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
165,2,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1
166,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
167,0,0,0,0,1,1,0,1,0,1,1,1,0,0,2,0,2,0,1,1,1
168,2,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,1
169,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1
170,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,2,1,0,1
171,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
172,0,0,0,1,1,1,0,1,0,0,0,1,0,0,2,1,1,1,0,1,1
173,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1
174,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1
175,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,1
176,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
177,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,1,1,1
178,1,0,1,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,1,1,1
179,1,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1,2,0,0,0,1
180,0,1,0,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,1
181,2,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,1
182,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1
183,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
184,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1
185,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1
186,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,1
187,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
188,2,1,1,0,0,0,0,2,0,0,1,0,0,0,2,1,1,0,0,0,1
189,1,0,0,0,1,0,1,1,0,0,2,0,1,1,0,0,1,0,0,0,1
190,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,1,1,0,0,1,1
191,2,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,0,1,0,1,1
192,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
193,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1
194,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
195,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1
196,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,0,1
197,1,1,0,0,2,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,1
198,1,1,0,0,1,0,0,2,1,1,0,0,1,0,2,1,2,1,2,0,1
199,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
200,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,2,0,0,1
201,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,1,1,0,1
202,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
203,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
204,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,1
205,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
206,1,2,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1
207,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
208,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
209,2,2,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
210,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1
211,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,1,1
212,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1
213,0,1,1,0,0,0,0,2,0,0,2,0,0,0,1,1,1,0,1,0,1
214,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,1
215,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1
216,1,1,0,0,0,0,0,1,0,1,2,0,0,0,2,1,1,0,0,0,1
217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
218,1,0,0,0,0,1,1,1,0,0,1,0,0,0,2,1,2,0,0,0,1
219,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,1,1
220,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
221,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
222,1,2,2,0,0,1,0,2,0,1,0,0,0,0,2,0,2,1,0,0,1
223,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
224,1,0,1,1,0,0,0,1,1,0,0,2,0,0,0,1,2,1,0,1,1
225,1,2,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1
226,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1
227,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,2,1,0,0,1
228,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
229,2,1,1,0,0,0,0,2,0,0,0,1,0,0,2,1,1,0,0,0,1
230,2,0,0,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,1
231,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1
232,1,0,2,1,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1
233,2,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1
234,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
235,0,1,2,2,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1
236,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,1
237,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1
238,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,2,1
239,2,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1
240,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
241,1,1,1,0,0,0,0,2,1,0,1,1,0,0,1,1,0,1,0,1,1
242,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1
243,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
244,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1
245,1,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,1
246,0,1,1,1,0,0,0,2,0,2,1,2,0,0,0,2,1,0,1,1,1
247,2,2,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,1,1,0,1
248,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
249,1,2,1,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1
250,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
251,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1
252,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,1
253,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,2,0,1,0,1
254,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
255,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1
256,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1
257,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
258,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,2,1,0,1
259,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1
260,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
261,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,1,1,0,0,0,1
262,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1
263,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
264,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1
265,1,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
266,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
267,1,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1
268,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,1,1
269,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
270,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
271,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1
272,2,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
273,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,1,1
274,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1
275,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1
276,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,1
277,2,2,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,1,1
278,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1
279,1,0,1,1,2,0,1,1,1,0,0,0,1,0,1,1,2,1,1,0,1
280,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
281,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,2,0,1,1
282,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,1
283,1,0,1,0,0,1,0,1,2,1,1,0,0,0,1,0,1,1,0,0,1
284,0,1,0,1,1,0,1,0,1,0,2,1,0,0,1,1,0,1,0,0,1
285,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1
286,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
287,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
288,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,1,1,0,1,1,1
289,2,1,0,1,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1
290,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,1,1
291,2,0,1,0,0,0,0,1,2,0,1,1,0,0,0,1,1,1,0,1,1
292,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1
293,2,1,1,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1
294,1,1,0,0,0,0,0,2,1,0,0,1,0,0,1,1,1,1,0,0,1
295,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
296,1,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,1
297,1,2,0,0,0,0,0,0,2,0,2,0,0,0,1,2,1,0,0,1,1
298,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,2,2,1
299,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,1,0,0,1
300,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
301,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,1,1,1
302,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,1
303,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
304,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,1
305,1,1,1,2,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
306,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1
307,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1
308,1,0,0,1,1,0,0,2,0,0,1,1,0,1,1,1,1,1,1,0,1
309,2,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
310,2,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
311,1,0,0,1,0,1,1,2,0,0,1,1,0,1,1,0,2,0,2,0,1
312,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,1
313,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1
314,0,1,2,1,1,0,1,1,0,0,1,0,0,0,2,1,2,0,1,0,1
