d3mIndex,V1,V2,V3,V4,Class
147,1.473,0.721,1.397,0.739,1
148,1.454,0.715,1.403,0.757,1
149,1.438,0.707,1.409,0.776,1
150,1.419,0.7,1.415,0.795,1
151,1.399,0.694,1.425,0.814,1
152,1.379,0.69,1.432,0.834,1
153,1.358,0.683,1.438,0.854,1
154,1.338,0.673,1.445,0.874,1
155,1.317,0.666,1.453,0.895,1
156,0.891,0.663,1.464,0.915,2
157,1.276,0.652,1.472,0.936,1
158,1.255,0.645,1.526,0.956,1
159,1.233,0.638,1.538,0.976,1
160,1.212,0.627,1.547,0.996,1
161,1.193,0.623,1.555,1.015,1
162,1.174,0.613,1.561,1.034,1
163,1.156,0.607,1.573,1.052,1
164,1.138,0.6,1.584,1.07,1
165,1.121,0.594,3.117,1.087,1
166,1.105,0.588,3.114,1.103,1
167,1.089,0.582,1.61,1.119,1
168,1.074,0.576,2.367,1.135,1
169,1.058,0.57,3.133,1.15,1
170,1.043,0.564,2.369,1.166,1
171,1.026,0.562,3.141,1.183,1
172,1.009,0.555,3.158,1.2,1
173,0.989,0.549,2.4,1.218,1
174,0.733,0.539,2.399,1.236,2
175,0.711,0.54,3.166,1.255,2
176,0.679,0.53,3.176,1.272,2
177,0.658,0.521,3.199,1.291,2
178,0.65,0.515,3.185,1.309,2
179,0.644,0.509,3.191,1.325,2
180,0.639,0.504,3.194,1.34,2
181,0.86,0.504,3.201,1.348,2
182,0.859,0.496,3.203,1.351,2
183,0.861,0.491,2.43,1.349,2
184,0.865,0.491,3.208,1.345,2
185,0.865,0.491,3.208,1.345,2
186,0.865,0.49,2.425,1.345,2
187,0.865,0.49,3.206,1.345,2
188,0.865,0.489,3.207,1.345,2
189,0.865,0.488,3.207,1.347,2
190,0.868,0.487,3.205,1.344,2
191,0.867,0.486,3.205,1.343,2
192,0.87,0.485,3.206,1.343,2
193,0.869,0.485,3.206,1.343,2
194,0.74,0.484,3.206,1.343,2
195,0.74,0.483,3.207,1.342,2
196,0.861,0.482,3.208,1.341,2
197,0.859,0.48,3.209,1.341,2
198,0.857,0.478,1.811,1.341,2
199,0.853,0.477,1.794,1.341,2
200,0.85,0.475,2.277,1.342,2
201,0.852,0.474,3.218,1.341,2
202,0.852,0.472,1.924,1.348,2
203,0.851,0.47,1.923,1.345,2
204,0.854,0.467,1.921,1.345,2
205,0.857,0.465,1.921,1.088,2
206,0.873,0.462,1.826,1.085,2
207,1.491,0.46,1.768,1.08,4
208,1.202,0.458,1.763,1.073,4
209,1.201,0.456,1.829,1.04,4
210,1.2,0.455,1.926,1.033,4
211,1.198,0.454,1.836,1.033,4
212,1.198,0.455,1.924,1.034,4
213,1.198,0.455,1.835,1.035,4
214,1.197,0.456,1.835,1.039,4
215,1.198,0.456,1.926,1.042,4
216,1.191,0.457,1.928,1.043,4
217,1.186,0.458,1.898,0.553,4
218,1.567,0.459,1.82,0.554,4
219,1.208,0.461,1.783,1.006,4
220,1.553,0.462,1.839,1.013,4
221,1.191,0.464,1.84,1.021,4
222,1.535,0.465,1.805,0.916,4
223,1.528,0.466,1.802,0.921,4
224,1.519,0.468,1.785,0.929,4
225,1.512,0.47,1.782,0.938,4
226,1.416,0.471,1.775,0.946,4
227,1.522,0.473,1.521,0.954,4
228,1.475,0.476,1.482,0.963,4
229,1.487,0.478,1.53,0.971,4
230,1.473,0.48,1.485,1.0,4
231,1.472,0.483,1.468,1.006,4
232,1.459,0.486,1.461,1.012,4
233,1.462,0.489,1.451,1.021,4
234,1.34,0.491,1.441,1.243,4
235,1.335,0.494,1.44,1.252,4
236,1.421,0.497,1.428,0.828,1
237,1.421,0.5,1.426,0.84,1
238,1.414,0.504,1.506,0.849,1
239,1.404,0.507,1.429,1.289,1
240,1.393,0.511,1.421,1.297,1
241,1.381,0.515,1.42,1.312,1
242,1.368,0.52,1.472,1.326,1
243,1.353,0.526,1.579,0.903,1
244,1.309,0.531,1.581,1.291,1
245,1.293,0.538,1.415,0.934,1
246,1.273,0.545,1.608,0.935,1
247,1.287,0.551,1.507,0.955,1
248,1.269,0.559,1.503,0.976,1
249,1.22,0.566,1.625,1.007,1
250,1.202,0.574,1.622,1.025,1
251,1.183,0.581,1.577,1.482,1
252,1.165,0.589,1.526,1.502,1
253,1.143,0.597,1.56,1.525,1
254,1.128,0.604,1.527,1.544,1
255,1.106,0.612,1.535,0.951,1
256,1.09,0.619,1.544,0.976,1
257,1.068,0.627,1.557,0.997,1
258,1.049,0.635,1.766,1.622,1
259,1.03,0.642,1.786,1.642,1
260,1.012,0.65,1.884,1.567,1
261,0.994,0.657,1.611,1.575,1
262,0.975,0.664,2.005,1.602,1
263,0.957,0.672,1.655,1.545,1
264,0.942,0.679,2.099,1.645,1
265,1.173,0.686,3.014,1.585,1
266,1.16,0.695,3.007,1.685,1
267,1.148,0.702,2.195,1.621,1
268,1.139,0.707,2.198,1.824,1
269,1.128,0.702,2.294,1.571,1
270,1.126,0.704,2.274,1.594,1
271,1.473,0.71,2.283,1.269,1
272,1.454,0.713,2.286,1.287,1
273,1.434,0.719,2.956,1.734,1
274,1.412,0.726,2.949,1.732,1
275,1.063,0.733,2.192,1.751,1
276,1.05,0.741,2.308,1.749,1
277,1.04,0.748,2.928,1.765,1
278,1.03,0.756,2.303,1.273,1
279,1.021,0.763,2.318,1.291,1
280,1.011,0.771,2.323,1.827,1
281,0.642,0.778,2.331,1.846,2
282,0.622,0.786,2.343,1.869,2
283,0.606,0.793,2.006,1.885,2
284,0.589,0.801,2.014,1.908,2
285,0.574,0.805,2.367,1.93,2
286,0.559,0.807,2.375,1.951,2
287,0.547,0.797,2.86,1.398,2
288,0.541,0.786,2.373,1.919,2
289,0.549,0.784,2.37,1.93,2
290,0.983,0.78,2.373,1.701,1
291,0.984,0.78,2.372,1.7,1
292,0.983,0.78,2.378,1.602,1
293,0.983,0.78,2.381,1.701,1
294,0.981,0.78,2.387,1.703,1
295,0.98,0.78,2.391,1.606,1
296,0.979,0.779,2.388,1.61,1
297,0.978,0.779,2.385,1.614,1
298,0.978,0.779,2.388,1.704,1
299,0.977,0.779,2.388,1.708,1
300,0.976,0.778,2.392,1.709,1
301,0.974,0.778,2.392,1.71,1
302,0.972,0.777,2.391,1.616,1
303,0.968,0.777,2.39,1.624,1
304,0.961,0.776,2.393,1.628,1
305,0.952,0.775,2.387,1.642,1
306,0.937,0.773,2.392,2.247,1
307,0.924,0.775,2.398,1.669,1
308,0.91,0.774,2.402,1.685,1
309,0.895,0.773,2.411,1.679,2
310,0.88,0.779,2.418,2.315,2
311,0.864,0.779,2.428,1.758,2
312,0.847,0.779,2.104,2.351,2
313,0.832,0.778,2.798,5.0,2
314,0.817,0.775,2.12,5.0,2
315,0.804,0.771,2.784,5.0,2
316,0.793,0.771,2.779,1.272,2
317,0.792,0.769,2.479,1.272,2
318,0.789,0.768,2.783,1.272,2
319,0.791,0.767,2.785,1.283,2
320,0.792,0.766,2.786,1.278,2
321,0.792,0.766,2.787,1.277,2
322,0.792,0.765,2.787,1.593,2
323,0.791,0.765,2.787,1.278,2
324,0.79,0.764,2.788,1.596,2
325,0.791,0.766,2.789,1.599,2
326,0.79,0.766,2.789,5.0,2
327,0.79,0.769,2.789,1.172,2
328,0.789,0.872,2.217,1.169,2
329,0.789,0.87,2.211,1.172,2
330,0.789,0.865,2.189,1.141,2
331,0.788,0.772,2.185,5.0,2
332,0.787,0.759,2.194,5.0,2
333,0.786,0.753,2.14,4.301,2
334,0.785,0.751,2.134,0.922,2
335,0.785,0.749,2.128,4.285,2
336,0.784,0.746,2.137,0.916,2
337,0.787,0.744,2.809,5.0,2
338,1.815,0.746,2.217,0.926,1
339,0.81,0.381,2.212,0.908,2
340,0.789,0.376,2.208,0.904,2
341,0.785,0.374,2.212,0.92,2
342,0.785,0.374,2.213,0.897,2
343,0.785,0.373,2.217,0.896,2
344,0.785,0.373,2.149,0.895,2
345,0.785,0.372,2.137,0.894,2
346,0.785,0.372,2.222,0.893,2
347,0.785,0.371,2.212,0.889,2
348,0.788,0.37,2.18,0.885,2
349,0.788,0.37,2.139,0.888,2
350,0.788,0.372,2.139,0.884,2
351,0.791,0.751,2.146,0.884,2
352,0.798,0.743,2.149,0.886,2
353,0.811,0.836,2.639,0.886,2
354,1.824,0.835,2.15,0.874,1
355,1.821,0.371,2.158,0.836,4
356,1.817,0.363,2.239,0.832,4
357,1.816,0.357,2.24,0.831,4
358,1.814,0.357,2.244,0.833,4
359,1.813,0.357,2.644,0.834,4
360,1.813,0.357,2.641,0.834,4
361,1.81,0.357,2.164,0.834,4
362,1.81,0.356,2.236,0.834,4
363,1.81,0.356,2.173,0.834,4
364,0.963,0.356,2.239,0.835,4
365,1.81,0.356,2.239,0.837,4
366,0.957,0.357,2.648,0.841,4
367,1.799,0.357,2.246,0.847,4
368,0.937,0.358,2.234,0.852,4
369,0.93,0.362,2.159,0.86,4
370,0.919,0.747,2.241,0.868,1
371,0.912,0.746,2.663,0.893,1
372,0.905,0.742,2.16,0.882,1
373,0.9,0.738,2.157,0.95,2
374,0.898,0.734,2.153,0.899,2
375,1.727,0.383,2.149,0.901,4
376,2.715,0.374,2.144,0.906,4
377,2.094,0.374,2.144,0.914,4
378,2.693,0.378,2.182,0.922,4
379,2.681,0.386,2.163,0.93,4
380,2.67,0.7,2.707,0.937,1
381,2.66,0.697,2.094,0.945,1
382,2.651,0.693,2.094,0.952,1
383,2.644,0.69,2.084,0.955,1
384,2.634,0.687,2.085,0.962,1
385,2.622,0.683,2.077,0.97,1
386,2.618,0.68,2.098,0.98,1
387,2.595,0.676,2.09,0.917,1
388,1.567,0.672,2.084,0.928,1
389,1.557,0.668,2.043,0.94,1
390,1.537,0.664,2.072,0.955,1
391,2.528,0.66,2.066,0.972,1
392,1.499,0.655,2.059,0.991,1
393,1.478,0.651,2.059,1.008,1
394,1.459,0.647,1.945,1.026,1
395,1.441,0.538,1.973,1.044,1
396,1.422,0.64,2.027,1.062,1
397,1.407,0.636,2.035,1.084,1
398,1.388,0.632,2.025,1.103,1
399,1.369,0.628,2.785,0.59,1
400,1.35,0.624,2.795,0.601,1
401,1.331,0.62,2.055,0.614,1
402,1.309,0.616,2.052,0.63,1
403,1.294,0.612,2.058,0.642,1
404,1.275,0.608,2.027,0.657,1
405,2.249,0.604,2.195,0.676,1
406,2.23,0.599,2.143,0.691,1
407,2.21,0.595,2.166,0.706,1
408,2.191,0.589,2.828,0.718,1
409,2.171,0.585,2.145,0.737,1
410,2.151,0.583,2.141,0.752,1
411,2.131,0.58,2.147,0.768,1
412,2.111,0.576,2.835,0.783,1
413,2.092,0.572,2.152,0.798,1
414,2.072,0.568,2.148,0.812,1
415,2.053,0.564,2.18,0.828,1
416,2.034,0.561,2.148,0.843,1
417,2.014,0.557,2.154,0.858,1
418,1.994,0.553,1.918,0.874,1
419,1.975,0.549,2.167,0.889,1
420,1.955,0.545,2.165,0.904,1
421,1.935,0.541,2.175,0.919,1
422,1.916,0.537,1.909,0.934,1
423,1.897,0.533,1.874,0.949,1
424,1.878,0.53,1.865,0.964,1
425,1.859,0.526,1.857,0.979,1
426,1.84,0.522,1.856,0.994,1
427,1.822,0.518,1.855,1.008,1
428,0.584,0.515,1.854,1.023,2
429,0.577,0.511,1.856,1.038,2
430,0.577,0.507,1.855,1.053,2
431,0.573,0.504,1.852,1.067,2
432,0.79,0.5,1.851,1.08,2
433,0.777,0.497,1.854,1.093,2
434,0.765,0.494,1.854,1.104,2
435,0.76,0.491,1.852,1.109,2
436,0.761,0.49,1.754,1.145,2
437,0.769,0.49,1.754,1.117,2
438,0.77,0.489,1.758,1.768,2
439,0.773,0.49,1.758,1.13,2
440,0.773,0.489,1.758,1.134,2
441,0.77,0.489,1.76,1.141,2
442,0.773,0.488,1.761,1.103,2
443,1.501,0.487,1.763,1.095,4
444,1.495,0.487,1.764,1.094,4
445,1.494,0.486,1.766,1.093,4
446,1.491,0.485,1.771,1.093,4
447,1.496,0.485,1.873,1.09,4
448,1.702,0.485,1.772,1.094,4
449,1.492,0.485,1.768,1.095,4
450,1.491,0.485,1.767,1.095,4
451,1.492,0.485,1.872,1.097,4
452,1.694,0.484,1.765,1.1,4
453,1.689,0.483,1.866,1.104,4
454,1.682,0.483,1.865,1.106,4
455,1.675,0.482,1.999,1.111,4
456,1.666,0.481,1.993,1.118,4
457,1.656,0.48,1.984,1.126,4
458,0.583,0.479,1.981,1.135,2
459,1.635,0.478,1.718,1.144,4
460,1.624,0.478,1.711,1.153,4
461,1.613,0.478,1.701,1.163,4
462,1.603,0.477,1.695,1.172,4
463,1.593,0.477,1.959,1.181,4
464,1.584,0.478,1.865,1.189,4
465,1.575,0.477,1.854,1.196,4
466,1.567,0.478,1.852,1.204,4
467,1.559,0.478,1.85,1.212,4
468,1.55,0.478,1.842,1.22,4
469,1.541,0.479,1.843,1.228,4
470,1.531,0.48,1.841,1.237,4
471,1.521,0.48,1.836,1.25,4
472,1.511,0.481,1.834,1.259,4
473,1.316,0.482,1.829,1.27,4
474,1.304,0.483,1.827,1.279,4
475,1.296,0.484,1.825,1.288,4
476,1.291,0.485,1.819,1.298,4
477,1.283,0.486,1.817,1.309,4
478,1.278,0.487,1.815,1.318,4
479,1.273,0.488,1.812,1.327,4
480,1.432,0.49,1.81,1.337,4
481,1.422,0.491,1.808,1.347,4
482,1.412,0.493,1.805,1.356,4
483,1.402,0.494,1.8,0.589,4
484,1.392,0.496,1.798,1.374,1
485,1.382,0.498,1.795,1.383,1
486,1.372,0.499,1.793,1.393,1
487,1.361,0.501,1.79,1.403,1
488,1.349,0.503,1.787,0.884,1
489,1.336,0.506,1.783,0.895,1
490,1.322,0.509,1.779,0.904,1
491,1.308,0.513,1.774,0.918,1
492,1.292,0.516,1.769,0.932,1
493,1.275,0.521,1.764,0.948,1
494,1.259,0.526,1.758,0.964,1
495,1.241,0.531,1.753,0.981,1
496,1.223,0.536,1.747,0.998,1
497,1.205,0.541,1.74,1.015,1
498,1.186,0.547,1.733,1.034,1
499,1.168,0.553,1.726,1.052,1
500,1.15,0.559,1.719,1.074,1
501,1.131,0.565,1.712,1.095,1
502,1.113,0.571,1.705,0.644,1
503,1.094,0.578,1.698,0.65,1
504,1.075,0.584,1.69,1.697,1
505,1.056,0.591,1.679,0.661,1
506,1.037,0.597,1.646,1.737,1
507,1.018,0.604,1.631,1.757,1
508,0.998,0.608,1.622,1.777,1
509,0.979,0.615,1.609,1.801,1
510,0.959,0.623,1.601,0.71,1
511,0.94,0.631,1.592,1.839,1
512,0.923,0.638,1.584,1.862,1
513,0.904,0.645,1.572,1.337,1
514,0.882,0.652,1.564,1.353,2
515,0.864,0.658,1.556,0.723,2
516,0.846,0.665,1.549,0.729,2
517,0.827,0.671,1.542,0.736,2
518,0.809,0.678,1.534,0.743,2
519,0.792,0.684,1.528,0.749,2
520,0.776,0.689,1.522,0.753,2
521,0.767,0.69,1.52,0.755,2
522,0.767,0.687,1.523,0.751,2
523,0.769,0.686,1.525,0.745,2
524,0.77,0.685,1.525,0.744,2
525,0.77,0.685,1.525,0.744,2
526,0.769,0.685,1.529,0.743,2
527,0.769,0.684,1.529,0.745,2
528,0.769,0.684,1.53,0.78,2
529,0.769,0.683,1.531,0.748,2
530,0.768,0.683,1.533,1.452,2
531,0.768,0.682,1.534,0.776,2
532,0.768,0.681,1.536,0.773,2
533,0.769,0.68,1.537,0.762,2
534,0.765,0.682,1.539,0.721,2
535,0.763,0.684,1.54,0.714,2
536,0.762,0.683,1.538,0.711,2
537,0.761,0.681,1.54,0.704,2
538,0.76,0.677,1.542,0.701,2
539,0.759,0.676,1.547,0.7,2
540,0.758,0.679,1.549,0.694,2
541,0.757,0.679,1.551,0.701,2
542,0.756,0.682,1.556,0.685,2
543,0.755,0.689,1.56,0.678,2
544,0.762,0.72,1.566,0.674,2
545,0.769,0.783,1.564,0.668,2
546,0.772,0.685,1.564,0.665,2
547,0.758,0.779,1.566,0.662,2
548,0.758,0.779,1.572,0.66,2
549,0.758,0.776,1.579,0.658,2
550,0.761,0.851,5.0,0.663,2
551,0.764,0.713,3.251,0.65,2
552,0.768,0.753,3.25,0.648,2
553,1.566,0.749,1.618,0.645,1
554,1.567,0.745,1.622,0.643,1
555,1.568,0.711,1.623,0.641,1
556,1.57,0.741,1.626,0.64,1
557,1.572,0.74,1.626,0.642,1
558,1.567,0.742,1.621,0.646,1
559,1.56,0.724,1.613,0.652,1
560,1.551,0.734,1.601,0.662,1
561,1.54,0.726,1.592,0.673,1
562,1.527,0.72,1.58,0.685,1
563,1.513,0.714,1.566,0.699,1
564,1.497,0.707,1.554,0.715,1
565,1.481,0.7,3.298,0.731,1
566,1.464,0.693,3.315,0.748,1
567,1.447,0.686,3.326,0.765,1
568,1.429,0.678,1.493,0.783,1
569,1.411,0.671,1.473,0.801,1
570,1.392,0.664,3.363,0.819,1
571,1.374,0.656,4.051,0.838,1
572,1.355,0.648,3.07,0.857,1
573,1.335,0.644,3.067,0.876,1
574,1.316,0.638,3.084,0.895,1
575,1.297,0.63,3.078,0.914,1
576,1.278,0.624,3.079,0.933,1
577,1.262,0.617,3.08,0.952,1
578,1.24,0.61,3.092,0.971,1
579,1.223,0.604,3.093,0.991,1
580,1.2,0.597,3.107,1.01,1
581,1.18,0.587,3.11,1.03,1
582,1.161,0.58,3.146,1.05,1
583,1.141,0.574,3.125,1.069,1
584,1.121,0.566,3.142,1.089,1
585,1.102,0.562,5.0,1.108,1
586,1.083,0.556,3.158,1.127,1
587,1.065,0.549,1.131,1.145,1
588,1.046,0.543,3.17,1.163,1
589,1.028,0.537,3.167,1.181,1
590,1.01,0.53,3.18,1.199,1
591,0.992,0.524,3.173,1.217,1
592,0.974,0.517,1.041,1.235,1
593,0.956,0.512,1.022,1.253,1
594,0.938,0.505,1.004,1.271,1
595,0.69,0.498,0.983,1.289,2
596,0.671,0.489,0.964,1.307,2
597,0.619,0.483,0.95,1.325,2
598,0.607,0.477,0.929,1.343,2
599,0.593,0.473,0.909,1.36,2
600,0.58,0.465,0.896,1.375,2
601,0.568,0.462,0.89,1.387,2
602,0.821,0.462,3.257,1.388,2
603,0.824,0.458,3.251,1.385,2
604,0.826,0.455,3.252,1.384,2
605,0.825,0.454,3.252,1.384,2
606,0.825,0.454,3.252,1.384,2
607,0.825,0.453,2.649,1.384,2
608,0.822,0.452,3.248,1.384,2
609,0.507,0.452,3.254,1.384,2
610,0.507,0.451,3.251,1.384,2
611,0.507,0.451,3.251,1.384,2
612,0.508,0.45,3.248,1.383,2
613,0.508,0.45,2.64,1.386,2
614,0.508,0.449,3.246,1.385,2
615,0.508,0.448,3.246,1.385,2
616,0.508,0.448,2.638,1.385,2
617,0.512,0.447,2.642,1.384,2
618,0.823,0.447,2.641,1.381,2
619,0.823,0.446,2.641,1.38,2
620,0.823,0.445,3.248,1.38,2
621,0.823,0.443,3.256,1.38,2
622,0.823,0.438,3.249,1.379,2
623,0.824,0.44,2.67,1.38,2
624,0.824,0.438,0.895,1.38,2
625,0.829,0.436,2.639,1.383,2
626,0.83,0.435,2.637,1.383,2
627,0.829,0.433,2.638,1.383,2
628,0.826,0.431,2.639,1.383,2
629,0.826,0.428,2.64,1.394,2
630,0.825,0.426,2.642,1.41,2
631,0.825,0.423,2.644,1.387,2
632,0.825,0.421,2.646,1.388,2
633,0.828,0.419,2.648,1.389,2
634,0.828,0.417,1.479,1.39,2
635,0.829,0.416,2.654,1.395,2
636,0.831,0.414,2.655,0.769,2
637,0.826,0.411,2.656,0.768,2
638,0.825,0.408,1.449,0.766,2
639,0.824,0.405,1.44,0.766,2
640,0.82,0.403,1.441,0.47,2
641,0.82,0.4,2.663,0.461,2
642,0.822,0.399,2.669,0.452,2
643,0.821,0.397,1.484,0.444,2
644,0.824,0.396,1.473,0.449,2
645,0.824,0.395,1.604,0.438,2
646,0.819,0.407,1.46,0.467,2
647,0.813,0.399,1.426,0.432,2
648,0.811,0.395,1.422,0.425,2
649,0.81,0.393,1.425,0.421,2
650,0.805,0.393,1.421,0.438,2
651,0.808,0.396,1.446,0.428,2
652,0.806,0.423,1.44,0.425,2
653,0.809,0.431,1.43,0.408,2
654,0.811,0.435,1.423,0.394,2
655,0.904,0.403,1.417,0.388,4
656,0.804,0.404,1.417,0.386,2
657,0.803,0.405,1.417,0.384,2
658,0.802,0.427,1.418,0.382,2
659,0.802,0.431,1.42,0.381,2
660,0.805,0.478,1.419,0.381,2
661,0.802,0.477,1.422,0.38,2
662,0.805,0.477,1.422,0.38,2
663,0.805,0.479,1.437,0.379,2
664,0.805,0.479,1.431,0.378,2
665,0.808,0.478,1.428,0.38,2
666,0.822,0.49,1.424,0.377,2
667,0.825,0.937,1.425,0.372,2
668,3.338,0.423,1.42,0.371,4
669,3.335,0.424,1.418,0.369,4
670,3.335,0.425,1.421,0.367,4
671,3.335,0.422,1.421,0.368,4
672,3.335,0.425,1.421,0.368,4
673,3.335,0.422,1.421,0.368,4
674,3.335,0.425,1.421,0.367,4
675,3.335,0.425,1.421,0.367,4
676,3.335,0.425,1.421,0.368,4
677,3.334,0.427,1.422,0.368,4
678,2.935,0.426,1.424,0.37,4
679,2.923,0.431,1.426,0.375,4
680,3.322,0.436,1.429,0.38,4
681,3.316,0.443,1.432,0.386,4
682,3.309,0.454,1.436,0.393,4
683,3.301,0.463,1.441,0.401,4
684,3.29,0.479,1.445,0.409,4
685,3.281,0.761,1.45,0.418,1
686,3.273,0.756,1.455,0.426,1
687,3.267,0.751,1.46,0.435,1
688,3.258,0.747,1.465,0.445,1
689,3.25,0.746,1.469,0.455,1
690,3.237,0.741,1.475,0.467,1
691,3.22,0.735,1.481,0.481,1
692,3.205,0.729,1.487,0.496,1
693,3.189,0.723,1.494,0.512,1
694,3.172,0.716,1.501,0.529,1
695,3.16,0.713,1.508,0.547,1
696,3.138,0.706,1.516,0.566,1
