d3mIndex,year,month,binaryClass
207,1996.0,April,N
208,1996.0,May,N
209,1996.0,June,N
210,1996.0,July,N
211,1996.0,August,N
212,1996.0,September,N
213,1996.0,October,N
214,1996.0,November,P
215,1996.0,December,P
216,1997.0,January,P
217,1997.0,February,P
218,1997.0,March,N
219,1997.0,April,N
220,1997.0,May,N
221,1997.0,June,N
222,1997.0,July,N
223,1997.0,August,N
224,1997.0,September,N
225,1997.0,October,N
226,1997.0,November,P
227,1997.0,December,P
228,1998.0,January,P
229,1998.0,February,P
230,1998.0,March,P
231,1998.0,April,N
232,1998.0,May,N
233,1998.0,June,N
234,1998.0,July,N
235,1998.0,August,N
236,1998.0,September,N
237,1998.0,October,N
238,1998.0,November,P
239,1998.0,December,P
240,1999.0,January,P
241,1999.0,February,P
242,1999.0,March,N
243,1999.0,April,N
244,1999.0,May,N
245,1999.0,June,N
246,1999.0,July,N
247,1999.0,August,N
248,1999.0,September,N
249,1999.0,October,N
250,1999.0,November,N
251,1999.0,December,P
252,2000.0,January,P
253,2000.0,February,P
254,2000.0,March,N
255,2000.0,April,N
256,2000.0,May,N
257,2000.0,June,N
258,2000.0,July,N
259,2000.0,August,N
260,2000.0,September,N
261,2000.0,October,N
262,2000.0,November,N
263,2000.0,December,P
