d3mIndex,Dose,Aberrant_cells,Total_cells
229,0.0,2,100
230,0.0,2,100
231,0.0,2,100
232,0.0,2,100
233,0.0,2,100
234,0.0,2,100
235,0.0,2,100
236,0.0,2,100
237,0.0,2,100
238,0.0,2,100
239,0.0,2,100
240,0.0,3,100
241,0.0,3,100
242,0.0,3,100
243,0.0,3,100
244,0.0,3,100
245,0.0,3,100
246,0.0,3,100
247,0.0,3,100
248,0.0,3,100
249,0.0,3,100
250,0.0,3,100
251,0.0,3,100
252,0.0,3,100
253,0.0,3,100
254,0.0,3,100
255,0.0,3,100
256,0.0,3,100
257,0.0,4,100
258,0.0,4,100
259,0.0,4,100
260,0.0,5,100
261,0.0,5,100
262,0.0,6,100
263,38.0,0,100
264,38.0,0,100
265,38.0,0,100
266,38.0,0,100
267,38.0,0,100
268,38.0,0,100
269,38.0,0,100
270,38.0,0,100
271,38.0,0,100
272,38.0,0,100
273,38.0,0,100
274,38.0,0,100
275,38.0,0,100
276,38.0,0,100
277,38.0,0,100
278,38.0,0,100
279,38.0,0,100
280,38.0,0,100
281,38.0,0,100
282,38.0,0,100
283,38.0,1,100
284,38.0,1,100
285,38.0,1,100
286,38.0,1,100
287,38.0,1,100
288,38.0,1,100
289,38.0,1,100
290,38.0,1,100
291,38.0,1,100
292,38.0,1,100
293,38.0,1,100
294,38.0,1,100
295,38.0,1,100
296,38.0,1,100
297,38.0,1,100
298,38.0,1,100
299,38.0,1,100
300,38.0,1,100
301,38.0,1,100
302,38.0,1,100
303,38.0,1,100
304,38.0,1,100
305,38.0,1,100
306,38.0,2,100
307,38.0,2,100
308,38.0,2,100
309,38.0,2,100
310,38.0,2,100
311,38.0,2,100
312,38.0,3,100
313,38.0,3,100
314,38.0,3,100
315,38.0,3,100
316,38.0,3,100
317,38.0,3,100
318,38.0,3,100
319,38.0,4,100
320,38.0,4,100
321,38.0,4,100
322,38.0,5,100
323,38.0,5,100
324,38.0,6,100
325,38.0,6,100
326,38.0,6,100
327,38.0,6,100
328,38.0,6,100
329,38.0,7,100
330,38.0,7,100
331,38.0,9,100
332,38.0,14,100
333,143.9,0,100
334,143.9,0,100
335,143.9,0,100
336,143.9,0,100
337,143.9,0,100
338,143.9,0,100
339,143.9,0,100
340,143.9,0,100
341,143.9,0,100
342,143.9,0,100
343,143.9,0,100
344,143.9,0,100
345,143.9,0,100
346,143.9,0,100
347,143.9,0,100
348,143.9,0,100
349,143.9,0,100
350,143.9,0,100
351,143.9,0,100
352,143.9,0,100
353,143.9,0,100
354,143.9,0,100
355,143.9,0,100
356,143.9,1,100
357,143.9,1,100
358,143.9,1,100
359,143.9,1,100
360,143.9,1,100
361,143.9,1,100
362,143.9,1,100
363,143.9,1,100
364,143.9,1,100
365,143.9,1,100
366,143.9,1,100
367,143.9,1,100
368,143.9,2,100
369,143.9,2,100
370,143.9,2,100
371,143.9,2,100
372,143.9,2,100
373,143.9,2,100
374,143.9,2,100
375,143.9,2,100
376,143.9,2,100
377,143.9,2,100
378,143.9,2,100
379,143.9,2,100
380,143.9,2,100
381,143.9,2,100
382,143.9,2,100
383,143.9,2,100
384,143.9,2,100
385,143.9,2,100
386,143.9,2,100
387,143.9,2,100
388,143.9,3,100
389,143.9,3,100
390,143.9,3,100
391,143.9,3,100
392,143.9,3,100
393,143.9,3,100
394,143.9,3,100
395,143.9,3,100
396,143.9,3,100
397,143.9,3,100
398,143.9,3,100
399,143.9,3,100
400,143.9,3,100
401,143.9,3,100
402,143.9,3,100
403,143.9,3,100
404,143.9,3,100
405,143.9,3,100
406,143.9,3,100
407,143.9,3,100
408,143.9,3,100
409,143.9,3,100
410,143.9,3,100
411,143.9,4,100
412,143.9,4,100
413,143.9,4,100
414,143.9,4,100
415,143.9,4,100
416,143.9,4,100
417,143.9,5,100
418,143.9,5,100
419,143.9,5,100
420,143.9,5,100
421,143.9,5,100
422,143.9,5,100
423,143.9,5,100
424,143.9,5,100
425,143.9,5,100
426,143.9,5,100
427,143.9,5,100
428,143.9,5,100
429,143.9,6,100
430,143.9,6,100
431,143.9,6,100
432,143.9,6,100
433,143.9,6,100
434,143.9,6,100
435,143.9,6,100
436,143.9,6,100
437,143.9,6,100
438,143.9,6,100
439,143.9,6,100
440,143.9,6,100
441,143.9,7,100
442,143.9,7,100
443,143.9,7,100
444,143.9,7,100
445,143.9,7,100
446,143.9,7,100
447,143.9,7,100
448,143.9,7,100
449,143.9,7,100
450,143.9,7,100
451,143.9,7,100
452,143.9,7,100
453,143.9,8,100
454,143.9,8,100
455,143.9,8,100
456,143.9,8,100
457,143.9,8,100
458,143.9,9,100
459,143.9,9,100
460,143.9,10,100
461,143.9,10,100
462,143.9,10,100
463,143.9,10,100
464,143.9,10,100
465,143.9,11,100
466,143.9,14,100
467,143.9,15,100
468,143.9,16,100
469,143.9,16,100
470,143.9,17,100
471,244.1,0,100
472,244.1,0,100
473,244.1,1,100
474,244.1,1,100
475,244.1,2,100
476,244.1,2,100
477,244.1,2,100
478,244.1,2,100
479,244.1,2,100
480,244.1,3,100
481,244.1,3,100
482,244.1,3,100
483,244.1,3,100
484,244.1,3,100
485,244.1,4,100
486,244.1,4,100
487,244.1,4,100
488,244.1,5,100
489,244.1,5,100
490,244.1,5,100
491,244.1,5,100
492,244.1,5,100
493,244.1,5,100
494,244.1,5,100
495,244.1,5,100
496,244.1,5,100
497,244.1,5,100
498,244.1,5,100
499,244.1,5,100
500,244.1,5,100
501,244.1,5,100
502,244.1,6,100
503,244.1,6,100
504,244.1,6,100
505,244.1,7,100
506,244.1,7,100
507,244.1,8,100
508,244.1,8,100
509,244.1,8,100
510,244.1,8,100
511,244.1,9,100
512,244.1,9,100
513,244.1,9,100
514,244.1,10,100
515,244.1,10,100
516,244.1,10,100
517,244.1,10,100
518,244.1,10,100
519,244.1,11,100
520,244.1,11,100
521,244.1,12,100
522,244.1,12,100
523,244.1,13,100
524,244.1,13,100
525,244.1,13,100
526,244.1,13,100
527,244.1,13,100
528,244.1,13,100
529,244.1,13,100
530,244.1,14,100
531,244.1,14,100
532,244.1,14,100
533,244.1,15,100
534,244.1,16,100
535,244.1,16,100
536,244.1,17,100
537,244.1,17,100
538,244.1,21,100
539,244.1,24,100
540,244.1,25,100
541,346.9,0,100
542,346.9,1,100
543,346.9,2,100
544,346.9,3,100
545,346.9,4,100
546,346.9,4,100
547,346.9,4,100
548,346.9,5,100
549,346.9,5,100
550,346.9,5,100
551,346.9,6,100
552,346.9,6,100
553,346.9,6,100
554,346.9,7,100
555,346.9,7,100
556,346.9,7,100
557,346.9,8,100
558,346.9,8,100
559,346.9,8,100
560,346.9,9,100
561,346.9,9,100
562,346.9,9,100
563,346.9,10,100
564,346.9,10,100
565,346.9,10,100
566,346.9,11,100
567,346.9,12,100
568,346.9,13,100
569,346.9,13,100
570,346.9,13,100
571,346.9,14,100
572,346.9,14,100
573,346.9,17,100
574,346.9,17,100
575,346.9,18,100
576,346.9,18,100
577,346.9,18,100
578,346.9,18,100
579,346.9,19,100
580,346.9,19,100
581,346.9,20,100
582,346.9,22,100
583,346.9,42,100
584,440.7,2,100
585,440.7,3,100
586,440.7,4,100
587,440.7,4,100
588,440.7,4,100
589,440.7,5,100
590,440.7,5,100
591,440.7,5,100
592,440.7,5,100
593,440.7,6,100
594,440.7,8,100
595,440.7,8,100
596,440.7,9,100
597,440.7,10,100
598,440.7,10,100
599,440.7,10,100
600,440.7,11,100
601,440.7,12,100
602,440.7,13,100
603,440.7,13,100
604,440.7,14,100
605,440.7,14,100
606,440.7,15,100
607,440.7,16,100
608,440.7,17,100
609,440.7,20,100
610,440.7,22,100
611,440.7,25,100
612,440.7,28,100
613,440.7,29,100
614,440.7,37,100
615,666.6,0,100
616,666.6,0,100
617,666.6,0,100
618,666.6,1,100
619,666.6,2,100
620,666.6,2,100
621,666.6,3,100
622,666.6,3,100
623,666.6,4,100
624,666.6,4,100
625,666.6,6,100
626,666.6,8,100
627,666.6,11,100
628,666.6,12,100
629,666.6,13,100
630,666.6,14,100
631,666.6,16,100
632,666.6,16,100
633,666.6,16,100
634,666.6,17,100
635,666.6,17,100
636,666.6,17,100
637,666.6,17,100
638,666.6,19,100
639,666.6,20,100
640,666.6,21,100
641,666.6,22,100
642,666.6,23,100
643,666.6,24,100
644,666.6,25,100
645,666.6,29,100
646,666.6,34,100
647,666.6,40,100
648,666.6,42,100
