d3mIndex,in1,in2,in3,in4,out1
94,7.0,12.0,6.0,4.0,5.0
95,3.0,6.0,2.0,12.0,4.0
96,8.0,6.0,4.0,5.0,4.0
97,1.0,2.0,12.0,6.0,1.0
98,2.0,7.0,9.0,2.0,4.0
99,8.0,5.0,10.0,2.0,5.0
100,13.0,3.0,6.0,6.0,3.0
101,3.0,6.0,2.0,12.0,1.0
102,12.0,9.0,10.0,6.0,7.0
103,3.0,3.0,5.0,9.0,1.0
104,7.0,10.0,8.0,13.0,4.0
105,9.0,8.0,5.0,2.0,6.0
106,1.0,2.0,12.0,4.0,3.0
107,7.0,3.0,7.0,0.0,6.0
108,12.0,10.0,12.0,7.0,8.0
109,0.0,5.0,7.0,2.0,1.0
110,8.0,5.0,10.0,2.0,4.0
111,3.0,6.0,2.0,12.0,3.0
112,5.0,13.0,0.0,11.0,7.0
113,12.0,9.0,10.0,6.0,7.0
114,7.0,10.0,8.0,13.0,8.0
115,5.0,13.0,0.0,11.0,4.0
116,0.0,10.0,12.0,7.0,2.0
117,7.0,10.0,8.0,13.0,5.0
118,7.0,12.0,6.0,4.0,6.0
119,5.0,13.0,0.0,11.0,4.0
120,8.0,12.0,6.0,1.0,5.0
121,0.0,10.0,12.0,7.0,3.0
122,0.0,5.0,7.0,2.0,1.0
123,10.0,13.0,5.0,0.0,7.0
124,12.0,4.0,5.0,13.0,3.0
125,8.0,12.0,6.0,1.0,7.0
126,14.0,11.0,13.0,14.0,6.0
127,5.0,13.0,0.0,11.0,6.0
128,0.0,10.0,12.0,7.0,6.0
129,9.0,8.0,5.0,2.0,4.0
130,8.0,6.0,4.0,5.0,4.0
131,13.0,3.0,6.0,6.0,5.0
132,14.0,4.0,8.0,14.0,4.0
133,1.0,3.0,10.0,7.0,2.0
134,10.0,2.0,13.0,4.0,4.0
135,7.0,3.0,7.0,0.0,1.0
136,3.0,6.0,2.0,12.0,3.0
137,8.0,5.0,10.0,2.0,5.0
138,1.0,9.0,4.0,1.0,5.0
139,5.0,7.0,3.0,12.0,3.0
140,10.0,13.0,5.0,0.0,3.0
141,11.0,13.0,10.0,1.0,7.0
142,12.0,4.0,5.0,13.0,2.0
143,8.0,12.0,6.0,1.0,4.0
144,12.0,9.0,10.0,6.0,3.0
145,10.0,3.0,6.0,14.0,2.0
146,14.0,4.0,8.0,14.0,7.0
147,10.0,13.0,5.0,0.0,4.0
148,10.0,2.0,13.0,4.0,5.0
149,9.0,2.0,7.0,10.0,4.0
150,1.0,3.0,10.0,7.0,4.0
151,8.0,6.0,4.0,5.0,5.0
152,12.0,4.0,9.0,14.0,4.0
153,7.0,3.0,7.0,0.0,1.0
154,2.0,1.0,5.0,1.0,3.0
155,3.0,6.0,2.0,12.0,3.0
156,12.0,8.0,7.0,6.0,5.0
157,2.0,9.0,7.0,5.0,5.0
158,10.0,3.0,6.0,14.0,3.0
159,10.0,2.0,13.0,4.0,5.0
160,12.0,9.0,10.0,6.0,8.0
161,7.0,12.0,6.0,4.0,4.0
162,12.0,9.0,10.0,6.0,7.0
163,1.0,3.0,10.0,7.0,4.0
164,5.0,13.0,0.0,11.0,5.0
165,0.0,10.0,12.0,7.0,7.0
166,2.0,14.0,2.0,9.0,6.0
167,0.0,10.0,12.0,7.0,6.0
168,12.0,8.0,7.0,6.0,6.0
169,14.0,0.0,6.0,0.0,1.0
170,12.0,4.0,9.0,14.0,4.0
171,5.0,13.0,0.0,11.0,3.0
172,5.0,7.0,3.0,12.0,7.0
173,2.0,14.0,2.0,9.0,6.0
174,5.0,13.0,0.0,11.0,7.0
175,2.0,9.0,7.0,5.0,1.0
176,5.0,7.0,3.0,12.0,3.0
177,5.0,13.0,0.0,11.0,4.0
178,14.0,11.0,13.0,14.0,7.0
179,5.0,13.0,0.0,11.0,4.0
180,3.0,2.0,0.0,14.0,7.0
181,2.0,9.0,7.0,5.0,2.0
182,12.0,4.0,9.0,14.0,3.0
183,13.0,6.0,5.0,0.0,2.0
184,1.0,2.0,12.0,6.0,2.0
185,13.0,6.0,5.0,0.0,2.0
186,5.0,13.0,0.0,11.0,5.0
187,3.0,6.0,2.0,12.0,5.0
188,0.0,5.0,7.0,2.0,1.0
189,12.0,8.0,7.0,6.0,5.0
190,8.0,5.0,10.0,2.0,5.0
191,8.0,6.0,4.0,5.0,2.0
192,14.0,2.0,4.0,1.0,3.0
193,3.0,6.0,2.0,12.0,2.0
194,12.0,9.0,10.0,6.0,7.0
195,7.0,10.0,8.0,13.0,4.0
196,14.0,2.0,4.0,1.0,3.0
197,3.0,3.0,5.0,9.0,2.0
198,8.0,6.0,4.0,5.0,4.0
199,9.0,8.0,5.0,2.0,7.0
200,9.0,8.0,5.0,2.0,2.0
201,1.0,2.0,12.0,4.0,6.0
202,0.0,5.0,7.0,2.0,1.0
203,1.0,9.0,4.0,1.0,2.0
204,8.0,12.0,6.0,1.0,5.0
205,13.0,3.0,6.0,6.0,3.0
206,2.0,1.0,5.0,1.0,1.0
207,1.0,2.0,12.0,4.0,5.0
208,10.0,13.0,5.0,0.0,7.0
209,1.0,2.0,12.0,4.0,3.0
210,2.0,7.0,9.0,2.0,2.0
211,10.0,13.0,5.0,0.0,8.0
212,14.0,11.0,13.0,14.0,3.0
213,12.0,4.0,9.0,14.0,8.0
214,1.0,2.0,12.0,4.0,1.0
215,5.0,13.0,0.0,11.0,2.0
216,13.0,6.0,12.0,2.0,6.0
217,1.0,3.0,10.0,7.0,6.0
218,5.0,13.0,0.0,11.0,7.0
219,5.0,7.0,3.0,12.0,1.0
220,2.0,14.0,2.0,9.0,5.0
221,9.0,8.0,5.0,2.0,4.0
222,7.0,3.0,7.0,0.0,1.0
223,14.0,11.0,13.0,14.0,9.0
224,1.0,2.0,12.0,4.0,1.0
225,9.0,3.0,10.0,5.0,3.0
226,12.0,9.0,10.0,6.0,8.0
227,2.0,7.0,9.0,2.0,5.0
228,1.0,9.0,4.0,1.0,3.0
229,13.0,6.0,12.0,2.0,4.0
230,14.0,0.0,6.0,0.0,4.0
231,12.0,10.0,12.0,7.0,7.0
232,13.0,9.0,2.0,8.0,4.0
233,10.0,13.0,5.0,0.0,7.0
234,11.0,13.0,10.0,1.0,7.0
235,0.0,10.0,12.0,7.0,2.0
236,10.0,7.0,1.0,6.0,3.0
237,13.0,9.0,2.0,8.0,6.0
238,13.0,9.0,2.0,8.0,4.0
239,10.0,10.0,6.0,9.0,6.0
240,1.0,2.0,12.0,4.0,5.0
241,9.0,3.0,10.0,5.0,2.0
242,1.0,9.0,4.0,1.0,2.0
243,3.0,6.0,2.0,12.0,5.0
244,7.0,12.0,6.0,4.0,5.0
245,2.0,1.0,5.0,1.0,1.0
246,5.0,13.0,0.0,11.0,4.0
247,7.0,10.0,8.0,13.0,4.0
248,0.0,5.0,7.0,2.0,1.0
249,8.0,5.0,10.0,2.0,3.0
250,12.0,4.0,9.0,14.0,5.0
251,12.0,10.0,12.0,7.0,5.0
252,1.0,2.0,12.0,6.0,2.0
253,10.0,7.0,1.0,6.0,4.0
254,10.0,10.0,6.0,9.0,6.0
255,12.0,8.0,7.0,6.0,6.0
256,14.0,2.0,4.0,1.0,3.0
257,2.0,7.0,9.0,2.0,4.0
258,3.0,6.0,2.0,12.0,2.0
259,13.0,6.0,12.0,2.0,3.0
260,0.0,10.0,12.0,7.0,2.0
261,9.0,2.0,7.0,10.0,2.0
262,0.0,10.0,12.0,7.0,1.0
263,14.0,4.0,8.0,14.0,5.0
264,10.0,3.0,6.0,14.0,8.0
265,7.0,3.0,7.0,0.0,3.0
266,11.0,13.0,10.0,1.0,7.0
267,14.0,11.0,13.0,14.0,8.0
268,3.0,3.0,5.0,9.0,2.0
269,2.0,7.0,9.0,2.0,4.0
270,3.0,6.0,2.0,12.0,2.0
271,2.0,1.0,5.0,1.0,2.0
272,12.0,8.0,7.0,6.0,3.0
273,13.0,6.0,5.0,0.0,7.0
274,2.0,14.0,2.0,9.0,5.0
275,2.0,9.0,7.0,5.0,5.0
276,13.0,9.0,2.0,8.0,4.0
277,8.0,5.0,10.0,2.0,5.0
278,12.0,10.0,12.0,7.0,4.0
279,10.0,10.0,6.0,9.0,5.0
280,9.0,3.0,10.0,5.0,2.0
281,13.0,9.0,2.0,8.0,6.0
282,12.0,8.0,7.0,6.0,6.0
283,12.0,6.0,4.0,10.0,3.0
284,7.0,12.0,6.0,4.0,3.0
285,12.0,4.0,5.0,13.0,3.0
286,8.0,6.0,4.0,5.0,1.0
287,10.0,13.0,5.0,0.0,7.0
288,2.0,14.0,2.0,9.0,6.0
289,9.0,3.0,10.0,5.0,4.0
290,12.0,10.0,12.0,7.0,7.0
291,9.0,3.0,10.0,5.0,4.0
292,8.0,12.0,6.0,1.0,5.0
293,2.0,9.0,7.0,5.0,5.0
294,0.0,10.0,12.0,7.0,4.0
295,9.0,2.0,7.0,10.0,4.0
296,5.0,7.0,3.0,12.0,3.0
297,13.0,6.0,12.0,2.0,4.0
298,12.0,10.0,12.0,7.0,7.0
299,10.0,10.0,6.0,9.0,4.0
300,12.0,6.0,4.0,10.0,6.0
301,10.0,7.0,1.0,6.0,3.0
302,2.0,7.0,9.0,2.0,4.0
303,0.0,5.0,7.0,2.0,2.0
304,2.0,7.0,9.0,2.0,1.0
305,3.0,3.0,5.0,9.0,1.0
306,10.0,10.0,6.0,9.0,3.0
307,10.0,3.0,6.0,14.0,4.0
308,7.0,10.0,8.0,13.0,4.0
309,9.0,8.0,5.0,2.0,5.0
310,13.0,9.0,2.0,8.0,4.0
311,12.0,9.0,10.0,6.0,6.0
312,12.0,9.0,10.0,6.0,7.0
313,14.0,0.0,6.0,0.0,1.0
314,12.0,4.0,5.0,13.0,7.0
315,10.0,10.0,6.0,9.0,6.0
316,13.0,6.0,5.0,0.0,7.0
317,12.0,6.0,4.0,10.0,5.0
318,5.0,13.0,0.0,11.0,7.0
319,10.0,10.0,6.0,9.0,5.0
320,3.0,6.0,2.0,12.0,7.0
321,2.0,14.0,2.0,9.0,1.0
322,5.0,13.0,0.0,11.0,3.0
323,1.0,2.0,12.0,4.0,2.0
324,1.0,3.0,10.0,7.0,2.0
325,8.0,6.0,4.0,5.0,1.0
326,12.0,8.0,7.0,6.0,5.0
327,12.0,4.0,5.0,13.0,4.0
328,10.0,7.0,1.0,6.0,3.0
329,10.0,7.0,1.0,6.0,6.0
330,10.0,3.0,6.0,14.0,6.0
331,8.0,5.0,10.0,2.0,3.0
332,10.0,10.0,6.0,9.0,6.0
333,13.0,3.0,6.0,6.0,7.0
334,11.0,13.0,10.0,1.0,9.0
335,8.0,5.0,10.0,2.0,6.0
336,0.0,10.0,12.0,7.0,1.0
337,13.0,6.0,12.0,2.0,1.0
338,3.0,6.0,2.0,12.0,3.0
339,9.0,2.0,7.0,10.0,4.0
340,7.0,12.0,6.0,4.0,8.0
341,10.0,10.0,6.0,9.0,5.0
342,14.0,2.0,4.0,1.0,4.0
343,3.0,3.0,5.0,9.0,1.0
344,10.0,2.0,13.0,4.0,6.0
345,7.0,3.0,7.0,0.0,1.0
346,9.0,8.0,5.0,2.0,2.0
347,9.0,3.0,10.0,5.0,4.0
348,2.0,7.0,9.0,2.0,1.0
349,13.0,9.0,2.0,8.0,6.0
350,8.0,12.0,6.0,1.0,4.0
351,14.0,0.0,6.0,0.0,7.0
352,14.0,4.0,8.0,14.0,3.0
353,13.0,6.0,12.0,2.0,6.0
354,1.0,2.0,12.0,4.0,1.0
355,13.0,9.0,2.0,8.0,5.0
356,1.0,9.0,4.0,1.0,5.0
357,5.0,13.0,0.0,11.0,5.0
358,0.0,5.0,7.0,2.0,5.0
359,7.0,12.0,6.0,4.0,6.0
360,14.0,11.0,13.0,14.0,9.0
361,8.0,12.0,6.0,1.0,7.0
362,13.0,3.0,6.0,6.0,2.0
363,3.0,2.0,0.0,14.0,1.0
364,5.0,7.0,3.0,12.0,2.0
365,9.0,3.0,10.0,5.0,2.0
366,2.0,14.0,2.0,9.0,3.0
367,5.0,13.0,0.0,11.0,5.0
368,0.0,10.0,12.0,7.0,7.0
369,10.0,7.0,1.0,6.0,4.0
370,2.0,7.0,9.0,2.0,2.0
371,10.0,7.0,1.0,6.0,3.0
372,14.0,0.0,6.0,0.0,3.0
373,7.0,3.0,7.0,0.0,2.0
374,12.0,10.0,12.0,7.0,8.0
375,13.0,9.0,2.0,8.0,4.0
376,14.0,0.0,6.0,0.0,1.0
377,1.0,3.0,10.0,7.0,2.0
378,13.0,6.0,5.0,0.0,5.0
379,2.0,9.0,7.0,5.0,1.0
380,1.0,2.0,12.0,6.0,3.0
381,7.0,10.0,8.0,13.0,9.0
382,9.0,2.0,7.0,10.0,2.0
383,10.0,13.0,5.0,0.0,5.0
384,13.0,6.0,5.0,0.0,4.0
385,7.0,10.0,8.0,13.0,3.0
386,2.0,9.0,7.0,5.0,4.0
387,3.0,3.0,5.0,9.0,7.0
388,10.0,7.0,1.0,6.0,5.0
389,12.0,4.0,9.0,14.0,5.0
390,12.0,9.0,10.0,6.0,6.0
391,13.0,6.0,12.0,2.0,6.0
392,10.0,3.0,6.0,14.0,1.0
393,2.0,1.0,5.0,1.0,2.0
394,13.0,9.0,2.0,8.0,5.0
395,1.0,2.0,12.0,6.0,5.0
396,11.0,13.0,10.0,1.0,8.0
397,10.0,2.0,13.0,4.0,1.0
398,1.0,2.0,12.0,4.0,2.0
399,12.0,10.0,12.0,7.0,7.0
400,10.0,13.0,5.0,0.0,5.0
401,2.0,14.0,2.0,9.0,2.0
402,9.0,8.0,5.0,2.0,4.0
403,7.0,3.0,7.0,0.0,2.0
404,7.0,10.0,8.0,13.0,7.0
405,2.0,1.0,5.0,1.0,4.0
406,14.0,0.0,6.0,0.0,6.0
407,9.0,3.0,10.0,5.0,4.0
408,10.0,3.0,6.0,14.0,7.0
409,5.0,7.0,3.0,12.0,5.0
410,10.0,10.0,6.0,9.0,7.0
411,1.0,3.0,10.0,7.0,3.0
412,14.0,4.0,8.0,14.0,4.0
413,2.0,1.0,5.0,1.0,1.0
414,7.0,3.0,7.0,0.0,3.0
415,10.0,2.0,13.0,4.0,5.0
416,12.0,6.0,4.0,10.0,5.0
417,3.0,3.0,5.0,9.0,6.0
418,14.0,4.0,8.0,14.0,7.0
419,3.0,6.0,2.0,12.0,3.0
420,10.0,10.0,6.0,9.0,5.0
421,3.0,6.0,2.0,12.0,2.0
422,13.0,3.0,6.0,6.0,1.0
423,1.0,9.0,4.0,1.0,6.0
424,10.0,10.0,6.0,9.0,4.0
425,13.0,6.0,12.0,2.0,5.0
426,7.0,3.0,7.0,0.0,4.0
427,3.0,2.0,0.0,14.0,1.0
428,2.0,14.0,2.0,9.0,5.0
429,2.0,14.0,2.0,9.0,1.0
430,12.0,4.0,9.0,14.0,5.0
431,3.0,6.0,2.0,12.0,2.0
432,10.0,13.0,5.0,0.0,7.0
433,12.0,9.0,10.0,6.0,6.0
434,14.0,2.0,4.0,1.0,3.0
435,1.0,3.0,10.0,7.0,1.0
436,10.0,13.0,5.0,0.0,6.0
437,10.0,2.0,13.0,4.0,7.0
438,0.0,10.0,12.0,7.0,4.0
439,14.0,4.0,8.0,14.0,6.0
440,10.0,13.0,5.0,0.0,7.0
441,2.0,7.0,9.0,2.0,7.0
442,3.0,2.0,0.0,14.0,6.0
443,13.0,3.0,6.0,6.0,2.0
444,8.0,6.0,4.0,5.0,3.0
445,7.0,3.0,7.0,0.0,2.0
446,12.0,6.0,4.0,10.0,3.0
447,9.0,3.0,10.0,5.0,3.0
448,3.0,2.0,0.0,14.0,2.0
449,14.0,4.0,8.0,14.0,6.0
450,13.0,3.0,6.0,6.0,5.0
451,8.0,5.0,10.0,2.0,3.0
452,14.0,2.0,4.0,1.0,3.0
453,12.0,4.0,9.0,14.0,4.0
454,12.0,6.0,4.0,10.0,2.0
455,13.0,6.0,5.0,0.0,4.0
456,12.0,10.0,12.0,7.0,7.0
457,7.0,3.0,7.0,0.0,3.0
458,13.0,3.0,6.0,6.0,5.0
459,12.0,4.0,5.0,13.0,6.0
460,12.0,4.0,9.0,14.0,4.0
461,9.0,2.0,7.0,10.0,5.0
462,13.0,6.0,12.0,2.0,2.0
463,2.0,14.0,2.0,9.0,4.0
464,13.0,6.0,5.0,0.0,4.0
465,14.0,11.0,13.0,14.0,9.0
466,13.0,9.0,2.0,8.0,7.0
467,3.0,6.0,2.0,12.0,5.0
468,3.0,2.0,0.0,14.0,2.0
469,14.0,11.0,13.0,14.0,7.0
470,8.0,5.0,10.0,2.0,4.0
471,8.0,5.0,10.0,2.0,2.0
472,1.0,3.0,10.0,7.0,1.0
473,12.0,4.0,5.0,13.0,3.0
474,8.0,12.0,6.0,1.0,4.0
475,1.0,2.0,12.0,4.0,3.0
476,3.0,6.0,2.0,12.0,2.0
477,2.0,1.0,5.0,1.0,1.0
478,11.0,13.0,10.0,1.0,9.0
479,1.0,2.0,12.0,4.0,2.0
480,12.0,4.0,5.0,13.0,5.0
481,13.0,3.0,6.0,6.0,5.0
482,10.0,13.0,5.0,0.0,5.0
483,5.0,7.0,3.0,12.0,3.0
484,3.0,6.0,2.0,12.0,3.0
485,0.0,10.0,12.0,7.0,5.0
486,8.0,6.0,4.0,5.0,5.0
487,1.0,3.0,10.0,7.0,1.0
488,12.0,4.0,5.0,13.0,4.0
489,14.0,2.0,4.0,1.0,7.0
490,1.0,9.0,4.0,1.0,5.0
491,1.0,2.0,12.0,4.0,3.0
492,12.0,9.0,10.0,6.0,7.0
493,12.0,4.0,5.0,13.0,6.0
494,2.0,9.0,7.0,5.0,2.0
495,12.0,4.0,5.0,13.0,5.0
496,10.0,7.0,1.0,6.0,3.0
497,1.0,9.0,4.0,1.0,3.0
498,9.0,2.0,7.0,10.0,6.0
499,8.0,5.0,10.0,2.0,2.0
500,7.0,3.0,7.0,0.0,2.0
501,9.0,2.0,7.0,10.0,5.0
502,13.0,9.0,2.0,8.0,7.0
503,9.0,8.0,5.0,2.0,4.0
504,1.0,9.0,4.0,1.0,3.0
505,7.0,12.0,6.0,4.0,6.0
506,2.0,14.0,2.0,9.0,3.0
507,11.0,13.0,10.0,1.0,8.0
508,7.0,12.0,6.0,4.0,6.0
509,12.0,9.0,10.0,6.0,6.0
510,14.0,0.0,6.0,0.0,2.0
511,7.0,12.0,6.0,4.0,5.0
512,1.0,2.0,12.0,4.0,2.0
513,10.0,7.0,1.0,6.0,3.0
514,13.0,6.0,5.0,0.0,3.0
515,7.0,10.0,8.0,13.0,3.0
516,2.0,14.0,2.0,9.0,1.0
517,13.0,6.0,12.0,2.0,3.0
518,9.0,3.0,10.0,5.0,1.0
519,9.0,2.0,7.0,10.0,4.0
520,0.0,10.0,12.0,7.0,4.0
521,12.0,4.0,9.0,14.0,5.0
522,12.0,8.0,7.0,6.0,4.0
523,9.0,3.0,10.0,5.0,4.0
524,14.0,11.0,13.0,14.0,9.0
525,7.0,10.0,8.0,13.0,6.0
526,9.0,8.0,5.0,2.0,4.0
527,7.0,10.0,8.0,13.0,3.0
528,3.0,6.0,2.0,12.0,4.0
529,3.0,3.0,5.0,9.0,2.0
530,14.0,11.0,13.0,14.0,9.0
531,13.0,6.0,12.0,2.0,3.0
532,10.0,10.0,6.0,9.0,3.0
533,0.0,5.0,7.0,2.0,1.0
534,13.0,6.0,5.0,0.0,3.0
535,9.0,8.0,5.0,2.0,6.0
536,2.0,14.0,2.0,9.0,8.0
537,10.0,7.0,1.0,6.0,1.0
538,12.0,4.0,5.0,13.0,4.0
539,10.0,10.0,6.0,9.0,4.0
540,1.0,2.0,12.0,6.0,6.0
541,13.0,6.0,5.0,0.0,3.0
542,12.0,4.0,5.0,13.0,7.0
543,10.0,10.0,6.0,9.0,4.0
544,8.0,12.0,6.0,1.0,3.0
545,8.0,12.0,6.0,1.0,4.0
546,2.0,1.0,5.0,1.0,1.0
547,1.0,3.0,10.0,7.0,6.0
548,13.0,9.0,2.0,8.0,4.0
549,2.0,1.0,5.0,1.0,1.0
550,9.0,2.0,7.0,10.0,4.0
551,12.0,10.0,12.0,7.0,4.0
552,5.0,13.0,0.0,11.0,4.0
553,2.0,1.0,5.0,1.0,2.0
554,10.0,3.0,6.0,14.0,4.0
555,14.0,2.0,4.0,1.0,6.0
556,7.0,3.0,7.0,0.0,4.0
557,9.0,2.0,7.0,10.0,5.0
558,2.0,14.0,2.0,9.0,6.0
559,10.0,7.0,1.0,6.0,4.0
560,12.0,9.0,10.0,6.0,8.0
561,2.0,7.0,9.0,2.0,6.0
562,13.0,3.0,6.0,6.0,4.0
563,1.0,3.0,10.0,7.0,2.0
564,10.0,2.0,13.0,4.0,5.0
565,2.0,14.0,2.0,9.0,5.0
566,2.0,9.0,7.0,5.0,3.0
567,12.0,6.0,4.0,10.0,2.0
568,3.0,2.0,0.0,14.0,1.0
569,0.0,5.0,7.0,2.0,2.0
570,14.0,0.0,6.0,0.0,3.0
571,0.0,10.0,12.0,7.0,2.0
572,12.0,10.0,12.0,7.0,7.0
573,8.0,6.0,4.0,5.0,6.0
574,2.0,14.0,2.0,9.0,5.0
575,13.0,9.0,2.0,8.0,4.0
576,10.0,2.0,13.0,4.0,5.0
577,2.0,9.0,7.0,5.0,4.0
578,14.0,0.0,6.0,0.0,3.0
579,12.0,8.0,7.0,6.0,3.0
580,8.0,12.0,6.0,1.0,6.0
581,14.0,11.0,13.0,14.0,6.0
582,12.0,6.0,4.0,10.0,6.0
583,14.0,4.0,8.0,14.0,3.0
584,8.0,5.0,10.0,2.0,8.0
585,10.0,10.0,6.0,9.0,5.0
586,12.0,4.0,9.0,14.0,3.0
587,12.0,10.0,12.0,7.0,8.0
588,12.0,4.0,5.0,13.0,5.0
589,13.0,9.0,2.0,8.0,7.0
590,1.0,9.0,4.0,1.0,6.0
591,2.0,9.0,7.0,5.0,2.0
592,13.0,6.0,5.0,0.0,4.0
593,12.0,8.0,7.0,6.0,6.0
594,12.0,8.0,7.0,6.0,6.0
595,1.0,3.0,10.0,7.0,6.0
596,2.0,9.0,7.0,5.0,5.0
597,1.0,9.0,4.0,1.0,3.0
598,12.0,9.0,10.0,6.0,5.0
599,2.0,9.0,7.0,5.0,3.0
600,3.0,6.0,2.0,12.0,2.0
601,14.0,0.0,6.0,0.0,4.0
602,9.0,3.0,10.0,5.0,3.0
603,14.0,4.0,8.0,14.0,3.0
604,9.0,3.0,10.0,5.0,5.0
605,3.0,2.0,0.0,14.0,1.0
606,8.0,5.0,10.0,2.0,4.0
607,11.0,13.0,10.0,1.0,6.0
608,7.0,12.0,6.0,4.0,5.0
609,3.0,2.0,0.0,14.0,1.0
610,3.0,2.0,0.0,14.0,1.0
611,10.0,10.0,6.0,9.0,3.0
612,2.0,9.0,7.0,5.0,4.0
613,9.0,3.0,10.0,5.0,4.0
614,10.0,2.0,13.0,4.0,6.0
615,10.0,2.0,13.0,4.0,1.0
616,1.0,2.0,12.0,4.0,2.0
617,13.0,6.0,5.0,0.0,4.0
618,13.0,6.0,12.0,2.0,7.0
619,0.0,10.0,12.0,7.0,1.0
620,9.0,8.0,5.0,2.0,7.0
621,3.0,3.0,5.0,9.0,6.0
622,12.0,10.0,12.0,7.0,6.0
623,2.0,9.0,7.0,5.0,3.0
624,10.0,7.0,1.0,6.0,2.0
625,9.0,8.0,5.0,2.0,4.0
626,13.0,3.0,6.0,6.0,5.0
627,13.0,9.0,2.0,8.0,1.0
628,2.0,7.0,9.0,2.0,2.0
629,1.0,2.0,12.0,4.0,2.0
630,0.0,10.0,12.0,7.0,5.0
631,2.0,1.0,5.0,1.0,2.0
632,10.0,7.0,1.0,6.0,6.0
633,14.0,4.0,8.0,14.0,4.0
